date,areaName,newCasesBySpecimenDateAgeDemographics
2020-12-26,North West,"[{'age': '00_04', 'cases': 51, 'rollingRate': 74.9, 'rollingSum': 322}, {'age': '05_09', 'cases': 49, 'rollingRate': 86.8, 'rollingSum': 397}, {'age': '10_14', 'cases': 78, 'rollingRate': 168.4, 'rollingSum': 737}, {'age': '15_19', 'cases': 122, 'rollingRate': 222.2, 'rollingSum': 900}, {'age': '20_24', 'cases': 218, 'rollingRate': 283.0, 'rollingSum': 1321}, {'age': '25_29', 'cases': 264, 'rollingRate': 325.5, 'rollingSum': 1632}, {'age': '30_34', 'cases': 292, 'rollingRate': 330.3, 'rollingSum': 1598}, {'age': '35_39', 'cases': 272, 'rollingRate': 319.2, 'rollingSum': 1478}, {'age': '40_44', 'cases': 224, 'rollingRate': 314.3, 'rollingSum': 1309}, {'age': '45_49', 'cases': 166, 'rollingRate': 265.8, 'rollingSum': 1268}, {'age': '50_54', 'cases': 241, 'rollingRate': 269.0, 'rollingSum': 1384}, {'age': '55_59', 'cases': 222, 'rollingRate': 243.5, 'rollingSum': 1202}, {'age': '60_64', 'cases': 130, 'rollingRate': 191.3, 'rollingSum': 803}, {'age': '65_69', 'cases': 89, 'rollingRate': 136.8, 'rollingSum': 517}, {'age': '70_74', 'cases': 72, 'rollingRate': 124.3, 'rollingSum': 463}, {'age': '75_79', 'cases': 39, 'rollingRate': 127.9, 'rollingSum': 333}, {'age': '80_84', 'cases': 44, 'rollingRate': 172.8, 'rollingSum': 329}, {'age': '85_89', 'cases': 28, 'rollingRate': 225.8, 'rollingSum': 251}, {'age': '90+', 'cases': 28, 'rollingRate': 335.6, 'rollingSum': 211}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 7}, {'age': '60+', 'cases': 430, 'rollingRate': 162.0, 'rollingSum': 2907}, {'age': '00_59', 'cases': 2199, 'rollingRate': 244.4, 'rollingSum': 13555}]"
2020-12-25,North West,"[{'age': '00_04', 'cases': 14, 'rollingRate': 70.8, 'rollingSum': 304}, {'age': '05_09', 'cases': 12, 'rollingRate': 83.8, 'rollingSum': 383}, {'age': '10_14', 'cases': 33, 'rollingRate': 173.0, 'rollingSum': 757}, {'age': '15_19', 'cases': 47, 'rollingRate': 213.3, 'rollingSum': 864}, {'age': '20_24', 'cases': 65, 'rollingRate': 260.9, 'rollingSum': 1218}, {'age': '25_29', 'cases': 83, 'rollingRate': 306.1, 'rollingSum': 1535}, {'age': '30_34', 'cases': 91, 'rollingRate': 300.5, 'rollingSum': 1454}, {'age': '35_39', 'cases': 79, 'rollingRate': 290.2, 'rollingSum': 1344}, {'age': '40_44', 'cases': 75, 'rollingRate': 284.6, 'rollingSum': 1185}, {'age': '45_49', 'cases': 80, 'rollingRate': 254.4, 'rollingSum': 1214}, {'age': '50_54', 'cases': 77, 'rollingRate': 246.7, 'rollingSum': 1269}, {'age': '55_59', 'cases': 70, 'rollingRate': 225.8, 'rollingSum': 1115}, {'age': '60_64', 'cases': 41, 'rollingRate': 177.5, 'rollingSum': 745}, {'age': '65_69', 'cases': 24, 'rollingRate': 127.8, 'rollingSum': 483}, {'age': '70_74', 'cases': 37, 'rollingRate': 119.5, 'rollingSum': 445}, {'age': '75_79', 'cases': 27, 'rollingRate': 132.8, 'rollingSum': 346}, {'age': '80_84', 'cases': 23, 'rollingRate': 172.8, 'rollingSum': 329}, {'age': '85_89', 'cases': 15, 'rollingRate': 239.3, 'rollingSum': 266}, {'age': '90+', 'cases': 8, 'rollingRate': 361.1, 'rollingSum': 227}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 7}, {'age': '60+', 'cases': 175, 'rollingRate': 158.3, 'rollingSum': 2841}, {'age': '00_59', 'cases': 726, 'rollingRate': 228.1, 'rollingSum': 12649}]"
2020-12-24,North West,"[{'age': '00_04', 'cases': 47, 'rollingRate': 74.9, 'rollingSum': 322}, {'age': '05_09', 'cases': 53, 'rollingRate': 93.2, 'rollingSum': 426}, {'age': '10_14', 'cases': 105, 'rollingRate': 187.4, 'rollingSum': 820}, {'age': '15_19', 'cases': 120, 'rollingRate': 228.3, 'rollingSum': 925}, {'age': '20_24', 'cases': 202, 'rollingRate': 283.6, 'rollingSum': 1324}, {'age': '25_29', 'cases': 210, 'rollingRate': 327.5, 'rollingSum': 1642}, {'age': '30_34', 'cases': 221, 'rollingRate': 319.3, 'rollingSum': 1545}, {'age': '35_39', 'cases': 191, 'rollingRate': 312.9, 'rollingSum': 1449}, {'age': '40_44', 'cases': 163, 'rollingRate': 305.9, 'rollingSum': 1274}, {'age': '45_49', 'cases': 198, 'rollingRate': 276.4, 'rollingSum': 1319}, {'age': '50_54', 'cases': 208, 'rollingRate': 267.5, 'rollingSum': 1376}, {'age': '55_59', 'cases': 159, 'rollingRate': 241.8, 'rollingSum': 1194}, {'age': '60_64', 'cases': 118, 'rollingRate': 190.4, 'rollingSum': 799}, {'age': '65_69', 'cases': 60, 'rollingRate': 138.7, 'rollingSum': 524}, {'age': '70_74', 'cases': 56, 'rollingRate': 124.3, 'rollingSum': 463}, {'age': '75_79', 'cases': 39, 'rollingRate': 148.6, 'rollingSum': 387}, {'age': '80_84', 'cases': 43, 'rollingRate': 182.8, 'rollingSum': 348}, {'age': '85_89', 'cases': 44, 'rollingRate': 264.5, 'rollingSum': 294}, {'age': '90+', 'cases': 30, 'rollingRate': 392.9, 'rollingSum': 247}, {'age': 'unassigned', 'cases': 2, 'rollingRate': None, 'rollingSum': 8}, {'age': '60+', 'cases': 390, 'rollingRate': 170.6, 'rollingSum': 3062}, {'age': '00_59', 'cases': 1879, 'rollingRate': 245.6, 'rollingSum': 13624}]"
2020-12-23,North West,"[{'age': '00_04', 'cases': 56, 'rollingRate': 72.6, 'rollingSum': 312}, {'age': '05_09', 'cases': 84, 'rollingRate': 91.2, 'rollingSum': 417}, {'age': '10_14', 'cases': 140, 'rollingRate': 181.5, 'rollingSum': 794}, {'age': '15_19', 'cases': 184, 'rollingRate': 226.1, 'rollingSum': 916}, {'age': '20_24', 'cases': 258, 'rollingRate': 274.9, 'rollingSum': 1283}, {'age': '25_29', 'cases': 287, 'rollingRate': 325.1, 'rollingSum': 1630}, {'age': '30_34', 'cases': 278, 'rollingRate': 310.0, 'rollingSum': 1500}, {'age': '35_39', 'cases': 239, 'rollingRate': 307.9, 'rollingSum': 1426}, {'age': '40_44', 'cases': 232, 'rollingRate': 305.2, 'rollingSum': 1271}, {'age': '45_49', 'cases': 220, 'rollingRate': 266.8, 'rollingSum': 1273}, {'age': '50_54', 'cases': 217, 'rollingRate': 255.0, 'rollingSum': 1312}, {'age': '55_59', 'cases': 192, 'rollingRate': 234.5, 'rollingSum': 1158}, {'age': '60_64', 'cases': 137, 'rollingRate': 188.4, 'rollingSum': 791}, {'age': '65_69', 'cases': 98, 'rollingRate': 140.6, 'rollingSum': 531}, {'age': '70_74', 'cases': 75, 'rollingRate': 123.2, 'rollingSum': 459}, {'age': '75_79', 'cases': 52, 'rollingRate': 148.6, 'rollingSum': 387}, {'age': '80_84', 'cases': 46, 'rollingRate': 179.6, 'rollingSum': 342}, {'age': '85_89', 'cases': 42, 'rollingRate': 269.9, 'rollingSum': 300}, {'age': '90+', 'cases': 37, 'rollingRate': 412.0, 'rollingSum': 259}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 6}, {'age': '60+', 'cases': 487, 'rollingRate': 171.0, 'rollingSum': 3069}, {'age': '00_59', 'cases': 2387, 'rollingRate': 239.8, 'rollingSum': 13298}]"
2020-12-22,North West,"[{'age': '00_04', 'cases': 59, 'rollingRate': 66.3, 'rollingSum': 285}, {'age': '05_09', 'cases': 81, 'rollingRate': 83.8, 'rollingSum': 383}, {'age': '10_14', 'cases': 141, 'rollingRate': 168.9, 'rollingSum': 739}, {'age': '15_19', 'cases': 140, 'rollingRate': 217.2, 'rollingSum': 880}, {'age': '20_24', 'cases': 218, 'rollingRate': 254.3, 'rollingSum': 1187}, {'age': '25_29', 'cases': 287, 'rollingRate': 309.3, 'rollingSum': 1551}, {'age': '30_34', 'cases': 263, 'rollingRate': 293.3, 'rollingSum': 1419}, {'age': '35_39', 'cases': 243, 'rollingRate': 295.0, 'rollingSum': 1366}, {'age': '40_44', 'cases': 205, 'rollingRate': 284.3, 'rollingSum': 1184}, {'age': '45_49', 'cases': 203, 'rollingRate': 251.5, 'rollingSum': 1200}, {'age': '50_54', 'cases': 233, 'rollingRate': 241.8, 'rollingSum': 1244}, {'age': '55_59', 'cases': 205, 'rollingRate': 220.8, 'rollingSum': 1090}, {'age': '60_64', 'cases': 133, 'rollingRate': 178.4, 'rollingSum': 749}, {'age': '65_69', 'cases': 85, 'rollingRate': 133.7, 'rollingSum': 505}, {'age': '70_74', 'cases': 87, 'rollingRate': 122.7, 'rollingSum': 457}, {'age': '75_79', 'cases': 53, 'rollingRate': 147.8, 'rollingSum': 385}, {'age': '80_84', 'cases': 60, 'rollingRate': 176.0, 'rollingSum': 335}, {'age': '85_89', 'cases': 51, 'rollingRate': 279.8, 'rollingSum': 311}, {'age': '90+', 'cases': 45, 'rollingRate': 392.9, 'rollingSum': 247}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 7}, {'age': '60+', 'cases': 514, 'rollingRate': 166.5, 'rollingSum': 2989}, {'age': '00_59', 'cases': 2278, 'rollingRate': 226.0, 'rollingSum': 12535}]"
2020-12-21,North West,"[{'age': '00_04', 'cases': 60, 'rollingRate': 61.9, 'rollingSum': 266}, {'age': '05_09', 'cases': 64, 'rollingRate': 77.4, 'rollingSum': 354}, {'age': '10_14', 'cases': 148, 'rollingRate': 160.2, 'rollingSum': 701}, {'age': '15_19', 'cases': 173, 'rollingRate': 216.2, 'rollingSum': 876}, {'age': '20_24', 'cases': 225, 'rollingRate': 241.2, 'rollingSum': 1126}, {'age': '25_29', 'cases': 314, 'rollingRate': 294.5, 'rollingSum': 1477}, {'age': '30_34', 'cases': 277, 'rollingRate': 278.2, 'rollingSum': 1346}, {'age': '35_39', 'cases': 248, 'rollingRate': 280.5, 'rollingSum': 1299}, {'age': '40_44', 'cases': 260, 'rollingRate': 278.6, 'rollingSum': 1160}, {'age': '45_49', 'cases': 239, 'rollingRate': 243.1, 'rollingSum': 1160}, {'age': '50_54', 'cases': 248, 'rollingRate': 228.6, 'rollingSum': 1176}, {'age': '55_59', 'cases': 220, 'rollingRate': 208.4, 'rollingSum': 1029}, {'age': '60_64', 'cases': 147, 'rollingRate': 170.8, 'rollingSum': 717}, {'age': '65_69', 'cases': 95, 'rollingRate': 129.4, 'rollingSum': 489}, {'age': '70_74', 'cases': 78, 'rollingRate': 112.2, 'rollingSum': 418}, {'age': '75_79', 'cases': 87, 'rollingRate': 144.4, 'rollingSum': 376}, {'age': '80_84', 'cases': 66, 'rollingRate': 174.9, 'rollingSum': 333}, {'age': '85_89', 'cases': 52, 'rollingRate': 275.3, 'rollingSum': 306}, {'age': '90+', 'cases': 45, 'rollingRate': 373.8, 'rollingSum': 235}, {'age': 'unassigned', 'cases': 3, 'rollingRate': None, 'rollingSum': 10}, {'age': '60+', 'cases': 570, 'rollingRate': 160.1, 'rollingSum': 2874}, {'age': '00_59', 'cases': 2479, 'rollingRate': 216.0, 'rollingSum': 11980}]"
2020-12-20,North West,"[{'age': '00_04', 'cases': 35, 'rollingRate': 58.4, 'rollingSum': 251}, {'age': '05_09', 'cases': 54, 'rollingRate': 81.2, 'rollingSum': 371}, {'age': '10_14', 'cases': 92, 'rollingRate': 154.3, 'rollingSum': 675}, {'age': '15_19', 'cases': 114, 'rollingRate': 204.1, 'rollingSum': 827}, {'age': '20_24', 'cases': 135, 'rollingRate': 228.6, 'rollingSum': 1067}, {'age': '25_29', 'cases': 187, 'rollingRate': 273.4, 'rollingSum': 1371}, {'age': '30_34', 'cases': 176, 'rollingRate': 262.7, 'rollingSum': 1271}, {'age': '35_39', 'cases': 206, 'rollingRate': 268.2, 'rollingSum': 1242}, {'age': '40_44', 'cases': 150, 'rollingRate': 258.4, 'rollingSum': 1076}, {'age': '45_49', 'cases': 162, 'rollingRate': 233.9, 'rollingSum': 1116}, {'age': '50_54', 'cases': 160, 'rollingRate': 213.2, 'rollingSum': 1097}, {'age': '55_59', 'cases': 134, 'rollingRate': 191.6, 'rollingSum': 946}, {'age': '60_64', 'cases': 97, 'rollingRate': 163.4, 'rollingSum': 686}, {'age': '65_69', 'cases': 66, 'rollingRate': 119.4, 'rollingSum': 451}, {'age': '70_74', 'cases': 58, 'rollingRate': 108.5, 'rollingSum': 404}, {'age': '75_79', 'cases': 36, 'rollingRate': 129.4, 'rollingSum': 337}, {'age': '80_84', 'cases': 47, 'rollingRate': 174.4, 'rollingSum': 332}, {'age': '85_89', 'cases': 19, 'rollingRate': 262.7, 'rollingSum': 292}, {'age': '90+', 'cases': 18, 'rollingRate': 353.1, 'rollingSum': 222}, {'age': 'unassigned', 'cases': 2, 'rollingRate': None, 'rollingSum': 7}, {'age': '60+', 'cases': 341, 'rollingRate': 151.8, 'rollingSum': 2724}, {'age': '00_59', 'cases': 1607, 'rollingRate': 204.0, 'rollingSum': 11317}]"
2020-12-19,North West,"[{'age': '00_04', 'cases': 33, 'rollingRate': 55.2, 'rollingSum': 237}, {'age': '05_09', 'cases': 35, 'rollingRate': 77.7, 'rollingSum': 355}, {'age': '10_14', 'cases': 98, 'rollingRate': 146.7, 'rollingSum': 642}, {'age': '15_19', 'cases': 86, 'rollingRate': 194.8, 'rollingSum': 789}, {'age': '20_24', 'cases': 115, 'rollingRate': 220.7, 'rollingSum': 1030}, {'age': '25_29', 'cases': 167, 'rollingRate': 258.5, 'rollingSum': 1296}, {'age': '30_34', 'cases': 148, 'rollingRate': 247.8, 'rollingSum': 1199}, {'age': '35_39', 'cases': 138, 'rollingRate': 246.2, 'rollingSum': 1140}, {'age': '40_44', 'cases': 100, 'rollingRate': 247.8, 'rollingSum': 1032}, {'age': '45_49', 'cases': 112, 'rollingRate': 223.4, 'rollingSum': 1066}, {'age': '50_54', 'cases': 126, 'rollingRate': 201.0, 'rollingSum': 1034}, {'age': '55_59', 'cases': 135, 'rollingRate': 183.7, 'rollingSum': 907}, {'age': '60_64', 'cases': 72, 'rollingRate': 155.8, 'rollingSum': 654}, {'age': '65_69', 'cases': 55, 'rollingRate': 115.1, 'rollingSum': 435}, {'age': '70_74', 'cases': 54, 'rollingRate': 105.5, 'rollingSum': 393}, {'age': '75_79', 'cases': 52, 'rollingRate': 129.0, 'rollingSum': 336}, {'age': '80_84', 'cases': 44, 'rollingRate': 171.2, 'rollingSum': 326}, {'age': '85_89', 'cases': 43, 'rollingRate': 276.2, 'rollingSum': 307}, {'age': '90+', 'cases': 44, 'rollingRate': 367.4, 'rollingSum': 231}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 5}, {'age': '60+', 'cases': 364, 'rollingRate': 149.4, 'rollingSum': 2682}, {'age': '00_59', 'cases': 1293, 'rollingRate': 193.5, 'rollingSum': 10732}]"
2020-12-18,North West,"[{'age': '00_04', 'cases': 32, 'rollingRate': 54.2, 'rollingSum': 233}, {'age': '05_09', 'cases': 55, 'rollingRate': 77.9, 'rollingSum': 356}, {'age': '10_14', 'cases': 96, 'rollingRate': 138.5, 'rollingSum': 606}, {'age': '15_19', 'cases': 108, 'rollingRate': 193.0, 'rollingSum': 782}, {'age': '20_24', 'cases': 171, 'rollingRate': 217.2, 'rollingSum': 1014}, {'age': '25_29', 'cases': 190, 'rollingRate': 245.5, 'rollingSum': 1231}, {'age': '30_34', 'cases': 182, 'rollingRate': 241.6, 'rollingSum': 1169}, {'age': '35_39', 'cases': 184, 'rollingRate': 239.5, 'rollingSum': 1109}, {'age': '40_44', 'cases': 164, 'rollingRate': 247.1, 'rollingSum': 1029}, {'age': '45_49', 'cases': 185, 'rollingRate': 222.4, 'rollingSum': 1061}, {'age': '50_54', 'cases': 184, 'rollingRate': 196.5, 'rollingSum': 1011}, {'age': '55_59', 'cases': 149, 'rollingRate': 173.6, 'rollingSum': 857}, {'age': '60_64', 'cases': 95, 'rollingRate': 152.0, 'rollingSum': 638}, {'age': '65_69', 'cases': 65, 'rollingRate': 107.7, 'rollingSum': 407}, {'age': '70_74', 'cases': 55, 'rollingRate': 99.9, 'rollingSum': 372}, {'age': '75_79', 'cases': 68, 'rollingRate': 122.9, 'rollingSum': 320}, {'age': '80_84', 'cases': 42, 'rollingRate': 164.4, 'rollingSum': 313}, {'age': '85_89', 'cases': 43, 'rollingRate': 263.6, 'rollingSum': 293}, {'age': '90+', 'cases': 28, 'rollingRate': 329.2, 'rollingSum': 207}, {'age': 'unassigned', 'cases': 1, 'rollingRate': None, 'rollingSum': 5}, {'age': '60+', 'cases': 396, 'rollingRate': 142.1, 'rollingSum': 2550}, {'age': '00_59', 'cases': 1701, 'rollingRate': 188.6, 'rollingSum': 10463}]"
2020-12-17,North West,"[{'age': '00_04', 'cases': 37, 'rollingRate': 53.3, 'rollingSum': 229}, {'age': '05_09', 'cases': 44, 'rollingRate': 74.6, 'rollingSum': 341}, {'age': '10_14', 'cases': 79, 'rollingRate': 137.6, 'rollingSum': 602}, {'age': '15_19', 'cases': 111, 'rollingRate': 197.2, 'rollingSum': 799}, {'age': '20_24', 'cases': 161, 'rollingRate': 204.4, 'rollingSum': 954}, {'age': '25_29', 'cases': 198, 'rollingRate': 232.3, 'rollingSum': 1165}, {'age': '30_34', 'cases': 176, 'rollingRate': 235.6, 'rollingSum': 1140}, {'age': '35_39', 'cases': 168, 'rollingRate': 232.8, 'rollingSum': 1078}, {'age': '40_44', 'cases': 160, 'rollingRate': 234.6, 'rollingSum': 977}, {'age': '45_49', 'cases': 152, 'rollingRate': 207.3, 'rollingSum': 989}, {'age': '50_54', 'cases': 144, 'rollingRate': 184.5, 'rollingSum': 949}, {'age': '55_59', 'cases': 123, 'rollingRate': 163.7, 'rollingSum': 808}, {'age': '60_64', 'cases': 110, 'rollingRate': 151.5, 'rollingSum': 636}, {'age': '65_69', 'cases': 67, 'rollingRate': 107.7, 'rollingSum': 407}, {'age': '70_74', 'cases': 52, 'rollingRate': 96.1, 'rollingSum': 358}, {'age': '75_79', 'cases': 39, 'rollingRate': 113.3, 'rollingSum': 295}, {'age': '80_84', 'cases': 37, 'rollingRate': 168.1, 'rollingSum': 320}, {'age': '85_89', 'cases': 50, 'rollingRate': 259.1, 'rollingSum': 288}, {'age': '90+', 'cases': 42, 'rollingRate': 343.6, 'rollingSum': 216}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 7}, {'age': '60+', 'cases': 397, 'rollingRate': 140.4, 'rollingSum': 2520}, {'age': '00_59', 'cases': 1553, 'rollingRate': 181.0, 'rollingSum': 10038}]"
