date,cc_open,cc_occupied
2011-11-01,378,329
2011-11-02,378,321
2011-11-03,381,327
2011-11-06,383,310
2011-11-07,380,308
2011-11-08,362,291
2011-11-09,362,289
2011-11-10,362,277
2011-11-13,362,274
2011-11-14,362,294
2011-11-15,362,293
2011-11-16,363,284
2011-11-17,358,284
2011-11-20,362,291
2011-11-21,362,291
2011-11-22,362,298
2011-11-23,323,269
2011-11-24,325,276
2011-11-27,323,247
2011-11-28,362,296
2011-11-29,362,310
2011-11-30,364,311
2011-12-01,364,302
2011-12-04,360,284
2011-12-05,363,290
2011-12-06,362,302
2011-12-07,359,298
2011-12-08,364,296
2011-12-11,362,295
2011-12-12,363,303
2011-12-13,358,314
2011-12-14,365,309
2011-12-15,369,311
2011-12-18,364,294
2011-12-19,363,297
2011-12-20,363,303
2011-12-21,362,294
2011-12-22,362,286
2011-12-28,363,297
2011-12-29,365,290
2012-01-02,363,295
2012-01-03,364,298
2012-01-04,364,299
2012-01-05,323,276
2012-01-08,382,319
2012-01-09,323,274
2012-01-10,363,313
2012-01-11,363,319
2012-01-12,362,304
2012-01-15,362,288
2012-01-16,363,321
2012-01-17,363,320
2012-01-18,361,315
2012-01-19,360,318
2012-01-22,362,294
2012-01-23,364,310
2012-01-24,364,303
2012-01-25,362,306
2012-01-26,362,310
2012-01-29,365,293
2012-01-30,365,319
2012-01-31,365,310
2012-02-01,362,317
2012-02-02,362,314
2012-02-05,362,298
2012-02-06,364,315
2012-02-07,365,319
2012-02-08,368,321
2012-02-09,366,314
2012-02-12,323,274
2012-02-13,362,313
2012-02-14,362,301
2012-02-15,363,313
2012-02-16,323,277
2012-02-19,362,290
2012-02-20,362,310
2012-02-21,366,298
2012-02-22,362,302
2012-02-23,362,292
2012-02-26,361,283
2012-02-27,364,294
2012-02-28,325,265
2012-02-29,364,298
2012-03-01,364,292
