date,cc_open,cc_occupied
2011-11-01,752,660
2011-11-02,756,666
2011-11-03,757,673
2011-11-06,782,663
2011-11-07,749,665
2011-11-08,757,677
2011-11-09,756,658
2011-11-10,753,683
2011-11-13,789,677
2011-11-14,754,647
2011-11-15,757,653
2011-11-16,755,669
2011-11-17,756,658
2011-11-20,784,665
2011-11-21,759,653
2011-11-22,758,680
2011-11-23,755,681
2011-11-24,756,660
2011-11-27,791,694
2011-11-28,753,660
2011-11-29,754,682
2011-11-30,755,670
2011-12-01,743,663
2011-12-04,784,697
2011-12-05,754,651
2011-12-06,756,690
2011-12-07,753,679
2011-12-08,755,680
2011-12-11,782,682
2011-12-12,758,674
2011-12-13,759,688
2011-12-14,764,697
2011-12-15,758,691
2011-12-18,786,687
2011-12-19,750,670
2011-12-20,747,646
2011-12-21,752,655
2011-12-22,748,646
2011-12-28,746,631
2011-12-29,741,659
2012-01-02,738,601
2012-01-03,741,637
2012-01-04,752,662
2012-01-05,752,671
2012-01-08,743,639
2012-01-09,749,641
2012-01-10,749,664
2012-01-11,751,651
2012-01-12,749,660
2012-01-15,746,636
2012-01-16,749,637
2012-01-17,754,632
2012-01-18,763,691
2012-01-19,758,681
2012-01-22,750,667
2012-01-23,747,682
2012-01-24,760,683
2012-01-25,757,679
2012-01-26,756,668
2012-01-29,746,654
2012-01-30,756,667
2012-01-31,750,680
2012-02-01,752,672
2012-02-02,755,681
2012-02-05,746,638
2012-02-06,751,647
2012-02-07,752,662
2012-02-08,756,680
2012-02-09,758,678
2012-02-12,757,671
2012-02-13,751,662
2012-02-14,753,688
2012-02-15,755,675
2012-02-16,759,675
2012-02-19,750,672
2012-02-20,739,655
2012-02-21,755,697
2012-02-22,751,688
2012-02-23,759,687
2012-02-26,757,677
2012-02-27,752,654
2012-02-28,759,698
2012-02-29,761,703
2012-03-01,759,691
