date,cc_open,cc_occupied
2012-11-06,253,202
2012-11-07,252,210
2012-11-08,252,209
2012-11-09,252,203
2012-11-12,252,207
2012-11-13,252,206
2012-11-14,252,204
2012-11-15,252,212
2012-11-16,252,204
2012-11-19,252,212
2012-11-20,255,218
2012-11-21,253,211
2012-11-22,253,208
2012-11-25,254,182
2012-11-26,254,206
2012-11-27,254,209
2012-11-28,254,205
2012-11-29,254,203
2012-12-02,254,188
2012-12-03,254,204
2012-12-04,255,213
2012-12-05,254,212
2012-12-06,255,213
2012-12-09,254,206
2012-12-10,254,216
2012-12-11,254,214
2012-12-12,254,214
2012-12-13,253,188
2012-12-16,252,199
2012-12-17,252,206
2012-12-18,253,211
2012-12-19,254,212
2012-12-20,253,217
2012-12-21,254,190
2012-12-27,251,203
2012-12-30,251,211
2012-12-31,251,205
2013-01-02,251,210
2013-01-03,252,227
2013-01-06,252,217
2013-01-07,251,222
2013-01-08,243,213
2013-01-09,252,212
2013-01-10,252,211
2013-01-13,252,201
2013-01-14,252,215
2013-01-15,252,216
2013-01-16,252,212
2013-01-17,251,209
2013-01-20,252,208
2013-01-21,254,213
2013-01-22,252,204
2013-01-23,251,203
2013-01-24,251,198
2013-01-27,251,205
2013-01-28,252,212
2013-01-29,253,210
2013-01-30,251,207
2013-01-31,252,209
2013-02-03,251,200
2013-02-04,251,200
2013-02-05,252,207
2013-02-06,251,212
2013-02-07,252,210
2013-02-10,251,213
2013-02-11,251,185
2013-02-12,251,188
2013-02-13,253,211
2013-02-14,252,205
2013-02-17,251,212
2013-02-18,251,208
2013-02-19,251,211
2013-02-20,251,198
2013-02-21,251,204
2013-02-24,251,192
2013-02-25,253,209
2013-02-26,251,210
2013-02-27,253,217
2013-02-28,251,215
