date,cc_open,cc_occupied
2014-11-03,632,535
2014-11-04,626,543
2014-11-05,595,486
2014-11-06,596,506
2014-11-07,580,468
2014-11-10,587,492
2014-11-11,595,511
2014-11-12,587,501
2014-11-13,624,542
2014-11-14,591,496
2014-11-17,593,512
2014-11-18,604,520
2014-11-19,601,517
2014-11-20,598,519
2014-11-21,592,483
2014-11-24,602,493
2014-11-25,561,481
2014-11-26,598,499
2014-11-27,593,514
2014-11-28,590,505
2014-12-01,603,521
2014-12-02,597,512
2014-12-03,598,520
2014-12-04,602,525
2014-12-05,605,482
2014-12-08,600,515
2014-12-09,597,508
2014-12-10,596,522
2014-12-11,582,498
2014-12-12,597,514
2014-12-15,603,518
2014-12-16,611,529
2014-12-17,610,531
2014-12-18,606,526
2014-12-19,600,499
2014-12-22,596,506
2014-12-23,592,491
2014-12-24,603,520
2014-12-29,600,548
2014-12-30,538,496
2014-12-31,610,537
2015-01-02,613,531
2015-01-05,595,547
2015-01-06,598,539
2015-01-07,613,549
2015-01-08,612,564
2015-01-09,604,530
2015-01-12,603,539
2015-01-13,612,559
2015-01-14,615,555
2015-01-15,613,554
2015-01-16,606,539
2015-01-19,606,546
2015-01-20,617,553
2015-01-21,613,552
2015-01-22,611,552
2015-01-23,604,521
2015-01-26,608,539
2015-01-27,608,556
2015-01-28,605,540
2015-01-29,604,548
2015-01-30,606,519
2015-02-02,608,538
2015-02-03,604,502
2015-02-04,598,558
2015-02-05,608,561
2015-02-06,615,520
2015-02-09,631,572
2015-02-10,617,557
2015-02-11,587,498
2015-02-12,623,563
2015-02-13,616,537
2015-02-16,617,559
2015-02-17,620,567
2015-02-18,622,560
2015-02-19,620,553
2015-02-20,600,516
2015-02-23,616,544
2015-02-24,619,556
2015-02-25,588,539
2015-02-26,619,568
2015-02-27,616,540
2015-03-02,621,556
2015-03-03,617,555
2015-03-04,616,568
2015-03-05,615,554
2015-03-06,614,534
2015-03-09,620,548
2015-03-10,609,545
2015-03-11,606,539
2015-03-12,607,526
2015-03-13,617,528
2015-03-16,619,543
2015-03-17,618,543
2015-03-18,612,530
2015-03-19,611,540
2015-03-20,613,519
2015-03-23,616,535
2015-03-24,613,542
2015-03-25,620,534
2015-03-26,612,543
2015-03-27,601,511
