date,cc_open,cc_occupied
2014-11-03,485,368
2014-11-04,487,376
2014-11-05,475,406
2014-11-06,474,406
2014-11-07,472,383
2014-11-10,475,401
2014-11-11,445,381
2014-11-12,400,353
2014-11-13,445,345
2014-11-14,459,372
2014-11-17,458,380
2014-11-18,460,388
2014-11-19,386,334
2014-11-20,459,382
2014-11-21,455,379
2014-11-24,458,388
2014-11-25,458,394
2014-11-26,458,405
2014-11-27,437,366
2014-11-28,471,396
2014-12-01,461,399
2014-12-02,463,396
2014-12-03,462,384
2014-12-04,457,385
2014-12-05,386,335
2014-12-08,465,408
2014-12-09,463,403
2014-12-10,463,415
2014-12-11,463,412
2014-12-12,384,343
2014-12-15,463,384
2014-12-16,462,393
2014-12-17,463,397
2014-12-18,463,401
2014-12-19,459,379
2014-12-22,388,342
2014-12-23,465,388
2014-12-24,486,391
2014-12-29,460,395
2014-12-30,438,375
2014-12-31,519,450
2015-01-02,461,411
2015-01-05,459,406
2015-01-06,460,409
2015-01-07,459,421
2015-01-08,466,418
2015-01-09,463,398
2015-01-12,465,409
2015-01-13,464,401
2015-01-14,464,404
2015-01-15,462,401
2015-01-16,463,385
2015-01-19,465,401
2015-01-20,463,400
2015-01-21,463,400
2015-01-22,466,405
2015-01-23,463,388
2015-01-26,465,400
2015-01-27,465,406
2015-01-28,467,413
2015-01-29,463,403
2015-01-30,462,370
2015-02-02,447,379
2015-02-03,462,401
2015-02-04,464,415
2015-02-05,459,393
2015-02-06,460,363
2015-02-09,463,392
2015-02-10,462,403
2015-02-11,446,400
2015-02-12,452,397
2015-02-13,445,385
2015-02-16,449,391
2015-02-17,448,390
2015-02-18,449,390
2015-02-19,448,402
2015-02-20,450,382
2015-02-23,451,409
2015-02-24,448,404
2015-02-25,451,410
2015-02-26,452,407
2015-02-27,424,355
2015-03-02,452,393
2015-03-03,449,392
2015-03-04,451,392
2015-03-05,453,404
2015-03-06,445,375
2015-03-09,448,384
2015-03-10,445,399
2015-03-11,450,398
2015-03-12,448,398
2015-03-13,451,373
2015-03-16,450,395
2015-03-17,447,385
2015-03-18,454,396
2015-03-19,450,383
2015-03-20,451,394
2015-03-23,450,394
2015-03-24,452,402
2015-03-25,452,409
2015-03-26,453,406
2015-03-27,452,403
