date,cc_open,cc_occupied
2016-12-01,584,498
2016-12-02,527,426
2016-12-03,512,399
2016-12-04,570,463
2016-12-05,625,514
2016-12-06,620,525
2016-12-07,632,554
2016-12-08,644,552
2016-12-09,584,491
2016-12-10,591,486
2016-12-11,616,518
2016-12-12,623,548
2016-12-13,635,551
2016-12-14,627,527
2016-12-15,634,542
2016-12-16,570,484
2016-12-17,532,435
2016-12-18,589,478
2016-12-19,631,527
2016-12-20,654,567
2016-12-21,633,520
2016-12-22,632,526
2016-12-23,539,434
2016-12-24,574,441
2016-12-25,544,413
2016-12-26,612,463
2016-12-27,638,517
2016-12-28,628,533
2016-12-29,633,536
2016-12-30,618,516
2016-12-31,605,478
2017-01-01,617,512
2017-01-02,625,523
2017-01-03,630,558
2017-01-04,637,573
2017-01-05,638,559
2017-01-06,620,531
2017-01-07,623,554
2017-01-08,630,526
2017-01-09,646,573
2017-01-10,636,561
2017-01-11,642,569
2017-01-12,638,552
2017-01-13,615,527
2017-01-14,640,534
2017-01-15,634,534
2017-01-16,590,509
2017-01-17,633,550
2017-01-18,648,564
2017-01-19,644,575
2017-01-20,614,536
2017-01-21,613,520
2017-01-22,607,509
2017-01-23,639,533
2017-01-24,641,562
2017-01-25,651,562
2017-01-26,646,574
2017-01-27,562,474
2017-01-28,570,478
2017-01-29,560,472
2017-01-30,560,491
2017-01-31,555,491
2017-02-01,568,487
2017-02-02,644,558
2017-02-03,615,548
2017-02-04,618,527
2017-02-05,641,536
2017-02-06,644,535
2017-02-07,651,524
2017-02-08,653,569
2017-02-09,647,551
2017-02-10,643,542
2017-02-11,645,520
2017-02-12,633,501
2017-02-13,637,512
2017-02-14,628,520
2017-02-15,639,530
2017-02-16,644,531
2017-02-17,643,519
2017-02-18,635,470
2017-02-19,636,482
2017-02-20,651,526
2017-02-21,649,533
2017-02-22,652,524
2017-02-23,645,533
2017-02-24,650,566
2017-02-25,650,542
2017-02-26,651,513
2017-02-27,649,531
2017-02-28,652,538
2017-03-01,651,566
2017-03-02,653,532
2017-03-03,649,508
2017-03-04,634,482
2017-03-05,653,486
2017-03-06,650,538
2017-03-07,653,569
2017-03-08,653,546
2017-03-09,651,549
2017-03-10,653,547
2017-03-11,651,499
2017-03-12,653,503
