date,cc_open,cc_occupied
2017-11-20,3638,2942
2017-11-21,3567,2973
2017-11-22,3604,3017
2017-11-23,3682,3092
2017-11-24,3553,2878
2017-11-25,3546,2829
2017-11-26,3591,2831
2017-11-27,3699,3051
2017-11-28,3700,3119
2017-11-29,3703,3147
2017-11-30,3704,3149
2017-12-01,3640,2989
2017-12-02,3659,2947
2017-12-03,3688,2960
2017-12-04,3675,3114
2017-12-05,3699,3191
2017-12-06,3729,3244
2017-12-07,3715,3224
2017-12-08,3617,3020
2017-12-09,3621,3004
2017-12-10,3667,3048
2017-12-11,3690,3137
2017-12-12,3689,3157
2017-12-13,3692,3182
2017-12-14,3690,3187
2017-12-15,3649,3096
2017-12-16,3591,3028
2017-12-17,3627,3050
2017-12-18,3686,3176
2017-12-19,3703,3156
2017-12-20,3702,3096
2017-12-21,3704,3093
2017-12-22,3686,2974
2017-12-23,3579,2799
2017-12-24,3479,2689
2017-12-25,3638,2791
2017-12-26,3664,2874
2017-12-27,3670,3029
2017-12-28,3687,3122
2017-12-29,3672,3052
2017-12-30,3656,3055
2017-12-31,3585,3017
2018-01-01,3706,3115
2018-01-02,3704,3270
2018-01-03,3719,3267
2018-01-04,3717,3292
2018-01-05,3703,3251
2018-01-06,3700,3200
2018-01-07,3721,3148
2018-01-08,3720,3275
2018-01-09,3727,3258
2018-01-10,3740,3260
2018-01-11,3732,3277
2018-01-12,3697,3190
2018-01-13,3662,3128
2018-01-14,3697,3182
2018-01-15,3725,3262
2018-01-16,3720,3254
2018-01-17,3721,3250
2018-01-18,3655,3159
2018-01-19,3583,3139
2018-01-20,3570,3048
2018-01-21,3626,3061
2018-01-22,3669,3163
2018-01-23,3681,3175
2018-01-24,3679,3168
2018-01-25,3682,3185
2018-01-26,3603,3054
2018-01-27,3568,2976
2018-01-28,3651,3022
2018-01-29,3666,3155
2018-01-30,3677,3180
2018-01-31,3671,3142
2018-02-01,3682,3145
2018-02-02,3667,3116
2018-02-03,3611,3025
2018-02-04,3620,2994
2018-02-05,3675,3161
2018-02-06,3671,3189
2018-02-07,3664,3194
2018-02-08,3682,3158
2018-02-09,3638,3113
2018-02-10,3562,2971
2018-02-11,3607,3021
2018-02-12,3671,3079
2018-02-13,3682,3148
2018-02-14,3684,3175
2018-02-15,3659,3154
2018-02-16,3618,3046
2018-02-17,3614,3032
2018-02-18,3664,3048
2018-02-19,3655,3182
2018-02-20,3666,3210
2018-02-21,3660,3192
2018-02-22,3667,3181
2018-02-23,3643,3081
2018-02-24,3619,3022
2018-02-25,3624,3017
2018-02-26,3542,3053
2018-02-27,3667,3188
2018-02-28,3609,3106
2018-03-01,3685,3208
2018-03-02,3608,3060
2018-03-03,3605,2997
2018-03-04,3658,3011
