date,cc_open,cc_occupied
2018-12-03,486,411
2018-12-04,485,412
2018-12-05,485,421
2018-12-06,487,421
2018-12-07,479,399
2018-12-08,485,399
2018-12-09,485,395
2018-12-10,484,416
2018-12-11,485,416
2018-12-12,487,419
2018-12-13,486,407
2018-12-14,487,398
2018-12-15,486,393
2018-12-16,487,387
2018-12-17,486,393
2018-12-18,486,405
2018-12-19,483,398
2018-12-20,486,407
2018-12-21,485,387
2018-12-22,486,392
2018-12-23,486,372
2018-12-24,486,380
2018-12-25,487,367
2018-12-26,478,348
2018-12-27,484,380
2018-12-28,485,396
2018-12-29,485,389
2018-12-30,485,387
2018-12-31,483,403
2019-01-01,483,397
2019-01-02,482,397
2019-01-03,483,419
2019-01-04,483,414
2019-01-05,485,396
2019-01-06,488,408
2019-01-07,484,428
2019-01-08,485,430
2019-01-09,483,414
2019-01-10,483,409
2019-01-11,482,404
2019-01-12,483,400
2019-01-13,485,403
2019-01-14,485,417
2019-01-15,485,428
2019-01-16,486,434
2019-01-17,484,425
2019-01-18,485,413
2019-01-19,487,411
2019-01-20,488,410
2019-01-21,487,429
2019-01-22,487,428
2019-01-23,485,426
2019-01-24,485,415
2019-01-25,483,400
2019-01-26,483,405
2019-01-27,483,379
2019-01-28,484,409
2019-01-29,483,414
2019-01-30,486,414
2019-01-31,477,417
2019-02-01,483,410
2019-02-02,493,400
2019-02-03,486,403
2019-02-04,486,419
2019-02-05,487,424
2019-02-06,486,413
2019-02-07,473,408
2019-02-08,485,408
2019-02-09,486,400
2019-02-10,486,389
2019-02-11,485,423
2019-02-12,487,427
2019-02-13,487,422
2019-02-14,486,420
2019-02-15,484,400
2019-02-16,485,382
2019-02-17,486,380
2019-02-18,487,393
2019-02-19,487,416
2019-02-20,488,412
2019-02-21,485,404
2019-02-22,487,393
2019-02-23,486,377
2019-02-24,485,368
2019-02-25,484,412
2019-02-26,484,429
2019-02-27,482,399
2019-02-28,484,393
2019-03-01,484,382
2019-03-02,484,380
2019-03-03,486,368
