date,cc_open,cc_occupied
2018-12-03,780,690
2018-12-04,777,708
2018-12-05,776,713
2018-12-06,775,712
2018-12-07,774,704
2018-12-08,766,688
2018-12-09,777,667
2018-12-10,779,681
2018-12-11,777,684
2018-12-12,774,686
2018-12-13,778,706
2018-12-14,775,655
2018-12-15,772,693
2018-12-16,771,632
2018-12-17,774,695
2018-12-18,771,648
2018-12-19,770,704
2018-12-20,772,677
2018-12-21,770,681
2018-12-22,764,665
2018-12-23,770,646
2018-12-24,767,626
2018-12-25,766,623
2018-12-26,768,621
2018-12-27,768,642
2018-12-28,767,666
2018-12-29,766,657
2018-12-30,765,635
2018-12-31,764,661
2019-01-01,764,647
2019-01-02,767,680
2019-01-03,767,694
2019-01-04,768,688
2019-01-05,766,667
2019-01-06,768,686
2019-01-07,770,701
2019-01-08,776,702
2019-01-09,778,727
2019-01-10,780,714
2019-01-11,743,632
2019-01-12,744,662
2019-01-13,779,690
2019-01-14,783,727
2019-01-15,783,726
2019-01-16,783,723
2019-01-17,785,720
2019-01-18,781,700
2019-01-19,776,687
2019-01-20,792,702
2019-01-21,792,715
2019-01-22,789,726
2019-01-23,793,734
2019-01-24,791,733
2019-01-25,761,678
2019-01-26,756,655
2019-01-27,790,685
2019-01-28,792,712
2019-01-29,791,721
2019-01-30,789,716
2019-01-31,790,721
2019-02-01,792,723
2019-02-02,790,683
2019-02-03,794,700
2019-02-04,790,728
2019-02-05,794,728
2019-02-06,792,731
2019-02-07,803,727
2019-02-08,737,677
2019-02-09,725,654
2019-02-10,783,711
2019-02-11,788,715
2019-02-12,796,734
2019-02-13,792,727
2019-02-14,793,732
2019-02-15,795,717
2019-02-16,791,698
2019-02-17,784,688
2019-02-18,788,704
2019-02-19,794,713
2019-02-20,794,709
2019-02-21,791,703
2019-02-22,736,651
2019-02-23,789,700
2019-02-24,789,692
2019-02-25,791,689
2019-02-26,791,712
2019-02-27,791,703
2019-02-28,791,702
2019-03-01,790,694
2019-03-02,790,694
2019-03-03,792,693
