week_ended,week_number,total_registrations,covid_registrations,covid_occurrences,estimated_occurrences
2010-01-08,1,12968,,,
2010-01-15,2,12541,,,
2010-01-22,3,11762,,,
2010-01-29,4,11056,,,
2010-02-05,5,10524,,,
2010-02-12,6,10117,,,
2010-02-19,7,10102,,,
2010-02-26,8,10295,,,
2010-03-05,9,9981,,,
2010-03-12,10,9792,,,
2010-03-19,11,9729,,,
2010-03-26,12,9631,,,
2010-04-02,13,8004,,,
2010-04-09,14,9756,,,
2010-04-16,15,9892,,,
2010-04-23,16,9449,,,
2010-04-30,17,9503,,,
2010-05-07,18,8343,,,
2010-05-14,19,9483,,,
2010-05-21,20,9190,,,
2010-05-28,21,9452,,,
2010-06-04,22,8178,,,
2010-06-11,23,9259,,,
2010-06-18,24,8513,,,
2010-06-25,25,8461,,,
2010-07-02,26,8973,,,
2010-07-09,27,8627,,,
2010-07-16,28,8541,,,
2010-07-23,29,8261,,,
2010-07-30,30,8257,,,
2010-08-06,31,8467,,,
2010-08-13,32,8318,,,
2010-08-20,33,8584,,,
2010-08-27,34,8635,,,
2010-09-03,35,7708,,,
2010-09-10,36,8961,,,
2010-09-17,37,8727,,,
2010-09-24,38,8943,,,
2010-10-01,39,8759,,,
2010-10-08,40,9195,,,
2010-10-15,41,9218,,,
2010-10-22,42,9286,,,
2010-10-29,43,9275,,,
2010-11-05,44,9668,,,
2010-11-12,45,9406,,,
2010-11-19,46,9437,,,
2010-11-26,47,9473,,,
2010-12-03,48,9220,,,
2010-12-10,49,11193,,,
2010-12-17,50,10880,,,
2010-12-24,51,11484,,,
2010-12-31,52,9689,,,
2011-01-07,1,12644,,,
2011-01-14,2,13133,,,
2011-01-21,3,11438,,,
2011-01-28,4,10555,,,
2011-02-04,5,10235,,,
2011-02-11,6,10019,,,
2011-02-18,7,9757,,,
2011-02-25,8,9433,,,
2011-03-04,9,9453,,,
2011-03-11,10,9648,,,
2011-03-18,11,9842,,,
2011-03-25,12,9707,,,
2011-04-01,13,9312,,,
2011-04-08,14,9557,,,
2011-04-15,15,9327,,,
2011-04-22,16,8335,,,
