week_ended,week_number,total_registrations,covid_registrations,covid_occurrences,estimated_occurrences
2010-01-08,1,1412,,,
2010-01-15,2,1263,,,
2010-01-22,3,1174,,,
2010-01-29,4,1143,,,
2010-02-05,5,1156,,,
2010-02-12,6,1032,,,
2010-02-19,7,1099,,,
2010-02-26,8,1149,,,
2010-03-05,9,1064,,,
2010-03-12,10,1074,,,
2010-03-19,11,1005,,,
2010-03-26,12,1039,,,
2010-04-02,13,814,,,
2010-04-09,14,1002,,,
2010-04-16,15,1068,,,
2010-04-23,16,1048,,,
2010-04-30,17,1021,,,
2010-05-07,18,899,,,
2010-05-14,19,937,,,
2010-05-21,20,964,,,
2010-05-28,21,1033,,,
2010-06-04,22,845,,,
2010-06-11,23,962,,,
2010-06-18,24,908,,,
2010-06-25,25,897,,,
2010-07-02,26,920,,,
2010-07-09,27,886,,,
2010-07-16,28,851,,,
2010-07-23,29,901,,,
2010-07-30,30,882,,,
2010-08-06,31,883,,,
2010-08-13,32,847,,,
2010-08-20,33,840,,,
2010-08-27,34,898,,,
2010-09-03,35,784,,,
2010-09-10,36,897,,,
2010-09-17,37,891,,,
2010-09-24,38,949,,,
2010-10-01,39,898,,,
2010-10-08,40,967,,,
2010-10-15,41,993,,,
2010-10-22,42,990,,,
2010-10-29,43,1012,,,
2010-11-05,44,1043,,,
2010-11-12,45,1031,,,
2010-11-19,46,942,,,
2010-11-26,47,985,,,
2010-12-03,48,994,,,
2010-12-10,49,1140,,,
2010-12-17,50,1114,,,
2010-12-24,51,1233,,,
2010-12-31,52,950,,,
2011-01-07,1,1323,,,
2011-01-14,2,1282,,,
2011-01-21,3,1146,,,
2011-01-28,4,1085,,,
2011-02-04,5,1120,,,
2011-02-11,6,1032,,,
2011-02-18,7,986,,,
2011-02-25,8,947,,,
2011-03-04,9,991,,,
2011-03-11,10,971,,,
2011-03-18,11,1075,,,
2011-03-25,12,1034,,,
2011-04-01,13,967,,,
2011-04-08,14,1073,,,
2011-04-15,15,963,,,
2011-04-22,16,863,,,
2011-04-29,17,828,,,
2011-05-06,18,997,,,
2011-05-13,19,1108,,,
2011-05-20,20,929,,,
2011-05-27,21,959,,,
2011-06-03,22,804,,,
2011-06-10,23,1015,,,
2011-06-17,24,941,,,
2011-06-24,25,888,,,
2011-07-01,26,937,,,
2011-07-08,27,883,,,
2011-07-15,28,924,,,
2011-07-22,29,871,,,
2011-07-29,30,894,,,
2011-08-05,31,907,,,
2011-08-12,32,888,,,
2011-08-19,33,920,,,
2011-08-26,34,849,,,
2011-09-02,35,776,,,
2011-09-09,36,896,,,
2011-09-16,37,927,,,
2011-09-23,38,899,,,
2011-09-30,39,959,,,
2011-10-07,40,923,,,
2011-10-14,41,914,,,
2011-10-21,42,857,,,
2011-10-28,43,961,,,
2011-11-04,44,1017,,,
2011-11-11,45,927,,,
2011-11-18,46,984,,,
2011-11-25,47,938,,,
2011-12-02,48,990,,,
2011-12-09,49,1015,,,
2011-12-16,50,1080,,,
2011-12-23,51,1213,,,
2011-12-30,52,881,,,
2012-01-06,1,1127,,,
2012-01-13,2,1189,,,
2012-01-20,3,1050,,,
2012-01-27,4,1047,,,
2012-02-03,5,1105,,,
2012-02-10,6,1088,,,
2012-02-17,7,1102,,,
2012-02-24,8,1204,,,
2012-03-02,9,1182,,,
2012-03-09,10,1155,,,
2012-03-16,11,1065,,,
2012-03-23,12,1094,,,
2012-03-30,13,1036,,,
2012-04-06,14,880,,,
2012-04-13,15,1097,,,
2012-04-20,16,1153,,,
2012-04-27,17,1108,,,
2012-05-04,18,1066,,,
2012-05-11,19,950,,,
2012-05-18,20,1027,,,
2012-05-25,21,1007,,,
2012-06-01,22,1026,,,
2012-06-08,23,660,,,
2012-06-15,24,1082,,,
2012-06-22,25,942,,,
2012-06-29,26,931,,,
2012-07-06,27,975,,,
2012-07-13,28,944,,,
2012-07-20,29,815,,,
2012-07-27,30,930,,,
2012-08-03,31,964,,,
2012-08-10,32,889,,,
2012-08-17,33,962,,,
2012-08-24,34,1001,,,
2012-08-31,35,790,,,
2012-09-07,36,933,,,
2012-09-14,37,858,,,
2012-09-21,38,893,,,
2012-09-28,39,918,,,
2012-10-05,40,920,,,
2012-10-12,41,987,,,
2012-10-19,42,1018,,,
2012-10-26,43,970,,,
2012-11-02,44,973,,,
2012-11-09,45,973,,,
2012-11-16,46,1007,,,
2012-11-23,47,1011,,,
2012-11-30,48,1059,,,
2012-12-07,49,971,,,
2012-12-14,50,1003,,,
2012-12-21,51,1062,,,
2012-12-28,52,809,,,
2013-01-04,1,1198,,,
2013-01-11,2,1299,,,
2013-01-18,3,1232,,,
2013-01-25,4,1193,,,
2013-02-01,5,1215,,,
2013-02-08,6,1144,,,
2013-02-15,7,1138,,,
2013-02-22,8,1116,,,
2013-03-01,9,1171,,,
2013-03-08,10,1210,,,
2013-03-15,11,1148,,,
2013-03-22,12,1168,,,
2013-03-29,13,908,,,
2013-04-05,14,1084,,,
2013-04-12,15,1233,,,
2013-04-19,16,1274,,,
2013-04-26,17,1134,,,
2013-05-03,18,1070,,,
2013-05-10,19,954,,,
2013-05-17,20,1040,,,
2013-05-24,21,978,,,
2013-05-31,22,875,,,
2013-06-07,23,1004,,,
2013-06-14,24,947,,,
2013-06-21,25,994,,,
2013-06-28,26,1022,,,
2013-07-05,27,912,,,
2013-07-12,28,860,,,
2013-07-19,29,907,,,
2013-07-26,30,864,,,
2013-08-02,31,866,,,
2013-08-09,32,874,,,
2013-08-16,33,830,,,
2013-08-23,34,902,,,
2013-08-30,35,775,,,
2013-09-06,36,922,,,
2013-09-13,37,888,,,
2013-09-20,38,904,,,
2013-09-27,39,985,,,
2013-10-04,40,979,,,
2013-10-11,41,933,,,
2013-10-18,42,1033,,,
2013-10-25,43,943,,,
2013-11-01,44,997,,,
2013-11-08,45,1008,,,
2013-11-15,46,1006,,,
2013-11-22,47,1003,,,
2013-11-29,48,985,,,
2013-12-06,49,1059,,,
2013-12-13,50,1007,,,
2013-12-20,51,1067,,,
2013-12-27,52,711,,,
2014-01-03,1,1164,,,
2014-01-10,2,1297,,,
2014-01-17,3,1183,,,
2014-01-24,4,1076,,,
2014-01-31,5,1057,,,
2014-02-07,6,1121,,,
2014-02-14,7,1081,,,
