week_ended,week_number,total_registrations,covid_registrations,covid_occurrences,estimated_occurrences
2010-01-08,1,1091,,,
2010-01-15,2,1098,,,
2010-01-22,3,963,,,
2010-01-29,4,938,,,
2010-02-05,5,874,,,
2010-02-12,6,858,,,
2010-02-19,7,802,,,
2010-02-26,8,880,,,
2010-03-05,9,778,,,
2010-03-12,10,800,,,
2010-03-19,11,820,,,
2010-03-26,12,792,,,
2010-04-02,13,682,,,
2010-04-09,14,850,,,
2010-04-16,15,794,,,
2010-04-23,16,782,,,
2010-04-30,17,759,,,
2010-05-07,18,660,,,
2010-05-14,19,812,,,
2010-05-21,20,757,,,
2010-05-28,21,782,,,
2010-06-04,22,661,,,
2010-06-11,23,795,,,
2010-06-18,24,664,,,
2010-06-25,25,715,,,
2010-07-02,26,734,,,
2010-07-09,27,694,,,
2010-07-16,28,753,,,
2010-07-23,29,685,,,
2010-07-30,30,629,,,
2010-08-06,31,647,,,
2010-08-13,32,696,,,
2010-08-20,33,721,,,
2010-08-27,34,675,,,
2010-09-03,35,626,,,
2010-09-10,36,784,,,
2010-09-17,37,736,,,
2010-09-24,38,819,,,
2010-10-01,39,698,,,
2010-10-08,40,744,,,
2010-10-15,41,737,,,
2010-10-22,42,744,,,
2010-10-29,43,766,,,
2010-11-05,44,835,,,
2010-11-12,45,790,,,
2010-11-19,46,807,,,
2010-11-26,47,851,,,
2010-12-03,48,750,,,
2010-12-10,49,896,,,
2010-12-17,50,913,,,
2010-12-24,51,971,,,
2010-12-31,52,834,,,
2011-01-07,1,1135,,,
2011-01-14,2,1158,,,
2011-01-21,3,989,,,
2011-01-28,4,931,,,
2011-02-04,5,877,,,
2011-02-11,6,827,,,
2011-02-18,7,843,,,
2011-02-25,8,756,,,
2011-03-04,9,789,,,
2011-03-11,10,815,,,
2011-03-18,11,809,,,
2011-03-25,12,790,,,
2011-04-01,13,762,,,
2011-04-08,14,801,,,
2011-04-15,15,772,,,
2011-04-22,16,714,,,
2011-04-29,17,726,,,
2011-05-06,18,805,,,
2011-05-13,19,848,,,
2011-05-20,20,678,,,
2011-05-27,21,721,,,
2011-06-03,22,682,,,
2011-06-10,23,739,,,
2011-06-17,24,708,,,
2011-06-24,25,738,,,
2011-07-01,26,707,,,
2011-07-08,27,731,,,
2011-07-15,28,684,,,
2011-07-22,29,674,,,
2011-07-29,30,684,,,
2011-08-05,31,746,,,
2011-08-12,32,687,,,
2011-08-19,33,643,,,
2011-08-26,34,735,,,
2011-09-02,35,606,,,
2011-09-09,36,739,,,
2011-09-16,37,703,,,
2011-09-23,38,716,,,
2011-09-30,39,727,,,
2011-10-07,40,722,,,
2011-10-14,41,745,,,
2011-10-21,42,685,,,
2011-10-28,43,775,,,
2011-11-04,44,838,,,
2011-11-11,45,769,,,
2011-11-18,46,768,,,
2011-11-25,47,787,,,
2011-12-02,48,745,,,
2011-12-09,49,827,,,
2011-12-16,50,849,,,
2011-12-23,51,949,,,
2011-12-30,52,709,,,
2012-01-06,1,852,,,
2012-01-13,2,922,,,
2012-01-20,3,869,,,
2012-01-27,4,871,,,
2012-02-03,5,856,,,
2012-02-10,6,890,,,
2012-02-17,7,857,,,
2012-02-24,8,935,,,
2012-03-02,9,868,,,
2012-03-09,10,856,,,
2012-03-16,11,867,,,
2012-03-23,12,804,,,
2012-03-30,13,830,,,
2012-04-06,14,739,,,
2012-04-13,15,829,,,
2012-04-20,16,913,,,
2012-04-27,17,879,,,
2012-05-04,18,852,,,
2012-05-11,19,786,,,
2012-05-18,20,805,,,
2012-05-25,21,747,,,
2012-06-01,22,783,,,
2012-06-08,23,557,,,
2012-06-15,24,853,,,
2012-06-22,25,757,,,
2012-06-29,26,810,,,
2012-07-06,27,738,,,
2012-07-13,28,738,,,
2012-07-20,29,730,,,
