week_ended,week_number,total_registrations,covid_registrations,covid_occurrences,estimated_occurrences
2010-01-08,1,1395,,,
2010-01-15,2,1354,,,
2010-01-22,3,1294,,,
2010-01-29,4,1150,,,
2010-02-05,5,1147,,,
2010-02-12,6,1070,,,
2010-02-19,7,1069,,,
2010-02-26,8,1098,,,
2010-03-05,9,1041,,,
2010-03-12,10,1042,,,
2010-03-19,11,1015,,,
2010-03-26,12,1066,,,
2010-04-02,13,921,,,
2010-04-09,14,991,,,
2010-04-16,15,1056,,,
2010-04-23,16,1019,,,
2010-04-30,17,999,,,
2010-05-07,18,872,,,
2010-05-14,19,1055,,,
2010-05-21,20,965,,,
2010-05-28,21,978,,,
2010-06-04,22,831,,,
2010-06-11,23,927,,,
2010-06-18,24,988,,,
2010-06-25,25,848,,,
2010-07-02,26,939,,,
2010-07-09,27,950,,,
2010-07-16,28,862,,,
2010-07-23,29,875,,,
2010-07-30,30,873,,,
2010-08-06,31,906,,,
2010-08-13,32,874,,,
2010-08-20,33,939,,,
2010-08-27,34,938,,,
2010-09-03,35,817,,,
2010-09-10,36,992,,,
2010-09-17,37,933,,,
2010-09-24,38,930,,,
2010-10-01,39,934,,,
2010-10-08,40,937,,,
2010-10-15,41,976,,,
2010-10-22,42,942,,,
2010-10-29,43,968,,,
2010-11-05,44,992,,,
2010-11-12,45,963,,,
2010-11-19,46,1010,,,
2010-11-26,47,987,,,
2010-12-03,48,1003,,,
2010-12-10,49,1170,,,
2010-12-17,50,1143,,,
2010-12-24,51,1157,,,
2010-12-31,52,924,,,
2011-01-07,1,1318,,,
2011-01-14,2,1428,,,
2011-01-21,3,1320,,,
2011-01-28,4,1093,,,
2011-02-04,5,1070,,,
2011-02-11,6,1042,,,
2011-02-18,7,1011,,,
2011-02-25,8,972,,,
2011-03-04,9,999,,,
2011-03-11,10,1051,,,
2011-03-18,11,1018,,,
2011-03-25,12,1062,,,
2011-04-01,13,974,,,
2011-04-08,14,991,,,
2011-04-15,15,1010,,,
2011-04-22,16,859,,,
2011-04-29,17,845,,,
2011-05-06,18,1069,,,
2011-05-13,19,1128,,,
2011-05-20,20,936,,,
2011-05-27,21,942,,,
2011-06-03,22,807,,,
2011-06-10,23,1031,,,
2011-06-17,24,982,,,
2011-06-24,25,969,,,
2011-07-01,26,899,,,
2011-07-08,27,901,,,
2011-07-15,28,857,,,
2011-07-22,29,932,,,
2011-07-29,30,932,,,
2011-08-05,31,931,,,
2011-08-12,32,900,,,
2011-08-19,33,930,,,
2011-08-26,34,915,,,
2011-09-02,35,825,,,
2011-09-09,36,950,,,
2011-09-16,37,877,,,
2011-09-23,38,942,,,
2011-09-30,39,902,,,
2011-10-07,40,923,,,
2011-10-14,41,909,,,
2011-10-21,42,935,,,
2011-10-28,43,916,,,
2011-11-04,44,1027,,,
2011-11-11,45,962,,,
2011-11-18,46,987,,,
2011-11-25,47,1013,,,
2011-12-02,48,925,,,
2011-12-09,49,991,,,
2011-12-16,50,1116,,,
2011-12-23,51,1179,,,
2011-12-30,52,870,,,
2012-01-06,1,1139,,,
2012-01-13,2,1177,,,
2012-01-20,3,1088,,,
2012-01-27,4,1095,,,
2012-02-03,5,1083,,,
2012-02-10,6,1116,,,
2012-02-17,7,1117,,,
2012-02-24,8,1148,,,
2012-03-02,9,1171,,,
2012-03-09,10,1089,,,
2012-03-16,11,1043,,,
2012-03-23,12,1052,,,
2012-03-30,13,1029,,,
2012-04-06,14,857,,,
2012-04-13,15,1030,,,
2012-04-20,16,1183,,,
2012-04-27,17,1092,,,
2012-05-04,18,1051,,,
2012-05-11,19,909,,,
2012-05-18,20,1094,,,
2012-05-25,21,1019,,,
2012-06-01,22,1051,,,
2012-06-08,23,733,,,
2012-06-15,24,1090,,,
2012-06-22,25,950,,,
2012-06-29,26,955,,,
2012-07-06,27,933,,,
2012-07-13,28,973,,,
2012-07-20,29,943,,,
2012-07-27,30,946,,,
2012-08-03,31,971,,,
2012-08-10,32,968,,,
2012-08-17,33,962,,,
2012-08-24,34,936,,,
2012-08-31,35,793,,,
2012-09-07,36,974,,,
2012-09-14,37,902,,,
2012-09-21,38,997,,,
2012-09-28,39,942,,,
2012-10-05,40,997,,,
2012-10-12,41,1022,,,
2012-10-19,42,1003,,,
2012-10-26,43,1001,,,
2012-11-02,44,998,,,
2012-11-09,45,998,,,
2012-11-16,46,1015,,,
2012-11-23,47,1074,,,
2012-11-30,48,1031,,,
2012-12-07,49,983,,,
2012-12-14,50,1048,,,
2012-12-21,51,1017,,,
2012-12-28,52,821,,,
2013-01-04,1,1174,,,
2013-01-11,2,1346,,,
2013-01-18,3,1149,,,
2013-01-25,4,1191,,,
2013-02-01,5,1211,,,
2013-02-08,6,1182,,,
2013-02-15,7,1146,,,
2013-02-22,8,1159,,,
2013-03-01,9,1155,,,
2013-03-08,10,1198,,,
2013-03-15,11,1286,,,
2013-03-22,12,1195,,,
2013-03-29,13,1022,,,
2013-04-05,14,1169,,,
2013-04-12,15,1320,,,
2013-04-19,16,1322,,,
2013-04-26,17,1159,,,
2013-05-03,18,1094,,,
2013-05-10,19,942,,,
2013-05-17,20,1068,,,
2013-05-24,21,1020,,,
2013-05-31,22,856,,,
2013-06-07,23,961,,,
2013-06-14,24,975,,,
2013-06-21,25,947,,,
2013-06-28,26,906,,,
2013-07-05,27,926,,,
2013-07-12,28,914,,,
2013-07-19,29,958,,,
2013-07-26,30,922,,,
2013-08-02,31,853,,,
2013-08-09,32,911,,,
2013-08-16,33,904,,,
2013-08-23,34,909,,,
2013-08-30,35,808,,,
2013-09-06,36,1003,,,
2013-09-13,37,888,,,
2013-09-20,38,953,,,
2013-09-27,39,960,,,
2013-10-04,40,972,,,
2013-10-11,41,971,,,
2013-10-18,42,987,,,
2013-10-25,43,1007,,,
2013-11-01,44,977,,,
2013-11-08,45,1052,,,
2013-11-15,46,1044,,,
2013-11-22,47,1020,,,
2013-11-29,48,1054,,,
2013-12-06,49,1102,,,
2013-12-13,50,1126,,,
2013-12-20,51,1101,,,
2013-12-27,52,692,,,
2014-01-03,1,1208,,,
2014-01-10,2,1187,,,
2014-01-17,3,1235,,,
2014-01-24,4,1118,,,
2014-01-31,5,1053,,,
2014-02-07,6,1055,,,
2014-02-14,7,1095,,,
2014-02-21,8,1128,,,
2014-02-28,9,1071,,,
2014-03-07,10,1026,,,
2014-03-14,11,1086,,,
2014-03-21,12,1000,,,
2014-03-28,13,978,,,
2014-04-04,14,1018,,,
2014-04-11,15,1039,,,
2014-04-18,16,855,,,
2014-04-25,17,945,,,
2014-05-02,18,1159,,,
2014-05-09,19,944,,,
2014-05-16,20,988,,,
2014-05-23,21,1066,,,
2014-05-30,22,807,,,
2014-06-06,23,979,,,
2014-06-13,24,1045,,,
2014-06-20,25,957,,,
2014-06-27,26,946,,,
2014-07-04,27,886,,,
2014-07-11,28,912,,,
2014-07-18,29,930,,,
2014-07-25,30,961,,,
2014-08-01,31,930,,,
2014-08-08,32,923,,,
2014-08-15,33,956,,,
2014-08-22,34,911,,,
2014-08-29,35,848,,,
2014-09-05,36,1012,,,
2014-09-12,37,1004,,,
2014-09-19,38,1005,,,
2014-09-26,39,936,,,
2014-10-03,40,967,,,
2014-10-10,41,958,,,
2014-10-17,42,1039,,,
2014-10-24,43,1010,,,
2014-10-31,44,1030,,,
2014-11-07,45,1020,,,
2014-11-14,46,1024,,,
2014-11-21,47,999,,,
2014-11-28,48,988,,,
2014-12-05,49,1080,,,
2014-12-12,50,1076,,,
2014-12-19,51,1266,,,
2014-12-26,52,812,,,
2015-01-02,1,1272,,,
2015-01-09,2,1697,,,
2015-01-16,3,1498,,,
2015-01-23,4,1510,,,
2015-01-30,5,1398,,,
2015-02-06,6,1297,,,
2015-02-13,7,1283,,,
2015-02-20,8,1257,,,
2015-02-27,9,1290,,,
2015-03-06,10,1290,,,
2015-03-13,11,1219,,,
2015-03-20,12,1192,,,
2015-03-27,13,1164,,,
2015-04-03,14,920,,,
2015-04-10,15,1005,,,
2015-04-17,16,1212,,,
2015-04-24,17,1129,,,
2015-05-01,18,1110,,,
2015-05-08,19,901,,,
2015-05-15,20,1100,,,
2015-05-22,21,1122,,,
2015-05-29,22,816,,,
2015-06-05,23,1094,,,
2015-06-12,24,1022,,,
2015-06-19,25,983,,,
2015-06-26,26,916,,,
2015-07-03,27,1017,,,
2015-07-10,28,949,,,
2015-07-17,29,933,,,
2015-07-24,30,905,,,
2015-07-31,31,1000,,,
2015-08-07,32,895,,,
2015-08-14,33,974,,,
2015-08-21,34,1000,,,
2015-08-28,35,967,,,
2015-09-04,36,825,,,
2015-09-11,37,1065,,,
2015-09-18,38,1020,,,
2015-09-25,39,975,,,
2015-10-02,40,1086,,,
2015-10-09,41,1076,,,
2015-10-16,42,1039,,,
2015-10-23,43,1079,,,
2015-10-30,44,1003,,,
2015-11-06,45,1002,,,
2015-11-13,46,1081,,,
2015-11-20,47,1019,,,
2015-11-27,48,1037,,,
2015-12-04,49,1127,,,
2015-12-11,50,1102,,,
2015-12-18,51,1089,,,
2015-12-25,52,877,,,
2016-01-01,53,757,,,
2016-01-08,1,1424,,,
2016-01-15,2,1263,,,
2016-01-22,3,1219,,,
2016-01-29,4,1207,,,
2016-02-05,5,1169,,,
2016-02-12,6,1222,,,
2016-02-19,7,1171,,,
2016-02-26,8,1215,,,
2016-03-04,9,1218,,,
2016-03-11,10,1148,,,
2016-03-18,11,1292,,,
2016-03-25,12,1122,,,
2016-04-01,13,1104,,,
2016-04-08,14,1319,,,
2016-04-15,15,1282,,,
2016-04-22,16,1250,,,
2016-04-29,17,1128,,,
2016-05-06,18,994,,,
2016-05-13,19,1143,,,
2016-05-20,20,1092,,,
2016-05-27,21,1082,,,
2016-06-03,22,817,,,
2016-06-10,23,1004,,,
2016-06-17,24,993,,,
2016-06-24,25,1039,,,
2016-07-01,26,964,,,
2016-07-08,27,1031,,,
2016-07-15,28,1052,,,
2016-07-22,29,1023,,,
2016-07-29,30,1027,,,
2016-08-05,31,1052,,,
2016-08-12,32,974,,,
2016-08-19,33,983,,,
2016-08-26,34,1000,,,
2016-09-02,35,797,,,
2016-09-09,36,1033,,,
2016-09-16,37,988,,,
2016-09-23,38,941,,,
2016-09-30,39,987,,,
2016-10-07,40,1024,,,
2016-10-14,41,1056,,,
2016-10-21,42,1078,,,
