week_ended,week_number,total_registrations,total_occurrences,covid_registrations,covid_occurrences
2010-01-08,1,1412,1249,0,0
2010-01-15,2,1263,1164,0,0
2010-01-22,3,1174,1182,0,0
2010-01-29,4,1143,1150,0,0
2010-02-05,5,1156,1114,0,0
2010-02-12,6,1032,1038,0,0
2010-02-19,7,1099,1122,0,0
2010-02-26,8,1149,1074,0,0
2010-03-05,9,1064,1063,0,0
2010-03-12,10,1074,1055,0,0
2010-03-19,11,1005,969,0,0
2010-03-26,12,1039,1001,0,0
2010-04-02,13,814,986,0,0
2010-04-09,14,1002,985,0,0
2010-04-16,15,1068,1014,0,0
2010-04-23,16,1048,985,0,0
2010-04-30,17,1021,983,0,0
2010-05-07,18,899,952,0,0
2010-05-14,19,937,936,0,0
2010-05-21,20,964,979,0,0
2010-05-28,21,1033,929,0,0
2010-06-04,22,845,951,0,0
2010-06-11,23,962,880,0,0
2010-06-18,24,908,881,0,0
2010-06-25,25,897,889,0,0
2010-07-02,26,920,954,0,0
2010-07-09,27,886,862,0,0
2010-07-16,28,851,844,0,0
2010-07-23,29,901,939,0,0
2010-07-30,30,882,853,0,0
2010-08-06,31,883,888,0,0
2010-08-13,32,847,832,0,0
2010-08-20,33,840,878,0,0
2010-08-27,34,898,841,0,0
2010-09-03,35,784,888,0,0
2010-09-10,36,897,828,0,0
2010-09-17,37,891,894,0,0
2010-09-24,38,949,959,0,0
2010-10-01,39,898,941,0,0
2010-10-08,40,967,1003,0,0
2010-10-15,41,993,994,0,0
2010-10-22,42,990,989,0,0
2010-10-29,43,1012,1000,0,0
2010-11-05,44,1043,1032,0,0
2010-11-12,45,1031,1014,0,0
2010-11-19,46,942,908,0,0
2010-11-26,47,985,1025,0,0
2010-12-03,48,994,1122,0,0
2010-12-10,49,1140,1095,0,0
2010-12-17,50,1114,1160,0,0
2010-12-24,51,1233,1197,0,0
2010-12-31,52,950,1234,0,0
2011-01-07,1,1323,1265,0,0
2011-01-14,2,1282,1218,0,0
2011-01-21,3,1146,1101,0,0
2011-01-28,4,1085,1006,0,0
2011-02-04,5,1120,1107,0,0
2011-02-11,6,1032,989,0,0
2011-02-18,7,986,955,0,0
2011-02-25,8,947,991,0,0
2011-03-04,9,991,943,0,0
2011-03-11,10,971,1045,0,0
2011-03-18,11,1075,1073,0,0
2011-03-25,12,1034,1015,0,0
2011-04-01,13,967,1026,0,0
2011-04-08,14,1073,966,0,0
2011-04-15,15,963,964,0,0
2011-04-22,16,863,980,0,0
2011-04-29,17,828,877,0,0
2011-05-06,18,997,980,0,0
2011-05-13,19,1108,919,0,0
2011-05-20,20,929,928,0,0
2011-05-27,21,959,909,0,0
2011-06-03,22,804,943,0,0
2011-06-10,23,1015,913,0,0
2011-06-17,24,941,903,0,0
2011-06-24,25,888,873,0,0
2011-07-01,26,937,944,0,0
2011-07-08,27,883,877,0,0
2011-07-15,28,924,865,0,0
2011-07-22,29,871,919,0,0
2011-07-29,30,894,916,0,0
2011-08-05,31,907,910,0,0
2011-08-12,32,888,904,0,0
2011-08-19,33,920,852,0,0
2011-08-26,34,849,842,0,0
2011-09-02,35,776,881,0,0
2011-09-09,36,896,891,0,0
2011-09-16,37,927,899,0,0
2011-09-23,38,899,929,0,0
2011-09-30,39,959,901,0,0
2011-10-07,40,923,912,0,0
2011-10-14,41,914,889,0,0
2011-10-21,42,857,911,0,0
2011-10-28,43,961,991,0,0
2011-11-04,44,1017,962,0,0
2011-11-11,45,927,924,0,0
2011-11-18,46,984,946,0,0
2011-11-25,47,938,978,0,0
2011-12-02,48,990,1039,0,0
2011-12-09,49,1015,1027,0,0
2011-12-16,50,1080,1121,0,0
2011-12-23,51,1213,1187,0,0
2011-12-30,52,881,1121,0,0
2012-01-06,1,1127,1111,0,0
2012-01-13,2,1189,1074,0,0
2012-01-20,3,1050,1079,0,0
2012-01-27,4,1047,1077,0,0
2012-02-03,5,1105,1023,0,0
2012-02-10,6,1088,1141,0,0
2012-02-17,7,1102,1215,0,0
2012-02-24,8,1204,1148,0,0
2012-03-02,9,1182,1198,0,0
2012-03-09,10,1155,1104,0,0
2012-03-16,11,1065,1075,0,0
2012-03-23,12,1094,1109,0,0
2012-03-30,13,1036,1050,0,0
2012-04-06,14,880,1002,0,0
2012-04-13,15,1097,1081,0,0
2012-04-20,16,1153,1010,0,0
2012-04-27,17,1108,1127,0,0
2012-05-04,18,1066,1008,0,0
2012-05-11,19,950,982,0,0
2012-05-18,20,1027,963,0,0
2012-05-25,21,1007,1014,0,0
2012-06-01,22,1026,931,0,0
2012-06-08,23,660,915,0,0
2012-06-15,24,1082,911,0,0
2012-06-22,25,942,910,0,0
2012-06-29,26,931,993,0,0
2012-07-06,27,975,925,0,0
2012-07-13,28,944,867,0,0
2012-07-20,29,815,865,0,0
2012-07-27,30,930,1001,0,0
2012-08-03,31,964,909,0,0
2012-08-10,32,889,920,0,0
2012-08-17,33,962,926,0,0
2012-08-24,34,1001,964,0,0
2012-08-31,35,790,857,0,0
2012-09-07,36,933,922,0,0
2012-09-14,37,858,895,0,0
2012-09-21,38,893,862,0,0
2012-09-28,39,918,984,0,0
2012-10-05,40,920,974,0,0
2012-10-12,41,987,986,0,0
2012-10-19,42,1018,983,0,0
2012-10-26,43,970,961,0,0
2012-11-02,44,973,1009,0,0
2012-11-09,45,973,960,0,0
2012-11-16,46,1007,977,0,0
2012-11-23,47,1011,992,0,0
2012-11-30,48,1059,998,0,0
2012-12-07,49,971,1046,0,0
2012-12-14,50,1003,1097,0,0
2012-12-21,51,1062,1191,0,0
2012-12-28,52,809,1136,0,0
2013-01-04,1,1198,1234,0,0
2013-01-11,2,1299,1156,0,0
2013-01-18,3,1232,1233,0,0
2013-01-25,4,1193,1189,0,0
2013-02-01,5,1215,1180,0,0
2013-02-08,6,1144,1106,0,0
2013-02-15,7,1138,1156,0,0
2013-02-22,8,1116,1174,0,0
2013-03-01,9,1171,1241,0,0
2013-03-08,10,1210,1222,0,0
2013-03-15,11,1148,1123,0,0
2013-03-22,12,1168,1155,0,0
2013-03-29,13,908,1155,0,0
2013-04-05,14,1084,1193,0,0
2013-04-12,15,1233,1222,0,0
2013-04-19,16,1274,1089,0,0
2013-04-26,17,1134,1005,0,0
2013-05-03,18,1070,1003,0,0
2013-05-10,19,954,1024,0,0
2013-05-17,20,1040,977,0,0
2013-05-24,21,978,950,0,0
2013-05-31,22,875,947,0,0
2013-06-07,23,1004,937,0,0
2013-06-14,24,947,985,0,0
2013-06-21,25,994,964,0,0
2013-06-28,26,1022,979,0,0
2013-07-05,27,912,893,0,0
2013-07-12,28,860,838,0,0
2013-07-19,29,907,953,0,0
2013-07-26,30,864,869,0,0
2013-08-02,31,866,856,0,0
2013-08-09,32,874,826,0,0
2013-08-16,33,830,884,0,0
2013-08-23,34,902,900,0,0
2013-08-30,35,775,844,0,0
2013-09-06,36,922,865,0,0
2013-09-13,37,888,929,0,0
2013-09-20,38,904,934,0,0
2013-09-27,39,985,944,0,0
2013-10-04,40,979,1013,0,0
2013-10-11,41,933,929,0,0
2013-10-18,42,1033,977,0,0
2013-10-25,43,943,1013,0,0
2013-11-01,44,997,976,0,0
2013-11-08,45,1008,981,0,0
2013-11-15,46,1006,942,0,0
2013-11-22,47,1003,1002,0,0
2013-11-29,48,985,1016,0,0
2013-12-06,49,1059,955,0,0
2013-12-13,50,1007,1044,0,0
2013-12-20,51,1067,1055,0,0
2013-12-27,52,711,1154,0,0
2014-01-03,1,1164,1116,0,0
2014-01-10,2,1297,1132,0,0
2014-01-17,3,1183,1040,0,0
2014-01-24,4,1076,1022,0,0
2014-01-31,5,1057,1039,0,0
2014-02-07,6,1121,1097,0,0
2014-02-14,7,1081,1093,0,0
2014-02-21,8,1118,1092,0,0
2014-02-28,9,1115,1026,0,0
2014-03-07,10,1042,1025,0,0
2014-03-14,11,1005,990,0,0
2014-03-21,12,997,1046,0,0
2014-03-28,13,1040,1026,0,0
2014-04-04,14,1100,1069,0,0
2014-04-11,15,985,1021,0,0
2014-04-18,16,876,990,0,0
2014-04-25,17,950,904,0,0
2014-05-02,18,1095,984,0,0
2014-05-09,19,951,1018,0,0
2014-05-16,20,1051,934,0,0
2014-05-23,21,912,937,0,0
2014-05-30,22,775,920,0,0
2014-06-06,23,1064,933,0,0
2014-06-13,24,961,967,0,0
2014-06-20,25,1010,930,0,0
2014-06-27,26,955,953,0,0
2014-07-04,27,898,960,0,0
2014-07-11,28,1013,957,0,0
2014-07-18,29,933,1003,0,0
2014-07-25,30,1006,974,0,0
2014-08-01,31,970,915,0,0
2014-08-08,32,917,900,0,0
2014-08-15,33,943,907,0,0
2014-08-22,34,920,912,0,0
2014-08-29,35,809,1000,0,0
2014-09-05,36,1054,921,0,0
2014-09-12,37,999,895,0,0
2014-09-19,38,968,973,0,0
2014-09-26,39,983,956,0,0
2014-10-03,40,989,991,0,0
2014-10-10,41,983,992,0,0
2014-10-17,42,1023,1032,0,0
2014-10-24,43,1024,1032,0,0
2014-10-31,44,950,1035,0,0
2014-11-07,45,1118,1033,0,0
2014-11-14,46,1095,1061,0,0
2014-11-21,47,992,1065,0,0
2014-11-28,48,1056,1078,0,0
2014-12-05,49,1128,1090,0,0
2014-12-12,50,1080,1155,0,0
2014-12-19,51,1215,1287,0,0
2014-12-26,52,804,1268,0,0
2015-01-02,1,1221,1484,0,0
2015-01-09,2,1712,1552,0,0
2015-01-16,3,1657,1496,0,0
2015-01-23,4,1565,1383,0,0
2015-01-30,5,1450,1380,0,0
2015-02-06,6,1360,1340,0,0
2015-02-13,7,1284,1331,0,0
2015-02-20,8,1276,1304,0,0
2015-02-27,9,1286,1211,0,0
2015-03-06,10,1232,1175,0,0
2015-03-13,11,1172,1152,0,0
2015-03-20,12,1158,1095,0,0
2015-03-27,13,1098,1122,0,0
2015-04-03,14,971,1135,0,0
2015-04-10,15,1062,1055,0,0
2015-04-17,16,1289,1060,0,0
2015-04-24,17,1050,1057,0,0
2015-05-01,18,1112,1013,0,0
2015-05-08,19,910,1032,0,0
2015-05-15,20,1099,1003,0,0
2015-05-22,21,989,996,0,0
2015-05-29,22,838,1000,0,0
2015-06-05,23,1150,1002,0,0
2015-06-12,24,997,1015,0,0
2015-06-19,25,1020,973,0,0
2015-06-26,26,998,1017,0,0
2015-07-03,27,977,978,0,0
2015-07-10,28,939,958,0,0
2015-07-17,29,952,919,0,0
2015-07-24,30,934,901,0,0
2015-07-31,31,941,940,0,0
2015-08-07,32,908,970,0,0
2015-08-14,33,1014,1012,0,0
2015-08-21,34,943,954,0,0
2015-08-28,35,981,942,0,0
2015-09-04,36,856,907,0,0
2015-09-11,37,922,930,0,0
2015-09-18,38,942,1015,0,0
2015-09-25,39,981,968,0,0
2015-10-02,40,984,1082,0,0
2015-10-09,41,1105,1087,0,0
2015-10-16,42,1030,1028,0,0
2015-10-23,43,1022,1074,0,0
2015-10-30,44,1030,1042,0,0
2015-11-06,45,1011,1020,0,0
2015-11-13,46,1018,991,0,0
2015-11-20,47,1043,990,0,0
2015-11-27,48,1066,1099,0,0
2015-12-04,49,1065,1049,0,0
2015-12-11,50,1018,1081,0,0
2015-12-18,51,1086,1046,0,0
2015-12-25,52,916,1080,0,0
2016-01-01,53,653,1085,0,0
2016-01-08,1,1401,1164,0,0
2016-01-15,2,1237,1223,0,0
2016-01-22,3,1253,1262,0,0
2016-01-29,4,1236,1150,0,0
2016-02-05,5,1160,1157,0,0
2016-02-12,6,1155,1172,0,0
2016-02-19,7,1057,1180,0,0
2016-02-26,8,1180,1185,0,0
2016-03-04,9,1240,1244,0,0
2016-03-11,10,1190,1205,0,0
2016-03-18,11,1143,1193,0,0
2016-03-25,12,923,1135,0,0
2016-04-01,13,1079,1125,0,0
2016-04-08,14,1190,1135,0,0
2016-04-15,15,1217,1146,0,0
2016-04-22,16,1189,1103,0,0
2016-04-29,17,1147,1089,0,0
2016-05-06,18,954,1105,0,0
2016-05-13,19,1190,1112,0,0
2016-05-20,20,1147,1016,0,0
2016-05-27,21,1103,981,0,0
2016-06-03,22,790,1015,0,0
2016-06-10,23,1119,1010,0,0
2016-06-17,24,1037,1020,0,0
2016-06-24,25,966,945,0,0
2016-07-01,26,971,916,0,0
2016-07-08,27,950,1001,0,0
2016-07-15,28,1054,960,0,0
2016-07-22,29,988,1042,0,0
2016-07-29,30,1013,967,0,0
2016-08-05,31,1004,969,0,0
2016-08-12,32,1031,1049,0,0
2016-08-19,33,1005,970,0,0
2016-08-26,34,991,955,0,0
2016-09-02,35,877,987,0,0
2016-09-09,36,981,933,0,0
2016-09-16,37,998,985,0,0
2016-09-23,38,979,880,0,0
2016-09-30,39,879,941,0,0
2016-10-07,40,945,983,0,0
2016-10-14,41,1069,1043,0,0
2016-10-21,42,1020,1084,0,0
2016-10-28,43,1034,1080,0,0
2016-11-04,44,1048,1110,0,0
2016-11-11,45,1127,1136,0,0
2016-11-18,46,1184,1158,0,0
2016-11-25,47,1131,1097,0,0
2016-12-02,48,1176,1124,0,0
2016-12-09,49,1212,1200,0,0
2016-12-16,50,1107,1242,0,0
2016-12-23,51,1207,1181,0,0
2016-12-30,52,774,1317,0,0
2017-01-06,1,1187,1462,0,0
2017-01-13,2,1450,1442,0,0
2017-01-20,3,1484,1387,0,0
2017-01-27,4,1488,1414,0,0
2017-02-03,5,1384,1407,0,0
2017-02-10,6,1411,1291,0,0
2017-02-17,7,1253,1339,0,0
2017-02-24,8,1327,1271,0,0
2017-03-03,9,1328,1179,0,0
2017-03-10,10,1230,1166,0,0
2017-03-17,11,1150,1054,0,0
2017-03-24,12,1134,1084,0,0
2017-03-31,13,1109,1086,0,0
2017-04-07,14,1056,1051,0,0
2017-04-14,15,918,1018,0,0
2017-04-21,16,996,989,0,0
2017-04-28,17,1137,1032,0,0
2017-05-05,18,956,1050,0,0
2017-05-12,19,1153,1062,0,0
2017-05-19,20,1124,1088,0,0
2017-05-26,21,1118,1054,0,0
2017-06-02,22,813,933,0,0
2017-06-09,23,1016,943,0,0
2017-06-16,24,990,929,0,0
2017-06-23,25,991,1086,0,0
2017-06-30,26,1028,956,0,0
2017-07-07,27,1010,990,0,0
2017-07-14,28,1005,935,0,0
2017-07-21,29,970,955,0,0
2017-07-28,30,949,950,0,0
2017-08-04,31,955,986,0,0
2017-08-11,32,1005,996,0,0
2017-08-18,33,1018,1046,0,0
2017-08-25,34,1002,927,0,0
2017-09-01,35,853,990,0,0
2017-09-08,36,1066,978,0,0
2017-09-15,37,990,976,0,0
2017-09-22,38,1096,1079,0,0
2017-09-29,39,1071,1055,0,0
2017-10-06,40,1057,1069,0,0
2017-10-13,41,1085,1041,0,0
2017-10-20,42,1056,1064,0,0
2017-10-27,43,1037,1099,0,0
2017-11-03,44,1129,1074,0,0
2017-11-10,45,1132,1105,0,0
2017-11-17,46,1091,1130,0,0
2017-11-24,47,1148,1155,0,0
2017-12-01,48,1168,1159,0,0
2017-12-08,49,1139,1200,0,0
2017-12-15,50,1226,1328,0,0
2017-12-22,51,1322,1376,0,0
2017-12-29,52,878,1434,0,0
2018-01-05,1,1404,1581,0,0
2018-01-12,2,1677,1487,0,0
2018-01-19,3,1562,1524,0,0
2018-01-26,4,1553,1382,0,0
2018-02-02,5,1468,1337,0,0
2018-02-09,6,1359,1303,0,0
2018-02-16,7,1307,1319,0,0
2018-02-23,8,1300,1327,0,0
2018-03-02,9,1088,1327,0,0
2018-03-09,10,1390,1497,0,0
2018-03-16,11,1358,1315,0,0
2018-03-23,12,1251,1214,0,0
2018-03-30,13,1074,1254,0,0
2018-04-06,14,1196,1232,0,0
2018-04-13,15,1425,1064,0,0
2018-04-20,16,1248,1160,0,0
2018-04-27,17,1209,965,0,0
2018-05-04,18,1117,1048,0,0
2018-05-11,19,937,1066,0,0
2018-05-18,20,1125,1000,0,0
2018-05-25,21,1053,1007,0,0
2018-06-01,22,839,1037,0,0
2018-06-08,23,1157,929,0,0
2018-06-15,24,991,984,0,0
2018-06-22,25,985,968,0,0
2018-06-29,26,1011,956,0,0
2018-07-06,27,940,934,0,0
2018-07-13,28,993,969,0,0
2018-07-20,29,953,970,0,0
2018-07-27,30,1008,1070,0,0
2018-08-03,31,1010,993,0,0
2018-08-10,32,1028,970,0,0
2018-08-17,33,991,940,0,0
2018-08-24,34,993,990,0,0
2018-08-31,35,877,946,0,0
2018-09-07,36,996,936,0,0
2018-09-14,37,999,1041,0,0
2018-09-21,38,990,991,0,0
2018-09-28,39,957,988,0,0
2018-10-05,40,990,1051,0,0
2018-10-12,41,1071,996,0,0
2018-10-19,42,1045,971,0,0
2018-10-26,43,993,991,0,0
2018-11-02,44,1042,1048,0,0
2018-11-09,45,1094,1073,0,0
2018-11-16,46,1128,1107,0,0
2018-11-23,47,1071,1040,0,0
2018-11-30,48,1077,1054,0,0
2018-12-07,49,1106,1100,0,0
2018-12-14,50,1130,1054,0,0
2018-12-21,51,1124,1125,0,0
2018-12-28,52,695,1174,0,0
2019-01-04,1,1136,0,0,0
2019-01-11,2,1386,0,0,0
2019-01-18,3,1344,0,0,0
2019-01-25,4,1291,0,0,0
2019-02-01,5,1202,0,0,0
2019-02-08,6,1283,0,0,0
2019-02-15,7,1342,0,0,0
2019-02-22,8,1218,0,0,0
2019-03-01,9,1214,0,0,0
2019-03-08,10,1116,0,0,0
2019-03-15,11,1198,0,0,0
2019-03-22,12,1066,0,0,0
2019-03-29,13,1136,0,0,0
2019-04-05,14,1224,0,0,0
2019-04-12,15,1188,0,0,0
2019-04-19,16,1014,0,0,0
2019-04-26,17,1084,0,0,0
2019-05-03,18,1139,0,0,0
2019-05-10,19,943,0,0,0
2019-05-17,20,1112,0,0,0
2019-05-24,21,1097,0,0,0
2019-05-31,22,842,0,0,0
2019-06-07,23,982,0,0,0
2019-06-14,24,1012,0,0,0
2019-06-21,25,1011,0,0,0
2019-06-28,26,1028,0,0,0
2019-07-05,27,981,0,0,0
2019-07-12,28,995,0,0,0
2019-07-19,29,994,0,0,0
2019-07-26,30,1024,0,0,0
2019-08-02,31,988,0,0,0
2019-08-09,32,1026,0,0,0
2019-08-16,33,933,0,0,0
2019-08-23,34,964,0,0,0
2019-08-30,35,838,0,0,0
2019-09-06,36,1115,0,0,0
2019-09-13,37,1088,0,0,0
2019-09-20,38,1049,0,0,0
2019-09-27,39,1014,0,0,0
2019-10-04,40,1059,0,0,0
2019-10-11,41,1073,0,0,0
2019-10-18,42,1083,0,0,0
2019-10-25,43,1063,0,0,0
2019-11-01,44,1100,0,0,0
2019-11-08,45,1181,0,0,0
2019-11-15,46,1090,0,0,0
2019-11-22,47,1166,0,0,0
2019-11-29,48,1116,0,0,0
2019-12-06,49,1184,0,0,0
2019-12-13,50,1176,0,0,0
2019-12-20,51,1238,0,0,0
2019-12-27,52,716,0,0,0
2020-01-03,1,1162,0,0,0
2020-01-10,2,1573,0,0,0
2020-01-17,3,1457,0,0,0
2020-01-24,4,1410,0,0,0
2020-01-31,5,1286,0,0,0
2020-02-07,6,1259,0,0,1
2020-02-14,7,1172,0,0,0
2020-02-21,8,1167,0,0,0
2020-02-28,9,1115,0,0,1
2020-03-06,10,1149,0,0,2
2020-03-13,11,1211,0,0,5
2020-03-20,12,1043,0,3,14
2020-03-27,13,1182,0,12,149
2020-04-03,14,1717,0,283,483
2020-04-10,15,1984,0,564,752
2020-04-17,16,2466,0,835,840
2020-04-24,17,2299,0,814,678
2020-05-01,18,1982,0,631,550
2020-05-08,19,1321,0,373,377
2020-05-15,20,1543,0,401,301
2020-05-22,21,1397,0,295,255
2020-05-29,22,1095,0,204,205
2020-06-05,23,1131,0,188,139
2020-06-12,24,1048,0,122,82
2020-06-19,25,927,0,77,67
2020-06-26,26,880,0,59,60
2020-07-03,27,922,0,67,58
2020-07-10,28,999,0,48,48
2020-07-17,29,945,0,45,29
2020-07-24,30,951,0,23,11
2020-07-31,31,949,0,14,15
2020-08-07,32,955,0,11,8
2020-08-14,33,1006,0,11,13
2020-08-21,34,1024,0,7,10
2020-08-28,35,951,0,16,8
2020-09-04,36,806,0,6,4
2020-09-11,37,1052,0,8,8
2020-09-18,38,1023,0,8,8
2020-09-25,39,963,0,10,13
2020-10-02,40,1054,0,14,16
2020-10-09,41,1019,0,11,21
2020-10-16,42,1056,0,33,27
2020-10-23,43,1154,0,38,69
2020-10-30,44,1089,0,65,93
2020-11-06,45,1177,0,116,121
2020-11-13,46,1172,0,132,142
2020-11-20,47,1186,0,131,142
2020-11-27,48,1159,0,155,176
2020-12-04,49,1229,0,182,190
2020-12-11,50,1224,0,201,235
2020-12-18,51,1317,0,237,293
2020-12-25,52,1198,0,301,489
2021-01-01,53,997,0,325,621
2021-01-08,1,2082,0,816,814
2021-01-15,2,2240,0,1096,954
