week_ended,week_number,total_registrations,total_occurrences,covid_registrations,covid_occurrences
2020-01-03,1,11443,11650,0,0
2020-01-10,2,13088,11303,0,0
2020-01-17,3,12197,11004,0,0
2020-01-24,4,11105,10221,0,0
2020-01-31,5,10868,10344,0,1
2020-02-07,6,10270,10001,0,1
2020-02-14,7,10196,10158,0,0
2020-02-21,8,10135,10176,0,0
2020-02-28,9,10140,10014,0,1
2020-03-06,10,10224,10317,0,6
2020-03-13,11,10323,10119,5,44
2020-03-20,12,9905,10689,103,391
2020-03-27,13,10413,12882,525,1807
2020-04-03,14,15439,16785,3331,4995
2020-04-10,15,17563,20626,5899,7880
2020-04-17,16,21157,19586,8335,7920
2020-04-24,17,20841,17512,7806,6611
2020-05-01,18,17004,14815,5748,4978
2020-05-08,19,11946,12839,3716,3784
2020-05-15,20,13783,11153,3624,2725
2020-05-22,21,11586,10658,2455,2172
2020-05-29,22,9228,9538,1715,1675
2020-06-05,23,9995,9295,1488,1248
2020-06-12,24,9391,8788,1057,906
2020-06-19,25,8716,8608,744,645
2020-06-26,26,8414,9008,574,566
2020-07-03,27,8542,8141,497,401
2020-07-10,28,8103,8056,344,319
2020-07-17,29,8262,8272,284,230
2020-07-24,30,8317,8458,209,193
2020-07-31,31,8404,8253,183,145
2020-08-07,32,8365,8372,128,113
2020-08-14,33,8767,9476,125,132
2020-08-21,34,9021,8185,126,98
2020-08-28,35,8425,8024,97,91
2020-09-04,36,7232,8413,74,74
2020-09-11,37,9215,8529,97,100
2020-09-18,38,8955,8793,134,163
2020-09-25,39,9005,8821,203,234
2020-10-02,40,9257,9218,296,358
2020-10-09,41,9308,9495,401,484
2020-10-16,42,9833,9540,622,734
2020-10-23,43,10070,10162,913,1186
2020-10-30,44,10166,10415,1258,1587
2020-11-06,45,10962,10746,1771,2063
2020-11-13,46,11495,11240,2274,2451
2020-11-20,47,11675,11263,2471,2732
2020-11-27,48,11645,11347,2820,2884
2020-12-04,49,11450,11452,2623,2732
2020-12-11,50,11460,11859,2530,2695
2020-12-18,51,12113,11763,2729,2977
2020-12-25,52,10680,12180,2631,3533
2021-01-01,53,9325,13465,2831,4476
2021-01-08,1,16527,14835,5597,5731
2021-01-15,2,16845,16790,6767,7660
2021-01-22,3,17567,17596,7956,8583
2021-01-29,4,17455,16399,8063,7571
2021-02-05,5,16259,14353,6990,5882
2021-02-12,6,14572,12569,5464,4380
2021-02-19,7,12995,11972,3891,3305
2021-02-26,8,11844,10465,2772,2236
2021-03-05,9,10882,9283,1994,1543
2021-03-12,10,10277,9228,1428,1057
2021-03-19,11,9673,8696,912,703
2021-03-26,12,9381,8464,687,532
2021-04-02,13,7706,8211,385,349
2021-04-09,14,8512,8126,360,262
2021-04-16,15,9782,8163,346,223
2021-04-23,16,9312,8186,244,176
2021-04-30,17,9094,7870,198,124
2021-05-07,18,7412,8118,124,105
2021-05-14,19,9512,7922,145,81
2021-05-21,20,9244,7247,100,48
