week_ended,week_number,total_registrations,total_occurrences,covid_registrations,covid_occurrences
2020-01-03,1,12230,12416,0,0
2020-01-10,2,14027,12095,0,0
2020-01-17,3,12964,11695,0,0
2020-01-24,4,11828,10868,0,0
2020-01-31,5,11595,11093,0,1
2020-02-07,6,10960,10701,0,1
2020-02-14,7,10924,10846,0,0
2020-02-21,8,10814,10765,0,0
2020-02-28,9,10791,10615,0,1
2020-03-06,10,10876,10957,0,6
2020-03-13,11,10997,10786,5,44
2020-03-20,12,10624,11337,105,405
2020-03-27,13,11132,13658,546,1879
2020-04-03,14,16359,17649,3465,5183
2020-04-10,15,18491,21718,6203,8257
2020-04-17,16,22326,20613,8744,8324
2020-04-24,17,21965,18425,8219,6949
2020-05-01,18,17933,15620,6029,5233
2020-05-08,19,12638,13549,3927,3990
2020-05-15,20,14555,11816,3804,2869
2020-05-22,21,12278,11235,2589,2295
2020-05-29,22,9815,10100,1820,1787
2020-06-05,23,10695,9863,1588,1317
2020-06-12,24,9965,9333,1114,957
2020-06-19,25,9333,9109,783,681
2020-06-26,26,8966,9548,604,592
2020-07-03,27,9126,8620,532,427
2020-07-10,28,8675,8539,366,338
2020-07-17,29,8812,8764,295,236
2020-07-24,30,8882,8910,216,196
2020-07-31,31,8935,8713,193,164
2020-08-07,32,8928,8863,152,135
2020-08-14,33,9384,9957,139,142
2020-08-21,34,9615,8674,137,102
2020-08-28,35,9016,8478,100,92
2020-09-04,36,7720,8842,78,77
2020-09-11,37,9793,8931,98,101
2020-09-18,38,9510,9245,139,169
2020-09-25,39,9622,9345,215,247
2020-10-02,40,9928,9691,321,383
2020-10-09,41,9946,10013,438,535
2020-10-16,42,10521,10057,669,779
2020-10-23,43,10731,10666,978,1278
2020-10-30,44,10878,10997,1379,1707
2020-11-06,45,11794,11313,1937,2235
2020-11-13,46,12237,11838,2464,2646
2020-11-20,47,12523,11809,2694,2919
2020-11-27,48,12442,11892,3038,3089
2020-12-04,49,12286,12068,2830,2944
2020-12-11,50,12274,12414,2753,2890
2020-12-18,51,12995,12453,2985,3278
2020-12-25,52,11505,12792,2909,3826
2021-01-01,53,10052,14137,3141,4816
2021-01-08,1,17725,15510,6051,6063
2021-01-15,2,18015,17505,7234,8065
2021-01-22,3,18644,18194,8403,8899
2021-01-29,4,18429,16916,8424,7822
2021-02-05,5,17162,14787,7304,6048
2021-02-12,6,15332,12943,5680,4482
2021-02-19,7,13782,12266,4070,3368
2021-02-26,8,12603,10649,2910,2266
2021-03-05,9,11571,8895,2097,1408
