week_ended,week_number,total_registrations,total_occurrences,covid_registrations,covid_occurrences
2020-01-03,1,1162,1342,0,0
2020-01-10,2,1574,1322,0,0
2020-01-17,3,1458,1325,0,0
2020-01-24,4,1410,1195,0,0
2020-01-31,5,1287,1168,0,0
2020-02-07,6,1259,1141,0,1
2020-02-14,7,1175,1130,0,0
2020-02-21,8,1167,1148,0,0
2020-02-28,9,1115,1128,0,1
2020-03-06,10,1148,1180,0,2
2020-03-13,11,1211,1198,0,5
2020-03-20,12,1043,1208,3,14
2020-03-27,13,1182,1403,12,150
2020-04-03,14,1717,1892,283,484
2020-04-10,15,1984,2318,564,753
2020-04-17,16,2466,2264,835,841
2020-04-24,17,2299,1944,814,678
2020-05-01,18,1982,1682,631,550
2020-05-08,19,1321,1461,373,376
2020-05-15,20,1543,1267,401,302
2020-05-22,21,1397,1247,295,255
2020-05-29,22,1095,1087,204,206
2020-06-05,23,1131,1042,188,139
2020-06-12,24,1048,940,122,82
2020-06-19,25,927,969,77,66
2020-06-26,26,880,971,59,60
2020-07-03,27,922,956,67,58
2020-07-10,28,999,912,48,48
2020-07-17,29,945,960,45,29
2020-07-24,30,951,952,23,11
2020-07-31,31,949,945,14,15
2020-08-07,32,955,1006,11,8
2020-08-14,33,1006,1093,11,13
2020-08-21,34,1024,942,7,10
2020-08-28,35,951,899,16,8
2020-09-04,36,806,932,6,4
2020-09-11,37,1052,955,8,8
2020-09-18,38,1023,1004,8,8
2020-09-25,39,963,1010,10,13
2020-10-02,40,1054,1029,14,16
2020-10-09,41,1019,1041,11,21
2020-10-16,42,1056,1039,33,28
2020-10-23,43,1154,1171,38,70
2020-10-30,44,1089,1040,65,94
2020-11-06,45,1177,1097,116,123
2020-11-13,46,1172,1136,132,144
2020-11-20,47,1186,1117,131,145
2020-11-27,48,1159,1166,155,177
2020-12-04,49,1229,1203,182,191
2020-12-11,50,1224,1300,201,237
2020-12-18,51,1317,1292,237,301
2020-12-25,52,1198,1495,301,496
2021-01-01,53,997,1720,325,638
2021-01-08,1,2082,1997,816,880
2021-01-15,2,2240,2274,1096,1276
2021-01-22,3,2267,2399,1216,1370
2021-01-29,4,2350,2173,1297,1129
2021-02-05,5,2166,1853,1098,827
2021-02-12,6,1866,1588,808,630
2021-02-19,7,1581,1497,566,446
2021-02-26,8,1403,1211,337,258
2021-03-05,9,1309,1113,277,184
2021-03-12,10,1225,1107,182,142
2021-03-19,11,1029,978,112,73
2021-03-26,12,988,970,68,64
2021-04-02,13,841,1008,43,31
2021-04-09,14,950,1034,40,30
2021-04-16,15,1153,1005,33,32
2021-04-23,16,1054,1009,33,21
2021-04-30,17,1062,954,20,15
2021-05-07,18,841,961,13,14
2021-05-14,19,1031,980,20,10
2021-05-21,20,1013,999,12,9
2021-05-28,21,992,915,11,4
2021-06-04,22,783,1012,5,6
2021-06-11,23,1098,937,9,7
2021-06-18,24,987,942,9,6
2021-06-25,25,909,952,5,6
2021-07-02,26,899,1057,6,6
2021-07-09,27,1092,1005,11,9
2021-07-16,28,1027,905,12,13
2021-07-23,29,968,1031,21,26
2021-07-30,30,1060,962,25,32
2021-08-06,31,1062,998,33,33
2021-08-13,32,1091,1015,45,50
2021-08-20,33,995,985,42,62
2021-08-27,34,1044,1019,51,68
2021-09-03,35,924,998,65,63
2021-09-10,36,1112,1112,70,70
2021-09-17,37,1128,1040,68,74
2021-09-24,38,1157,1072,81,77
2021-10-01,39,1095,1056,62,36
2021-10-08,40,1074,1071,38,44
2021-10-15,41,1167,1089,52,49
2021-10-22,42,1194,1144,51,66
2021-10-29,43,1125,1131,84,110
2021-11-05,44,1252,1215,97,89
2021-11-12,45,1272,1142,97,77
2021-11-19,46,1290,1179,86,79
2021-11-26,47,1203,1208,88,80
2021-12-03,48,1262,1175,63,78
2021-12-10,49,1318,1169,79,67
2021-12-17,50,1315,1051,67,54
2021-12-24,51,1415,635,81,44
