week_ended,week_number,total_registrations,total_occurrences,covid_registrations,covid_occurrences
2020-01-03,1,1806,1731,0,0
2020-01-10,2,1933,1591,0,0
2020-01-17,3,1697,1627,0,0
2020-01-24,4,1529,1430,0,0
2020-01-31,5,1461,1499,0,0
2020-02-07,6,1530,1393,0,0
2020-02-14,7,1427,1464,0,0
2020-02-21,8,1477,1463,0,0
2020-02-28,9,1475,1470,0,0
2020-03-06,10,1490,1466,0,0
2020-03-13,11,1473,1460,1,5
2020-03-20,12,1444,1464,13,38
2020-03-27,13,1538,1742,60,171
2020-04-03,14,2136,2338,418,649
2020-04-10,15,2597,2908,909,1122
2020-04-17,16,3195,3031,1350,1353
2020-04-24,17,3109,2717,1207,1108
2020-05-01,18,2503,2215,910,795
2020-05-08,19,1790,1941,597,667
2020-05-15,20,1992,1594,620,480
2020-05-22,21,1636,1555,394,366
2020-05-29,22,1337,1417,282,304
2020-06-05,23,1478,1441,250,223
2020-06-12,24,1374,1261,196,188
2020-06-19,25,1234,1327,134,137
2020-06-26,26,1300,1309,120,113
2020-07-03,27,1225,1164,100,78
2020-07-10,28,1154,1132,62,62
2020-07-17,29,1159,1185,47,47
2020-07-24,30,1197,1229,39,39
2020-07-31,31,1272,1188,32,30
2020-08-07,32,1211,1251,33,36
2020-08-14,33,1304,1290,33,30
2020-08-21,34,1269,1160,33,30
2020-08-28,35,1148,1139,34,32
2020-09-04,36,1057,1172,13,14
2020-09-11,37,1229,1255,30,37
2020-09-18,38,1287,1226,39,49
2020-09-25,39,1271,1295,60,70
2020-10-02,40,1301,1367,106,133
2020-10-09,41,1367,1412,153,179
2020-10-16,42,1553,1550,229,274
2020-10-23,43,1714,1722,325,402
2020-10-30,44,1754,1819,445,529
2020-11-06,45,1900,1920,568,603
2020-11-13,46,1950,1892,615,638
2020-11-20,47,1935,1824,629,592
2020-11-27,48,1791,1640,546,534
2020-12-04,49,1679,1629,458,455
2020-12-11,50,1691,1693,426,401
2020-12-18,51,1718,1600,379,397
2020-12-25,52,1463,1663,343,425
2021-01-01,53,1346,1726,359,469
2021-01-08,1,2090,1829,608,579
2021-01-15,2,2112,2089,731,806
2021-01-22,3,2202,2230,879,941
2021-01-29,4,2191,2240,910,970
2021-02-05,5,2162,2119,870,837
2021-02-12,6,2002,1882,698,654
2021-02-19,7,1920,1805,563,504
2021-02-26,8,1659,1556,396,334
2021-03-05,9,1564,1401,274,227
2021-03-12,10,1472,1382,203,152
2021-03-19,11,1457,1346,139,120
2021-03-26,12,1365,1244,106,91
2021-04-02,13,1125,1224,64,57
2021-04-09,14,1229,1180,49,37
2021-04-16,15,1351,1203,51,37
2021-04-23,16,1345,1240,29,22
2021-04-30,17,1281,1248,28,20
2021-05-07,18,1089,1209,16,14
2021-05-14,19,1282,1224,15,11
2021-05-21,20,1386,1253,8,11
2021-05-28,21,1431,1269,14,16
2021-06-04,22,1113,1232,28,19
2021-06-11,23,1355,1189,14,14
2021-06-18,24,1263,1161,21,22
2021-06-25,25,1200,1324,33,52
2021-07-02,26,1296,1258,41,52
2021-07-09,27,1326,1282,66,60
2021-07-16,28,1303,1240,71,89
2021-07-23,29,1309,1401,97,107
2021-07-30,30,1350,1264,93,107
2021-08-06,31,1358,1293,99,93
2021-08-13,32,1406,1353,101,104
2021-08-20,33,1424,1264,90,88
2021-08-27,34,1386,1328,101,105
2021-09-03,35,1269,1339,92,99
2021-09-10,36,1605,1472,116,132
2021-09-17,37,1529,1302,143,132
2021-09-24,38,1423,1239,137,107
2021-10-01,39,1416,1321,92,81
2021-10-08,40,1487,1407,90,93
2021-10-15,41,1565,1404,105,112
2021-10-22,42,1578,1401,129,134
2021-10-29,43,1564,1339,142,119
