week_ended,week_number,total_registrations,total_occurrences,covid_registrations,covid_occurrences
2020-01-03,1,1814,1879,0,0
2020-01-10,2,2132,1869,0,0
2020-01-17,3,2063,1771,0,0
2020-01-24,4,1832,1716,0,0
2020-01-31,5,1820,1752,0,1
2020-02-07,6,1728,1663,0,0
2020-02-14,7,1690,1699,0,0
2020-02-21,8,1674,1704,0,0
2020-02-28,9,1587,1592,0,0
2020-03-06,10,1726,1753,0,2
2020-03-13,11,1752,1661,2,3
2020-03-20,12,1657,1755,17,64
2020-03-27,13,1822,2088,71,244
2020-04-03,14,2294,2438,411,588
2020-04-10,15,2604,3153,729,1104
2020-04-17,16,3084,3006,1109,1138
2020-04-24,17,3334,2892,1232,1086
2020-05-01,18,2853,2481,966,803
2020-05-08,19,1887,2008,551,536
2020-05-15,20,2251,1864,598,473
2020-05-22,21,1937,1761,409,339
2020-05-29,22,1515,1528,269,253
2020-06-05,23,1610,1463,219,191
2020-06-12,24,1530,1434,174,128
2020-06-19,25,1411,1422,117,104
2020-06-26,26,1311,1485,85,85
2020-07-03,27,1454,1288,73,69
2020-07-10,28,1228,1320,62,67
2020-07-17,29,1339,1354,69,49
2020-07-24,30,1340,1492,40,44
2020-07-31,31,1447,1347,45,32
2020-08-07,32,1370,1302,24,22
2020-08-14,33,1395,1753,21,30
2020-08-21,34,1608,1358,24,10
2020-08-28,35,1511,1326,11,12
2020-09-04,36,1208,1454,17,15
2020-09-11,37,1610,1388,12,3
2020-09-18,38,1530,1507,11,17
2020-09-25,39,1521,1348,16,13
2020-10-02,40,1577,1410,26,31
2020-10-09,41,1462,1455,21,18
2020-10-16,42,1462,1454,30,34
2020-10-23,43,1510,1463,41,62
2020-10-30,44,1563,1509,73,79
2020-11-06,45,1614,1460,89,138
2020-11-13,46,1616,1595,144,174
2020-11-20,47,1687,1575,176,232
2020-11-27,48,1655,1644,256,288
2020-12-04,49,1720,1749,250,312
2020-12-11,50,1706,1869,294,373
2020-12-18,51,1947,1861,425,490
2020-12-25,52,1701,2150,415,729
2021-01-01,53,1595,2342,523,915
2021-01-08,1,2950,2680,1197,1214
2021-01-15,2,3127,3083,1411,1614
2021-01-22,3,3328,3304,1734,1843
2021-01-29,4,3271,2915,1710,1507
2021-02-05,5,2941,2363,1415,1026
2021-02-12,6,2446,1977,974,691
2021-02-19,7,2047,1844,636,513
2021-02-26,8,1988,1668,481,364
2021-03-05,9,1703,1400,328,243
2021-03-12,10,1632,1452,235,148
2021-03-19,11,1609,1254,139,96
