week_ended,week_number,total_registrations,total_occurrences,covid_registrations,covid_occurrences
2020-01-03,1,1350,1307,0,0
2020-01-10,2,1449,1248,0,0
2020-01-17,3,1407,1296,0,0
2020-01-24,4,1231,1127,0,0
2020-01-31,5,1262,1137,0,0
2020-02-07,6,1051,1114,0,0
2020-02-14,7,1160,1143,0,0
2020-02-21,8,1116,1094,0,0
2020-02-28,9,1174,1127,0,0
2020-03-06,10,1097,1191,0,0
2020-03-13,11,1191,1144,2,10
2020-03-20,12,1115,1198,14,58
2020-03-27,13,1035,1498,70,258
2020-04-03,14,1812,2053,400,724
2020-04-10,15,2182,2359,807,912
2020-04-17,16,2536,2330,999,924
2020-04-24,17,2481,1947,880,744
2020-05-01,18,1975,1683,651,570
2020-05-08,19,1326,1423,443,437
2020-05-15,20,1502,1227,382,309
2020-05-22,21,1319,1162,290,263
2020-05-29,22,970,1092,184,183
2020-06-05,23,1172,1031,158,132
2020-06-12,24,1096,981,104,96
2020-06-19,25,973,992,93,83
2020-06-26,26,946,1031,69,74
2020-07-03,27,949,928,49,47
2020-07-10,28,902,913,48,35
2020-07-17,29,956,916,25,19
2020-07-24,30,964,915,15,16
2020-07-31,31,902,968,17,17
2020-08-07,32,933,921,13,9
2020-08-14,33,923,996,14,11
2020-08-21,34,1028,922,10,8
2020-08-28,35,945,895,5,8
2020-09-04,36,770,915,9,3
2020-09-11,37,1021,996,7,9
2020-09-18,38,1051,990,15,21
2020-09-25,39,1036,1047,33,36
2020-10-02,40,1045,1072,31,37
2020-10-09,41,1053,1120,43,45
2020-10-16,42,1154,1067,49,63
2020-10-23,43,1124,1140,80,108
2020-10-30,44,1102,1118,110,142
2020-11-06,45,1186,1191,181,236
2020-11-13,46,1317,1292,284,292
2020-11-20,47,1385,1332,306,376
2020-11-27,48,1358,1392,361,387
2020-12-04,49,1340,1377,381,400
2020-12-11,50,1432,1342,376,382
2020-12-18,51,1385,1383,373,385
2020-12-25,52,1217,1299,316,366
2021-01-01,53,1024,1426,302,431
2021-01-08,1,1785,1566,550,562
2021-01-15,2,1820,1814,716,830
2021-01-22,3,1925,1903,844,927
2021-01-29,4,1926,1886,870,888
2021-02-05,5,1886,1625,824,716
2021-02-12,6,1670,1491,657,565
2021-02-19,7,1592,1338,530,425
2021-02-26,8,1401,1244,391,316
2021-03-05,9,1250,988,245,195
