Code,Name, ALL AGES,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
K02000001,United Kingdom,59113016,662662,679455,698903,710986,730156,724436,727937,745817,755780,780454,791887,779056,771867,782194,765051,756492,761269,732596,717028,710702,741568,745211,719715,686948,688343,715272,743233,770611,820313,866611,893791,887277,912411,921614,943362,944064,950087,941668,925965,903344,881083,849166,833181,821861,796362,769890,749480,753877,745659,736224,741330,762745,786537,841906,888933,723647,706657,693951,665467,601731,564733,586303,586931,580467,565921,549825,532736,510689,505221,505401,502736,487998,468097,446292,438447,426697,406696,389994,373142,370305,365123,341084,237883,191747,192976,183648,175214,154045,131343,108693,376806
K03000001,Great Britain,57424178,641121,657228,675525,687545,705845,700781,703821,721429,731074,754675,765804,752916,745518,755276,737810,729232,734000,706224,690836,687850,718756,722550,697772,665833,667380,693496,721567,747901,796236,842239,868544,862158,886898,895751,917395,917750,923403,915189,900348,878214,856078,824966,809860,798567,773964,748033,728942,733281,725175,716804,721794,743053,767066,822388,868805,705176,688678,675608,647242,585448,549771,571519,572037,565873,551412,535772,519468,497823,492445,492820,490259,475945,456680,435313,427501,416216,396757,380911,364234,361965,357426,333516,231979,186876,188553,179529,171424,150820,128554,106400,369562
K04000001,England and Wales,52359978,589094,604168,619857,630733,647151,642693,644718,660424,668481,689651,700555,689223,682125,689695,672803,663855,668607,644386,629706,623983,650430,654509,633233,607306,611418,634056,661780,686972,730969,772777,795055,788891,810507,817625,837431,838927,841755,833711,819083,798196,777366,748237,733776,723963,701205,677097,660629,665378,658606,652317,655799,676215,698144,750951,791114,644999,630847,616034,589079,531055,498195,518050,518998,513385,500433,485336,470230,450407,446483,446408,445175,432295,414808,396409,389833,378854,362094,347710,333976,331833,328511,305327,213673,171282,173428,164933,157504,138479,118365,98037,340177
E92000001,England,49449746,557502,572104,586546,596281,611406,607008,608881,623653,630796,650450,660955,650382,642727,650171,633826,625706,629729,607690,593746,588129,612518,616613,599160,576893,581400,603724,630571,654561,696247,735365,756225,750268,770400,777463,796206,796931,798783,790570,776545,756143,736326,708830,694600,685074,663083,640280,624378,627954,621132,615223,617818,636516,657414,707124,745951,607770,593845,579578,553477,498114,467092,487005,488071,482757,470534,456222,441673,423029,419424,419748,418497,406238,389768,372608,365793,354946,339266,326016,313336,311163,308622,287067,200110,160327,162830,155219,148434,130533,111700,92390,320567
E12000001,North East,2540090,25865,27155,27789,28757,29915,30084,30504,31576,32273,33999,34356,33260,33006,34132,33920,34269,33988,32465,32324,33150,34423,34106,31742,27500,26128,27478,28213,28867,30991,33794,35379,34696,35668,36493,37945,38893,39433,39597,39524,39363,37647,37013,36879,37195,36105,34691,33737,34025,33522,33034,33026,33928,34747,37169,39083,31448,30563,29129,27349,25674,25065,26372,27011,27293,26149,25294,24664,24124,23896,23813,24013,22656,21731,20251,20392,19889,18938,17644,16428,16206,15406,14716,10379,8167,7563,7112,6937,5970,4936,4057,14034
E06000047,County Durham,493678,4673,5014,5308,5516,5603,5712,5739,5969,6160,6510,6551,6243,6107,6408,6263,6416,6246,6053,6398,7015,7013,6776,5795,4835,4597,4844,5111,5308,5808,6238,6843,6759,7108,7252,7519,7722,7789,7845,7646,7674,7298,7040,7077,7118,6997,6743,6694,6616,6565,6563,6611,6862,7012,7447,7913,6567,6491,6182,5711,5332,5179,5375,5459,5452,5260,5037,5001,4741,4684,4548,4638,4391,4175,3884,3952,3966,3756,3476,3091,3083,2960,2783,2007,1607,1466,1381,1353,1180,941,829,2798
E06000005,Darlington,97894,1013,1136,1167,1154,1191,1173,1259,1270,1240,1331,1399,1319,1284,1277,1264,1273,1312,1184,1145,963,894,941,1035,1009,968,1041,1101,1125,1213,1318,1391,1411,1414,1427,1455,1530,1565,1505,1527,1506,1491,1453,1460,1481,1314,1331,1257,1293,1324,1322,1300,1312,1393,1485,1547,1237,1264,1118,1006,975,1023,1032,1048,1027,995,949,953,904,879,828,853,843,829,813,835,805,768,685,702,702,634,581,411,375,337,286,315,259,250,198,682
E06000001,Hartlepool,90152,1044,1094,1096,1079,1195,1202,1240,1281,1230,1316,1347,1252,1305,1293,1378,1330,1325,1270,1131,987,1032,1029,981,913,943,931,943,983,1092,1172,1207,1256,1242,1286,1300,1383,1442,1395,1421,1442,1374,1316,1300,1253,1217,1230,1168,1157,1190,1176,1121,1165,1218,1265,1319,1050,1003,925,894,905,846,897,986,952,985,950,890,898,897,877,886,789,728,663,689,676,655,568,546,567,538,490,352,258,228,214,214,191,136,123,429
E06000002,Middlesbrough,141233,1674,1751,1713,1751,1770,1848,1880,1928,1979,1966,2061,2048,2047,2207,2150,2254,2244,2093,2090,2186,2345,2255,2094,1777,1661,1778,1723,1765,1762,1930,1977,1896,1990,2048,2010,2131,2180,2169,2182,2215,2145,2014,1998,2079,2005,1885,1809,1824,1826,1662,1703,1664,1655,1822,1891,1446,1347,1302,1297,1319,1236,1248,1271,1353,1305,1261,1202,1217,1185,1188,1212,1188,1101,1016,1049,1014,956,838,804,762,721,720,489,385,342,326,331,266,232,181,613
E06000048,Northumberland,307363,2867,3059,3206,3277,3383,3384,3538,3564,3714,3974,3978,3944,3882,4024,4008,3994,4096,3908,3608,3020,2936,2925,2962,2733,2704,2806,2976,3062,3208,3581,3898,3763,3973,4208,4282,4359,4608,4776,4700,4738,4592,4688,4769,4720,4507,4478,4442,4550,4435,4454,4526,4575,4727,5220,5430,4390,4237,4151,3913,3529,3358,3493,3425,3510,3451,3286,3257,3074,3107,3068,2967,2795,2722,2547,2645,2555,2504,2362,2035,2032,1999,1876,1342,1037,1042,930,950,830,717,560,1928
E06000003,Redcar and Cleveland,139159,1402,1434,1496,1529,1657,1704,1716,1838,1863,2010,1976,1883,1935,2004,1990,2031,2008,1932,1716,1503,1532,1535,1414,1340,1256,1313,1337,1411,1570,1686,1799,1784,1851,1891,2056,2131,2052,2128,2109,2126,1977,1970,1958,1939,1903,1847,1778,1803,1825,1872,1812,1935,2033,2177,2288,1858,1846,1768,1669,1616,1564,1634,1697,1619,1504,1450,1369,1330,1289,1279,1317,1332,1207,1109,1056,1063,1051,1011,956,915,877,868,612,483,391,399,385,343,263,227,737
E06000004,Stockton-on-Tees,183795,1926,2171,2252,2312,2419,2332,2377,2497,2592,2711,2708,2615,2551,2648,2583,2717,2757,2594,2345,2026,2123,2206,2194,1944,1975,2145,2169,2155,2384,2661,2663,2658,2611,2690,2819,2863,2921,2930,3057,2972,2867,2804,2724,2762,2695,2600,2495,2529,2420,2357,2440,2426,2558,2706,2825,2153,2099,2024,1889,1833,1704,1746,1830,1751,1707,1738,1616,1586,1609,1588,1648,1527,1371,1322,1259,1166,1165,1145,1036,974,976,908,602,445,455,419,386,345,299,224,769
E11000004,Tyne and Wear,1086816,11266,11496,11551,12139,12697,12729,12755,13229,13495,14181,14336,13956,13895,14271,14284,14254,14000,13431,13891,15450,16548,16439,15267,12949,12024,12620,12853,13058,13954,15208,15601,15169,15479,15691,16504,16774,16876,16849,16882,16690,15903,15728,15593,15843,15467,14577,14094,14253,13937,13628,13513,13989,14151,15047,15870,12747,12276,11659,10970,10165,10155,10947,11295,11629,10942,10623,10376,10374,10246,10437,10492,9791,9598,8897,8907,8644,8083,7559,7258,7171,6701,6490,4564,3577,3302,3157,3003,2556,2098,1715,6078
E08000020,Gateshead,191178,2134,2083,2063,2190,2258,2254,2250,2261,2310,2484,2479,2396,2436,2472,2409,2402,2402,2456,2384,2164,2103,2144,2108,1937,1905,2056,2132,2196,2308,2692,2745,2708,2800,2858,2993,3098,3041,3011,3066,3060,2860,2796,2773,2833,2757,2467,2447,2423,2399,2315,2314,2488,2634,2830,2968,2388,2290,2233,2047,1986,1999,2069,2187,2202,2068,2018,1956,1958,1934,1950,1993,1787,1727,1629,1621,1601,1458,1344,1274,1240,1188,1141,796,620,624,555,548,469,351,324,1051
E08000021,Newcastle upon Tyne,266241,2858,2759,2845,2884,3055,2969,3006,3089,3115,3255,3320,3225,3134,3289,3296,3231,3188,3047,3709,5613,6226,6161,5343,4209,3643,3736,3665,3664,3713,3817,3966,3730,3839,3828,3883,3943,4003,3991,3984,3986,3743,3764,3702,3702,3556,3398,3191,3310,3213,3059,3048,3121,3086,3324,3416,2723,2679,2577,2386,2235,2204,2392,2503,2598,2406,2403,2328,2268,2276,2321,2331,2205,2206,2028,2043,2017,1847,1753,1764,1712,1636,1606,1164,915,847,895,798,697,584,441,1603
E08000022,North Tyneside,192003,1982,2003,2048,2150,2197,2279,2232,2282,2343,2474,2527,2453,2476,2493,2425,2417,2390,2272,2123,1901,1992,2062,1960,1860,1916,2022,2145,2179,2349,2630,2725,2687,2680,2767,2903,3051,3069,3117,3105,2966,2854,2852,2741,2890,2789,2702,2677,2730,2711,2691,2509,2626,2669,2831,3029,2465,2371,2172,2027,1818,1814,2022,2015,2060,1942,1894,1890,1854,1859,1931,1868,1811,1775,1753,1728,1609,1571,1462,1389,1388,1283,1246,905,745,685,617,563,481,409,346,1282
E08000023,South Tyneside,152793,1481,1649,1641,1758,1861,1869,1824,1954,2015,2017,2140,2065,2062,2134,2232,2232,2081,1920,1886,1705,1734,1745,1715,1497,1435,1569,1581,1706,1888,1971,1986,1982,2116,2141,2262,2364,2453,2419,2389,2381,2327,2291,2283,2212,2189,2091,2064,2029,1968,1870,1933,2040,1997,2079,2189,1777,1700,1647,1523,1422,1463,1590,1647,1629,1647,1522,1503,1564,1490,1533,1599,1469,1478,1315,1334,1313,1255,1210,1151,1154,1088,1035,702,539,496,437,416,354,297,237,835
E08000024,Sunderland,284601,2811,3002,2954,3157,3326,3358,3443,3643,3712,3951,3870,3817,3787,3883,3922,3972,3939,3736,3789,4067,4493,4327,4141,3446,3125,3237,3330,3313,3696,4098,4179,4062,4044,4097,4463,4318,4310,4311,4338,4297,4119,4025,4094,4206,4176,3919,3715,3761,3646,3693,3709,3714,3765,3983,4268,3394,3236,3030,2987,2704,2675,2874,2943,3140,2879,2786,2699,2730,2687,2702,2701,2519,2412,2172,2181,2104,1952,1790,1680,1677,1506,1462,997,758,650,653,678,555,457,367,1307
E12000002,North West,6772985,74406,76765,79084,80461,84515,83476,84095,87029,89549,94183,95857,93394,92655,94437,92150,92072,92338,87828,84596,82400,84554,84631,79784,73868,72614,75367,78856,81863,87998,95087,98105,98194,100543,101368,104105,104217,106339,105312,104619,103127,100050,96679,94295,93464,90939,87771,85382,86237,86266,85029,85982,88565,92195,99074,103604,82896,80388,79564,76977,70420,67874,69770,69749,69062,67213,65574,63079,60221,59072,59246,58462,57220,54618,52042,51171,49281,46400,44612,42653,43032,42044,38560,26698,21422,21403,20111,19617,17250,14630,11858,41423
E06000008,Blackburn with Darwen,138453,1935,2063,2151,2131,2226,2203,2150,2172,2169,2208,2274,2117,2155,2304,2186,2174,2120,1978,1924,1721,1606,1644,1695,1721,1704,1738,1825,1856,1992,2148,2137,2119,2207,2195,2151,2082,2114,2065,2073,2061,1989,1881,1790,1784,1720,1726,1713,1597,1714,1629,1583,1645,1721,1748,1812,1459,1351,1344,1349,1234,1155,1148,1199,1235,1119,1099,1039,1014,1026,1040,990,956,912,878,878,825,774,743,735,734,795,670,411,324,340,347,307,303,264,203,707
E06000009,Blackpool,142270,1358,1527,1542,1590,1709,1614,1669,1663,1692,1775,1830,1754,1783,1797,1742,1775,1638,1610,1599,1390,1408,1474,1400,1260,1314,1379,1417,1550,1746,1892,1983,2016,2054,2111,2187,2130,2135,2104,2100,2025,1942,1890,1941,1825,1759,1856,1784,1752,1734,1690,1742,1841,1960,2165,2203,1938,1912,1858,1751,1637,1680,1708,1730,1662,1685,1596,1481,1432,1417,1455,1452,1402,1366,1369,1274,1252,1238,1162,1111,1184,1123,1068,749,576,627,569,557,499,389,332,1203
E06000049,Cheshire East,352104,3599,3803,3881,3948,4312,4168,4351,4419,4495,4576,4635,4616,4498,4490,4358,4375,4406,4243,3863,3227,3200,3332,3271,3096,3036,3296,3535,3720,4127,4563,4748,4753,4927,5275,5340,5558,5558,5653,5755,5693,5498,5284,5153,5085,4922,4830,4818,4828,4770,4775,4918,5027,5303,5918,6079,4926,4949,4895,4525,4035,3783,3886,3918,3827,3764,3634,3475,3267,3203,3201,3214,3087,3003,2886,2816,2663,2542,2424,2354,2334,2314,2069,1487,1228,1276,1179,1109,1033,782,662,2447
E06000050,Cheshire West and Chester,322154,3513,3556,3612,3716,3920,3899,3879,4037,4160,4403,4408,4289,4263,4248,4142,4133,4111,3945,3660,3312,3269,3443,3246,3236,3093,3364,3489,3740,3965,4468,4684,4590,4779,4800,4893,5151,5116,5113,5144,5073,4899,4641,4540,4436,4415,4365,4149,4258,4353,4272,4346,4417,4590,5013,5280,4305,4218,4084,3926,3577,3501,3528,3460,3443,3363,3280,3125,2900,2860,2952,2924,2860,2657,2661,2536,2417,2326,2156,2051,2009,2011,1834,1261,1039,1088,983,920,796,695,560,2012
E06000006,Halton,118559,1370,1442,1459,1451,1473,1420,1505,1560,1636,1740,1787,1715,1742,1776,1793,1814,1826,1734,1617,1447,1461,1394,1427,1309,1298,1419,1456,1454,1553,1717,1798,1659,1649,1716,1757,1723,1815,1789,1885,1870,1793,1719,1690,1751,1670,1681,1654,1667,1655,1717,1734,1743,1795,1876,1879,1418,1311,1301,1313,1181,1121,1154,1095,1095,1039,1023,1011,962,941,868,928,914,882,775,792,762,663,652,600,586,618,577,407,283,288,271,253,217,178,124,476
E06000007,Warrington,191202,2134,2296,2386,2349,2456,2408,2446,2511,2498,2674,2764,2589,2575,2625,2554,2498,2517,2406,2282,2016,1957,1985,1956,1858,1997,2022,2141,2294,2553,2756,2860,2980,2978,3094,3286,3437,3328,3335,3366,3248,3076,2937,2886,2783,2609,2594,2584,2541,2499,2437,2491,2556,2638,2856,2966,2434,2349,2314,2228,2068,1978,2051,2026,1946,1817,1759,1687,1547,1539,1454,1494,1465,1355,1271,1300,1203,1127,1128,1113,1036,1013,957,685,521,558,486,481,391,352,258,943
E10000006,Cumbria,487795,4705,4789,5011,5203,5479,5498,5524,5895,5985,6345,6381,6163,6201,6265,6079,6231,6169,5927,5482,4700,4613,4567,4502,4423,4304,4622,4912,5258,5626,6087,6397,6584,6765,6775,7114,7222,7364,7451,7332,7214,7251,7274,7136,7018,6804,6519,6396,6509,6558,6513,6802,7055,7262,7906,8218,6777,6403,6477,6235,5722,5600,5775,5715,5648,5457,5335,5122,4943,4959,4944,4827,4661,4567,4317,4237,4074,3794,3592,3460,3499,3404,3140,2346,1947,1934,1703,1608,1400,1219,958,3611
E07000026,Allerdale,93544,848,920,972,1010,1041,1047,1091,1181,1154,1229,1248,1201,1144,1163,1159,1178,1168,1124,1046,864,893,840,811,819,829,860,891,989,1083,1138,1216,1212,1353,1344,1402,1383,1391,1389,1358,1353,1329,1348,1349,1356,1313,1285,1199,1237,1336,1282,1345,1382,1480,1632,1613,1319,1254,1265,1203,1121,1048,1137,1119,1075,1073,1044,986,930,964,966,946,904,862,828,812,798,717,662,669,668,640,606,431,359,397,301,308,238,215,185,666
E07000027,Barrow-in-Furness,71960,821,788,816,827,873,900,916,1002,1015,1013,1028,987,1004,1012,996,975,949,879,844,731,697,637,638,647,654,742,779,817,868,973,1031,1019,1023,1074,1154,1098,1073,1140,1079,1077,1052,1061,1013,978,931,918,861,943,900,920,927,960,1007,1132,1171,959,919,890,919,821,856,808,830,805,745,700,707,637,662,652,616,603,577,529,574,517,517,453,443,510,467,499,378,308,300,246,249,193,160,124,417
E07000028,Carlisle,100764,1019,989,1040,1039,1139,1124,1148,1207,1248,1345,1376,1306,1244,1271,1175,1253,1300,1293,1174,1072,1127,1127,1071,1026,997,1050,1141,1190,1312,1358,1377,1436,1382,1392,1393,1466,1544,1545,1533,1517,1541,1538,1583,1478,1439,1345,1321,1329,1375,1339,1352,1423,1384,1486,1593,1307,1189,1200,1204,1100,1147,1085,1024,1105,1060,1061,1025,1044,1020,987,982,940,925,860,852,883,767,736,687,745,698,610,458,380,336,358,317,283,239,179,699
E07000029,Copeland,69251,659,706,732,788,793,829,801,837,855,928,928,923,996,959,939,926,940,864,822,716,658,704,677,652,631,708,731,806,799,855,930,981,1004,965,1044,1108,1135,1126,1133,1102,1074,1036,1054,1027,1041,954,948,926,883,884,1018,957,1000,1067,1090,889,892,855,812,806,780,806,799,764,769,709,722,679,643,703,632,625,614,572,550,498,480,469,447,436,415,372,292,241,231,177,169,165,132,92,365
E07000030,Eden,49879,475,499,505,545,562,564,540,547,570,622,618,619,611,586,578,598,611,573,513,419,391,409,446,427,384,405,440,477,582,610,614,673,728,701,710,739,776,760,730,720,784,766,711,763,702,676,693,687,693,722,780,751,802,867,863,735,698,703,674,608,554,599,641,596,589,586,532,542,534,519,512,498,490,458,460,420,369,392,350,324,365,291,207,179,191,169,162,140,123,105,427
E07000031,South Lakeland,102397,883,887,946,994,1071,1034,1028,1121,1143,1208,1183,1127,1202,1274,1232,1301,1201,1194,1083,898,847,850,859,852,809,857,930,979,982,1153,1229,1263,1275,1299,1411,1428,1445,1491,1499,1445,1471,1525,1426,1416,1378,1341,1374,1387,1371,1366,1380,1582,1589,1722,1888,1568,1451,1564,1423,1266,1215,1340,1302,1303,1221,1235,1150,1111,1136,1117,1139,1091,1099,1070,989,958,944,880,864,816,819,762,580,480,479,452,403,381,350,273,1037
E11000001,Greater Manchester,2516096,28972,30066,30786,31287,32465,31821,31916,33036,33946,35586,36140,35306,34783,35353,34426,34412,34183,32199,31494,31885,33886,34463,33251,30943,30217,30808,32476,33751,35850,38353,39056,38600,39446,39616,40690,40056,40696,39796,38999,38267,36534,35054,34215,33802,32836,31345,30438,30852,30956,30433,30495,31764,32956,35626,37050,29324,28609,28267,27594,24999,23676,24712,24481,24225,23301,22563,21687,20596,20351,20257,19777,19486,18403,17466,17576,17116,16225,15715,14915,15234,14938,13793,9339,7468,7206,6868,6923,6123,5096,4129,14020
E08000001,Bolton,261302,3087,3285,3390,3445,3534,3477,3380,3534,3602,3788,3769,3771,3664,3681,3552,3736,3695,3463,3173,2867,3019,3061,2979,2945,2884,3076,3168,3423,3730,3940,3958,3912,3985,3997,4118,4108,4125,4044,3932,3908,3696,3578,3554,3503,3434,3235,3262,3221,3282,3206,3211,3460,3511,3819,4111,3269,3133,3149,3106,2712,2577,2647,2641,2513,2319,2294,2214,2057,2041,2105,2035,2026,1914,1817,1859,1889,1780,1691,1658,1679,1585,1403,919,756,736,697,742,619,530,438,1464
E08000002,Bury,180655,2034,2124,2238,2289,2359,2301,2318,2413,2525,2620,2644,2642,2640,2554,2610,2552,2499,2336,2120,1772,1753,1774,1817,1803,1814,1894,2152,2291,2444,2538,2619,2642,2744,2726,2948,2964,3126,3051,3005,2923,2780,2668,2550,2482,2400,2321,2256,2372,2420,2343,2320,2449,2609,2796,2940,2333,2202,2206,2075,1839,1773,1831,1795,1741,1810,1765,1627,1553,1476,1384,1410,1410,1286,1219,1236,1229,1123,1078,999,1043,1033,927,647,519,501,504,504,454,366,313,1120
E08000003,Manchester,422915,5181,5145,5165,5128,5327,5211,5127,5284,5318,5603,5917,5772,5643,5843,5730,5406,5375,4947,6105,9059,11119,11163,10312,8643,7730,7364,7651,7469,7408,7709,7237,6929,6884,6862,6989,6478,6407,6100,5925,5815,5500,5278,5043,5074,4970,4517,4376,4292,4263,4270,4106,4138,4362,4538,4453,3648,3487,3393,3469,3303,3279,3216,3341,3431,3284,3121,3054,2859,2970,2957,2765,2828,2868,2633,2717,2553,2436,2510,2276,2389,2154,2084,1390,1116,1049,1061,1077,939,832,654,2112
