date,areaName,cases_00_04,rollingRate_00_04,rollingSum_00_04,cases_05_09,rollingRate_05_09,rollingSum_05_09,cases_10_14,rollingRate_10_14,rollingSum_10_14,cases_15_19,rollingRate_15_19,rollingSum_15_19,cases_20_24,rollingRate_20_24,rollingSum_20_24,cases_25_29,rollingRate_25_29,rollingSum_25_29,cases_30_34,rollingRate_30_34,rollingSum_30_34,cases_35_39,rollingRate_35_39,rollingSum_35_39,cases_40_44,rollingRate_40_44,rollingSum_40_44,cases_45_49,rollingRate_45_49,rollingSum_45_49,cases_50_54,rollingRate_50_54,rollingSum_50_54,cases_55_59,rollingRate_55_59,rollingSum_55_59,cases_60_64,rollingRate_60_64,rollingSum_60_64,cases_65_69,rollingRate_65_69,rollingSum_65_69,cases_70_74,rollingRate_70_74,rollingSum_70_74,cases_75_79,rollingRate_75_79,rollingSum_75_79,cases_80_84,rollingRate_80_84,rollingSum_80_84,cases_85_89,rollingRate_85_89,rollingSum_85_89,cases_90+,rollingRate_90+,rollingSum_90+,cases_unassigned,rollingRate_unassigned,rollingSum_unassigned,cases_60+,rollingRate_60+,rollingSum_60+,cases_00_59,rollingRate_00_59,rollingSum_00_59
2020-12-29,Dudley,4,143.9,27,11,158.0,32,13,286.5,56,19,374.4,66,37,678.7,117,47,680.3,135,31,520.2,106,35,623.8,124,26,582.1,105,25,456.9,100,31,487.1,114,40,479.4,102,18,313.4,56,9,183.2,31,5,146.9,25,7,126.8,17,0,101.1,10,3,252.8,14,0,388.7,11,0,,0,42,196.5,164,319,455.2,1084
2020-12-28,Dudley,3,154.5,29,3,143.2,29,6,276.3,54,8,329.0,58,12,527.9,91,23,519.1,103,16,431.9,88,18,518.2,103,9,515.5,93,20,379.3,83,19,401.6,94,14,338.4,72,7,268.6,48,2,147.8,25,3,146.9,25,2,82.1,11,3,111.2,11,2,216.7,12,2,459.4,13,0,,0,21,173.7,145,151,376.7,897
2020-12-27,Dudley,6,154.5,29,1,158.0,32,8,307.0,60,9,340.4,60,13,551.1,95,25,488.8,97,20,417.2,85,19,523.2,104,17,548.8,99,14,365.5,80,19,397.3,93,12,333.7,71,10,313.4,56,3,183.2,31,6,158.7,27,2,89.5,12,2,91.0,9,6,198.6,11,3,424.0,12,0,,1,32,189.3,158,163,380.5,906
2020-12-26,Dudley,0,149.2,28,5,177.8,36,10,301.9,59,11,317.7,56,16,522.1,90,15,428.4,85,14,358.3,73,11,457.8,91,19,537.7,97,16,342.7,75,17,354.6,83,14,296.1,63,6,302.2,54,5,189.1,32,3,141.1,24,0,89.5,12,1,70.7,7,1,126.4,7,3,318.0,9,0,,1,19,173.7,145,148,351.5,837
2020-12-25,Dudley,2,149.2,28,1,163.0,33,6,276.3,54,1,306.3,54,2,464.1,80,3,423.3,84,11,333.7,68,6,447.8,89,4,476.7,86,5,329.0,72,5,329.0,77,5,263.2,56,3,302.2,54,3,189.1,32,3,129.3,22,1,111.9,15,0,70.7,7,0,162.5,9,1,247.3,7,0,,1,11,174.9,146,51,328.4,782
2020-12-24,Dudley,7,159.8,30,5,192.6,39,3,286.5,56,7,312.0,55,14,516.3,89,11,463.6,92,4,333.7,68,15,452.8,90,11,515.5,93,9,342.7,75,11,346.1,81,9,277.3,59,7,319.0,57,4,177.3,30,2,117.6,20,1,134.3,18,1,70.7,7,2,216.7,12,1,212.0,6,0,,1,18,179.7,150,106,347.7,828
2020-12-23,Dudley,5,154.5,29,6,212.4,43,10,291.6,57,11,295.0,52,23,487.3,84,11,509.0,101,10,353.4,72,20,442.7,88,19,521.1,94,11,370.1,81,12,337.5,79,8,291.4,62,5,285.4,51,5,177.3,30,3,123.4,21,4,164.1,22,3,80.9,8,0,216.7,12,1,212.0,6,0,,1,21,179.7,150,146,354.0,843
2020-12-22,Dudley,6,138.5,26,8,187.7,38,11,255.8,50,11,255.3,45,11,394.5,68,15,519.1,103,13,328.8,67,14,402.5,80,14,482.3,87,8,379.3,83,11,324.7,76,10,300.8,64,10,279.8,50,3,165.5,28,5,117.6,20,1,149.2,20,1,91.0,9,1,234.7,13,2,176.7,5,0,,1,23,173.7,145,132,330.9,788
2020-12-21,Dudley,3,117.2,22,6,167.9,34,12,250.7,49,10,215.6,38,16,388.7,67,17,509.0,101,13,309.2,63,19,397.4,79,15,471.2,85,17,402.1,88,18,316.2,74,13,305.5,65,15,257.4,46,8,189.1,32,5,117.6,20,3,156.6,21,1,101.1,10,1,288.9,16,1,176.7,5,1,,1,34,179.7,150,160,321.7,766
2020-12-20,Dudley,5,138.5,26,5,143.2,29,7,209.8,41,5,158.8,28,8,324.9,56,13,473.7,94,8,289.6,59,6,387.4,77,15,421.3,76,9,370.1,81,9,294.8,69,4,305.5,65,8,201.5,36,4,171.4,29,3,88.2,15,2,149.2,20,0,131.4,13,2,361.1,20,0,247.3,7,0,,0,19,167.7,140,94,294.4,701
2020-12-19,Dudley,0,127.9,24,2,133.3,27,5,209.8,41,9,164.5,29,6,301.7,52,14,463.6,92,9,279.8,57,9,382.4,76,8,365.9,66,13,338.1,74,11,282.0,66,7,305.5,65,6,184.7,33,5,153.7,26,1,70.5,12,3,134.3,18,1,141.5,14,3,361.1,20,1,247.3,7,0,,0,20,155.7,130,93,280.9,669
2020-12-18,Dudley,4,133.2,25,7,143.2,29,8,189.3,37,2,130.5,23,11,295.9,51,11,423.3,84,11,284.7,58,7,397.4,79,11,338.2,61,8,301.6,66,9,260.6,61,8,305.5,65,6,156.7,28,1,135.9,23,1,82.3,14,4,119.3,16,0,131.4,13,3,307.0,17,0,247.3,7,0,,0,15,141.4,118,97,268.3,639
2020-12-17,Dudley,6,127.9,24,9,163.0,33,4,163.7,32,4,164.5,29,9,295.9,51,20,398.1,79,8,279.8,57,13,397.4,79,12,316.0,57,15,315.3,69,9,243.5,57,12,291.4,62,1,134.3,24,4,141.8,24,3,82.3,14,5,104.4,14,2,192.0,19,2,270.9,15,1,353.4,10,0,,0,18,143.8,120,121,264.1,629
2020-12-16,Dudley,2,106.6,20,1,128.4,26,3,168.8,33,4,209.9,37,7,313.3,54,13,327.6,65,5,279.8,57,12,372.3,74,12,304.9,55,13,297.0,65,9,247.8,58,10,258.5,55,4,151.1,27,3,135.9,23,2,82.3,14,2,74.6,10,4,181.9,18,1,307.0,17,0,353.4,10,0,,0,16,142.6,119,91,251.5,599
2020-12-15,Dudley,2,111.9,21,4,153.1,31,10,189.3,37,4,204.2,36,10,324.9,56,13,322.5,64,9,294.5,60,13,372.3,74,12,277.2,50,13,287.9,63,9,256.3,60,11,235.0,50,6,145.5,26,7,118.2,20,5,82.3,14,2,97.0,13,2,151.6,15,4,325.0,18,2,353.4,10,0,,0,28,139.0,116,110,252.8,602
2020-12-14,Dudley,7,117.2,22,1,153.1,31,4,174.0,34,0,226.9,40,5,319.1,55,10,282.2,56,9,265.0,54,17,311.9,62,6,277.2,50,10,255.9,56,13,247.8,58,13,244.4,52,5,134.3,24,5,88.7,15,0,58.8,10,2,104.4,14,4,181.9,18,5,325.0,18,3,353.4,10,0,,0,24,130.6,109,95,239.4,570
2020-12-13,Dudley,3,90.6,17,3,163.0,33,7,158.6,31,6,249.6,44,4,342.3,59,11,252.0,50,6,245.4,50,5,256.6,51,5,266.1,48,2,260.5,57,6,243.5,57,4,220.9,47,5,145.5,26,1,70.9,12,0,70.5,12,0,89.5,12,1,161.7,16,2,288.9,16,0,388.7,11,0,,0,9,125.8,105,62,228.5,544
2020-12-12,Dudley,1,85.3,16,4,177.8,36,1,153.5,30,3,226.9,40,5,342.3,59,6,221.7,44,10,255.2,52,12,251.5,50,3,266.1,48,5,283.3,62,6,239.3,56,7,230.3,49,1,156.7,28,2,94.6,16,3,94.0,16,1,89.5,12,0,171.8,17,0,307.0,17,1,424.0,12,0,,0,8,141.4,118,63,227.6,542
2020-12-11,Dudley,3,95.9,18,11,167.9,34,3,153.5,30,8,221.3,39,11,348.1,60,6,262.1,52,10,240.5,49,7,201.2,40,7,271.6,49,11,278.7,61,5,226.4,53,5,206.8,44,2,179.1,32,2,88.7,15,1,88.2,15,2,89.5,12,6,192.0,19,1,325.0,18,3,424.0,12,0,,0,17,147.4,123,87,222.2,529
2020-12-10,Dudley,2,90.6,17,2,128.4,26,5,158.6,31,12,215.6,38,12,353.9,61,6,257.0,51,8,230.7,47,8,206.3,41,10,260.5,47,11,265.0,58,10,235.0,55,5,230.3,49,4,212.7,38,3,94.6,16,3,111.7,19,1,74.6,10,1,181.9,18,4,325.0,18,1,318.0,9,0,,0,17,153.3,128,91,218.8,521
2020-12-09,Dudley,3,85.3,16,6,138.3,28,7,148.4,29,3,181.5,32,9,313.3,54,12,257.0,51,8,206.1,42,12,196.2,39,7,249.5,45,11,246.7,54,11,213.6,50,5,239.7,51,3,240.6,43,0,88.7,15,2,99.9,17,5,89.5,12,1,212.2,21,2,288.9,16,0,424.0,12,0,,0,13,162.9,136,94,206.2,491
2020-12-08,Dudley,3,79.9,15,4,123.5,25,7,127.9,25,8,192.9,34,9,290.1,50,5,257.0,51,3,196.3,40,1,171.1,34,12,243.9,44,6,246.7,54,7,196.5,46,13,272.6,58,4,251.8,45,2,112.3,19,1,99.9,17,3,67.1,9,5,252.7,25,4,288.9,16,2,565.4,16,0,,0,21,176.1,147,78,199.9,476
2020-12-07,Dudley,2,79.9,15,3,143.2,29,1,133.0,26,4,187.2,33,9,284.3,49,4,267.1,53,5,220.9,45,6,196.2,39,4,205.1,37,11,237.6,52,12,196.5,46,8,263.2,56,7,240.6,43,2,124.1,21,2,99.9,17,0,52.2,7,2,222.4,22,3,216.7,12,4,742.0,21,0,,0,20,171.3,143,69,201.6,480
2020-12-06,Dudley,2,90.6,17,6,143.2,29,6,158.6,31,2,249.6,44,4,295.9,51,5,277.2,55,8,220.9,45,4,216.3,43,5,232.8,42,7,219.3,48,5,175.2,41,6,253.8,54,7,223.9,40,5,118.2,20,4,88.2,15,0,89.5,12,2,232.5,23,3,307.0,17,1,777.4,22,0,,0,22,178.5,149,60,210.0,500
2020-12-05,Dudley,3,85.3,16,2,123.5,25,1,133.0,26,2,261.0,46,6,290.1,50,14,277.2,55,7,211.0,43,2,236.5,47,4,232.8,42,4,205.6,45,3,188.0,44,2,239.7,51,5,201.5,36,1,106.4,18,2,88.2,15,1,104.4,14,2,232.5,23,1,288.9,16,1,812.7,23,0,,0,13,173.7,145,50,205.8,490
2020-12-04,Dudley,2,74.6,14,3,133.3,27,4,163.7,32,7,317.7,56,12,295.9,51,5,231.8,46,8,206.1,42,8,266.6,53,5,232.8,42,8,223.9,49,7,209.3,49,10,249.1,53,8,195.9,35,3,112.3,19,5,82.3,14,0,111.9,15,5,232.5,23,1,270.9,15,0,848.1,24,0,,0,22,173.7,145,79,215.9,514
2020-12-03,Dudley,1,85.3,16,4,153.1,31,3,194.4,38,6,329.0,58,5,261.1,45,6,236.9,47,3,206.1,42,6,286.8,57,8,260.5,47,7,219.3,48,5,222.2,52,7,235.0,50,9,207.1,37,2,130.0,22,1,82.3,14,3,134.3,18,4,232.5,23,2,307.0,17,4,1024.7,29,0,,0,25,191.7,160,61,223.0,531
2020-12-02,Dudley,2,101.2,19,3,158.0,32,3,230.2,45,5,351.7,62,5,295.9,51,12,246.9,49,6,265.0,54,7,311.9,62,6,255.0,46,11,214.8,47,7,256.3,60,12,249.1,53,5,207.1,37,4,135.9,23,2,99.9,17,2,134.3,18,5,283.0,28,2,397.3,22,4,1024.7,29,0,,0,24,208.5,174,79,243.6,580
2020-12-01,Dudley,3,95.9,18,8,172.9,35,8,296.8,58,7,380.1,67,8,301.7,52,7,241.9,48,8,274.8,56,6,327.0,65,5,277.2,50,4,228.5,50,7,282.0,66,11,230.3,49,2,246.2,44,4,141.8,24,1,135.2,23,1,171.6,23,2,242.6,24,0,433.4,24,7,989.4,28,0,,0,17,227.6,190,82,257.8,614
2020-11-30,Dudley,4,106.6,20,3,172.9,35,6,322.3,63,15,368.8,65,11,319.1,55,6,267.1,53,5,299.4,61,10,387.4,77,9,277.2,50,7,278.7,61,7,294.8,69,6,249.1,53,4,285.4,51,1,130.0,22,0,176.3,30,5,179.0,24,3,283.0,28,8,451.4,25,5,777.4,22,0,,0,26,242.0,202,89,278.0,662
2020-11-29,Dudley,1,106.6,20,2,187.7,38,1,347.9,68,4,351.7,62,3,319.1,55,5,317.5,63,6,353.4,72,8,417.6,83,5,266.1,48,4,306.1,67,8,333.2,78,3,272.6,58,3,330.2,59,3,159.6,27,4,217.5,37,2,186.5,25,2,313.3,31,2,361.1,20,2,636.0,18,0,,0,18,260.0,217,50,299.0,712
2020-11-28,Dudley,1,111.9,21,4,212.4,43,7,383.7,75,12,391.4,69,7,348.1,60,5,347.7,69,6,377.9,77,8,422.6,84,4,293.8,53,8,342.7,75,8,329.0,77,4,300.8,64,4,319.0,57,2,147.8,25,1,205.7,35,2,201.4,27,2,313.3,31,0,397.3,22,2,636.0,18,0,,0,13,257.6,215,74,322.1,767
2020-11-27,Dudley,4,117.2,22,7,217.3,44,10,399.1,78,9,368.8,65,6,359.7,62,6,398.1,79,8,397.5,81,12,442.7,88,10,304.9,55,7,370.1,81,10,337.5,79,7,319.6,68,10,313.4,56,6,153.7,26,5,223.3,38,3,186.5,25,5,333.5,33,3,451.4,25,5,565.4,16,0,,2,37,262.4,219,96,337.6,804
2020-11-26,Dudley,4,111.9,21,5,197.6,40,10,409.3,80,10,374.4,66,11,406.1,70,8,443.5,88,15,431.9,88,11,437.7,87,7,299.4,54,6,406.7,89,13,358.9,84,10,338.4,72,9,285.4,51,3,153.7,26,4,235.1,40,3,179.0,24,9,353.7,35,7,415.3,23,4,459.4,13,0,,2,39,254.0,212,110,353.2,841
2020-11-25,Dudley,1,122.5,23,6,197.6,40,16,434.9,85,10,363.1,64,6,406.1,70,11,493.9,98,8,417.2,85,10,447.8,89,10,343.7,62,14,479.8,105,13,367.4,86,8,352.5,75,12,268.6,48,5,189.1,32,8,252.7,43,7,193.9,26,1,303.2,30,4,397.3,22,3,388.7,11,0,,3,40,254.0,212,113,371.7,885
2020-11-24,Dudley,5,143.9,27,8,202.5,41,13,450.3,88,5,357.4,63,11,469.9,81,12,509.0,101,13,461.3,94,18,477.9,95,5,371.4,67,15,516.3,113,10,393.1,92,15,343.1,73,9,302.2,54,2,195.0,33,8,264.5,45,2,171.6,23,6,333.5,33,1,397.3,22,1,318.0,9,0,,5,29,262.4,219,130,394.8,940
2020-11-23,Dudley,4,170.5,32,6,197.6,40,11,496.3,97,12,419.8,74,11,498.9,86,16,524.1,104,16,481.0,98,16,523.2,104,7,449.0,81,13,520.9,114,16,397.3,93,11,366.6,78,12,358.2,64,6,206.9,35,7,241.0,41,6,186.5,25,6,272.9,27,3,451.4,25,1,424.0,12,0,,7,41,274.3,229,139,423.3,1008
2020-11-22,Dudley,2,170.5,32,7,192.6,39,8,537.2,105,11,431.2,76,8,568.5,98,11,529.2,105,11,515.3,105,9,528.2,105,10,510.0,92,12,584.9,128,7,474.2,111,9,432.4,92,1,375.0,67,1,206.9,35,2,241.0,41,4,164.1,22,2,242.6,24,4,505.6,28,2,494.7,14,0,,7,16,276.7,231,105,459.8,1095
2020-11-21,Dudley,2,175.8,33,5,172.9,35,10,547.5,107,8,419.8,74,9,603.3,104,15,554.4,110,10,466.3,95,12,558.4,111,6,504.5,91,14,589.4,129,10,517.0,121,8,451.2,96,3,419.7,75,3,230.5,39,4,252.7,43,0,216.3,29,4,242.6,24,3,487.5,27,0,459.4,13,2,,7,17,299.5,250,111,467.4,1113
2020-11-20,Dudley,3,170.5,32,3,187.7,38,12,552.6,108,10,425.5,75,14,649.7,112,15,549.3,109,15,500.6,102,11,548.4,109,9,532.2,96,15,635.1,139,15,559.7,131,11,498.2,106,5,458.9,82,6,283.7,48,7,282.1,48,2,276.0,37,7,303.2,30,1,523.7,29,2,671.4,19,0,,5,30,351.0,293,133,488.0,1162
2020-11-19,Dudley,6,191.8,36,5,202.5,41,15,547.5,107,8,465.2,82,11,707.7,122,18,599.7,119,12,515.3,105,13,598.7,119,15,537.7,97,22,644.3,141,15,628.0,147,13,620.4,132,6,498.1,89,9,313.2,53,7,305.6,52,5,305.8,41,4,303.2,30,6,559.8,31,2,671.4,19,1,,5,39,377.4,315,154,526.2,1253
2020-11-18,Dudley,5,159.8,30,7,207.4,42,19,527.0,103,9,504.9,89,17,759.9,131,14,665.2,132,17,564.4,115,16,583.6,116,15,532.2,96,22,676.3,148,19,658.0,154,6,658.0,140,18,548.4,98,6,331.0,56,10,329.1,56,4,283.5,38,4,323.4,32,4,559.8,31,1,742.0,21,2,,4,47,397.7,332,168,545.9,1300
2020-11-17,Dudley,10,143.9,27,7,197.6,40,22,496.3,97,16,556.0,98,16,771.6,133,15,675.3,134,17,593.9,121,27,598.7,119,19,587.6,106,16,685.4,150,11,700.7,164,20,738.0,157,19,548.4,98,4,348.7,59,4,340.9,58,4,328.2,44,0,333.5,33,4,559.8,31,4,812.7,23,2,,2,39,414.5,346,198,566.1,1348
2020-11-16,Dudley,4,106.6,20,5,187.7,38,19,445.1,87,14,573.0,101,23,794.8,137,17,680.3,135,23,579.1,118,17,538.3,107,18,681.9,123,27,758.5,166,34,739.1,173,25,794.4,169,15,537.2,96,6,390.1,66,7,364.4,62,3,320.8,43,3,424.5,42,6,523.7,29,3,671.4,19,0,,0,43,427.7,357,226,577.0,1374
2020-11-15,Dudley,3,106.6,20,3,187.7,38,10,388.9,76,9,595.7,105,14,829.6,143,16,745.9,148,1,579.1,118,15,543.3,108,9,687.4,124,13,772.2,169,17,709.2,166,13,836.7,178,9,593.2,106,5,466.9,79,4,411.4,70,11,380.4,51,2,475.0,47,3,577.8,32,1,600.7,17,0,,0,35,481.6,402,123,585.0,1393
2020-11-14,Dudley,1,95.9,18,8,187.7,38,11,347.9,68,9,629.7,111,17,829.6,143,14,761.0,151,17,672.4,137,10,563.5,112,11,737.3,133,24,804.2,176,20,743.4,174,18,846.1,180,10,671.6,120,12,490.5,83,9,405.5,69,8,313.3,42,10,515.5,51,5,559.8,31,6,636.0,18,0,,0,60,496.0,414,160,605.1,1441
