date,areaName,cases_00_04,rollingRate_00_04,rollingSum_00_04,cases_05_09,rollingRate_05_09,rollingSum_05_09,cases_10_14,rollingRate_10_14,rollingSum_10_14,cases_15_19,rollingRate_15_19,rollingSum_15_19,cases_20_24,rollingRate_20_24,rollingSum_20_24,cases_25_29,rollingRate_25_29,rollingSum_25_29,cases_30_34,rollingRate_30_34,rollingSum_30_34,cases_35_39,rollingRate_35_39,rollingSum_35_39,cases_40_44,rollingRate_40_44,rollingSum_40_44,cases_45_49,rollingRate_45_49,rollingSum_45_49,cases_50_54,rollingRate_50_54,rollingSum_50_54,cases_55_59,rollingRate_55_59,rollingSum_55_59,cases_60_64,rollingRate_60_64,rollingSum_60_64,cases_65_69,rollingRate_65_69,rollingSum_65_69,cases_70_74,rollingRate_70_74,rollingSum_70_74,cases_75_79,rollingRate_75_79,rollingSum_75_79,cases_80_84,rollingRate_80_84,rollingSum_80_84,cases_85_89,rollingRate_85_89,rollingSum_85_89,cases_90+,rollingRate_90+,rollingSum_90+,cases_unassigned,rollingRate_unassigned,rollingSum_unassigned,cases_60+,rollingRate_60+,rollingSum_60+,cases_00_59,rollingRate_00_59,rollingSum_00_59
2020-12-29,East Hertfordshire,6,247.2,21,9,252.0,24,9,394.0,38,16,799.8,67,29,1285.3,86,28,1183.6,94,22,1255.1,111,29,958.5,94,24,721.2,75,25,789.7,91,27,825.5,99,21,703.2,76,18,678.8,58,7,348.2,25,6,327.0,24,3,300.6,15,2,182.2,7,6,416.5,10,13,1281.1,18,0,,0,55,439.8,157,245,768.1,876
2020-12-28,East Hertfordshire,4,235.5,20,1,178.5,17,7,342.2,33,8,680.4,57,11,1061.1,71,6,1019.9,81,10,1221.2,108,11,775.0,76,12,605.8,63,16,668.2,77,12,733.8,88,7,656.9,71,6,561.7,48,4,250.7,18,3,299.8,22,1,280.6,14,0,156.2,6,0,291.5,7,0,427.0,6,0,,0,14,338.9,121,105,668.1,762
2020-12-27,East Hertfordshire,4,223.7,19,5,199.5,19,5,311.1,30,8,680.4,57,11,1165.7,78,17,1171.0,93,19,1334.2,118,14,846.3,83,8,653.8,68,15,659.5,76,15,742.1,89,16,730.9,79,8,550.0,47,4,250.7,18,8,313.4,23,2,260.5,13,3,156.2,6,0,291.5,7,2,498.2,7,0,,0,27,338.9,121,137,709.4,809
2020-12-26,East Hertfordshire,4,200.1,17,4,199.5,19,7,300.7,29,12,692.4,58,12,1135.9,76,13,1196.2,95,15,1300.3,115,17,815.7,80,10,644.2,67,13,624.8,72,7,675.4,81,10,684.7,74,4,514.9,44,2,222.9,16,3,258.9,19,3,260.5,13,0,78.1,3,2,291.5,7,1,355.9,5,0,,0,15,299.7,107,124,686.6,783
2020-12-25,East Hertfordshire,0,176.6,15,1,157.5,15,2,228.1,22,2,632.7,53,2,986.4,66,1,1158.4,92,2,1187.2,105,3,703.6,69,2,586.5,61,4,538.0,62,5,675.4,81,2,638.4,69,1,514.9,44,1,208.9,15,1,231.6,17,1,200.4,10,1,104.1,4,0,208.2,5,1,355.9,5,0,,2,6,280.1,100,26,624.3,712
2020-12-24,East Hertfordshire,2,223.7,19,2,178.5,17,3,228.1,22,13,704.3,59,10,1076.1,72,12,1309.5,104,15,1221.2,108,13,815.7,80,6,653.8,68,11,564.0,65,15,692.1,83,11,675.4,73,14,585.1,50,5,222.9,16,0,218.0,16,1,200.4,10,1,78.1,3,2,333.2,8,1,284.7,4,0,,2,24,299.7,107,113,676.9,772
2020-12-23,East Hertfordshire,1,235.5,20,2,178.5,17,5,269.6,26,8,632.7,53,11,1076.1,72,17,1322.1,105,28,1119.4,99,7,713.8,70,13,673.1,70,7,529.3,61,18,608.7,73,9,629.2,68,7,468.1,40,2,167.2,12,3,231.6,17,4,200.4,10,0,52.1,2,0,333.2,8,0,213.5,3,0,,2,16,257.7,92,126,645.3,736
2020-12-22,East Hertfordshire,5,282.6,24,2,168.0,16,4,228.1,22,6,620.7,52,14,986.4,66,15,1246.5,99,19,859.3,76,11,713.8,70,12,605.8,63,11,564.0,65,16,550.3,66,16,601.4,65,8,409.6,35,0,153.2,11,4,231.6,17,2,160.3,8,1,52.1,2,3,333.2,8,1,284.7,4,0,,2,19,238.1,85,131,601.5,686
2020-12-21,East Hertfordshire,3,223.7,19,3,178.5,17,4,228.1,22,8,608.8,51,18,822.0,55,18,1108.0,88,20,689.7,61,18,703.6,69,17,528.8,55,15,503.3,58,13,458.6,55,15,499.6,54,5,339.4,29,4,195.0,14,4,204.4,15,0,120.2,6,0,78.1,3,0,208.2,5,1,213.5,3,0,,2,14,210.1,75,152,531.4,606
2020-12-20,East Hertfordshire,2,211.9,18,5,189.0,18,4,238.5,23,9,561.1,47,9,672.5,45,19,1032.5,82,16,520.1,46,11,560.8,55,7,423.1,44,11,433.9,50,7,433.6,52,11,416.4,45,5,327.7,28,2,167.2,12,4,177.1,13,2,180.4,9,0,104.1,4,0,291.5,7,0,284.7,4,0,,2,13,215.7,77,111,462.1,527
