date,areaName,cases_00_04,rollingRate_00_04,rollingSum_00_04,cases_05_09,rollingRate_05_09,rollingSum_05_09,cases_10_14,rollingRate_10_14,rollingSum_10_14,cases_15_19,rollingRate_15_19,rollingSum_15_19,cases_20_24,rollingRate_20_24,rollingSum_20_24,cases_25_29,rollingRate_25_29,rollingSum_25_29,cases_30_34,rollingRate_30_34,rollingSum_30_34,cases_35_39,rollingRate_35_39,rollingSum_35_39,cases_40_44,rollingRate_40_44,rollingSum_40_44,cases_45_49,rollingRate_45_49,rollingSum_45_49,cases_50_54,rollingRate_50_54,rollingSum_50_54,cases_55_59,rollingRate_55_59,rollingSum_55_59,cases_60_64,rollingRate_60_64,rollingSum_60_64,cases_65_69,rollingRate_65_69,rollingSum_65_69,cases_70_74,rollingRate_70_74,rollingSum_70_74,cases_75_79,rollingRate_75_79,rollingSum_75_79,cases_80_84,rollingRate_80_84,rollingSum_80_84,cases_85_89,rollingRate_85_89,rollingSum_85_89,cases_90+,rollingRate_90+,rollingSum_90+,cases_unassigned,rollingRate_unassigned,rollingSum_unassigned,cases_60+,rollingRate_60+,rollingSum_60+,cases_00_59,rollingRate_00_59,rollingSum_00_59
2020-12-28,England,796,163.5,5395,840,174.9,6188,1348,276.9,9288,2036,410.2,12676,3470,578.1,20165,3907,621.9,23640,4006,619.6,23595,3591,606.7,22652,3408,618.4,21114,3298,544.8,20245,3398,504.1,19699,2858,453.4,16642,2036,370.3,11524,1238,247.4,6919,923,191.1,5312,640,191.5,3717,580,230.8,3324,457,306.9,2700,409,481.4,2490,86,,328,6283,267.2,35986,33042,470.9,201627
2020-12-27,England,905,167.6,5530,1050,184.8,6538,1459,299.2,10035,2250,419.3,12957,3709,575.4,20068,4265,632.3,24038,4279,628.1,23916,4094,617.5,23056,3757,628.8,21470,3572,553.5,20568,3530,505.4,19748,3052,454.6,16688,2107,365.9,11387,1199,244.7,6843,859,188.3,5234,649,190.7,3700,514,229.8,3309,437,313.6,2759,385,507.7,2626,32,,349,6150,266.3,35858,35954,478.6,204961
2020-12-26,England,871,162.6,5364,941,179.4,6346,1344,298.0,9995,1958,401.3,12402,2989,541.4,18882,3524,600.8,22839,3527,591.8,22535,3637,579.8,21647,3466,592.0,20212,3174,522.3,19406,3140,471.5,18423,2621,425.3,15612,1784,340.3,10591,1040,229.1,6407,810,179.0,4974,513,177.3,3440,464,218.4,3145,382,296.4,2608,330,471.3,2438,32,,385,5323,249.5,33603,31224,453.2,194048
2020-12-25,England,243,153.3,5058,255,170.7,6038,444,294.4,9874,633,379.3,11720,920,502.2,17517,1179,566.1,21518,1181,556.5,21190,1250,536.8,20044,1199,544.9,18606,1100,484.6,18006,1033,432.7,16909,946,390.9,14349,660,313.7,9763,403,212.2,5936,340,167.7,4660,267,170.1,3302,229,208.8,3006,184,287.2,2527,163,458.4,2371,2,,441,2246,234.4,31565,10385,423.3,181270
2020-12-24,England,716,168.9,5572,811,191.1,6761,1210,333.2,11178,1524,418.4,12931,2355,550.9,19216,2659,618.6,23515,2809,606.8,23105,2721,581.7,21717,2593,588.9,20108,2520,526.5,19563,2450,471.4,18420,1958,420.9,15450,1363,336.8,10481,816,227.6,6366,627,178.5,4960,445,183.3,3558,405,224.2,3229,334,318.4,2801,279,494.3,2557,30,,537,4269,252.1,33952,24356,462.6,198073
2020-12-23,England,930,167.4,5523,1082,192.3,6804,1589,343.0,11504,2078,429.6,13275,3222,555.2,19363,3912,630.5,23966,3767,613.2,23350,3574,580.6,21679,3281,589.8,20138,3138,522.9,19430,2889,463.5,18112,2514,417.4,15323,1690,334.1,10398,1080,224.7,6284,822,178.0,4947,587,184.2,3574,557,226.3,3258,416,324.2,2852,426,511.3,2645,65,,535,5578,252.2,33958,32041,464.7,199002
2020-12-22,England,934,159.9,5277,1209,188.5,6668,1894,348.1,11675,2197,427.0,13195,3500,536.2,18703,4194,612.0,23265,4026,594.5,22640,3785,554.7,20710,3410,568.1,19396,3443,502.8,18682,3259,447.3,17480,2693,397.4,14587,1884,317.9,9893,1143,212.2,5935,931,170.7,4744,616,178.1,3457,575,218.3,3144,490,323.9,2850,498,499.7,2585,81,,500,6137,242.2,32608,34625,450.2,192778
2020-12-21,England,931,150.4,4962,1190,182.2,6448,2095,350.1,11743,2317,422.5,13057,3373,502.4,17523,4305,579.2,22016,4327,559.1,21290,3995,522.0,19488,3764,538.5,18385,3621,471.6,17525,3447,420.0,16412,2904,375.5,13782,1899,294.4,9160,1162,196.0,5482,845,156.5,4349,623,169.5,3290,565,211.2,3041,516,319.6,2812,545,482.7,2497,107,,447,6155,227.5,30631,36376,427.5,183078
2020-12-20,England,739,143.2,4725,858,179.5,6352,1419,353.6,11859,1695,415.2,12830,2523,467.8,16315,3066,534.3,20311,2898,514.6,19596,2685,482.4,18011,2499,500.2,17078,2410,440.3,16359,2205,391.1,15281,1976,346.6,12724,1311,273.7,8517,763,179.0,5005,599,146.0,4058,389,161.2,3129,350,204.5,2945,286,313.8,2761,197,469.4,2428,68,,379,3895,214.2,28843,25041,401.2,171820
2020-12-19,England,565,134.5,4438,633,174.3,6168,1223,352.0,11808,1276,404.1,12487,1624,432.0,15068,2203,494.4,18794,2182,480.8,18309,2034,454.4,16965,1860,473.0,16148,1774,416.0,15459,1626,369.7,14446,1358,321.8,11812,956,254.7,7927,569,168.1,4701,496,138.3,3843,375,156.9,3044,325,202.0,2908,301,311.9,2744,263,477.7,2471,88,,325,3285,205.2,27638,18446,378.8,162227
2020-12-18,England,757,129.0,4256,978,173.3,6132,1748,350.2,11745,1844,401.1,12396,2619,419.2,14622,3176,471.2,17912,3096,461.7,17580,2923,438.1,16356,2701,459.3,15682,2657,404.8,15042,2544,359.2,14034,2047,311.6,11437,1378,245.9,7651,833,161.5,4517,640,131.3,3648,523,152.6,2962,452,196.3,2827,458,306.8,2699,349,465.1,2406,98,,256,4633,198.4,26710,27188,367.7,157450
2020-12-17,England,667,120.5,3976,854,167.2,5917,1536,340.2,11411,1868,389.6,12039,2502,383.8,13387,3110,429.9,16342,3054,426.3,16234,2683,407.9,15230,2623,428.1,14618,2387,375.9,13969,2142,332.5,12992,1831,289.2,10617,1280,228.3,7104,734,150.5,4209,614,123.9,3443,461,143.9,2793,434,191.5,2757,385,295.4,2599,367,462.6,2393,28,,200,4275,187.9,25298,25285,343.1,146932
2020-12-16,England,684,113.7,3753,946,163.1,5772,1760,332.6,11155,1998,373.2,11533,2562,352.7,12302,3211,391.5,14882,3057,388.5,14794,2605,379.6,14174,2539,400.6,13677,2390,352.3,13092,2257,311.4,12166,1778,268.8,9868,1185,210.9,6563,731,139.4,3898,619,115.1,3200,470,136.2,2643,443,185.2,2667,414,290.1,2552,366,450.8,2332,30,,211,4228,177.2,23855,25817,320.8,137379
2020-12-15,England,619,104.9,3462,989,154.3,5461,1962,319.2,10706,2059,349.1,10787,2320,319.8,11154,2945,347.8,13222,2676,347.9,13248,2563,350.0,13067,2399,367.8,12558,2286,323.8,12032,2191,285.9,11171,1888,250.1,9181,1151,197.7,6151,690,127.6,3569,536,105.7,2938,449,127.5,2475,472,177.3,2553,452,281.3,2475,410,439.8,2275,28,,209,4160,166.6,22436,24925,294.8,126258
2020-12-14,England,694,98.1,3238,1094,144.2,5103,2211,297.1,9965,2090,319.8,9884,2165,287.4,10025,2600,307.8,11701,2633,315.4,12011,2518,319.6,11934,2457,339.6,11594,2455,295.9,10994,2316,260.6,10182,1846,226.2,8302,1256,182.5,5680,685,118.9,3325,554,98.9,2748,462,120.3,2335,469,168.6,2428,465,271.5,2389,476,429.4,2221,39,,237,4367,156.9,21126,25118,269.0,115170
2020-12-13,England,452,88.8,2931,674,132.6,4691,1368,268.9,9018,1352,295.5,9132,1276,259.6,9056,1549,274.6,10439,1611,284.1,10817,1639,292.1,10905,1569,310.3,10594,1510,269.2,10003,1370,234.2,9150,1064,207.0,7599,721,167.2,5203,459,109.8,3070,384,90.5,2515,304,114.0,2213,313,161.5,2326,269,254.8,2242,240,406.9,2105,14,,219,2690,146.1,19674,15448,244.2,104554
2020-12-12,England,383,83.1,2742,597,124.3,4398,1160,251.5,8437,1185,277.9,8589,1178,244.0,8511,1321,256.0,9732,1453,267.1,10172,1425,274.3,10240,1394,291.6,9957,1357,253.9,9433,1214,219.7,8584,983,195.9,7190,680,158.9,4944,385,104.1,2911,301,85.6,2378,293,108.6,2108,244,154.5,2224,256,246.9,2172,198,396.1,2049,19,,216,2357,139.5,18786,13669,229.3,98201
2020-12-11,England,477,78.5,2591,763,117.9,4171,1414,238.5,8000,1487,263.9,8155,1384,231.5,8074,1606,243.7,9264,1750,252.9,9631,1797,258.7,9658,1637,276.4,9438,1584,239.2,8889,1502,208.2,8135,1227,186.5,6845,831,151.1,4703,525,99.1,2772,435,83.3,2316,354,103.9,2017,382,151.5,2181,358,236.4,2080,336,387.0,2002,42,,216,3221,134.2,18071,16670,217.3,93067
2020-12-10,England,444,72.5,2393,709,111.7,3951,1280,226.9,7611,1362,246.6,7619,1417,216.9,7565,1650,226.8,8623,1614,234.6,8935,1627,238.5,8906,1682,258.3,8820,1510,223.8,8316,1316,196.1,7663,1082,173.0,6351,739,141.8,4412,423,93.2,2606,371,78.2,2173,311,100.3,1946,344,144.2,2076,338,227.0,1997,306,377.8,1954,39,,212,2832,127.5,17164,15732,203.1,86965
2020-12-09,England,393,68.4,2258,635,106.0,3749,1311,216.7,7270,1252,230.4,7121,1414,201.7,7036,1551,210.5,8003,1511,218.5,8321,1498,225.0,8399,1420,240.8,8223,1330,210.2,7810,1262,184.0,7188,1091,163.2,5992,773,135.6,4220,402,89.8,2511,357,75.4,2096,302,97.9,1900,329,138.1,1989,337,217.8,1916,309,366.0,1893,28,,192,2809,122.7,16525,14696,190.5,81562
2020-12-08,England,395,66.2,2186,631,103.0,3646,1221,204.8,6870,1156,220.7,6819,1191,188.2,6564,1424,198.2,7535,1439,208.0,7920,1430,215.1,8031,1435,233.3,7964,1248,203.2,7551,1202,176.9,6912,1009,156.2,5734,680,130.9,4074,446,88.4,2473,346,73.5,2042,309,95.0,1844,347,134.2,1932,366,213.7,1880,356,356.7,1845,56,,201,2850,119.5,16090,13837,182.0,77933
2020-12-07,England,387,63.7,2102,682,99.5,3520,1264,197.6,6629,1338,216.0,6674,1196,180.3,6287,1338,187.9,7143,1439,200.6,7637,1489,206.0,7690,1457,221.8,7573,1464,197.7,7346,1284,172.9,6757,1143,150.6,5529,779,127.8,3976,430,84.7,2369,321,72.7,2021,340,93.0,1804,367,132.4,1907,318,209.9,1847,360,361.1,1868,21,,176,2915,117.3,15792,14502,175.3,75063
2020-12-06,England,263,61.5,2028,381,96.2,3405,787,194.5,6523,809,206.1,6369,731,173.0,6035,842,184.8,7024,966,195.1,7429,974,198.6,7414,932,214.0,7308,940,191.2,7105,804,170.0,6641,655,144.4,5301,462,124.4,3872,300,83.4,2332,247,73.5,2043,199,93.5,1815,211,130.8,1883,199,212.0,1865,184,365.2,1889,11,,184,1802,116.6,15699,9095,169.9,72766
2020-12-05,England,232,60.5,1995,370,94.6,3347,723,188.9,6336,751,199.6,6167,741,169.7,5919,853,181.2,6889,912,189.3,7208,843,193.1,7208,875,209.1,7138,813,186.9,6943,765,167.8,6558,638,141.4,5191,439,121.3,3776,246,80.8,2260,239,71.1,1975,202,92.3,1792,201,129.3,1862,164,209.6,1844,151,360.9,1867,19,,197,1642,114.2,15376,8535,166.0,71096
2020-12-04,England,279,59.8,1973,543,93.1,3293,1025,187.0,6273,951,196.4,6068,875,166.9,5821,965,178.7,6793,1054,186.8,7112,1045,191.3,7141,1019,205.9,7029,1011,185.2,6881,1030,166.8,6517,733,140.4,5153,540,120.3,3744,359,80.7,2257,292,69.1,1920,283,91.4,1774,277,127.5,1836,275,209.3,1841,288,360.9,1867,38,,201,2314,113.2,15239,10568,164.1,70255
2020-12-03,England,309,60.0,1981,507,91.3,3232,939,182.3,6115,864,193.6,5984,888,165.4,5769,1030,177.9,6764,1000,185.7,7072,1120,189.7,7083,1085,205.5,7016,1004,182.3,6775,841,164.8,6441,723,141.3,5185,547,122.1,3798,328,80.6,2255,294,70.2,1951,265,91.4,1773,257,127.0,1828,257,205.4,1807,245,359.0,1857,19,,201,2193,113.4,15269,10329,162.6,69618
2020-12-02,England,321,60.0,1980,532,89.5,3167,911,181.4,6085,950,195.2,6032,942,163.2,5691,1083,177.2,6737,1110,188.3,7169,1130,187.4,6995,1161,202.7,6922,1071,181.0,6724,986,165.6,6470,833,141.7,5202,627,123.2,3835,364,79.9,2235,303,69.3,1927,246,92.1,1788,272,128.5,1851,301,201.3,1771,261,360.4,1864,37,,207,2374,113.4,15271,11067,162.0,69381
2020-12-01,England,311,59.9,1975,505,89.1,3153,980,185.9,6236,1011,196.3,6066,914,165.7,5781,1032,177.9,6764,1156,189.0,7197,1089,187.5,6999,1044,202.1,6899,1043,182.1,6767,1047,166.7,6512,804,143.1,5254,582,122.3,3806,342,80.5,2252,325,70.6,1963,269,94.7,1838,322,129.7,1868,333,198.5,1746,379,359.4,1859,31,,203,2552,113.9,15332,10967,163.0,69806
2020-11-30,England,313,59.6,1967,567,88.3,3124,1158,185.1,6209,1033,194.6,6013,944,167.2,5831,1219,180.4,6859,1231,190.2,7243,1213,189.0,7055,1192,203.6,6951,1223,185.1,6877,1168,165.8,6480,915,145.2,5329,675,125.0,3891,393,81.2,2270,343,71.6,1990,351,95.6,1855,343,132.1,1902,336,203.1,1787,381,351.1,1816,29,,209,2822,115.2,15511,12205,163.8,70147
2020-11-29,England,230,60.4,1994,323,88.4,3128,600,184.5,6189,607,199.6,6169,615,173.2,6042,707,182.9,6954,745,193.4,7365,768,191.2,7138,762,208.1,7106,778,186.2,6919,721,166.9,6521,545,149.5,5487,366,127.4,3966,228,83.7,2340,179,72.8,2022,176,94.6,1836,190,132.0,1901,178,202.0,1777,162,338.9,1753,24,,221,1479,115.8,15595,7425,166.3,71233
2020-11-28,England,210,61.3,2024,316,88.8,3142,660,185.8,6232,652,202.9,6270,643,176.1,6141,757,185.5,7051,816,195.6,7448,776,194.2,7251,766,210.1,7174,751,187.3,6961,724,170.3,6656,600,151.5,5560,407,130.4,4059,243,85.7,2396,184,74.7,2075,184,96.6,1874,175,132.6,1910,161,201.9,1776,151,336.8,1742,23,,222,1505,117.6,15832,7694,168.4,72132
2020-11-27,England,287,61.6,2033,482,89.2,3155,867,187.5,6290,867,206.2,6373,823,179.1,6247,936,187.6,7132,1014,197.3,7514,987,197.3,7367,1006,212.5,7255,905,189.3,7035,954,174.8,6832,765,154.4,5667,594,132.9,4136,357,87.9,2459,323,78.2,2173,282,98.6,1913,269,137.2,1975,241,207.4,1825,278,339.1,1754,38,,239,2344,120.6,16235,9931,170.8,73139
2020-11-26,England,308,62.9,2077,442,90.1,3188,909,191.0,6405,912,210.9,6518,810,186.3,6498,1003,195.5,7433,1097,203.2,7738,1032,202.0,7541,991,216.8,7402,953,196.1,7285,870,178.5,6976,740,159.3,5849,584,135.3,4211,308,91.2,2552,270,81.1,2253,280,100.8,1956,280,139.6,2010,221,213.5,1878,252,337.2,1744,25,,264,2195,123.3,16604,10092,175.6,75174
2020-11-25,England,316,64.7,2134,518,92.8,3282,1062,195.0,6540,984,218.3,6746,1032,196.5,6852,1110,201.4,7655,1138,209.4,7972,1134,207.3,7740,1138,222.7,7605,1114,204.0,7582,1028,185.6,7254,885,166.6,6114,598,139.4,4337,381,95.6,2675,339,86.1,2392,296,103.3,2005,289,142.0,2045,276,220.7,1942,256,338.7,1752,33,,367,2435,127.3,17148,11492,181.8,77843
2020-11-24,England,303,67.6,2230,476,94.9,3358,953,200.4,6721,958,228.0,7045,964,207.0,7219,1127,210.7,8011,1202,221.0,8415,1145,215.6,8050,1096,231.5,7905,1153,213.0,7913,1015,195.4,7635,879,175.7,6450,667,147.0,4573,360,101.0,2825,352,90.6,2519,286,107.6,2089,356,146.1,2104,374,224.3,1973,336,347.6,1798,37,,440,2731,132.8,17881,11308,190.1,81392
2020-11-23,England,340,70.0,2309,571,99.3,3513,1138,209.6,7031,1189,246.6,7619,1155,222.9,7775,1314,223.9,8513,1353,234.1,8916,1296,228.5,8530,1347,244.1,8334,1265,225.3,8370,1209,210.3,8218,1073,190.7,7000,750,158.8,4942,463,110.1,3078,375,96.5,2682,332,113.5,2202,342,151.9,2187,326,225.1,1980,318,356.1,1842,41,,516,2906,140.5,18913,13291,202.3,86644
2020-11-22,England,260,75.3,2485,337,102.9,3642,643,218.1,7317,708,260.3,8044,714,241.6,8425,804,239.0,9087,828,249.7,9510,881,244.2,9117,830,258.4,8823,820,242.2,9001,856,229.9,8985,618,208.0,7634,459,175.3,5454,284,120.6,3372,232,106.5,2960,214,121.9,2366,199,158.4,2281,177,232.2,2043,151,370.2,1915,25,,618,1716,151.4,20391,8324,216.5,92688
2020-11-21,England,219,77.7,2563,329,104.2,3688,718,219.9,7375,755,270.6,8363,749,252.7,8814,838,250.0,9502,882,259.1,9865,892,251.5,9390,847,267.9,9146,825,251.1,9332,900,238.3,9310,707,220.6,8097,484,183.4,5707,306,126.7,3543,282,111.4,3096,223,126.4,2453,240,163.5,2354,210,239.0,2103,163,378.1,1956,40,,600,1908,157.5,21212,8701,224.3,96045
2020-11-20,England,331,81.5,2689,515,105.9,3747,982,223.1,7483,1012,283.0,8746,1074,271.0,9453,1237,265.1,10079,1238,272.0,10357,1161,263.8,9851,1153,279.0,9526,1155,264.1,9815,1098,249.0,9731,947,233.5,8572,669,194.2,6043,450,133.8,3741,403,115.5,3209,325,132.0,2561,304,168.9,2432,294,239.5,2107,268,376.4,1947,63,,586,2713,163.7,22040,11966,235.0,100635
2020-11-19,England,365,85.7,2827,536,107.9,3819,1044,224.5,7530,1140,300.6,9289,1164,292.0,10184,1225,282.8,10749,1331,287.7,10956,1231,280.1,10457,1194,292.6,9990,1250,279.0,10366,1148,265.8,10386,1005,251.5,9233,710,207.0,6441,431,142.1,3973,409,123.2,3424,329,140.3,2722,315,178.2,2566,285,247.0,2173,260,386.3,1998,128,,552,2739,173.0,23297,12761,248.3,106338
2020-11-18,England,412,87.2,2877,594,109.6,3878,1243,222.7,7470,1283,315.8,9759,1399,315.7,11011,1466,305.3,11606,1581,304.3,11586,1444,294.1,10980,1438,306.3,10459,1445,291.1,10817,1409,281.1,10984,1221,266.9,9796,834,218.6,6802,531,151.4,4233,466,128.7,3577,380,146.4,2842,348,185.4,2670,307,254.0,2235,302,394.8,2042,106,,444,3168,181.2,24401,15041,260.8,111667
