date,areaName,cases_00_04,rollingRate_00_04,rollingSum_00_04,cases_05_09,rollingRate_05_09,rollingSum_05_09,cases_10_14,rollingRate_10_14,rollingSum_10_14,cases_15_19,rollingRate_15_19,rollingSum_15_19,cases_20_24,rollingRate_20_24,rollingSum_20_24,cases_25_29,rollingRate_25_29,rollingSum_25_29,cases_30_34,rollingRate_30_34,rollingSum_30_34,cases_35_39,rollingRate_35_39,rollingSum_35_39,cases_40_44,rollingRate_40_44,rollingSum_40_44,cases_45_49,rollingRate_45_49,rollingSum_45_49,cases_50_54,rollingRate_50_54,rollingSum_50_54,cases_55_59,rollingRate_55_59,rollingSum_55_59,cases_60_64,rollingRate_60_64,rollingSum_60_64,cases_65_69,rollingRate_65_69,rollingSum_65_69,cases_70_74,rollingRate_70_74,rollingSum_70_74,cases_75_79,rollingRate_75_79,rollingSum_75_79,cases_80_84,rollingRate_80_84,rollingSum_80_84,cases_85_89,rollingRate_85_89,rollingSum_85_89,cases_90+,rollingRate_90+,rollingSum_90+,cases_unassigned,rollingRate_unassigned,rollingSum_unassigned,cases_60+,rollingRate_60+,rollingSum_60+,cases_00_59,rollingRate_00_59,rollingSum_00_59
2020-12-26,North West,51,74.9,322,49,86.8,397,78,168.4,737,122,222.2,900,218,283.0,1321,264,325.5,1632,292,330.3,1598,272,319.2,1478,224,314.3,1309,166,265.8,1268,241,269.0,1384,222,243.5,1202,130,191.3,803,89,136.8,517,72,124.3,463,39,127.9,333,44,172.8,329,28,225.8,251,28,335.6,211,0,,7,430,162.0,2907,2199,244.4,13555
2020-12-25,North West,14,70.8,304,12,83.8,383,33,173.0,757,47,213.3,864,65,260.9,1218,83,306.1,1535,91,300.5,1454,79,290.2,1344,75,284.6,1185,80,254.4,1214,77,246.7,1269,70,225.8,1115,41,177.5,745,24,127.8,483,37,119.5,445,27,132.8,346,23,172.8,329,15,239.3,266,8,361.1,227,0,,7,175,158.3,2841,726,228.1,12649
2020-12-24,North West,47,74.9,322,53,93.2,426,105,187.4,820,120,228.3,925,202,283.6,1324,210,327.5,1642,221,319.3,1545,191,312.9,1449,163,305.9,1274,198,276.4,1319,208,267.5,1376,159,241.8,1194,118,190.4,799,60,138.7,524,56,124.3,463,39,148.6,387,43,182.8,348,44,264.5,294,30,392.9,247,2,,8,390,170.6,3062,1879,245.6,13624
2020-12-23,North West,56,72.6,312,84,91.2,417,140,181.5,794,184,226.1,916,258,274.9,1283,287,325.1,1630,278,310.0,1500,239,307.9,1426,232,305.2,1271,220,266.8,1273,217,255.0,1312,192,234.5,1158,137,188.4,791,98,140.6,531,75,123.2,459,52,148.6,387,46,179.6,342,42,269.9,300,37,412.0,259,0,,6,487,171.0,3069,2387,239.8,13298
2020-12-22,North West,59,66.3,285,81,83.8,383,141,168.9,739,140,217.2,880,218,254.3,1187,287,309.3,1551,263,293.3,1419,243,295.0,1366,205,284.3,1184,203,251.5,1200,233,241.8,1244,205,220.8,1090,133,178.4,749,85,133.7,505,87,122.7,457,53,147.8,385,60,176.0,335,51,279.8,311,45,392.9,247,0,,7,514,166.5,2989,2278,226.0,12535
2020-12-21,North West,60,61.9,266,64,77.4,354,148,160.2,701,173,216.2,876,225,241.2,1126,314,294.5,1477,277,278.2,1346,248,280.5,1299,260,278.6,1160,239,243.1,1160,248,228.6,1176,220,208.4,1029,147,170.8,717,95,129.4,489,78,112.2,418,87,144.4,376,66,174.9,333,52,275.3,306,45,373.8,235,3,,10,570,160.1,2874,2479,216.0,11980
2020-12-20,North West,35,58.4,251,54,81.2,371,92,154.3,675,114,204.1,827,135,228.6,1067,187,273.4,1371,176,262.7,1271,206,268.2,1242,150,258.4,1076,162,233.9,1116,160,213.2,1097,134,191.6,946,97,163.4,686,66,119.4,451,58,108.5,404,36,129.4,337,47,174.4,332,19,262.7,292,18,353.1,222,2,,7,341,151.8,2724,1607,204.0,11317
2020-12-19,North West,33,55.2,237,35,77.7,355,98,146.7,642,86,194.8,789,115,220.7,1030,167,258.5,1296,148,247.8,1199,138,246.2,1140,100,247.8,1032,112,223.4,1066,126,201.0,1034,135,183.7,907,72,155.8,654,55,115.1,435,54,105.5,393,52,129.0,336,44,171.2,326,43,276.2,307,44,367.4,231,0,,5,364,149.4,2682,1293,193.5,10732
2020-12-18,North West,32,54.2,233,55,77.9,356,96,138.5,606,108,193.0,782,171,217.2,1014,190,245.5,1231,182,241.6,1169,184,239.5,1109,164,247.1,1029,185,222.4,1061,184,196.5,1011,149,173.6,857,95,152.0,638,65,107.7,407,55,99.9,372,68,122.9,320,42,164.4,313,43,263.6,293,28,329.2,207,1,,5,396,142.1,2550,1701,188.6,10463
2020-12-17,North West,37,53.3,229,44,74.6,341,79,137.6,602,111,197.2,799,161,204.4,954,198,232.3,1165,176,235.6,1140,168,232.8,1078,160,234.6,977,152,207.3,989,144,184.5,949,123,163.7,808,110,151.5,636,67,107.7,407,52,96.1,358,39,113.3,295,37,168.1,320,50,259.1,288,42,343.6,216,0,,7,397,140.4,2520,1553,181.0,10038
