date,areaName,cases,casesRollingSum,casesRollingRate,cases00_04,casesRollingSum00_04,casesRollingRate00_04,cases05_09,casesRollingSum05_09,casesRollingRate05_09,cases10_14,casesRollingSum10_14,casesRollingRate10_14,cases15_19,casesRollingSum15_19,casesRollingRate15_19,cases20_24,casesRollingSum20_24,casesRollingRate20_24,cases25_29,casesRollingSum25_29,casesRollingRate25_29,cases30_34,casesRollingSum30_34,casesRollingRate30_34,cases35_39,casesRollingSum35_39,casesRollingRate35_39,cases40_44,casesRollingSum40_44,casesRollingRate40_44,cases45_49,casesRollingSum45_49,casesRollingRate45_49,cases50_54,casesRollingSum50_54,casesRollingRate50_54,cases55_59,casesRollingSum55_59,casesRollingRate55_59,cases60_64,casesRollingSum60_64,casesRollingRate60_64,cases65_69,casesRollingSum65_69,casesRollingRate65_69,cases70_74,casesRollingSum70_74,casesRollingRate70_74,cases75_79,casesRollingSum75_79,casesRollingRate75_79,cases80_84,casesRollingSum80_84,casesRollingRate80_84,cases85_89,casesRollingSum85_89,casesRollingRate85_89,cases90+,casesRollingSum90+,casesRollingRate90+,casesReported
2020-01-03,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-04,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-05,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-06,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-07,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-08,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-09,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-10,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-11,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-12,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-13,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-14,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-15,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-16,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-17,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-18,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-19,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-20,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-21,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-22,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-23,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-24,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-25,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-26,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-27,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-28,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-29,England,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-30,England,2,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
2020-01-31,England,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2
2020-02-01,England,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
2020-02-02,England,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
2020-02-03,England,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
2020-02-04,England,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
2020-02-05,England,1,4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,2,0.1,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
2020-02-06,England,0,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1
2020-02-07,England,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
2020-02-08,England,4,5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3,4,0.1,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
2020-02-09,England,1,6,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,5,0.1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1
2020-02-10,England,0,6,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,0.1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4
2020-02-11,England,1,7,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,0.1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
2020-02-12,England,0,6,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,0.1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
2020-02-13,England,0,6,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,0.1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1
2020-02-14,England,0,6,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,0.1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
2020-02-15,England,0,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
2020-02-16,England,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
2020-02-17,England,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
2020-02-18,England,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
2020-02-19,England,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
2020-02-20,England,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
2020-02-21,England,1,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.1,0,0,0.0,0,0,0.0,0,0,0.0,0
2020-02-22,England,1,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.1,0,0,0.0,1,1,0.1,0,0,0.0,0
2020-02-23,England,1,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.1,0,0,0.0,0,1,0.1,0,0,0.0,0
2020-02-24,England,2,5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.1,0,0,0.0,0,1,0.1,0,0,0.0,4
2020-02-25,England,5,10,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,1,2,0.1,0,0,0.0,1,1,0.0,1,1,0.0,1,2,0.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.1,0,0,0.0,1,2,0.2,0,0,0.0,0
2020-02-26,England,4,14,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.0,0,1,0.0,0,2,0.1,0,0,0.0,1,2,0.1,1,2,0.1,1,3,0.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.1,0,0,0.0,0,2,0.2,0,0,0.0,0
2020-02-27,England,7,21,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,1,0.0,1,3,0.1,0,0,0.0,0,2,0.1,2,4,0.1,1,4,0.1,2,2,0.1,1,1,0.0,0,0,0.0,0,0,0.0,0,1,0.1,0,0,0.0,0,2,0.2,0,0,0.0,0
2020-02-28,England,11,31,0.10000000000000000555,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,2,0.1,0,1,0.0,1,4,0.1,3,3,0.1,2,4,0.1,3,7,0.2,0,4,0.1,1,3,0.1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,0.2,0,0,0.0,5
2020-02-29,England,5,35,0.10000000000000000555,0,0,0.0,0,0,0.0,1,1,0.0,0,0,0.0,1,3,0.1,0,1,0.0,1,5,0.1,0,3,0.1,0,4,0.1,0,7,0.2,0,4,0.1,0,3,0.1,0,1,0.0,0,0,0.0,0,0,0.0,1,1,0.1,1,1,0.1,0,1,0.1,0,0,0.0,3
2020-03-01,England,20,54,0.10000000000000000555,0,0,0.0,0,0,0.0,0,1,0.0,1,1,0.0,1,4,0.1,2,2,0.1,0,5,0.1,2,5,0.1,2,6,0.2,3,10,0.30000000000000004,3,7,0.2,2,5,0.1,2,3,0.1,0,0,0.0,1,1,0.0,1,2,0.1,0,1,0.1,0,1,0.1,0,0,0.0,12
2020-03-02,England,39,91,0.2000000000000000111,0,0,0.0,0,0,0.0,0,1,0.0,0,1,0.0,2,6,0.2,0,2,0.1,7,11,0.30000000000000004,2,7,0.2,4,10,0.30000000000000004,8,18,0.5,6,12,0.30000000000000004,4,9,0.2,2,5,0.2,2,2,0.1,2,3,0.1,0,2,0.1,0,1,0.1,0,1,0.1,0,0,0.0,4
2020-03-03,England,52,138,0.2000000000000000111,1,1,0.0,1,1,0.0,0,1,0.0,1,2,0.1,3,9,0.30000000000000004,6,8,0.2,3,13,0.30000000000000004,2,9,0.2,5,14,0.4,7,24,0.6000000000000001,1,12,0.30000000000000004,11,20,0.5,5,10,0.30000000000000004,2,4,0.1,2,5,0.2,1,3,0.2,1,2,0.1,0,0,0.0,0,0,0.0,11
2020-03-04,England,49,183,0.30000000000000004441,0,1,0.0,0,1,0.0,2,3,0.1,0,2,0.1,5,13,0.4,5,13,0.30000000000000004,5,18,0.5,6,15,0.4,2,15,0.4,4,27,0.7000000000000001,7,18,0.5,2,22,0.6000000000000001,3,13,0.4,4,8,0.30000000000000004,2,7,0.30000000000000004,1,4,0.2,1,3,0.2,0,0,0.0,0,0,0.0,32
