date,areaName,cases,casesRollingRate,casesReported
2020-01-03,United Kingdom,,0,0
2020-01-04,United Kingdom,,0,0
2020-01-05,United Kingdom,,0,0
2020-01-06,United Kingdom,,0,0
2020-01-07,United Kingdom,,0,0
2020-01-08,United Kingdom,,0,0
2020-01-09,United Kingdom,,0,0
2020-01-10,United Kingdom,,0,0
2020-01-11,United Kingdom,,0,0
2020-01-12,United Kingdom,,0,0
2020-01-13,United Kingdom,,0,0
2020-01-14,United Kingdom,,0,0
2020-01-15,United Kingdom,,0,0
2020-01-16,United Kingdom,,0,0
2020-01-17,United Kingdom,,0,0
2020-01-18,United Kingdom,,0,0
2020-01-19,United Kingdom,,0,0
2020-01-20,United Kingdom,,0,0
2020-01-21,United Kingdom,,0,0
2020-01-22,United Kingdom,,0,0
2020-01-23,United Kingdom,,0,0
2020-01-24,United Kingdom,,0,0
2020-01-25,United Kingdom,,0,0
2020-01-26,United Kingdom,,0,0
2020-01-27,United Kingdom,,0,0
2020-01-28,United Kingdom,,0,0
2020-01-29,United Kingdom,,0,0
2020-01-30,United Kingdom,2,0,0
2020-01-31,United Kingdom,0,0,2
2020-02-01,United Kingdom,0,0,0
2020-02-02,United Kingdom,0,0,0
2020-02-03,United Kingdom,0,0,0
2020-02-04,United Kingdom,0,0,0
2020-02-05,United Kingdom,1,0,0
2020-02-06,United Kingdom,0,0,1
2020-02-07,United Kingdom,0,0,0
2020-02-08,United Kingdom,4,0,0
2020-02-09,United Kingdom,1,0,1
2020-02-10,United Kingdom,0,0,4
2020-02-11,United Kingdom,1,0,0
2020-02-12,United Kingdom,0,0,0
2020-02-13,United Kingdom,0,0,1
2020-02-14,United Kingdom,0,0,0
2020-02-15,United Kingdom,0,0,0
2020-02-16,United Kingdom,0,0,0
2020-02-17,United Kingdom,1,0,0
2020-02-18,United Kingdom,0,0,0
2020-02-19,United Kingdom,0,0,0
2020-02-20,United Kingdom,0,0,0
2020-02-21,United Kingdom,1,0,0
2020-02-22,United Kingdom,0,0,0
2020-02-23,United Kingdom,1,0,0
2020-02-24,United Kingdom,2,0,4
2020-02-25,United Kingdom,5,0,0
2020-02-26,United Kingdom,4,0,0
2020-02-27,United Kingdom,8,0,0
2020-02-28,United Kingdom,12,0,6
2020-02-29,United Kingdom,5,0.10000000000000000555,4
2020-03-01,United Kingdom,22,0.10000000000000000555,12
2020-03-02,United Kingdom,39,0.10000000000000000555,5
2020-03-03,United Kingdom,56,0.2000000000000000111,11
2020-03-04,United Kingdom,56,0.30000000000000004441,34
2020-03-05,United Kingdom,50,0.4000000000000000222,29
2020-03-06,United Kingdom,81,0.5,46
2020-03-07,United Kingdom,68,0.60000000000000008882,46
2020-03-08,United Kingdom,57,0.60000000000000008882,65
2020-03-09,United Kingdom,147,0.80000000000000004441,50
2020-03-10,United Kingdom,265,1.1000000000000000888,52
2020-03-11,United Kingdom,405,1.6000000000000000888,83
2020-03-12,United Kingdom,481,2.2999999999999998224,134
2020-03-13,United Kingdom,479,2.7999999999999998224,207
2020-03-14,United Kingdom,363,3.2999999999999998224,264
2020-03-15,United Kingdom,442,3.8999999999999999112,330
2020-03-16,United Kingdom,612,4.5999999999999996447,152
2020-03-17,United Kingdom,772,5.2999999999999998224,407
2020-03-18,United Kingdom,998,6.2000000000000001776,676
2020-03-19,United Kingdom,1048,7.0999999999999996447,643
2020-03-20,United Kingdom,1256,8.1999999999999992895,714
2020-03-21,United Kingdom,1190,9.5,1035
2020-03-22,United Kingdom,1375,10.900000000000000355,665
2020-03-23,United Kingdom,2325,13.400000000000000355,967
2020-03-24,United Kingdom,2375,15.800000000000000711,1427
2020-03-25,United Kingdom,2689,18.399999999999998579,1452
2020-03-26,United Kingdom,3088,21.399999999999998579,2129
2020-03-27,United Kingdom,3186,24.300000000000000711,2890
2020-03-28,United Kingdom,2815,26.699999999999999289,2556
2020-03-29,United Kingdom,2854,28.899999999999998579,2502
2020-03-30,United Kingdom,4263,31.800000000000000711,2665
2020-03-31,United Kingdom,4514,35,3250
2020-04-01,United Kingdom,4937,38.399999999999998579,4567
2020-04-02,United Kingdom,4857,41.100000000000001421,4522
2020-04-03,United Kingdom,4893,43.600000000000001421,4672
2020-04-04,United Kingdom,4005,45.399999999999998579,4000
2020-04-05,United Kingdom,3586,46.5,6199
2020-04-06,United Kingdom,5259,48,4143
2020-04-07,United Kingdom,5429,49.399999999999998579,3888
2020-04-08,United Kingdom,5125,49.600000000000001421,5865
2020-04-09,United Kingdom,4855,49.600000000000001421,4675
2020-04-10,United Kingdom,4315,48.799999999999997158,5706
2020-04-11,United Kingdom,3562,48.100000000000001421,5234
2020-04-12,United Kingdom,3480,47.899999999999998579,5288
2020-04-13,United Kingdom,4174,46.299999999999997158,4342
2020-04-14,United Kingdom,4301,44.600000000000001421,5252
2020-04-15,United Kingdom,5044,44.5,4605
2020-04-16,United Kingdom,5277,45.100000000000001421,4618
2020-04-17,United Kingdom,4942,46.100000000000001421,5599
2020-04-18,United Kingdom,4707,47.799999999999997158,5526
2020-04-19,United Kingdom,3857,48.399999999999998579,5850
2020-04-20,United Kingdom,4846,49.399999999999998579,4676
2020-04-21,United Kingdom,4765,50.100000000000001421,4301
2020-04-22,United Kingdom,5492,50.700000000000002842,4451
2020-04-23,United Kingdom,5149,50.5,4583
2020-04-24,United Kingdom,4953,50.600000000000001421,5386
2020-04-25,United Kingdom,3747,49.100000000000001421,4913
2020-04-26,United Kingdom,3470,48.5,4463
2020-04-27,United Kingdom,4699,48.299999999999997158,4310
2020-04-28,United Kingdom,4720,48.299999999999997158,3996
2020-04-29,United Kingdom,5431,48.200000000000002842,4076
2020-04-30,United Kingdom,4962,47.899999999999998579,6032
2020-05-01,United Kingdom,4729,47.5,6201
2020-05-02,United Kingdom,3229,46.799999999999997158,4806
2020-05-03,United Kingdom,2979,46,4339
2020-05-04,United Kingdom,3389,44.100000000000001421,3985
2020-05-05,United Kingdom,3673,42.5,4406
2020-05-06,United Kingdom,3823,40.100000000000001421,6111
2020-05-07,United Kingdom,3767,38.299999999999997158,5614
2020-05-08,United Kingdom,3061,35.799999999999997158,4649
2020-05-09,United Kingdom,2160,34.200000000000002842,3896
2020-05-10,United Kingdom,2322,33.200000000000002842,3923
2020-05-11,United Kingdom,3575,33.5,3877
2020-05-12,United Kingdom,3391,33.100000000000001421,3403
2020-05-13,United Kingdom,3310,32.299999999999997158,3242
2020-05-14,United Kingdom,2627,30.600000000000001421,3446
2020-05-15,United Kingdom,2529,29.800000000000000711,3560
2020-05-16,United Kingdom,2079,29.699999999999999289,3451
2020-05-17,United Kingdom,1832,29,3562
2020-05-18,United Kingdom,2574,27.5,2684
2020-05-19,United Kingdom,3054,27,2412
2020-05-20,United Kingdom,2706,26.100000000000001421,2472
2020-05-21,United Kingdom,2569,26,2615
2020-05-22,United Kingdom,2056,25.300000000000000711,3287
2020-05-23,United Kingdom,1527,24.399999999999998579,2959
2020-05-24,United Kingdom,1364,23.699999999999999289,2409
2020-05-25,United Kingdom,1618,22.300000000000000711,1625
2020-05-26,United Kingdom,1659,20.199999999999999289,2004
2020-05-27,United Kingdom,1826,18.899999999999998579,2013
2020-05-28,United Kingdom,1757,17.699999999999999289,1887
2020-05-29,United Kingdom,1527,16.899999999999998579,2095
2020-05-30,United Kingdom,1120,16.300000000000000711,2445
2020-05-31,United Kingdom,1083,15.900000000000000355,1936
2020-06-01,United Kingdom,1441,15.599999999999999645,1570
2020-06-02,United Kingdom,1490,15.300000000000000711,1613
2020-06-03,United Kingdom,1361,14.599999999999999645,1871
2020-06-04,United Kingdom,1254,13.900000000000000355,1805
2020-06-05,United Kingdom,1125,13.300000000000000711,1650
2020-06-06,United Kingdom,807,12.800000000000000711,1557
2020-06-07,United Kingdom,721,12.300000000000000711,1326
2020-06-08,United Kingdom,1099,11.800000000000000711,1205
2020-06-09,United Kingdom,1153,11.300000000000000711,1387
2020-06-10,United Kingdom,1192,11,1003
2020-06-11,United Kingdom,1011,10.599999999999999645,1266
2020-06-12,United Kingdom,1057,10.5,1541
2020-06-13,United Kingdom,893,10.699999999999999289,1425
2020-06-14,United Kingdom,819,10.800000000000000711,1514
2020-06-15,United Kingdom,1045,10.699999999999999289,1056
2020-06-16,United Kingdom,1104,10.699999999999999289,1279
2020-06-17,United Kingdom,1014,10.400000000000000355,1115
2020-06-18,United Kingdom,1028,10.400000000000000355,1218
2020-06-19,United Kingdom,994,10.300000000000000711,1346
2020-06-20,United Kingdom,687,10,1295
2020-06-21,United Kingdom,637,9.6999999999999992895,1221
2020-06-22,United Kingdom,896,9.5,958
2020-06-23,United Kingdom,889,9.1999999999999992895,874
2020-06-24,United Kingdom,777,8.8000000000000007105,653
2020-06-25,United Kingdom,718,8.4000000000000003553,1118
2020-06-26,United Kingdom,671,7.9000000000000003553,1006
2020-06-27,United Kingdom,653,7.7999999999999998224,890
2020-06-28,United Kingdom,446,7.5999999999999996447,901
2020-06-29,United Kingdom,728,7.2999999999999998224,815
2020-06-30,United Kingdom,617,6.9000000000000003553,689
2020-07-01,United Kingdom,657,6.7000000000000001776,829
2020-07-02,United Kingdom,607,6.5999999999999996447,576
2020-07-03,United Kingdom,574,6.4000000000000003553,544
2020-07-04,United Kingdom,400,6,624
2020-07-05,United Kingdom,556,6.2000000000000001776,516
2020-07-06,United Kingdom,709,6.2000000000000001776,343
2020-07-07,United Kingdom,604,6.0999999999999996447,581
2020-07-08,United Kingdom,702,6.2000000000000001776,630
2020-07-09,United Kingdom,717,6.4000000000000003553,642
2020-07-10,United Kingdom,563,6.4000000000000003553,512
2020-07-11,United Kingdom,447,6.4000000000000003553,820
2020-07-12,United Kingdom,370,6.2000000000000001776,650
2020-07-13,United Kingdom,734,6.2000000000000001776,530
2020-07-14,United Kingdom,691,6.2999999999999998224,398
2020-07-15,United Kingdom,774,6.4000000000000003553,538
2020-07-16,United Kingdom,706,6.4000000000000003553,642
2020-07-17,United Kingdom,581,6.4000000000000003553,687
2020-07-18,United Kingdom,499,6.5,827
2020-07-19,United Kingdom,443,6.5999999999999996447,726
2020-07-20,United Kingdom,812,6.7000000000000001776,557
2020-07-21,United Kingdom,783,6.9000000000000003553,445
2020-07-22,United Kingdom,796,6.9000000000000003553,560
2020-07-23,United Kingdom,798,7.0999999999999996447,769
2020-07-24,United Kingdom,774,7.2999999999999998224,768
2020-07-25,United Kingdom,522,7.4000000000000003553,767
2020-07-26,United Kingdom,557,7.5,745
2020-07-27,United Kingdom,855,7.5999999999999996447,685
2020-07-28,United Kingdom,842,7.7000000000000001776,581
2020-07-29,United Kingdom,1038,8.0999999999999996447,763
2020-07-30,United Kingdom,925,8.3000000000000007105,846
2020-07-31,United Kingdom,677,8.0999999999999996447,880
2020-08-01,United Kingdom,543,8.0999999999999996447,761
2020-08-02,United Kingdom,555,8.0999999999999996447,744
2020-08-03,United Kingdom,1041,8.4000000000000003553,898
2020-08-04,United Kingdom,1019,8.6999999999999992895,670
2020-08-05,United Kingdom,1061,8.6999999999999992895,892
2020-08-06,United Kingdom,1085,9,950
2020-08-07,United Kingdom,945,9.4000000000000003553,871
2020-08-08,United Kingdom,694,9.5999999999999996447,758
2020-08-09,United Kingdom,615,9.6999999999999992895,1062
2020-08-10,United Kingdom,1475,10.300000000000000711,740
2020-08-11,United Kingdom,1339,10.800000000000000711,1148
2020-08-12,United Kingdom,1207,11,1009
2020-08-13,United Kingdom,1148,11.099999999999999645,1129
2020-08-14,United Kingdom,1162,11.400000000000000355,1441
2020-08-15,United Kingdom,695,11.400000000000000355,1077
2020-08-16,United Kingdom,601,11.400000000000000355,1040
2020-08-17,United Kingdom,1284,11.099999999999999645,713
2020-08-18,United Kingdom,1084,10.800000000000000711,1089
2020-08-19,United Kingdom,1243,10.800000000000000711,812
2020-08-20,United Kingdom,1462,11.300000000000000711,1182
2020-08-21,United Kingdom,1199,11.300000000000000711,1033
2020-08-22,United Kingdom,828,11.5,1288
2020-08-23,United Kingdom,826,11.900000000000000355,1160
2020-08-24,United Kingdom,1272,11.800000000000000711,853
2020-08-25,United Kingdom,1247,12.099999999999999645,1184
2020-08-26,United Kingdom,1350,12.300000000000000711,1048
2020-08-27,United Kingdom,1551,12.400000000000000355,1522
2020-08-28,United Kingdom,1625,13,1276
2020-08-29,United Kingdom,1221,13.599999999999999645,1108
2020-08-30,United Kingdom,1159,14.099999999999999645,1715
2020-08-31,United Kingdom,1502,14.5,1406
2020-09-01,United Kingdom,2249,16,1295
2020-09-02,United Kingdom,2994,18.399999999999998579,1508
2020-09-03,United Kingdom,3099,20.699999999999999289,1735
2020-09-04,United Kingdom,3040,22.899999999999998579,1940
2020-09-05,United Kingdom,2545,24.800000000000000711,1813
2020-09-06,United Kingdom,2448,26.800000000000000711,2988
2020-09-07,United Kingdom,3862,30.300000000000000711,2948
2020-09-08,United Kingdom,3303,31.899999999999998579,2460
2020-09-09,United Kingdom,3331,32.399999999999998579,2659
2020-09-10,United Kingdom,3596,33.100000000000001421,2919
2020-09-11,United Kingdom,3289,33.5,3539
2020-09-12,United Kingdom,2668,33.700000000000002842,3497
2020-09-13,United Kingdom,2142,33.200000000000002842,3330
2020-09-14,United Kingdom,3395,32.5,2621
2020-09-15,United Kingdom,3552,32.899999999999998579,3105
2020-09-16,United Kingdom,4366,34.399999999999998579,3991
2020-09-17,United Kingdom,4632,36,3395
2020-09-18,United Kingdom,4960,38.5,4322
2020-09-19,United Kingdom,4855,41.799999999999997158,4422
2020-09-20,United Kingdom,5321,46.5,3899
2020-09-21,United Kingdom,5599,49.799999999999997158,4368
2020-09-22,United Kingdom,6402,54.100000000000001421,4926
2020-09-23,United Kingdom,7060,58.100000000000001421,6178
2020-09-24,United Kingdom,7605,62.600000000000001421,6634
2020-09-25,United Kingdom,7246,66,6874
2020-09-26,United Kingdom,6758,68.900000000000005684,6042
2020-09-27,United Kingdom,6972,71.299999999999997158,5693
2020-09-28,United Kingdom,9926,77.799999999999997158,4044
2020-09-29,United Kingdom,10238,83.5,7143
2020-09-30,United Kingdom,12556,91.799999999999997158,7108
2020-10-01,United Kingdom,13186,100.09999999999999432,6914
2020-10-02,United Kingdom,13692,109.79999999999999716,6968
2020-10-03,United Kingdom,11545,116.90000000000000568,12872
2020-10-04,United Kingdom,11805,124.20000000000000284,22961
2020-10-05,United Kingdom,16555,134.09999999999999432,12594
2020-10-06,United Kingdom,17074,144.30000000000001137,14542
2020-10-07,United Kingdom,18328,153,14162
2020-10-08,United Kingdom,18244,160.59999999999999432,17540
2020-10-09,United Kingdom,15731,163.59999999999999432,13864
2020-10-10,United Kingdom,12518,165.09999999999999432,15166
2020-10-11,United Kingdom,12074,165.5,12872
2020-10-12,United Kingdom,19451,169.80000000000001137,13972
2020-10-13,United Kingdom,18907,172.5,17234
2020-10-14,United Kingdom,19705,174.59999999999999432,19724
2020-10-15,United Kingdom,18437,174.90000000000000568,18980
2020-10-16,United Kingdom,17725,177.90000000000000568,15650
2020-10-17,United Kingdom,14767,181.19999999999998863,16171
2020-10-18,United Kingdom,14189,184.40000000000000568,16982
2020-10-19,United Kingdom,25613,193.59999999999999432,18804
2020-10-20,United Kingdom,25323,203.19999999999998863,21331
2020-10-21,United Kingdom,25457,211.90000000000000568,26688
2020-10-22,United Kingdom,23245,219.09999999999999432,21242
2020-10-23,United Kingdom,21480,224.69999999999998863,20530
2020-10-24,United Kingdom,16236,226.90000000000000568,23012
2020-10-25,United Kingdom,15727,229.19999999999998863,19790
2020-10-26,United Kingdom,26550,230.59999999999999432,20890
2020-10-27,United Kingdom,24107,228.80000000000001137,22885
2020-10-28,United Kingdom,23618,226,24701
2020-10-29,United Kingdom,23349,226.19999999999998863,23065
2020-10-30,United Kingdom,22682,228,24405
2020-10-31,United Kingdom,16490,228.30000000000001137,21915
2020-11-01,United Kingdom,15752,228.40000000000000568,23254
2020-11-02,United Kingdom,31509,235.80000000000001137,18950
2020-11-03,United Kingdom,25593,238,20018
2020-11-04,United Kingdom,23681,238.09999999999999432,25177
2020-11-05,United Kingdom,23754,238.69999999999998863,24141
2020-11-06,United Kingdom,23330,239.69999999999998863,23287
2020-11-07,United Kingdom,18520,242.69999999999998863,24957
2020-11-08,United Kingdom,19954,249,20572
2020-11-09,United Kingdom,31053,248.30000000000001137,21350
2020-11-10,United Kingdom,27428,251.09999999999999432,20412
2020-11-11,United Kingdom,27369,256.60000000000002274,22950
2020-11-12,United Kingdom,24469,257.69999999999998863,33470
2020-11-13,United Kingdom,24052,258.80000000000001137,27301
2020-11-14,United Kingdom,18013,258,26860
2020-11-15,United Kingdom,16031,252.09999999999999432,24962
2020-11-16,United Kingdom,26584,245.40000000000000568,21363
2020-11-17,United Kingdom,23168,239.09999999999999432,20051
2020-11-18,United Kingdom,20764,229.19999999999998863,19609
2020-11-19,United Kingdom,17763,219.09999999999999432,22915
2020-11-20,United Kingdom,16853,208.40000000000000568,20252
2020-11-21,United Kingdom,12351,199.90000000000000568,19875
2020-11-22,United Kingdom,11741,193.5,18662
2020-11-23,United Kingdom,18778,181.80000000000001137,15450
2020-11-24,United Kingdom,16468,171.69999999999998863,11299
2020-11-25,United Kingdom,16622,165.5,18213
2020-11-26,United Kingdom,14582,160.80000000000001137,17555
2020-11-27,United Kingdom,14387,157.09999999999999432,16022
2020-11-28,United Kingdom,10963,155,15871
2020-11-29,United Kingdom,10684,153.40000000000000568,12155
2020-11-30,United Kingdom,18032,152.30000000000001137,12330
2020-12-01,United Kingdom,16467,152.30000000000001137,13430
2020-12-02,United Kingdom,16475,152.09999999999999432,16170
2020-12-03,United Kingdom,15648,153.69999999999998863,14879
2020-12-04,United Kingdom,15685,155.59999999999999432,16298
2020-12-05,United Kingdom,12779,158.30000000000001137,15539
2020-12-06,United Kingdom,13613,162.69999999999998863,17272
2020-12-07,United Kingdom,21349,167.69999999999998863,14718
2020-12-08,United Kingdom,20797,174.19999999999998863,12282
2020-12-09,United Kingdom,21649,181.90000000000000568,16578
2020-12-10,United Kingdom,22622,192.40000000000000568,20964
2020-12-11,United Kingdom,24093,205,21672
2020-12-12,United Kingdom,19361,214.80000000000001137,21502
2020-12-13,United Kingdom,21991,227.30000000000001137,18447
2020-12-14,United Kingdom,34731,247.40000000000000568,20263
2020-12-15,United Kingdom,33864,266.89999999999997726,18450
2020-12-16,United Kingdom,34933,286.80000000000001137,25161
2020-12-17,United Kingdom,33890,303.69999999999998863,35383
2020-12-18,United Kingdom,35836,321.30000000000001137,28507
2020-12-19,United Kingdom,25148,329.89999999999997726,27052
2020-12-20,United Kingdom,32476,345.60000000000002274,35928
2020-12-21,United Kingdom,47397,364.60000000000002274,33364
2020-12-22,United Kingdom,45690,382.30000000000001137,36804
2020-12-23,United Kingdom,42275,393.30000000000001137,39237
2020-12-24,United Kingdom,31844,390.19999999999998863,39877
2020-12-25,United Kingdom,14180,357.80000000000001137,32725
2020-12-26,United Kingdom,40360,380.60000000000002274,35691
2020-12-27,United Kingdom,47743,403.39999999999997726,30501
2020-12-28,United Kingdom,45615,400.80000000000001137,41385
2020-12-29,United Kingdom,81546,454.5,53135
2020-12-30,United Kingdom,70821,497.19999999999998863,50023
2020-12-31,United Kingdom,52808,528.60000000000002274,55892
2021-01-01,United Kingdom,31843,555,53285
2021-01-02,United Kingdom,60443,585.10000000000002274,57725
2021-01-03,United Kingdom,55215,596.29999999999995453,54990
2021-01-04,United Kingdom,76199,642.10000000000002274,58784
2021-01-05,United Kingdom,65168,617.5,60916
2021-01-06,United Kingdom,57434,597.5,62322
2021-01-07,United Kingdom,51970,596.20000000000004547,52618
2021-01-08,United Kingdom,47054,619,68053
2021-01-09,United Kingdom,39092,587.10000000000002274,59937
2021-01-10,United Kingdom,36363,558.79999999999995453,54940
2021-01-11,United Kingdom,57211,530.39999999999997726,46169
2021-01-12,United Kingdom,49455,506.89999999999997726,45533
2021-01-13,United Kingdom,45437,488.89999999999997726,47525
2021-01-14,United Kingdom,42428,474.60000000000002274,48682
2021-01-15,United Kingdom,40435,464.69999999999998863,55761
2021-01-16,United Kingdom,30547,451.89999999999997726,41346
2021-01-17,United Kingdom,28873,440.69999999999998863,38598
2021-01-18,United Kingdom,44840,422.19999999999998863,37535
2021-01-19,United Kingdom,39536,407.30000000000001137,33355
2021-01-20,United Kingdom,35159,392,38905
2021-01-21,United Kingdom,31720,375.89999999999997726,37892
2021-01-22,United Kingdom,29608,359.69999999999998863,40261
2021-01-23,United Kingdom,21861,346.69999999999998863,33552
2021-01-24,United Kingdom,17196,329.19999999999998863,30004
2021-01-25,United Kingdom,29987,307,22195
2021-01-26,United Kingdom,27040,288.30000000000001137,20089
2021-01-27,United Kingdom,25731,274.19999999999998863,25308
2021-01-28,United Kingdom,24105,262.80000000000001137,28680
2021-01-29,United Kingdom,21814,251.09999999999999432,29079
2021-01-30,United Kingdom,16682,243.40000000000000568,23275
2021-01-31,United Kingdom,15435,240.69999999999998863,21088
2021-02-01,United Kingdom,22409,229.40000000000000568,18607
2021-02-02,United Kingdom,19776,218.5,16840
2021-02-03,United Kingdom,19446,209.09999999999999432,19202
2021-02-04,United Kingdom,18027,200,20634
2021-02-05,United Kingdom,15900,191.09999999999999432,19114
2021-02-06,United Kingdom,11972,184.09999999999999432,18262
2021-02-07,United Kingdom,11413,178.09999999999999432,15845
