date,areaName,deaths,deathsRollingRate,deathsReported
2020-01-03,Birmingham,,0,0
2020-01-04,Birmingham,,0,0
2020-01-05,Birmingham,,0,0
2020-01-06,Birmingham,,0,0
2020-01-07,Birmingham,,0,0
2020-01-08,Birmingham,,0,0
2020-01-09,Birmingham,,0,0
2020-01-10,Birmingham,,0,0
2020-01-11,Birmingham,,0,0
2020-01-12,Birmingham,,0,0
2020-01-13,Birmingham,,0,0
2020-01-14,Birmingham,,0,0
2020-01-15,Birmingham,,0,0
2020-01-16,Birmingham,,0,0
2020-01-17,Birmingham,,0,0
2020-01-18,Birmingham,,0,0
2020-01-19,Birmingham,,0,0
2020-01-20,Birmingham,,0,0
2020-01-21,Birmingham,,0,0
2020-01-22,Birmingham,,0,0
2020-01-23,Birmingham,,0,0
2020-01-24,Birmingham,,0,0
2020-01-25,Birmingham,,0,0
2020-01-26,Birmingham,,0,0
2020-01-27,Birmingham,,0,0
2020-01-28,Birmingham,,0,0
2020-01-29,Birmingham,,0,0
2020-01-30,Birmingham,,0,0
2020-01-31,Birmingham,,0,0
2020-02-01,Birmingham,,0,0
2020-02-02,Birmingham,,0,0
2020-02-03,Birmingham,,0,0
2020-02-04,Birmingham,,0,0
2020-02-05,Birmingham,,0,0
2020-02-06,Birmingham,,0,0
2020-02-07,Birmingham,,0,0
2020-02-08,Birmingham,,0,0
2020-02-09,Birmingham,,0,0
2020-02-10,Birmingham,,0,0
2020-02-11,Birmingham,,0,0
2020-02-12,Birmingham,,0,0
2020-02-13,Birmingham,,0,0
2020-02-14,Birmingham,,0,0
2020-02-15,Birmingham,,0,0
2020-02-16,Birmingham,,0,0
2020-02-17,Birmingham,,0,0
2020-02-18,Birmingham,,0,0
2020-02-19,Birmingham,,0,0
2020-02-20,Birmingham,,0,0
2020-02-21,Birmingham,,0,0
2020-02-22,Birmingham,,0,0
2020-02-23,Birmingham,,0,0
2020-02-24,Birmingham,,0,0
2020-02-25,Birmingham,,0,0
2020-02-26,Birmingham,,0,0
2020-02-27,Birmingham,,0,0
2020-02-28,Birmingham,,0,0
2020-02-29,Birmingham,,0,0
2020-03-01,Birmingham,,0,0
2020-03-02,Birmingham,,0,0
2020-03-03,Birmingham,,0,0
2020-03-04,Birmingham,,0,0
2020-03-05,Birmingham,,0,0
2020-03-06,Birmingham,,0,0
2020-03-07,Birmingham,,0,0
2020-03-08,Birmingham,,0,0
2020-03-09,Birmingham,,0,0
2020-03-10,Birmingham,,0,0
2020-03-11,Birmingham,,0,0
2020-03-12,Birmingham,1,0,0
2020-03-13,Birmingham,0,0,0
2020-03-14,Birmingham,1,0,0
2020-03-15,Birmingham,0,0,0
2020-03-16,Birmingham,1,0,0
2020-03-17,Birmingham,2,0,0
2020-03-18,Birmingham,4,0.80000000000000004441,0
2020-03-19,Birmingham,3,1,0
2020-03-20,Birmingham,3,1.1999999999999999556,0
2020-03-21,Birmingham,3,1.3999999999999999112,0
2020-03-22,Birmingham,10,2.2999999999999998224,0
2020-03-23,Birmingham,8,2.8999999999999999112,0
2020-03-24,Birmingham,4,3.1000000000000000888,0
2020-03-25,Birmingham,12,3.7999999999999998224,0
2020-03-26,Birmingham,12,4.5999999999999996447,0
