date,areaName,deaths,deathsRollingRate,deathsReported
2020-01-03,North East Derbyshire,,0,0
2020-01-04,North East Derbyshire,,0,0
2020-01-05,North East Derbyshire,,0,0
2020-01-06,North East Derbyshire,,0,0
2020-01-07,North East Derbyshire,,0,0
2020-01-08,North East Derbyshire,,0,0
2020-01-09,North East Derbyshire,,0,0
2020-01-10,North East Derbyshire,,0,0
2020-01-11,North East Derbyshire,,0,0
2020-01-12,North East Derbyshire,,0,0
2020-01-13,North East Derbyshire,,0,0
2020-01-14,North East Derbyshire,,0,0
2020-01-15,North East Derbyshire,,0,0
2020-01-16,North East Derbyshire,,0,0
2020-01-17,North East Derbyshire,,0,0
2020-01-18,North East Derbyshire,,0,0
2020-01-19,North East Derbyshire,,0,0
2020-01-20,North East Derbyshire,,0,0
2020-01-21,North East Derbyshire,,0,0
2020-01-22,North East Derbyshire,,0,0
2020-01-23,North East Derbyshire,,0,0
2020-01-24,North East Derbyshire,,0,0
2020-01-25,North East Derbyshire,,0,0
2020-01-26,North East Derbyshire,,0,0
2020-01-27,North East Derbyshire,,0,0
2020-01-28,North East Derbyshire,,0,0
2020-01-29,North East Derbyshire,,0,0
2020-01-30,North East Derbyshire,,0,0
2020-01-31,North East Derbyshire,,0,0
2020-02-01,North East Derbyshire,,0,0
2020-02-02,North East Derbyshire,,0,0
2020-02-03,North East Derbyshire,,0,0
2020-02-04,North East Derbyshire,,0,0
2020-02-05,North East Derbyshire,,0,0
2020-02-06,North East Derbyshire,,0,0
2020-02-07,North East Derbyshire,,0,0
2020-02-08,North East Derbyshire,,0,0
2020-02-09,North East Derbyshire,,0,0
2020-02-10,North East Derbyshire,,0,0
2020-02-11,North East Derbyshire,,0,0
2020-02-12,North East Derbyshire,,0,0
2020-02-13,North East Derbyshire,,0,0
2020-02-14,North East Derbyshire,,0,0
2020-02-15,North East Derbyshire,,0,0
2020-02-16,North East Derbyshire,,0,0
2020-02-17,North East Derbyshire,,0,0
2020-02-18,North East Derbyshire,,0,0
2020-02-19,North East Derbyshire,,0,0
2020-02-20,North East Derbyshire,,0,0
2020-02-21,North East Derbyshire,,0,0
2020-02-22,North East Derbyshire,,0,0
2020-02-23,North East Derbyshire,,0,0
2020-02-24,North East Derbyshire,,0,0
2020-02-25,North East Derbyshire,,0,0
2020-02-26,North East Derbyshire,,0,0
2020-02-27,North East Derbyshire,,0,0
2020-02-28,North East Derbyshire,,0,0
2020-02-29,North East Derbyshire,,0,0
2020-03-01,North East Derbyshire,,0,0
2020-03-02,North East Derbyshire,,0,0
2020-03-03,North East Derbyshire,,0,0
2020-03-04,North East Derbyshire,,0,0
2020-03-05,North East Derbyshire,,0,0
2020-03-06,North East Derbyshire,,0,0
2020-03-07,North East Derbyshire,,0,0
2020-03-08,North East Derbyshire,,0,0
2020-03-09,North East Derbyshire,,0,0
