date,areaName,deaths,deathsRollingRate,deaths00_04,deathsRollingRate00_04,deaths05_09,deathsRollingRate05_09,deaths10_14,deathsRollingRate10_14,deaths15_19,deathsRollingRate15_19,deaths20_24,deathsRollingRate20_24,deaths25_29,deathsRollingRate25_29,deaths30_34,deathsRollingRate30_34,deaths35_39,deathsRollingRate35_39,deaths40_44,deathsRollingRate40_44,deaths45_49,deathsRollingRate45_49,deaths50_54,deathsRollingRate50_54,deaths55_59,deathsRollingRate55_59,deaths60_64,deathsRollingRate60_64,deaths65_69,deathsRollingRate65_69,deaths70_74,deathsRollingRate70_74,deaths75_79,deathsRollingRate75_79,deaths80_84,deathsRollingRate80_84,deaths85_89,deathsRollingRate85_89,deaths90+,deathsRollingRate90+,deathsReported
2020-01-03,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-04,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-05,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-06,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-07,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-08,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-09,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-10,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-11,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-12,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-13,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-14,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-15,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-16,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-17,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-18,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-19,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-20,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-21,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-22,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-23,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-24,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-25,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-26,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-27,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-28,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-29,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-30,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-31,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-01,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-02,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-03,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-04,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-05,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-06,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-07,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-08,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-09,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-10,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-11,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-12,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-13,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-14,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-15,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-16,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-17,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-18,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-19,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-20,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-21,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-22,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-23,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-24,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-25,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-26,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-27,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-28,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-29,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-03-01,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-03-02,East of England,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0
2020-03-03,East of England,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2020-03-04,East of England,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2020-03-05,East of England,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2020-03-06,East of England,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2020-03-07,East of England,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2020-03-08,East of England,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.5,0
2020-03-09,East of England,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.6000000000000001,0,0.0,0,0.0,0
2020-03-10,East of England,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.6000000000000001,0,0.0,0,0.0,0
2020-03-11,East of England,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.6000000000000001,0,0.0,0,0.0,0
2020-03-12,East of England,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.6000000000000001,0,0.0,0,0.0,0
2020-03-13,East of England,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.2,0,0.0,0,0.0,0
2020-03-14,East of England,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.2,0,0.0,0,0.0,0
2020-03-15,East of England,2,0.10000000000000000555,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.4,0,1.2,1,0.9,0,0.0,0
2020-03-16,East of England,2,0.10000000000000000555,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,1,0.30000000000000004,0,0.0,0,0.4,0,0.6000000000000001,0,0.9,0,0.0,0
2020-03-17,East of England,2,0.10000000000000000555,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2,1,0.30000000000000004,0,0.30000000000000004,0,0.0,0,0.4,0,0.6000000000000001,0,0.9,1,1.5,0
2020-03-18,East of England,3,0.2000000000000000111,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2,0,0.30000000000000004,0,0.30000000000000004,1,0.30000000000000004,0,0.4,1,1.2,1,1.8,0,1.5,0
2020-03-19,East of England,5,0.2000000000000000111,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.2,1,0.6000000000000001,0,0.30000000000000004,0,0.30000000000000004,2,1.3,1,1.7000000000000002,0,1.8,0,1.5,0
2020-03-20,East of England,2,0.30000000000000004441,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2,1,0.5,0,0.6000000000000001,0,0.30000000000000004,1,0.6000000000000001,0,1.3,0,1.2,0,1.8,0,1.5,0
2020-03-21,East of England,9,0.4000000000000000222,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2,1,0.7000000000000001,0,0.6000000000000001,0,0.30000000000000004,1,0.9,4,3.0,0,1.2,1,2.8,2,4.6,0
2020-03-22,East of England,13,0.60000000000000008882,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.7000000000000001,0,0.6000000000000001,3,1.2,2,1.5,1,3.0,3,2.9,3,4.6,0,4.6,0
2020-03-23,East of England,13,0.80000000000000004441,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.5,0,0.5,1,0.8,0,0.9,4,2.7,2,3.9,0,2.9,2,6.4,4,10.8,0
2020-03-24,East of England,22,1.1000000000000000888,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7000000000000001,0,0.5,0,0.6000000000000001,2,1.5,2,3.3,5,6.1,5,5.8,5,11.0,2,12.4,0
2020-03-25,East of England,22,1.3999999999999999112,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.7000000000000001,1,0.7000000000000001,0,0.6000000000000001,1,1.9,4,4.2,3,7.4,5,8.1,4,13.8,3,17.0,0
2020-03-26,East of England,34,1.8000000000000000444,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2,0,0.5,0,0.7000000000000001,1,0.6000000000000001,4,3.1,5,5.7,1,6.9,7,11.5,9,22.0,7,27.8,0
2020-03-27,East of England,40,2.5,1,0.30000000000000004,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.30000000000000004,0,0.2,1,0.7000000000000001,2,1.0,1,0.8,5,4.6,4,6.5,4,8.7,6,15.0,9,30.3,7,38.6,0
2020-03-28,East of England,37,2.8999999999999999112,0,0.30000000000000004,0,0.0,0,0.0,0,0.0,0,0.0,1,0.30000000000000004,0,0.0,0,0.0,0,0.30000000000000004,1,0.5,0,0.7000000000000001,2,1.2,0,0.8,2,5.2,3,7.1,10,11.3,10,20.7,7,35.8,1,37.1,0
2020-03-29,East of England,49,3.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,1,0.5,2,1.0,0,0.5,0,1.2,1,1.1,9,7.1,7,8.6,9,14.7,1,19.6,8,40.4,10,52.5,0
2020-03-30,East of England,49,4.0999999999999996447,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.5,1,1.2,1,0.7000000000000001,2,1.7000000000000002,5,2.3,0,7.1,2,8.0,5,16.0,13,27.0,9,46.8,11,63.3,0
2020-03-31,East of England,73,4.9000000000000003553,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.5,0,1.2,2,0.9,1,1.9,3,3.1,6,8.3,9,10.1,15,20.4,13,31.7,14,55.0,10,75.7,0
2020-04-01,East of England,74,5.7000000000000001776,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.5,0,1.0,4,1.8,0,1.7000000000000002,3,4.0,11,11.4,10,11.9,12,24.3,13,36.3,10,60.5,11,88.1,0
2020-04-02,East of England,70,6.2999999999999998224,0,0.5,0,0.0,0,0.0,1,0.30000000000000004,0,0.0,0,0.5,0,0.0,0,0.0,0,0.5,0,1.0,4,2.7,1,1.9,1,4.0,7,12.3,4,11.6,8,27.3,18,42.6,17,67.9,9,91.1,0
2020-04-03,East of England,86,7,1,0.5,0,0.0,0,0.0,0,0.30000000000000004,1,0.30000000000000004,0,0.5,1,0.30000000000000004,0,0.0,1,0.5,2,1.4,4,3.4,4,2.4,2,4.2,6,12.6,10,13.4,9,29.5,18,49.5,12,70.6,16,105.1,0
2020-04-04,East of England,71,7.5999999999999996447,1,0.8,0,0.0,0,0.0,0,0.30000000000000004,0,0.30000000000000004,0,0.30000000000000004,0,0.30000000000000004,0,0.0,0,0.5,0,1.2,1,3.6,4,2.9,1,4.5,5,13.6,9,15.2,13,30.8,11,50.1,10,73.4,16,128.2,0
2020-04-05,East of England,89,8.1999999999999992895,0,0.5,0,0.0,0,0.0,0,0.30000000000000004,0,0.30000000000000004,0,0.0,0,0.30000000000000004,1,0.2,0,0.30000000000000004,2,1.2,1,3.8,5,4.1,2,4.8,9,13.6,10,16.1,9,30.8,16,58.7,14,78.9,20,143.7,0
2020-04-06,East of England,76,8.5999999999999996447,0,0.5,0,0.0,0,0.0,0,0.30000000000000004,0,0.30000000000000004,0,0.0,0,0.30000000000000004,0,0.2,0,0.30000000000000004,1,1.2,1,3.8,6,5.1,2,4.0,7,15.7,9,18.2,11,33.4,9,56.4,16,85.3,14,148.3,0
2020-04-07,East of England,111,9.3000000000000007105,1,0.8,0,0.0,0,0.0,0,0.30000000000000004,0,0.30000000000000004,0,0.0,0,0.30000000000000004,0,0.2,1,0.5,0,1.2,0,3.4,7,6.5,2,3.7,6,15.7,17,20.5,21,36.0,19,59.9,21,91.7,17,159.1,0
2020-04-08,East of England,114,9.9000000000000003553,1,1.1,0,0.0,0,0.0,0,0.30000000000000004,0,0.30000000000000004,1,0.30000000000000004,0,0.30000000000000004,0,0.2,1,0.8,0,1.2,2,2.9,3,7.2,3,3.7,8,14.8,14,21.7,21,39.9,23,65.6,19,100.0,19,171.5,0
2020-04-09,East of England,96,10.300000000000000711,2,1.6,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,0.30000000000000004,0,0.30000000000000004,0,0.2,2,1.3,0,1.2,3,2.7,4,8.0,3,4.2,4,13.9,14,24.7,12,41.6,23,68.5,19,101.8,12,176.1,0
2020-04-10,East of England,71,10.099999999999999645,1,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,0.0,0,0.2,1,1.3,1,1.0,2,2.3,3,7.7,0,3.7,6,13.9,9,24.4,9,41.6,16,67.3,11,100.9,13,171.5,0
2020-04-11,East of England,103,10.599999999999999645,0,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,0.0,2,0.7000000000000001,0,1.3,0,1.0,0,2.0,4,7.7,3,4.2,8,14.8,14,25.9,19,44.2,15,69.6,18,108.2,20,177.7,0
2020-04-12,East of England,101,10.800000000000000711,0,1.4,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.7000000000000001,0,1.3,1,0.7000000000000001,1,2.0,4,7.5,5,5.1,7,14.2,13,26.8,10,44.6,16,69.6,19,112.8,23,182.3,0
2020-04-13,East of England,82,10.900000000000000355,2,1.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.7000000000000001,2,1.8,0,0.5,0,1.8,4,7.0,2,5.1,10,15.1,7,26.2,8,43.3,19,75.4,18,114.6,12,179.2,0
