date,areaName,admissions,admissionsRollingRate,patients,patientsMv
2020-02-27,Wales,,,,
2020-02-28,Wales,,,,
2020-02-29,Wales,,,,
2020-03-01,Wales,,,,
2020-03-02,Wales,,,,
2020-03-03,Wales,,,,
2020-03-04,Wales,,,,
2020-03-05,Wales,,,,
2020-03-06,Wales,,,,
2020-03-07,Wales,,,,
2020-03-08,Wales,,,,
2020-03-09,Wales,,,,
2020-03-10,Wales,,,,
2020-03-11,Wales,,,,
2020-03-12,Wales,,,,
2020-03-13,Wales,,,,
2020-03-14,Wales,,,,
2020-03-15,Wales,,,,
2020-03-16,Wales,,,,
2020-03-17,Wales,,,,
2020-03-18,Wales,,,,
2020-03-19,Wales,,,,
2020-03-20,Wales,,,,
2020-03-21,Wales,,,,
2020-03-22,Wales,,,,
2020-03-23,Wales,32,,110,16
2020-03-24,Wales,63,,150,30
2020-03-25,Wales,178,,188,31
2020-03-26,Wales,107,,203,36
2020-03-27,Wales,118,,243,37
2020-03-28,Wales,126,,310,53
2020-03-29,Wales,133,23.9,329,71
2020-03-30,Wales,147,27.5,387,68
2020-03-31,Wales,158,30.5,439,81
2020-04-01,Wales,207,31.4,483,100
2020-04-02,Wales,139,32.4,525,110
2020-04-03,Wales,110,32.2,568,110
2020-04-04,Wales,134,32.4,596,122
2020-04-05,Wales,134,32.5,664,131
2020-04-06,Wales,123,31.7,731,137
2020-04-07,Wales,196,32.9,738,144
2020-04-08,Wales,158,31.4,816,150
2020-04-09,Wales,126,31.0,795,161
2020-04-10,Wales,129,31.5,833,153
2020-04-11,Wales,106,30.7,865,149
2020-04-12,Wales,168,31.7,910,153
2020-04-13,Wales,130,32.0,897,155
2020-04-14,Wales,106,29.1,919,151
2020-04-15,Wales,151,28.9,884,150
2020-04-16,Wales,104,28.2,844,155
2020-04-17,Wales,151,28.9,825,159
2020-04-18,Wales,129,29.6,818,164
2020-04-19,Wales,102,27.5,828,153
2020-04-20,Wales,114,27.0,853,150
2020-04-21,Wales,117,27.4,838,135
2020-04-22,Wales,127,26.6,773,132
2020-04-23,Wales,134,27.6,741,123
2020-04-24,Wales,135,27.1,743,119
2020-04-25,Wales,112,26.5,719,126
2020-04-26,Wales,97,26.4,710,111
2020-04-27,Wales,95,25.8,734,105
2020-04-28,Wales,139,26.5,676,107
2020-04-29,Wales,127,26.5,664,101
2020-04-30,Wales,132,26.4,643,99
2020-05-01,Wales,107,25.5,529,92
2020-05-02,Wales,142,26.5,521,93
2020-05-03,Wales,94,26.4,539,94
2020-05-04,Wales,121,27.2,538,92
2020-05-05,Wales,136,27.1,501,87
2020-05-06,Wales,103,26.3,478,81
2020-05-07,Wales,119,25.9,470,84
2020-05-08,Wales,127,26.6,416,89
2020-05-09,Wales,106,25.4,448,75
2020-05-10,Wales,114,26.1,461,78
2020-05-11,Wales,108,25.7,465,76
2020-05-12,Wales,92,24.3,425,72
2020-05-13,Wales,119,24.8,394,66
2020-05-14,Wales,105,24.3,364,69
2020-05-15,Wales,88,23.1,336,56
2020-05-16,Wales,117,23.4,378,62
2020-05-17,Wales,98,22.9,373,60
2020-05-18,Wales,77,22.0,356,59
2020-05-19,Wales,105,22.4,329,64
2020-05-20,Wales,95,21.6,324,55
2020-05-21,Wales,105,21.6,309,57
2020-05-22,Wales,81,21.4,385,58
2020-05-23,Wales,121,21.5,383,58
2020-05-24,Wales,78,20.9,393,52
2020-05-25,Wales,82,21.0,380,47
2020-05-26,Wales,96,20.8,436,51
2020-05-27,Wales,106,21.1,425,44
2020-05-28,Wales,120,21.6,438,46
2020-05-29,Wales,99,22.1,431,45
2020-05-30,Wales,93,21.3,423,39
2020-05-31,Wales,68,20.9,433,42
2020-06-01,Wales,73,20.7,431,37
2020-06-02,Wales,106,21.0,427,44
2020-06-03,Wales,131,21.8,399,42
2020-06-04,Wales,97,21.0,395,42
2020-06-05,Wales,82,20.5,392,44
2020-06-06,Wales,92,20.5,404,41
2020-06-07,Wales,76,20.7,383,38
2020-06-08,Wales,59,20.3,352,38
2020-06-09,Wales,84,19.6,341,40
2020-06-10,Wales,97,18.5,319,32
2020-06-11,Wales,104,18.7,315,29
2020-06-12,Wales,90,19.0,294,29
2020-06-13,Wales,114,19.7,291,27
2020-06-14,Wales,52,18.9,293,31
2020-06-15,Wales,68,19.2,306,36
2020-06-16,Wales,95,19.6,303,29
2020-06-17,Wales,91,19.4,288,33
2020-06-18,Wales,87,18.8,285,29
2020-06-19,Wales,78,18.5,276,27
2020-06-20,Wales,68,17.0,271,33
2020-06-21,Wales,68,17.5,280,27
2020-06-22,Wales,67,17.5,297,27
2020-06-23,Wales,79,17.0,281,22
2020-06-24,Wales,101,17.3,270,27
2020-06-25,Wales,64,16.6,265,21
2020-06-26,Wales,88,16.9,254,24
2020-06-27,Wales,74,17.1,232,21
2020-06-28,Wales,47,16.4,246,21
2020-06-29,Wales,46,15.7,235,24
2020-06-30,Wales,104,16.5,234,22
2020-07-01,Wales,66,15.4,218,22
2020-07-02,Wales,64,15.4,206,19
2020-07-03,Wales,65,14.7,198,17
2020-07-04,Wales,78,14.8,190,15
2020-07-05,Wales,63,15.3,187,16
2020-07-06,Wales,50,15.5,186,13
2020-07-07,Wales,64,14.2,181,12
2020-07-08,Wales,63,14.1,177,10
2020-07-09,Wales,75,14.4,172,12
2020-07-10,Wales,68,14.5,133,17
2020-07-11,Wales,76,14.5,127,10
2020-07-12,Wales,41,13.8,133,14
2020-07-13,Wales,50,13.8,140,17
2020-07-14,Wales,63,13.8,136,9
2020-07-15,Wales,48,13.3,131,10
2020-07-16,Wales,48,12.4,136,17
2020-07-17,Wales,59,12.1,119,11
2020-07-18,Wales,54,11.5,125,10
2020-07-19,Wales,51,11.8,113,7
2020-07-20,Wales,43,11.5,130,6
2020-07-21,Wales,46,11.0,118,9
2020-07-22,Wales,72,11.8,123,8
2020-07-23,Wales,88,13.0,132,6
2020-07-24,Wales,61,13.1,132,8
2020-07-25,Wales,48,12.9,129,7
2020-07-26,Wales,45,12.7,127,7
2020-07-27,Wales,43,12.7,130,11
2020-07-28,Wales,49,12.8,136,12
2020-07-29,Wales,64,12.6,137,12
2020-07-30,Wales,53,11.5,132,11
2020-07-31,Wales,54,11.2,116,10
2020-08-01,Wales,73,12.0,124,14
2020-08-02,Wales,35,11.7,116,9
2020-08-03,Wales,29,11.3,119,6
2020-08-04,Wales,65,11.8,115,7
2020-08-05,Wales,74,12.1,105,6
2020-08-06,Wales,45,11.8,103,3
2020-08-07,Wales,53,11.8,96,5
2020-08-08,Wales,55,11.2,88,3
2020-08-09,Wales,51,11.7,82,5
2020-08-10,Wales,31,11.8,78,6
2020-08-11,Wales,47,11.2,69,6
2020-08-12,Wales,45,10.3,69,7
2020-08-13,Wales,63,10.9,68,6
2020-08-14,Wales,39,10.4,70,6
2020-08-15,Wales,52,10.3,69,5
2020-08-16,Wales,37,9.9,71,6
2020-08-17,Wales,38,10.1,71,3
2020-08-18,Wales,63,10.6,61,6
2020-08-19,Wales,45,10.6,60,5
2020-08-20,Wales,39,9.9,59,10
2020-08-21,Wales,54,10.3,55,6
2020-08-22,Wales,39,9.9,52,3
2020-08-23,Wales,26,9.6,51,5
