date,areaName,admissions,admissionsRollingRate,patients,patientsMv,cumAdmissionsRollingRate00_05,cumAdmissions00_05,cumAdmissionsRollingRate06_17,cumAdmissions06_17,cumAdmissionsRollingRate18_64,cumAdmissions18_64,cumAdmissionsRollingRate65_84,cumAdmissions65_84,cumAdmissionsRollingRate85+,cumAdmissions85+
2020-03-19,North East and Yorkshire,48,,,,0.2,1,0.0,0,0.3,14,1.7,25,3.4,7
2020-03-20,North East and Yorkshire,43,,82,,0.2,1,0.0,0,0.5,27,2.9,41,9.7,20
2020-03-21,North East and Yorkshire,73,,124,,0.2,1,0.0,0,1.1,58,4.9,70,15.6,32
2020-03-22,North East and Yorkshire,69,,158,,0.2,1,0.1,1,1.4,74,7.5,108,21.4,44
2020-03-23,North East and Yorkshire,107,,190,,0.2,1,0.1,1,2.1,108,11.3,161,30.1,62
2020-03-24,North East and Yorkshire,167,,229,,0.3,2,0.1,1,2.9,152,16.7,239,48.6,100
2020-03-25,North East and Yorkshire,160,7.8,312,,0.5,3,0.3,3,4.0,204,21.7,310,65.1,134
2020-03-26,North East and Yorkshire,196,9.5,434,,0.5,3,0.3,3,4.9,253,28.2,404,90.9,187
2020-03-27,North East and Yorkshire,240,11.8,552,,0.7,4,0.3,3,6.2,318,37.0,529,114.2,235
2020-03-28,North East and Yorkshire,258,14.0,701,,0.7,4,0.7,8,7.4,382,45.9,657,141.9,292
2020-03-29,North East and Yorkshire,254,16.1,826,,0.8,5,0.8,9,8.6,443,55.2,790,166.3,342
2020-03-30,North East and Yorkshire,340,18.9,995,,1.0,6,1.0,12,10.2,526,67.9,971,194.4,400
2020-03-31,North East and Yorkshire,303,20.4,1124,,1.0,6,1.2,14,12.0,617,78.5,1124,222.2,457
2020-04-01,North East and Yorkshire,507,24.5,1293,,1.0,6,1.4,16,14.7,758,96.5,1381,274.2,564
2020-04-02,North East and Yorkshire,423,27.1,1378,83,1.0,6,1.4,16,17.2,884,111.4,1594,315.0,648
2020-04-03,North East and Yorkshire,373,28.7,1841,116,1.0,6,1.4,16,18.7,966,126.3,1807,352.9,726
2020-04-04,North East and Yorkshire,294,29.1,2095,148,1.0,6,1.4,16,20.5,1055,137.1,1962,377.2,776
2020-04-05,North East and Yorkshire,365,30.4,2303,147,1.5,9,1.4,16,22.6,1167,148.4,2124,420.0,864
2020-04-06,North East and Yorkshire,404,31.2,2129,205,1.7,10,1.4,16,25.2,1301,161.6,2313,458.9,944
2020-04-07,North East and Yorkshire,446,32.8,2209,230,1.9,11,1.4,17,27.9,1440,176.2,2521,506.1,1041
2020-04-08,North East and Yorkshire,327,30.7,2413,260,2.0,12,1.6,19,30.1,1551,186.6,2670,537.2,1105
2020-04-09,North East and Yorkshire,336,29.7,2661,289,2.2,13,1.9,22,32.0,1651,196.8,2816,579.0,1191
2020-04-10,North East and Yorkshire,319,29.1,2403,292,2.2,13,1.9,22,34.0,1754,206.0,2948,619.8,1275
2020-04-11,North East and Yorkshire,290,29.0,2520,302,2.2,13,1.9,23,35.7,1841,214.5,3069,659.2,1356
2020-04-12,North East and Yorkshire,309,28.4,2541,298,2.2,13,2.1,25,37.5,1934,222.4,3183,707.8,1456
2020-04-13,North East and Yorkshire,305,27.2,2577,300,2.2,13,2.5,30,39.0,2009,232.6,3329,746.2,1535
2020-04-14,North East and Yorkshire,306,25.6,2545,299,2.5,15,2.7,32,40.8,2104,242.0,3463,781.7,1608
2020-04-15,North East and Yorkshire,254,24.7,2500,291,3.0,18,2.9,34,42.2,2173,250.4,3583,810.9,1668
