date,areaName,admissions,admissionsRollingRate,patients,patientsMv,cumAdmissionsRollingRate00_05,cumAdmissions00_05,cumAdmissionsRollingRate06_17,cumAdmissions06_17,cumAdmissionsRollingRate18_64,cumAdmissions18_64,cumAdmissionsRollingRate65_84,cumAdmissions65_84,cumAdmissionsRollingRate85+,cumAdmissions85+
2020-03-19,North West,47,,,,0.0,0,0.0,0,0.4,16,1.8,21,6.0,10
2020-03-20,North West,56,,130,,0.0,0,0.0,0,0.8,33,3.9,45,15.1,25
2020-03-21,North West,71,,162,,0.0,0,0.0,0,1.1,47,6.7,77,23.6,39
2020-03-22,North West,83,,190,,0.2,1,0.0,0,1.7,74,9.6,111,35.1,58
2020-03-23,North West,86,,237,,0.2,1,0.0,0,2.3,97,12.9,148,42.3,70
2020-03-24,North West,122,,251,,0.4,2,0.0,0,3.0,128,16.7,192,56.9,94
2020-03-25,North West,187,9.2,332,,0.8,4,0.1,1,4.2,177,24.0,276,77.4,128
2020-03-26,North West,184,11.1,381,,0.8,4,0.2,2,5.2,220,30.8,355,97.4,161
2020-03-27,North West,219,13.4,553,,0.8,4,0.3,3,6.5,276,38.2,440,122.8,203
2020-03-28,North West,210,15.4,665,,1.0,5,0.3,3,7.6,322,47.1,542,151.8,251
2020-03-29,North West,198,17.0,819,,1.0,5,0.4,4,8.9,378,55.2,635,180.8,299
2020-03-30,North West,420,21.7,982,,1.0,5,0.5,5,12.4,528,72.6,836,222.0,367
2020-03-31,North West,342,24.8,1143,,1.2,6,0.5,5,15.1,640,86.3,993,265.5,439
2020-04-01,North West,466,28.8,1451,,1.2,6,0.6,6,18.7,795,106.5,1226,311.5,515
2020-04-02,North West,434,32.3,1530,102,1.2,6,0.7,7,21.9,932,126.2,1452,353.2,584
2020-04-03,North West,446,35.5,1714,138,1.6,8,1.0,10,25.2,1073,145.6,1676,399.2,660
2020-04-04,North West,398,38.2,2134,154,1.6,8,1.0,10,28.5,1211,161.4,1858,444.5,735
2020-04-05,North West,379,40.7,2288,179,2.0,10,1.0,10,31.2,1326,174.8,2012,499.0,825
2020-04-06,North West,392,40.3,2529,171,2.4,12,1.1,11,33.6,1427,189.2,2178,558.3,923
2020-04-07,North West,375,40.8,2620,243,3.4,17,1.2,12,36.2,1541,204.4,2352,607.2,1004
2020-04-08,North West,410,40.0,2576,212,3.6,18,1.3,13,39.7,1686,219.7,2529,656.2,1085
2020-04-09,North West,477,40.6,2754,276,3.8,19,1.4,14,43.1,1831,239.1,2752,721.0,1192
2020-04-10,North West,352,39.3,2901,264,3.8,19,1.6,16,45.6,1941,251.7,2897,772.4,1277
2020-04-11,North West,313,38.1,3008,305,4.0,20,1.7,17,48.0,2041,263.8,3036,815.9,1349
2020-04-12,North West,294,36.9,3014,303,4.0,20,1.8,18,50.3,2137,275.3,3168,855.2,1414
2020-04-13,North West,304,35.6,3065,315,4.0,20,1.9,19,52.5,2231,287.2,3305,898.8,1486
2020-04-14,North West,269,34.1,3026,295,4.2,21,1.9,19,54.6,2320,297.1,3419,938.1,1551
2020-04-15,North West,247,31.8,2861,281,4.4,22,1.9,19,56.6,2407,305.8,3519,973.2,1609
2020-04-16,North West,254,28.7,2965,287,4.4,22,1.9,19,58.7,2495,314.8,3623,1010.7,1671
2020-04-17,North West,273,27.6,2599,290,4.8,24,1.9,19,60.8,2585,325.0,3741,1048.8,1734
2020-04-18,North West,206,26.1,2833,350,5.0,25,1.9,19,62.0,2638,334.0,3844,1078.4,1783
2020-04-19,North West,214,24.9,2836,341,5.2,26,2.1,21,63.5,2701,342.3,3940,1109.9,1835
2020-04-20,North West,226,23.8,2810,337,5.2,26,2.2,23,65.0,2762,350.8,4037,1149.2,1900
2020-04-21,North West,260,23.7,2718,328,5.4,27,2.2,23,66.6,2832,361.5,4160,1188.5,1965
2020-04-22,North West,214,23.2,2621,326,5.7,28,2.2,23,67.9,2886,370.1,4259,1224.8,2025
2020-04-23,North West,182,22.2,2573,310,5.7,28,2.3,24,68.8,2927,378.0,4351,1253.8,2073
2020-04-24,North West,211,21.3,2490,302,5.7,28,2.4,25,70.5,2999,385.3,4434,1287.1,2128
2020-04-25,North West,202,21.3,2437,292,6.1,30,2.4,25,71.7,3049,393.0,4523,1322.1,2186
2020-04-26,North West,181,20.8,2429,281,6.3,31,2.4,25,72.9,3099,400.0,4604,1351.8,2235
2020-04-27,North West,223,20.8,2456,272,6.7,33,2.5,26,74.3,3161,408.1,4697,1391.1,2300
2020-04-28,North West,194,19.9,2298,241,6.9,34,2.5,26,75.4,3208,416.2,4790,1423.2,2353
2020-04-29,North West,227,20.0,2350,258,7.3,36,2.6,27,77.1,3277,423.8,4877,1464.3,2421
2020-04-30,North West,214,20.5,2309,233,7.3,36,2.6,27,78.6,3341,432.0,4972,1497.5,2476
2020-05-01,North West,181,20.1,2282,234,7.3,36,2.6,27,79.8,3395,439.4,5057,1523.0,2518
2020-05-02,North West,186,19.8,2327,226,7.5,37,2.7,28,80.9,3441,446.5,5139,1556.8,2574
2020-05-03,North West,194,20.0,2196,233,7.7,38,2.7,28,82.0,3485,453.8,5223,1596.1,2639
2020-05-04,North West,189,19.5,2236,237,8.1,40,2.7,28,83.3,3540,460.9,5304,1627.0,2690
2020-05-05,North West,201,19.6,2192,222,8.3,41,2.7,28,84.6,3598,468.6,5393,1659.0,2743
2020-05-06,North West,158,18.7,2075,199,8.3,41,2.7,28,85.7,3645,475.0,5467,1681.4,2780
2020-05-07,North West,182,18.2,1947,191,8.3,41,2.7,28,86.9,3693,482.0,5547,1708.0,2824
2020-05-08,North West,169,18.0,1925,181,8.3,41,2.7,28,88.0,3743,487.0,5605,1738.3,2874
2020-05-09,North West,167,17.8,1918,176,8.3,41,2.7,28,88.9,3781,493.9,5684,1768.5,2924
2020-05-10,North West,156,17.2,1826,172,8.5,42,2.7,28,89.8,3817,500.3,5758,1795.7,2969
2020-05-11,North West,203,17.4,1907,175,8.9,44,2.7,28,91.3,3881,508.6,5853,1821.1,3011
2020-05-12,North West,186,17.2,1826,159,9.3,46,2.7,28,92.4,3929,516.5,5944,1848.3,3056
2020-05-13,North West,186,17.6,1800,157,9.3,46,2.7,28,93.6,3981,523.8,6029,1878.0,3105
2020-05-14,North West,164,17.4,1739,153,9.3,46,2.7,28,94.5,4018,530.7,6108,1907.0,3153
2020-05-15,North West,153,17.1,1716,157,9.3,46,2.7,28,95.8,4072,535.4,6162,1934.2,3198
2020-05-16,North West,178,17.3,1655,136,9.5,47,2.7,28,96.9,4122,542.1,6239,1964.5,3248
2020-05-17,North West,169,17.5,1667,135,9.9,49,2.8,29,98.1,4170,548.7,6315,1989.9,3290
2020-05-18,North West,171,17.0,1670,130,10.5,52,2.9,30,99.3,4221,555.5,6393,2012.9,3328
2020-05-19,North West,173,16.8,1707,121,11.1,55,3.0,31,100.3,4265,562.5,6474,2039.5,3372
2020-05-20,North West,151,16.4,1647,111,11.3,56,3.2,33,101.2,4302,568.9,6547,2062.5,3410
2020-05-21,North West,165,16.4,1590,109,11.3,56,3.2,33,102.3,4350,575.8,6627,2084.8,3447
2020-05-22,North West,160,16.5,1566,113,11.3,56,3.2,33,103.0,4379,583.1,6711,2113.3,3494
2020-05-23,North West,125,15.7,1537,113,11.5,57,3.2,33,103.8,4413,587.7,6764,2135.6,3531
2020-05-24,North West,128,15.1,1509,100,11.7,58,3.3,34,104.6,4447,592.6,6820,2157.4,3567
2020-05-25,North West,121,14.4,1519,97,11.9,59,3.3,34,105.5,4486,597.4,6876,2172.5,3592
2020-05-26,North West,112,13.6,1515,104,12.1,60,3.5,36,106.3,4518,602.4,6933,2184.6,3612
2020-05-27,North West,148,13.5,1432,96,12.3,61,3.7,38,107.1,4555,609.0,7009,2204.0,3644
2020-05-28,North West,145,13.2,1377,87,12.5,62,3.7,38,108.0,4593,615.2,7080,2225.2,3679
2020-05-29,North West,121,12.7,1344,85,12.7,63,3.8,39,108.9,4629,619.9,7134,2242.7,3708
2020-05-30,North West,97,12.3,1313,86,12.7,63,3.8,39,109.6,4660,623.8,7179,2255.4,3729
2020-05-31,North West,126,12.3,1309,85,12.9,64,3.8,39,110.5,4699,629.1,7240,2270.5,3754
2020-06-01,North West,149,12.7,1309,89,13.1,65,3.8,39,111.4,4738,635.0,7308,2295.3,3795
2020-06-02,North West,121,12.8,1301,83,13.1,65,3.9,40,112.3,4773,639.5,7360,2315.3,3828
2020-06-03,North West,122,12.4,1276,85,13.3,66,4.0,41,113.4,4820,643.4,7405,2330.4,3853
2020-06-04,North West,124,12.1,1217,77,13.7,68,4.1,42,114.5,4868,648.0,7458,2342.5,3873
2020-06-05,North West,75,11.5,1194,77,13.7,68,4.1,42,115.2,4897,651.0,7492,2349.7,3885
2020-06-06,North West,56,10.9,1120,79,13.9,69,4.2,43,115.7,4919,652.6,7511,2357.6,3898
2020-06-07,North West,66,10.1,1076,78,13.9,69,4.2,43,116.3,4945,655.5,7544,2361.8,3905
2020-06-08,North West,68,8.9,1075,76,14.1,70,4.2,43,116.9,4970,657.7,7570,2371.5,3921
2020-06-09,North West,98,8.6,1038,74,14.5,72,4.2,43,117.8,5010,660.9,7606,2383.6,3941
2020-06-10,North West,113,8.5,939,46,14.7,73,4.2,43,118.6,5043,665.8,7663,2396.9,3963
2020-06-11,North West,101,8.1,936,43,14.7,73,4.3,44,119.4,5079,669.4,7704,2410.8,3986
2020-06-12,North West,92,8.4,922,41,14.7,73,4.9,50,119.9,5099,672.5,7740,2429.0,4016
2020-06-13,North West,63,8.5,919,46,15.1,75,4.9,50,120.5,5122,674.9,7768,2435.0,4026
2020-06-14,North West,80,8.7,912,47,15.1,75,4.9,50,121.0,5147,678.3,7807,2444.7,4042
2020-06-15,North West,78,8.8,926,40,15.1,75,4.9,50,121.8,5179,680.9,7836,2455.0,4059
2020-06-16,North West,83,8.6,880,48,15.3,76,4.9,50,122.4,5205,684.6,7879,2462.8,4072
2020-06-17,North West,77,8.1,876,48,15.5,77,4.9,50,123.0,5230,688.0,7918,2470.1,4084
2020-06-18,North West,71,7.7,839,55,15.5,77,4.9,50,123.4,5248,691.4,7957,2478.6,4098
2020-06-19,North West,57,7.2,826,55,15.5,77,4.9,50,123.9,5270,693.4,7980,2485.8,4110
2020-06-20,North West,34,6.8,814,48,15.5,77,5.0,51,124.3,5285,694.3,7991,2490.1,4117
2020-06-21,North West,54,6.4,782,49,15.5,77,5.0,51,124.8,5305,696.3,8014,2496.7,4128
2020-06-22,North West,69,6.3,801,48,15.7,78,5.0,51,125.4,5330,699.1,8046,2503.4,4139
2020-06-23,North West,52,5.8,780,47,15.9,79,5.0,51,125.7,5345,701.9,8078,2505.8,4143
2020-06-24,North West,71,5.8,759,48,15.9,79,5.0,51,126.2,5364,705.0,8114,2515.5,4159
2020-06-25,North West,53,5.5,708,38,15.9,79,5.0,51,126.5,5379,707.6,8144,2520.3,4167
2020-06-26,North West,53,5.4,693,41,15.9,79,5.0,51,127.0,5400,709.6,8167,2525.8,4176
2020-06-27,North West,48,5.6,653,44,16.6,82,5.0,51,127.4,5417,711.2,8185,2531.8,4186
2020-06-28,North West,39,5.4,658,44,16.6,82,5.0,51,127.8,5432,712.7,8202,2536.0,4193
2020-06-29,North West,36,5.0,641,37,16.6,82,5.0,51,128.2,5452,713.6,8213,2539.1,4198
2020-06-30,North West,22,4.5,619,38,16.6,82,5.0,51,128.5,5465,714.2,8220,2540.3,4200
2020-07-01,North West,27,3.9,603,33,16.8,83,5.0,51,128.7,5474,715.3,8232,2543.3,4205
2020-07-02,North West,17,3.4,562,33,17.2,85,5.0,51,128.9,5482,715.5,8235,2545.7,4209
2020-07-03,North West,30,3.1,517,29,17.2,85,5.0,51,129.3,5498,716.5,8246,2547.5,4212
2020-07-04,North West,19,2.7,449,26,17.6,87,5.0,51,129.5,5505,717.2,8254,2548.7,4214
2020-07-05,North West,23,2.5,440,32,17.8,88,5.0,51,129.5,5507,718.4,8268,2552.4,4220
2020-07-06,North West,20,2.2,438,30,17.8,88,5.0,51,129.7,5514,719.2,8277,2554.8,4224
2020-07-07,North West,17,2.2,399,30,17.8,88,5.0,51,129.9,5525,719.5,8281,2556.0,4226
2020-07-08,North West,20,2.1,362,29,17.8,88,5.0,51,130.1,5531,720.6,8293,2557.2,4228
2020-07-09,North West,24,2.2,334,28,17.8,88,5.1,52,130.3,5540,721.3,8302,2560.2,4233
2020-07-10,North West,9,1.9,341,30,17.8,88,5.1,52,130.4,5544,721.5,8304,2562.0,4236
2020-07-11,North West,12,1.8,312,23,17.8,88,5.1,52,130.5,5547,722.0,8310,2563.9,4239
2020-07-12,North West,8,1.6,297,20,17.8,88,5.1,52,130.6,5551,722.4,8314,2563.9,4239
2020-07-13,North West,18,1.5,307,22,17.8,88,5.1,52,130.7,5556,723.2,8323,2566.3,4243
2020-07-14,North West,20,1.6,286,19,17.8,88,5.1,52,130.9,5564,723.8,8330,2569.3,4248
2020-07-15,North West,19,1.6,282,22,17.8,88,5.1,52,131.0,5569,724.6,8340,2571.7,4252
2020-07-16,North West,20,1.5,259,22,18.0,89,5.2,53,131.1,5575,725.5,8350,2572.9,4254
2020-07-17,North West,10,1.5,263,20,18.0,89,5.2,53,131.2,5577,725.9,8354,2575.3,4258
2020-07-18,North West,10,1.5,245,18,18.2,90,5.2,53,131.3,5583,726.0,8356,2576.0,4259
2020-07-19,North West,13,1.6,233,19,18.2,90,5.2,53,131.5,5590,726.2,8358,2578.4,4263
2020-07-20,North West,26,1.7,242,17,18.2,90,5.3,54,131.7,5601,726.9,8366,2582.0,4269
2020-07-21,North West,27,1.8,235,14,18.2,90,5.3,54,132.0,5613,727.8,8376,2585.0,4274
2020-07-22,North West,22,1.8,375,16,18.2,90,5.3,54,132.2,5620,728.7,8387,2587.4,4278
2020-07-23,North West,27,1.9,231,18,18.2,90,5.3,54,132.4,5630,729.7,8398,2591.1,4284
2020-07-24,North West,22,2.1,224,16,18.2,90,5.3,54,132.6,5638,730.5,8407,2594.1,4289
2020-07-25,North West,11,2.1,229,17,18.2,90,5.3,54,132.7,5643,730.7,8410,2595.3,4291
2020-07-26,North West,13,2.1,222,18,18.2,90,5.3,54,133.0,5654,730.8,8411,2595.9,4292
2020-07-27,North West,12,1.9,220,17,18.2,90,5.3,54,133.2,5662,731.0,8413,2597.1,4294
2020-07-28,North West,16,1.7,217,16,18.2,90,5.3,54,133.3,5666,731.7,8421,2599.5,4298
2020-07-29,North West,12,1.6,205,15,18.2,90,5.3,54,133.4,5674,732.0,8425,2599.5,4298
2020-07-30,North West,21,1.5,206,14,18.2,90,5.3,54,133.6,5682,732.8,8434,2602.0,4302
