date,areaName,hospitalAdmissions,hospitalPatients,hospitalPatientsMv
2020-03-19,South West,29,,
2020-03-20,South West,43,62,
2020-03-21,South West,43,100,
2020-03-22,South West,37,140,
2020-03-23,South West,62,146,
2020-03-24,South West,60,169,
2020-03-25,South West,94,210,
2020-03-26,South West,86,248,
2020-03-27,South West,105,323,
2020-03-28,South West,130,361,
2020-03-29,South West,107,427,
2020-03-30,South West,128,492,
2020-03-31,South West,122,534,
2020-04-01,South West,112,610,
2020-04-02,South West,152,652,59
2020-04-03,South West,123,709,68
2020-04-04,South West,98,788,67
2020-04-05,South West,130,839,90
2020-04-06,South West,144,913,103
2020-04-07,South West,152,921,113
2020-04-08,South West,134,925,120
2020-04-09,South West,121,951,118
2020-04-10,South West,131,986,125
2020-04-11,South West,127,988,121
2020-04-12,South West,129,1037,126
2020-04-13,South West,113,1047,120
2020-04-14,South West,106,1076,117
2020-04-15,South West,112,1080,117
2020-04-16,South West,118,1052,115
2020-04-17,South West,102,1053,111
2020-04-18,South West,91,1024,115
2020-04-19,South West,76,1022,114
2020-04-20,South West,77,997,107
2020-04-21,South West,89,981,102
2020-04-22,South West,84,963,105
2020-04-23,South West,84,905,100
2020-04-24,South West,92,868,94
2020-04-25,South West,60,843,95
2020-04-26,South West,51,823,91
2020-04-27,South West,69,792,89
2020-04-28,South West,71,788,88
2020-04-29,South West,50,733,86
2020-04-30,South West,70,709,80
2020-05-01,South West,62,678,76
2020-05-02,South West,68,658,68
2020-05-03,South West,68,681,72
2020-05-04,South West,70,683,72
2020-05-05,South West,49,670,74
2020-05-06,South West,58,614,69
2020-05-07,South West,53,579,66
2020-05-08,South West,53,528,58
2020-05-09,South West,45,535,55
2020-05-10,South West,41,520,62
2020-05-11,South West,58,535,57
2020-05-12,South West,38,501,55
2020-05-13,South West,52,486,54
2020-05-14,South West,37,477,52
2020-05-15,South West,50,473,85
2020-05-16,South West,53,443,51
2020-05-17,South West,27,454,47
2020-05-18,South West,48,463,42
2020-05-19,South West,52,451,37
2020-05-20,South West,55,438,36
2020-05-21,South West,53,439,35
2020-05-22,South West,39,381,34
2020-05-23,South West,28,382,35
2020-05-24,South West,23,376,35
2020-05-25,South West,36,366,34
2020-05-26,South West,37,352,32
2020-05-27,South West,35,320,30
2020-05-28,South West,48,306,28
2020-05-29,South West,25,285,26
2020-05-30,South West,31,271,25
2020-05-31,South West,23,267,24
2020-06-01,South West,46,260,25
2020-06-02,South West,42,260,24
2020-06-03,South West,33,259,22
2020-06-04,South West,16,247,19
2020-06-05,South West,30,240,16
2020-06-06,South West,28,235,15
2020-06-07,South West,22,210,13
2020-06-08,South West,7,195,14
2020-06-09,South West,17,181,12
2020-06-10,South West,23,169,11
2020-06-11,South West,7,142,9
2020-06-12,South West,4,144,9
2020-06-13,South West,12,134,9
2020-06-14,South West,5,129,9
2020-06-15,South West,9,130,8
2020-06-16,South West,11,124,7
2020-06-17,South West,10,112,6
2020-06-18,South West,13,106,5
2020-06-19,South West,9,97,5
2020-06-20,South West,5,93,5
2020-06-21,South West,3,89,5
2020-06-22,South West,1,84,5
2020-06-23,South West,9,86,5
2020-06-24,South West,8,74,5
2020-06-25,South West,12,77,4
2020-06-26,South West,7,74,4
2020-06-27,South West,12,65,4
2020-06-28,South West,8,69,4
2020-06-29,South West,7,73,4
2020-06-30,South West,11,71,7
2020-07-01,South West,4,62,5
2020-07-02,South West,2,56,2
2020-07-03,South West,5,54,2
2020-07-04,South West,6,57,1
2020-07-05,South West,5,62,1
