date,areaName,deaths_00_04,rollingRate_00_04,rollingSum_00_04,deaths_10_14,rollingRate_10_14,rollingSum_10_14,deaths_15_19,rollingRate_15_19,rollingSum_15_19,deaths_20_24,rollingRate_20_24,rollingSum_20_24,deaths_25_29,rollingRate_25_29,rollingSum_25_29,deaths_30_34,rollingRate_30_34,rollingSum_30_34,deaths_35_39,rollingRate_35_39,rollingSum_35_39,deaths_40_44,rollingRate_40_44,rollingSum_40_44,deaths_45_49,rollingRate_45_49,rollingSum_45_49,deaths_50_54,rollingRate_50_54,rollingSum_50_54,deaths_55_59,rollingRate_55_59,rollingSum_55_59,deaths_05_09,rollingRate_05_09,rollingSum_05_09,deaths_60_64,rollingRate_60_64,rollingSum_60_64,deaths_65_69,rollingRate_65_69,rollingSum_65_69,deaths_70_74,rollingRate_70_74,rollingSum_70_74,deaths_75_79,rollingRate_75_79,rollingSum_75_79,deaths_80_84,rollingRate_80_84,rollingSum_80_84,deaths_85_89,rollingRate_85_89,rollingSum_85_89,deaths_90+,rollingRate_90+,rollingSum_90+,deaths_60+,rollingRate_60+,rollingSum_60+,deaths_00_59,rollingRate_00_59,rollingSum_00_59
2020-12-29,Yorkshire and The Humber,0,0.30000000000000004,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.30000000000000004,1,0,0.0,0,0,0.0,0,0,0.30000000000000004,1,1,0.6000000000000001,2,0,0.5,2,0,0.0,0,0,0.0,0,3,2.9,9,4,6.7,19,3,10.7,30,6,17.7,34,1,36.6,53,13,68.1,58,8,93.4,44,38,18.3,247,1,0.2,7
2020-12-28,Yorkshire and The Humber,0,0.30000000000000004,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.5,2,0,0.0,0,0,0.0,0,0,0.30000000000000004,1,0,0.30000000000000004,1,1,0.8,3,0,0.0,0,0,0.0,0,0,2.2,7,3,6.0,17,2,11.4,32,8,17.2,33,10,38.6,56,10,63.4,54,5,95.6,45,38,18.1,244,1,0.2,8
2020-12-27,Yorkshire and The Humber,0,0.30000000000000004,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.5,2,0,0.0,0,0,0.0,0,0,0.30000000000000004,1,1,0.30000000000000004,1,1,0.5,2,0,0.30000000000000004,1,0,0.0,0,2,2.2,7,1,6.0,17,5,11.8,33,6,15.6,30,6,35.9,52,7,61.0,52,6,110.4,52,33,18.0,243,2,0.2,8
2020-12-26,Yorkshire and The Humber,0,0.30000000000000004,1,0,0.0,0,0,0.0,0,0,0.0,0,1,0.5,2,0,0.0,0,0,0.0,0,0,0.30000000000000004,1,0,0.0,0,0,0.5,2,0,0.30000000000000004,1,0,0.0,0,0,1.6,5,0,6.0,17,6,10.4,29,4,14.6,28,8,40.0,58,7,64.6,55,12,114.7,54,37,18.3,246,1,0.2,7
2020-12-25,Yorkshire and The Humber,1,0.30000000000000004,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.30000000000000004,1,0,0.0,0,0,0.0,0,1,0.30000000000000004,1,0,0.0,0,0,0.8,3,0,0.30000000000000004,1,0,0.0,0,1,1.6,5,3,6.7,19,4,10.4,29,3,15.1,29,11,40.0,58,11,62.2,53,2,106.2,50,35,18.0,243,2,0.2,7
2020-12-24,Yorkshire and The Humber,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.30000000000000004,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.8,3,0,0.30000000000000004,1,0,0.0,0,1,1.6,5,4,7.8,22,4,10.0,28,1,16.7,32,11,42.1,61,5,62.2,53,5,123.2,58,31,19.2,259,0,0.1,5
2020-12-23,Yorkshire and The Humber,0,0.30000000000000004,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.30000000000000004,1,0,0.0,0,0,0.0,0,0,0.30000000000000004,1,0,0.0,0,0,0.8,3,0,0.5,2,0,0.0,0,2,1.3,4,4,7.1,20,6,10.0,28,6,18.7,36,6,38.6,56,5,77.5,66,6,140.2,66,35,20.5,276,0,0.2,8
2020-12-22,Yorkshire and The Humber,0,0.30000000000000004,1,0,0.0,0,0,0.0,0,0,0.0,0,1,0.30000000000000004,1,0,0.0,0,0,0.0,0,0,0.30000000000000004,1,0,0.0,0,1,0.8,3,0,0.8,3,0,0.0,0,1,1.0,3,2,5.6,16,5,7.9,22,5,17.2,33,4,41.4,60,9,85.7,73,9,148.7,70,35,20.6,277,2,0.2,9
2020-12-21,Yorkshire and The Humber,0,0.30000000000000004,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.30000000000000004,1,0,0.0,0,0,0.5,2,1,0.8,3,0,0.0,0,0,0.6000000000000001,2,3,6.0,17,3,6.8,19,5,17.7,34,6,42.1,61,8,88.0,75,12,165.7,78,37,21.2,286,1,0.2,7
2020-12-20,Yorkshire and The Humber,0,0.30000000000000004,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.30000000000000004,1,0,0.6000000000000001,2,1,0.8,3,0,1.1,4,0,0.0,0,0,0.6000000000000001,2,1,5.3,15,1,7.5,21,4,17.7,34,12,42.8,62,10,90.4,77,8,159.3,75,36,21.2,286,1,0.30000000000000004,11
