date,areaName,deaths_00_04,rollingRate_00_04,rollingSum_00_04,deaths_10_14,rollingRate_10_14,rollingSum_10_14,deaths_15_19,rollingRate_15_19,rollingSum_15_19,deaths_20_24,rollingRate_20_24,rollingSum_20_24,deaths_25_29,rollingRate_25_29,rollingSum_25_29,deaths_30_34,rollingRate_30_34,rollingSum_30_34,deaths_35_39,rollingRate_35_39,rollingSum_35_39,deaths_40_44,rollingRate_40_44,rollingSum_40_44,deaths_45_49,rollingRate_45_49,rollingSum_45_49,deaths_50_54,rollingRate_50_54,rollingSum_50_54,deaths_55_59,rollingRate_55_59,rollingSum_55_59,deaths_05_09,rollingRate_05_09,rollingSum_05_09,deaths_60_64,rollingRate_60_64,rollingSum_60_64,deaths_65_69,rollingRate_65_69,rollingSum_65_69,deaths_70_74,rollingRate_70_74,rollingSum_70_74,deaths_75_79,rollingRate_75_79,rollingSum_75_79,deaths_80_84,rollingRate_80_84,rollingSum_80_84,deaths_85_89,rollingRate_85_89,rollingSum_85_89,deaths_90+,rollingRate_90+,rollingSum_90+,deaths_60+,rollingRate_60+,rollingSum_60+,deaths_00_59,rollingRate_00_59,rollingSum_00_59
2020-12-26,East of England,1,0.30000000000000004,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.2,1,1,0.30000000000000004,1,2,1.0,4,1,1.4,6,3,2.4,10,0,0.0,0,2,2.8,10,3,7.7,25,2,11.3,38,8,19.5,45,13,43.2,75,14,85.3,93,13,132.9,86,55,23.4,372,8,0.5,23
2020-12-25,East of England,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.30000000000000004,1,0,0.2,1,0,0.0,0,0,0.5,2,0,1.1,5,1,1.7000000000000002,7,0,0.0,0,2,2.5,9,2,8.9,29,8,13.1,44,7,17.8,41,11,40.3,70,12,84.4,92,12,137.5,89,54,23.5,374,1,0.30000000000000004,16
2020-12-24,East of England,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.30000000000000004,1,0,0.2,1,0,0.0,0,1,0.5,2,0,1.6,7,2,1.9,8,0,0.0,0,2,2.5,9,3,8.9,29,5,12.2,41,7,16.9,39,8,39.1,68,10,80.7,88,18,140.6,91,53,22.9,365,3,0.4,19
2020-12-23,East of England,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.30000000000000004,1,0,0.5,2,0,0.0,0,1,0.5,2,2,1.8,8,1,1.4,6,0,0.0,0,1,2.3,8,6,9.3,30,8,12.2,41,5,16.0,37,12,39.1,68,13,78.0,85,11,126.7,82,56,22.0,351,4,0.4,19
2020-12-22,East of England,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.30000000000000004,1,0,0.5,2,0,0.0,0,0,0.2,1,0,1.8,8,0,1.4,6,0,0.0,0,0,2.3,8,5,7.7,25,2,12.2,41,7,16.0,37,8,35.7,62,11,75.2,82,14,120.5,78,47,20.9,333,0,0.4,18
2020-12-21,East of England,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.30000000000000004,1,1,0.5,2,0,0.0,0,0,0.2,1,2,1.8,8,1,1.9,8,0,0.0,0,0,2.8,10,4,6.8,22,7,12.5,42,5,15.6,36,14,35.1,61,20,70.6,77,10,114.3,74,60,20.2,322,4,0.4,20
2020-12-20,East of England,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.30000000000000004,1,0,0.2,1,0,0.0,0,0,0.2,1,1,1.6,7,2,1.7000000000000002,7,0,0.0,0,3,3.1,11,2,6.5,21,6,11.9,40,6,15.6,36,9,32.8,57,13,60.5,66,8,105.1,68,47,18.8,299,3,0.4,17
2020-12-19,East of England,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.30000000000000004,1,0,0.2,1,0,0.0,0,0,0.2,1,0,1.6,7,0,1.2,5,0,0.0,0,1,2.3,8,7,6.5,21,8,10.4,35,4,15.6,36,8,30.5,53,13,58.7,64,16,108.1,70,57,18.0,287,1,0.30000000000000004,15
2020-12-18,East of England,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.2,1,0,0.0,0,0,0.2,1,2,1.6,7,2,1.4,6,0,0.0,0,2,2.0,7,2,4.6,15,5,8.0,27,5,16.9,39,9,31.1,54,8,55.9,61,14,88.1,57,45,16.3,260,4,0.30000000000000004,15
2020-12-17,East of England,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.30000000000000004,1,1,0.2,1,0,0.0,0,1,0.2,1,1,1.1,5,0,1.7000000000000002,7,0,0.0,0,1,2.0,7,4,4.6,15,5,8.6,29,5,18.2,42,8,30.5,53,7,56.9,62,9,78.8,51,39,16.3,259,3,0.30000000000000004,15
