date,areaName,deathsRegistered
2020-01-03,High Peak,0
2020-01-10,High Peak,0
2020-01-17,High Peak,0
2020-01-24,High Peak,0
2020-01-31,High Peak,0
2020-02-07,High Peak,0
2020-02-14,High Peak,0
2020-02-21,High Peak,0
2020-02-28,High Peak,0
2020-03-06,High Peak,0
2020-03-13,High Peak,0
2020-03-20,High Peak,0
2020-03-27,High Peak,0
2020-04-03,High Peak,2
2020-04-10,High Peak,11
2020-04-17,High Peak,22
2020-04-24,High Peak,20
2020-05-01,High Peak,15
2020-05-08,High Peak,6
2020-05-15,High Peak,5
2020-05-22,High Peak,1
2020-05-29,High Peak,6
2020-06-05,High Peak,3
2020-06-12,High Peak,5
2020-06-19,High Peak,3
2020-06-26,High Peak,2
2020-07-03,High Peak,2
2020-07-10,High Peak,1
2020-07-17,High Peak,2
2020-07-24,High Peak,3
2020-07-31,High Peak,0
2020-08-07,High Peak,1
2020-08-14,High Peak,0
2020-08-21,High Peak,2
2020-08-28,High Peak,0
2020-09-04,High Peak,0
2020-09-11,High Peak,1
2020-09-18,High Peak,3
2020-09-25,High Peak,1
2020-10-02,High Peak,0
2020-10-09,High Peak,1
2020-10-16,High Peak,3
2020-10-23,High Peak,6
2020-10-30,High Peak,8
2020-11-06,High Peak,8
2020-11-13,High Peak,4
2020-11-20,High Peak,17
2020-11-27,High Peak,8
2020-12-04,High Peak,3
2020-12-11,High Peak,3
2020-12-18,High Peak,4
2020-12-25,High Peak,5
2021-01-01,High Peak,3
2021-01-08,High Peak,7
2021-01-15,High Peak,11
2021-01-22,High Peak,12
2021-01-29,High Peak,8
2021-02-05,High Peak,9
2021-02-12,High Peak,5
2021-02-19,High Peak,13
2021-02-26,High Peak,7
2021-03-05,High Peak,2
2021-03-12,High Peak,2
2021-03-19,High Peak,0
2021-03-26,High Peak,5
2021-04-02,High Peak,0
