date,areaName,deathsRegistered
2020-01-03,North Hertfordshire,0
2020-01-10,North Hertfordshire,0
2020-01-17,North Hertfordshire,0
2020-01-24,North Hertfordshire,0
2020-01-31,North Hertfordshire,0
2020-02-07,North Hertfordshire,0
2020-02-14,North Hertfordshire,0
2020-02-21,North Hertfordshire,0
2020-02-28,North Hertfordshire,0
2020-03-06,North Hertfordshire,0
2020-03-13,North Hertfordshire,0
2020-03-20,North Hertfordshire,0
2020-03-27,North Hertfordshire,0
2020-04-03,North Hertfordshire,4
2020-04-10,North Hertfordshire,14
2020-04-17,North Hertfordshire,11
2020-04-24,North Hertfordshire,17
2020-05-01,North Hertfordshire,11
2020-05-08,North Hertfordshire,9
2020-05-15,North Hertfordshire,9
2020-05-22,North Hertfordshire,9
2020-05-29,North Hertfordshire,6
2020-06-05,North Hertfordshire,3
2020-06-12,North Hertfordshire,3
2020-06-19,North Hertfordshire,0
2020-06-26,North Hertfordshire,0
2020-07-03,North Hertfordshire,0
2020-07-10,North Hertfordshire,0
2020-07-17,North Hertfordshire,2
2020-07-24,North Hertfordshire,0
2020-07-31,North Hertfordshire,0
2020-08-07,North Hertfordshire,0
2020-08-14,North Hertfordshire,0
2020-08-21,North Hertfordshire,0
2020-08-28,North Hertfordshire,0
2020-09-04,North Hertfordshire,0
2020-09-11,North Hertfordshire,0
2020-09-18,North Hertfordshire,0
2020-09-25,North Hertfordshire,0
2020-10-02,North Hertfordshire,0
2020-10-09,North Hertfordshire,0
2020-10-16,North Hertfordshire,0
2020-10-23,North Hertfordshire,1
2020-10-30,North Hertfordshire,1
2020-11-06,North Hertfordshire,1
2020-11-13,North Hertfordshire,1
2020-11-20,North Hertfordshire,1
2020-11-27,North Hertfordshire,1
2020-12-04,North Hertfordshire,2
2020-12-11,North Hertfordshire,2
2020-12-18,North Hertfordshire,4
2020-12-25,North Hertfordshire,3
2021-01-01,North Hertfordshire,5
2021-01-08,North Hertfordshire,17
2021-01-15,North Hertfordshire,20
2021-01-22,North Hertfordshire,35
2021-01-29,North Hertfordshire,36
2021-02-05,North Hertfordshire,29
2021-02-12,North Hertfordshire,23
2021-02-19,North Hertfordshire,12
