date,areaName,deathsRegistered
2020-01-03,East Midlands,0
2020-01-10,East Midlands,0
2020-01-17,East Midlands,0
2020-01-24,East Midlands,0
2020-01-31,East Midlands,0
2020-02-07,East Midlands,0
2020-02-14,East Midlands,0
2020-02-21,East Midlands,0
2020-02-28,East Midlands,0
2020-03-06,East Midlands,0
2020-03-13,East Midlands,0
2020-03-20,East Midlands,3
2020-03-27,East Midlands,24
2020-04-03,East Midlands,185
2020-04-10,East Midlands,424
2020-04-17,East Midlands,558
2020-04-24,East Midlands,562
2020-05-01,East Midlands,438
2020-05-08,East Midlands,334
2020-05-15,East Midlands,319
2020-05-22,East Midlands,222
2020-05-29,East Midlands,180
2020-06-05,East Midlands,152
2020-06-12,East Midlands,135
2020-06-19,East Midlands,96
2020-06-26,East Midlands,89
2020-07-03,East Midlands,62
2020-07-10,East Midlands,34
2020-07-17,East Midlands,31
2020-07-24,East Midlands,35
2020-07-31,East Midlands,23
2020-08-07,East Midlands,16
2020-08-14,East Midlands,6
2020-08-21,East Midlands,21
2020-08-28,East Midlands,6
2020-09-04,East Midlands,10
2020-09-11,East Midlands,10
2020-09-18,East Midlands,14
2020-09-25,East Midlands,11
2020-10-02,East Midlands,15
2020-10-09,East Midlands,21
2020-10-16,East Midlands,40
2020-10-23,East Midlands,79
2020-10-30,East Midlands,121
2020-11-06,East Midlands,191
2020-11-13,East Midlands,245
2020-11-20,East Midlands,289
2020-11-27,East Midlands,361
2020-12-04,East Midlands,323
2020-12-11,East Midlands,334
2020-12-18,East Midlands,337
2020-12-25,East Midlands,337
2021-01-01,East Midlands,249
2021-01-08,East Midlands,440
2021-01-15,East Midlands,500
2021-01-22,East Midlands,605
2021-01-29,East Midlands,610
2021-02-05,East Midlands,564
2021-02-12,East Midlands,557
2021-02-19,East Midlands,382
2021-02-26,East Midlands,277
2021-03-05,East Midlands,234
