date,areaName,newCasesBySpecimenDateAgeDemographics
2020-12-28,"Bournemouth, Christchurch and Poole","[{'age': '00_04', 'cases': 6, 'rollingRate': 167.7, 'rollingSum': 34}, {'age': '05_09', 'cases': 4, 'rollingRate': 92.9, 'rollingSum': 21}, {'age': '10_14', 'cases': 5, 'rollingRate': 131.8, 'rollingSum': 28}, {'age': '15_19', 'cases': 20, 'rollingRate': 304.5, 'rollingSum': 64}, {'age': '20_24', 'cases': 31, 'rollingRate': 539.3, 'rollingSum': 144}, {'age': '25_29', 'cases': 34, 'rollingRate': 628.1, 'rollingSum': 143}, {'age': '30_34', 'cases': 35, 'rollingRate': 584.7, 'rollingSum': 140}, {'age': '35_39', 'cases': 25, 'rollingRate': 419.3, 'rollingSum': 110}, {'age': '40_44', 'cases': 22, 'rollingRate': 361.6, 'rollingSum': 86}, {'age': '45_49', 'cases': 23, 'rollingRate': 296.8, 'rollingSum': 76}, {'age': '50_54', 'cases': 22, 'rollingRate': 376.8, 'rollingSum': 102}, {'age': '55_59', 'cases': 18, 'rollingRate': 311.3, 'rollingSum': 80}, {'age': '60_64', 'cases': 15, 'rollingRate': 249.1, 'rollingSum': 55}, {'age': '65_69', 'cases': 11, 'rollingRate': 145.9, 'rollingSum': 31}, {'age': '70_74', 'cases': 10, 'rollingRate': 154.3, 'rollingSum': 35}, {'age': '75_79', 'cases': 6, 'rollingRate': 114.4, 'rollingSum': 18}, {'age': '80_84', 'cases': 6, 'rollingRate': 159.2, 'rollingSum': 20}, {'age': '85_89', 'cases': 1, 'rollingRate': 207.9, 'rollingSum': 18}, {'age': '90+', 'cases': 2, 'rollingRate': 555.1, 'rollingSum': 30}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 2}, {'age': '60+', 'cases': 51, 'rollingRate': 191.0, 'rollingSum': 207}, {'age': '00_59', 'cases': 245, 'rollingRate': 358.9, 'rollingSum': 1030}]"
2020-12-27,"Bournemouth, Christchurch and Poole","[{'age': '00_04', 'cases': 6, 'rollingRate': 138.1, 'rollingSum': 28}, {'age': '05_09', 'cases': 4, 'rollingRate': 79.6, 'rollingSum': 18}, {'age': '10_14', 'cases': 4, 'rollingRate': 141.2, 'rollingSum': 30}, {'age': '15_19', 'cases': 7, 'rollingRate': 247.4, 'rollingSum': 52}, {'age': '20_24', 'cases': 25, 'rollingRate': 479.4, 'rollingSum': 128}, {'age': '25_29', 'cases': 22, 'rollingRate': 549.1, 'rollingSum': 125}, {'age': '30_34', 'cases': 28, 'rollingRate': 530.4, 'rollingSum': 127}, {'age': '35_39', 'cases': 21, 'rollingRate': 369.7, 'rollingSum': 97}, {'age': '40_44', 'cases': 11, 'rollingRate': 311.2, 'rollingSum': 74}, {'age': '45_49', 'cases': 16, 'rollingRate': 249.9, 'rollingSum': 64}, {'age': '50_54', 'cases': 22, 'rollingRate': 362.0, 'rollingSum': 98}, {'age': '55_59', 'cases': 11, 'rollingRate': 264.6, 'rollingSum': 68}, {'age': '60_64', 'cases': 8, 'rollingRate': 212.9, 'rollingSum': 47}, {'age': '65_69', 'cases': 7, 'rollingRate': 103.5, 'rollingSum': 22}, {'age': '70_74', 'cases': 7, 'rollingRate': 119.0, 'rollingSum': 27}, {'age': '75_79', 'cases': 5, 'rollingRate': 76.2, 'rollingSum': 12}, {'age': '80_84', 'cases': 1, 'rollingRate': 135.3, 'rollingSum': 17}, {'age': '85_89', 'cases': 1, 'rollingRate': 207.9, 'rollingSum': 18}, {'age': '90+', 'cases': 0, 'rollingRate': 518.1, 'rollingSum': 28}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 2}, {'age': '60+', 'cases': 29, 'rollingRate': 157.8, 'rollingSum': 171}, {'age': '00_59', 'cases': 177, 'rollingRate': 317.5, 'rollingSum': 911}]"
2020-12-26,"Bournemouth, Christchurch and Poole","[{'age': '00_04', 'cases': 10, 'rollingRate': 113.4, 'rollingSum': 23}, {'age': '05_09', 'cases': 4, 'rollingRate': 84.0, 'rollingSum': 19}, {'age': '10_14', 'cases': 3, 'rollingRate': 136.5, 'rollingSum': 29}, {'age': '15_19', 'cases': 13, 'rollingRate': 237.9, 'rollingSum': 50}, {'age': '20_24', 'cases': 28, 'rollingRate': 430.7, 'rollingSum': 115}, {'age': '25_29', 'cases': 20, 'rollingRate': 492.0, 'rollingSum': 112}, {'age': '30_34', 'cases': 16, 'rollingRate': 451.1, 'rollingSum': 108}, {'age': '35_39', 'cases': 15, 'rollingRate': 331.6, 'rollingSum': 87}, {'age': '40_44', 'cases': 14, 'rollingRate': 290.1, 'rollingSum': 69}, {'age': '45_49', 'cases': 11, 'rollingRate': 234.3, 'rollingSum': 60}, {'age': '50_54', 'cases': 16, 'rollingRate': 339.8, 'rollingSum': 92}, {'age': '55_59', 'cases': 10, 'rollingRate': 249.1, 'rollingSum': 64}, {'age': '60_64', 'cases': 14, 'rollingRate': 181.2, 'rollingSum': 40}, {'age': '65_69', 'cases': 3, 'rollingRate': 89.4, 'rollingSum': 19}, {'age': '70_74', 'cases': 4, 'rollingRate': 110.2, 'rollingSum': 25}, {'age': '75_79', 'cases': 2, 'rollingRate': 50.8, 'rollingSum': 8}, {'age': '80_84', 'cases': 1, 'rollingRate': 159.2, 'rollingSum': 20}, {'age': '85_89', 'cases': 3, 'rollingRate': 231.0, 'rollingSum': 20}, {'age': '90+', 'cases': 3, 'rollingRate': 536.6, 'rollingSum': 29}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 2}, {'age': '60+', 'cases': 30, 'rollingRate': 148.6, 'rollingSum': 161}, {'age': '00_59', 'cases': 160, 'rollingRate': 289.2, 'rollingSum': 830}]"
2020-12-25,"Bournemouth, Christchurch and Poole","[{'age': '00_04', 'cases': 3, 'rollingRate': 74.0, 'rollingSum': 15}, {'age': '05_09', 'cases': 0, 'rollingRate': 66.3, 'rollingSum': 15}, {'age': '10_14', 'cases': 3, 'rollingRate': 141.2, 'rollingSum': 30}, {'age': '15_19', 'cases': 5, 'rollingRate': 195.1, 'rollingSum': 41}, {'age': '20_24', 'cases': 7, 'rollingRate': 359.6, 'rollingSum': 96}, {'age': '25_29', 'cases': 9, 'rollingRate': 439.3, 'rollingSum': 100}, {'age': '30_34', 'cases': 4, 'rollingRate': 413.5, 'rollingSum': 99}, {'age': '35_39', 'cases': 8, 'rollingRate': 274.4, 'rollingSum': 72}, {'age': '40_44', 'cases': 4, 'rollingRate': 239.7, 'rollingSum': 57}, {'age': '45_49', 'cases': 2, 'rollingRate': 207.0, 'rollingSum': 53}, {'age': '50_54', 'cases': 7, 'rollingRate': 299.2, 'rollingSum': 81}, {'age': '55_59', 'cases': 2, 'rollingRate': 217.9, 'rollingSum': 56}, {'age': '60_64', 'cases': 3, 'rollingRate': 131.4, 'rollingSum': 29}, {'age': '65_69', 'cases': 1, 'rollingRate': 80.0, 'rollingSum': 17}, {'age': '70_74', 'cases': 1, 'rollingRate': 105.8, 'rollingSum': 24}, {'age': '75_79', 'cases': 1, 'rollingRate': 44.5, 'rollingSum': 7}, {'age': '80_84', 'cases': 1, 'rollingRate': 151.2, 'rollingSum': 19}, {'age': '85_89', 'cases': 1, 'rollingRate': 219.5, 'rollingSum': 19}, {'age': '90+', 'cases': 7, 'rollingRate': 481.1, 'rollingSum': 26}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 2}, {'age': '60+', 'cases': 15, 'rollingRate': 130.1, 'rollingSum': 141}, {'age': '00_59', 'cases': 54, 'rollingRate': 249.9, 'rollingSum': 717}]"
2020-12-24,"Bournemouth, Christchurch and Poole","[{'age': '00_04', 'cases': 2, 'rollingRate': 74.0, 'rollingSum': 15}, {'age': '05_09', 'cases': 2, 'rollingRate': 70.8, 'rollingSum': 16}, {'age': '10_14', 'cases': 4, 'rollingRate': 141.2, 'rollingSum': 30}, {'age': '15_19', 'cases': 5, 'rollingRate': 180.8, 'rollingSum': 38}, {'age': '20_24', 'cases': 9, 'rollingRate': 400.8, 'rollingSum': 107}, {'age': '25_29', 'cases': 19, 'rollingRate': 430.5, 'rollingSum': 98}, {'age': '30_34', 'cases': 13, 'rollingRate': 434.3, 'rollingSum': 104}, {'age': '35_39', 'cases': 10, 'rollingRate': 285.9, 'rollingSum': 75}, {'age': '40_44', 'cases': 7, 'rollingRate': 243.9, 'rollingSum': 58}, {'age': '45_49', 'cases': 5, 'rollingRate': 230.4, 'rollingSum': 59}, {'age': '50_54', 'cases': 4, 'rollingRate': 288.1, 'rollingSum': 78}, {'age': '55_59', 'cases': 10, 'rollingRate': 233.5, 'rollingSum': 60}, {'age': '60_64', 'cases': 1, 'rollingRate': 145.0, 'rollingSum': 32}, {'age': '65_69', 'cases': 1, 'rollingRate': 98.8, 'rollingSum': 21}, {'age': '70_74', 'cases': 3, 'rollingRate': 105.8, 'rollingSum': 24}, {'age': '75_79', 'cases': 1, 'rollingRate': 44.5, 'rollingSum': 7}, {'age': '80_84', 'cases': 5, 'rollingRate': 167.2, 'rollingSum': 21}, {'age': '85_89', 'cases': 4, 'rollingRate': 265.7, 'rollingSum': 23}, {'age': '90+', 'cases': 4, 'rollingRate': 481.1, 'rollingSum': 26}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 3}, {'age': '60+', 'cases': 19, 'rollingRate': 142.1, 'rollingSum': 154}, {'age': '00_59', 'cases': 90, 'rollingRate': 258.2, 'rollingSum': 741}]"
2020-12-23,"Bournemouth, Christchurch and Poole","[{'age': '00_04', 'cases': 3, 'rollingRate': 64.1, 'rollingSum': 13}, {'age': '05_09', 'cases': 4, 'rollingRate': 66.3, 'rollingSum': 15}, {'age': '10_14', 'cases': 3, 'rollingRate': 127.1, 'rollingSum': 27}, {'age': '15_19', 'cases': 6, 'rollingRate': 180.8, 'rollingSum': 38}, {'age': '20_24', 'cases': 25, 'rollingRate': 408.3, 'rollingSum': 109}, {'age': '25_29', 'cases': 23, 'rollingRate': 404.1, 'rollingSum': 92}, {'age': '30_34', 'cases': 20, 'rollingRate': 430.2, 'rollingSum': 103}, {'age': '35_39', 'cases': 16, 'rollingRate': 270.6, 'rollingSum': 71}, {'age': '40_44', 'cases': 11, 'rollingRate': 222.9, 'rollingSum': 53}, {'age': '45_49', 'cases': 9, 'rollingRate': 234.3, 'rollingSum': 60}, {'age': '50_54', 'cases': 19, 'rollingRate': 299.2, 'rollingSum': 81}, {'age': '55_59', 'cases': 14, 'rollingRate': 225.7, 'rollingSum': 58}, {'age': '60_64', 'cases': 8, 'rollingRate': 163.1, 'rollingSum': 36}, {'age': '65_69', 'cases': 3, 'rollingRate': 103.5, 'rollingSum': 22}, {'age': '70_74', 'cases': 3, 'rollingRate': 97.0, 'rollingSum': 22}, {'age': '75_79', 'cases': 3, 'rollingRate': 63.5, 'rollingSum': 10}, {'age': '80_84', 'cases': 3, 'rollingRate': 159.2, 'rollingSum': 20}, {'age': '85_89', 'cases': 3, 'rollingRate': 254.1, 'rollingSum': 22}, {'age': '90+', 'cases': 13, 'rollingRate': 536.6, 'rollingSum': 29}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 3}, {'age': '60+', 'cases': 36, 'rollingRate': 148.6, 'rollingSum': 161}, {'age': '00_59', 'cases': 153, 'rollingRate': 252.0, 'rollingSum': 723}]"
2020-12-22,"Bournemouth, Christchurch and Poole","[{'age': '00_04', 'cases': 4, 'rollingRate': 59.2, 'rollingSum': 12}, {'age': '05_09', 'cases': 3, 'rollingRate': 57.5, 'rollingSum': 13}, {'age': '10_14', 'cases': 6, 'rollingRate': 183.5, 'rollingSum': 39}, {'age': '15_19', 'cases': 8, 'rollingRate': 161.8, 'rollingSum': 34}, {'age': '20_24', 'cases': 19, 'rollingRate': 382.0, 'rollingSum': 102}, {'age': '25_29', 'cases': 16, 'rollingRate': 373.4, 'rollingSum': 85}, {'age': '30_34', 'cases': 24, 'rollingRate': 400.9, 'rollingSum': 96}, {'age': '35_39', 'cases': 15, 'rollingRate': 255.4, 'rollingSum': 67}, {'age': '40_44', 'cases': 17, 'rollingRate': 222.9, 'rollingSum': 53}, {'age': '45_49', 'cases': 10, 'rollingRate': 234.3, 'rollingSum': 60}, {'age': '50_54', 'cases': 12, 'rollingRate': 273.3, 'rollingSum': 74}, {'age': '55_59', 'cases': 15, 'rollingRate': 198.5, 'rollingSum': 51}, {'age': '60_64', 'cases': 6, 'rollingRate': 145.0, 'rollingSum': 32}, {'age': '65_69', 'cases': 5, 'rollingRate': 94.1, 'rollingSum': 20}, {'age': '70_74', 'cases': 7, 'rollingRate': 88.2, 'rollingSum': 20}, {'age': '75_79', 'cases': 0, 'rollingRate': 50.8, 'rollingSum': 8}, {'age': '80_84', 'cases': 3, 'rollingRate': 143.3, 'rollingSum': 18}, {'age': '85_89', 'cases': 5, 'rollingRate': 254.1, 'rollingSum': 22}, {'age': '90+', 'cases': 1, 'rollingRate': 351.6, 'rollingSum': 19}, {'age': 'unassigned', 'cases': 2, 'rollingRate': None, 'rollingSum': 3}, {'age': '60+', 'cases': 27, 'rollingRate': 128.3, 'rollingSum': 139}, {'age': '00_59', 'cases': 151, 'rollingRate': 240.1, 'rollingSum': 689}]"
2020-12-21,"Bournemouth, Christchurch and Poole","[{'age': '00_04', 'cases': 0, 'rollingRate': 54.3, 'rollingSum': 11}, {'age': '05_09', 'cases': 1, 'rollingRate': 44.2, 'rollingSum': 10}, {'age': '10_14', 'cases': 7, 'rollingRate': 169.4, 'rollingSum': 36}, {'age': '15_19', 'cases': 8, 'rollingRate': 142.7, 'rollingSum': 30}, {'age': '20_24', 'cases': 15, 'rollingRate': 344.6, 'rollingSum': 92}, {'age': '25_29', 'cases': 16, 'rollingRate': 355.8, 'rollingSum': 81}, {'age': '30_34', 'cases': 22, 'rollingRate': 363.3, 'rollingSum': 87}, {'age': '35_39', 'cases': 12, 'rollingRate': 217.3, 'rollingSum': 57}, {'age': '40_44', 'cases': 10, 'rollingRate': 172.4, 'rollingSum': 41}, {'age': '45_49', 'cases': 11, 'rollingRate': 214.8, 'rollingSum': 55}, {'age': '50_54', 'cases': 18, 'rollingRate': 247.5, 'rollingSum': 67}, {'age': '55_59', 'cases': 6, 'rollingRate': 147.9, 'rollingSum': 38}, {'age': '60_64', 'cases': 7, 'rollingRate': 131.4, 'rollingSum': 29}, {'age': '65_69', 'cases': 2, 'rollingRate': 80.0, 'rollingSum': 17}, {'age': '70_74', 'cases': 2, 'rollingRate': 61.7, 'rollingSum': 14}, {'age': '75_79', 'cases': 0, 'rollingRate': 57.2, 'rollingSum': 9}, {'age': '80_84', 'cases': 3, 'rollingRate': 143.3, 'rollingSum': 18}, {'age': '85_89', 'cases': 1, 'rollingRate': 242.6, 'rollingSum': 21}, {'age': '90+', 'cases': 0, 'rollingRate': 351.6, 'rollingSum': 19}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 1}, {'age': '60+', 'cases': 15, 'rollingRate': 117.2, 'rollingSum': 127}, {'age': '00_59', 'cases': 126, 'rollingRate': 211.2, 'rollingSum': 606}]"
2020-12-20,"Bournemouth, Christchurch and Poole","[{'age': '00_04', 'cases': 1, 'rollingRate': 59.2, 'rollingSum': 12}, {'age': '05_09', 'cases': 5, 'rollingRate': 48.7, 'rollingSum': 11}, {'age': '10_14', 'cases': 3, 'rollingRate': 160.0, 'rollingSum': 34}, {'age': '15_19', 'cases': 5, 'rollingRate': 109.4, 'rollingSum': 23}, {'age': '20_24', 'cases': 12, 'rollingRate': 325.9, 'rollingSum': 87}, {'age': '25_29', 'cases': 9, 'rollingRate': 303.1, 'rollingSum': 69}, {'age': '30_34', 'cases': 9, 'rollingRate': 288.2, 'rollingSum': 69}, {'age': '35_39', 'cases': 11, 'rollingRate': 209.6, 'rollingSum': 55}, {'age': '40_44', 'cases': 6, 'rollingRate': 172.4, 'rollingSum': 41}, {'age': '45_49', 'cases': 12, 'rollingRate': 203.0, 'rollingSum': 52}, {'age': '50_54', 'cases': 16, 'rollingRate': 210.5, 'rollingSum': 57}, {'age': '55_59', 'cases': 7, 'rollingRate': 163.4, 'rollingSum': 42}, {'age': '60_64', 'cases': 1, 'rollingRate': 117.8, 'rollingSum': 26}, {'age': '65_69', 'cases': 4, 'rollingRate': 70.6, 'rollingSum': 15}, {'age': '70_74', 'cases': 5, 'rollingRate': 61.7, 'rollingSum': 14}, {'age': '75_79', 'cases': 1, 'rollingRate': 63.5, 'rollingSum': 10}, {'age': '80_84', 'cases': 4, 'rollingRate': 151.2, 'rollingSum': 19}, {'age': '85_89', 'cases': 3, 'rollingRate': 231.0, 'rollingSum': 20}, {'age': '90+', 'cases': 1, 'rollingRate': 388.6, 'rollingSum': 21}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 1}, {'age': '60+', 'cases': 19, 'rollingRate': 115.3, 'rollingSum': 125}, {'age': '00_59', 'cases': 96, 'rollingRate': 192.7, 'rollingSum': 553}]"
2020-12-19,"Bournemouth, Christchurch and Poole","[{'age': '00_04', 'cases': 2, 'rollingRate': 54.3, 'rollingSum': 11}, {'age': '05_09', 'cases': 0, 'rollingRate': 31.0, 'rollingSum': 7}, {'age': '10_14', 'cases': 4, 'rollingRate': 155.3, 'rollingSum': 33}, {'age': '15_19', 'cases': 4, 'rollingRate': 90.4, 'rollingSum': 19}, {'age': '20_24', 'cases': 9, 'rollingRate': 307.1, 'rollingSum': 82}, {'age': '25_29', 'cases': 8, 'rollingRate': 294.3, 'rollingSum': 67}, {'age': '30_34', 'cases': 7, 'rollingRate': 258.9, 'rollingSum': 62}, {'age': '35_39', 'cases': 0, 'rollingRate': 186.8, 'rollingSum': 49}, {'age': '40_44', 'cases': 2, 'rollingRate': 176.6, 'rollingSum': 42}, {'age': '45_49', 'cases': 4, 'rollingRate': 175.7, 'rollingSum': 45}, {'age': '50_54', 'cases': 5, 'rollingRate': 166.2, 'rollingSum': 45}, {'age': '55_59', 'cases': 2, 'rollingRate': 147.9, 'rollingSum': 38}, {'age': '60_64', 'cases': 3, 'rollingRate': 122.3, 'rollingSum': 27}, {'age': '65_69', 'cases': 1, 'rollingRate': 61.2, 'rollingSum': 13}, {'age': '70_74', 'cases': 3, 'rollingRate': 44.1, 'rollingSum': 10}, {'age': '75_79', 'cases': 1, 'rollingRate': 57.2, 'rollingSum': 9}, {'age': '80_84', 'cases': 0, 'rollingRate': 135.3, 'rollingSum': 17}, {'age': '85_89', 'cases': 2, 'rollingRate': 207.9, 'rollingSum': 18}, {'age': '90+', 'cases': 0, 'rollingRate': 370.1, 'rollingSum': 20}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 1}, {'age': '60+', 'cases': 10, 'rollingRate': 105.2, 'rollingSum': 114}, {'age': '00_59', 'cases': 47, 'rollingRate': 174.6, 'rollingSum': 501}]"
