date,areaName,newCasesBySpecimenDateAgeDemographics
2020-12-28,Welwyn Hatfield,"[{'age': '00_04', 'cases': 2, 'rollingRate': 285.6, 'rollingSum': 20}, {'age': '05_09', 'cases': 1, 'rollingRate': 216.5, 'rollingSum': 17}, {'age': '10_14', 'cases': 3, 'rollingRate': 413.2, 'rollingSum': 29}, {'age': '15_19', 'cases': 0, 'rollingRate': 440.0, 'rollingSum': 33}, {'age': '20_24', 'cases': 15, 'rollingRate': 536.2, 'rollingSum': 66}, {'age': '25_29', 'cases': 12, 'rollingRate': 686.5, 'rollingSum': 68}, {'age': '30_34', 'cases': 13, 'rollingRate': 914.2, 'rollingSum': 79}, {'age': '35_39', 'cases': 7, 'rollingRate': 596.0, 'rollingSum': 50}, {'age': '40_44', 'cases': 6, 'rollingRate': 825.0, 'rollingSum': 60}, {'age': '45_49', 'cases': 3, 'rollingRate': 792.0, 'rollingSum': 58}, {'age': '50_54', 'cases': 7, 'rollingRate': 743.2, 'rollingSum': 56}, {'age': '55_59', 'cases': 10, 'rollingRate': 689.8, 'rollingSum': 50}, {'age': '60_64', 'cases': 8, 'rollingRate': 574.6, 'rollingSum': 34}, {'age': '65_69', 'cases': 1, 'rollingRate': 205.7, 'rollingSum': 10}, {'age': '70_74', 'cases': 1, 'rollingRate': 409.0, 'rollingSum': 19}, {'age': '75_79', 'cases': 2, 'rollingRate': 460.7, 'rollingSum': 16}, {'age': '80_84', 'cases': 3, 'rollingRate': 595.9, 'rollingSum': 17}, {'age': '85_89', 'cases': 0, 'rollingRate': 646.8, 'rollingSum': 13}, {'age': '90+', 'cases': 5, 'rollingRate': 1716.1, 'rollingSum': 22}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 0}, {'age': '60+', 'cases': 20, 'rollingRate': 523.1, 'rollingSum': 131}, {'age': '00_59', 'cases': 79, 'rollingRate': 598.0, 'rollingSum': 586}]"
2020-12-27,Welwyn Hatfield,"[{'age': '00_04', 'cases': 3, 'rollingRate': 285.6, 'rollingSum': 20}, {'age': '05_09', 'cases': 1, 'rollingRate': 241.9, 'rollingSum': 19}, {'age': '10_14', 'cases': 7, 'rollingRate': 413.2, 'rollingSum': 29}, {'age': '15_19', 'cases': 7, 'rollingRate': 480.0, 'rollingSum': 36}, {'age': '20_24', 'cases': 17, 'rollingRate': 503.7, 'rollingSum': 62}, {'age': '25_29', 'cases': 14, 'rollingRate': 686.5, 'rollingSum': 68}, {'age': '30_34', 'cases': 9, 'rollingRate': 844.8, 'rollingSum': 73}, {'age': '35_39', 'cases': 7, 'rollingRate': 691.4, 'rollingSum': 58}, {'age': '40_44', 'cases': 6, 'rollingRate': 880.0, 'rollingSum': 64}, {'age': '45_49', 'cases': 7, 'rollingRate': 914.9, 'rollingSum': 67}, {'age': '50_54', 'cases': 8, 'rollingRate': 743.2, 'rollingSum': 56}, {'age': '55_59', 'cases': 10, 'rollingRate': 703.5, 'rollingSum': 51}, {'age': '60_64', 'cases': 4, 'rollingRate': 574.6, 'rollingSum': 34}, {'age': '65_69', 'cases': 2, 'rollingRate': 205.7, 'rollingSum': 10}, {'age': '70_74', 'cases': 4, 'rollingRate': 409.0, 'rollingSum': 19}, {'age': '75_79', 'cases': 1, 'rollingRate': 431.9, 'rollingSum': 15}, {'age': '80_84', 'cases': 1, 'rollingRate': 490.7, 'rollingSum': 14}, {'age': '85_89', 'cases': 1, 'rollingRate': 646.8, 'rollingSum': 13}, {'age': '90+', 'cases': 1, 'rollingRate': 1326.1, 'rollingSum': 17}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 0}, {'age': '60+', 'cases': 14, 'rollingRate': 487.2, 'rollingSum': 122}, {'age': '00_59', 'cases': 96, 'rollingRate': 615.3, 'rollingSum': 603}]"
2020-12-26,Welwyn Hatfield,"[{'age': '00_04', 'cases': 5, 'rollingRate': 257.0, 'rollingSum': 18}, {'age': '05_09', 'cases': 8, 'rollingRate': 267.4, 'rollingSum': 21}, {'age': '10_14', 'cases': 4, 'rollingRate': 370.4, 'rollingSum': 26}, {'age': '15_19', 'cases': 5, 'rollingRate': 480.0, 'rollingSum': 36}, {'age': '20_24', 'cases': 8, 'rollingRate': 406.2, 'rollingSum': 50}, {'age': '25_29', 'cases': 9, 'rollingRate': 605.7, 'rollingSum': 60}, {'age': '30_34', 'cases': 12, 'rollingRate': 868.0, 'rollingSum': 75}, {'age': '35_39', 'cases': 10, 'rollingRate': 667.5, 'rollingSum': 56}, {'age': '40_44', 'cases': 10, 'rollingRate': 838.7, 'rollingSum': 61}, {'age': '45_49', 'cases': 10, 'rollingRate': 942.2, 'rollingSum': 69}, {'age': '50_54', 'cases': 9, 'rollingRate': 637.0, 'rollingSum': 48}, {'age': '55_59', 'cases': 6, 'rollingRate': 676.0, 'rollingSum': 49}, {'age': '60_64', 'cases': 3, 'rollingRate': 557.7, 'rollingSum': 33}, {'age': '65_69', 'cases': 2, 'rollingRate': 185.1, 'rollingSum': 9}, {'age': '70_74', 'cases': 4, 'rollingRate': 322.9, 'rollingSum': 15}, {'age': '75_79', 'cases': 5, 'rollingRate': 460.7, 'rollingSum': 16}, {'age': '80_84', 'cases': 9, 'rollingRate': 455.7, 'rollingSum': 13}, {'age': '85_89', 'cases': 8, 'rollingRate': 597.0, 'rollingSum': 12}, {'age': '90+', 'cases': 7, 'rollingRate': 1326.1, 'rollingSum': 17}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 0}, {'age': '60+', 'cases': 38, 'rollingRate': 459.2, 'rollingSum': 115}, {'age': '00_59', 'cases': 96, 'rollingRate': 580.6, 'rollingSum': 569}]"
2020-12-25,Welwyn Hatfield,"[{'age': '00_04', 'cases': 2, 'rollingRate': 185.6, 'rollingSum': 13}, {'age': '05_09', 'cases': 0, 'rollingRate': 165.5, 'rollingSum': 13}, {'age': '10_14', 'cases': 0, 'rollingRate': 341.9, 'rollingSum': 24}, {'age': '15_19', 'cases': 1, 'rollingRate': 453.3, 'rollingSum': 34}, {'age': '20_24', 'cases': 2, 'rollingRate': 373.7, 'rollingSum': 46}, {'age': '25_29', 'cases': 4, 'rollingRate': 585.5, 'rollingSum': 58}, {'age': '30_34', 'cases': 5, 'rollingRate': 763.8, 'rollingSum': 66}, {'age': '35_39', 'cases': 7, 'rollingRate': 619.9, 'rollingSum': 52}, {'age': '40_44', 'cases': 1, 'rollingRate': 783.7, 'rollingSum': 57}, {'age': '45_49', 'cases': 6, 'rollingRate': 887.6, 'rollingSum': 65}, {'age': '50_54', 'cases': 6, 'rollingRate': 610.5, 'rollingSum': 46}, {'age': '55_59', 'cases': 3, 'rollingRate': 620.8, 'rollingSum': 45}, {'age': '60_64', 'cases': 1, 'rollingRate': 523.9, 'rollingSum': 31}, {'age': '65_69', 'cases': 1, 'rollingRate': 144.0, 'rollingSum': 7}, {'age': '70_74', 'cases': 1, 'rollingRate': 236.8, 'rollingSum': 11}, {'age': '75_79', 'cases': 2, 'rollingRate': 345.5, 'rollingSum': 12}, {'age': '80_84', 'cases': 1, 'rollingRate': 175.3, 'rollingSum': 5}, {'age': '85_89', 'cases': 1, 'rollingRate': 248.8, 'rollingSum': 5}, {'age': '90+', 'cases': 0, 'rollingRate': 780.0, 'rollingSum': 10}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 2}, {'age': '60+', 'cases': 7, 'rollingRate': 323.5, 'rollingSum': 81}, {'age': '00_59', 'cases': 37, 'rollingRate': 531.6, 'rollingSum': 521}]"
2020-12-24,Welwyn Hatfield,"[{'age': '00_04', 'cases': 3, 'rollingRate': 157.1, 'rollingSum': 11}, {'age': '05_09', 'cases': 1, 'rollingRate': 165.5, 'rollingSum': 13}, {'age': '10_14', 'cases': 3, 'rollingRate': 370.4, 'rollingSum': 26}, {'age': '15_19', 'cases': 5, 'rollingRate': 480.0, 'rollingSum': 36}, {'age': '20_24', 'cases': 3, 'rollingRate': 479.3, 'rollingSum': 59}, {'age': '25_29', 'cases': 8, 'rollingRate': 646.1, 'rollingSum': 64}, {'age': '30_34', 'cases': 10, 'rollingRate': 810.1, 'rollingSum': 70}, {'age': '35_39', 'cases': 5, 'rollingRate': 619.9, 'rollingSum': 52}, {'age': '40_44', 'cases': 9, 'rollingRate': 838.7, 'rollingSum': 61}, {'age': '45_49', 'cases': 9, 'rollingRate': 901.3, 'rollingSum': 66}, {'age': '50_54', 'cases': 7, 'rollingRate': 650.3, 'rollingSum': 49}, {'age': '55_59', 'cases': 5, 'rollingRate': 662.2, 'rollingSum': 48}, {'age': '60_64', 'cases': 3, 'rollingRate': 591.5, 'rollingSum': 35}, {'age': '65_69', 'cases': 1, 'rollingRate': 144.0, 'rollingSum': 7}, {'age': '70_74', 'cases': 0, 'rollingRate': 236.8, 'rollingSum': 11}, {'age': '75_79', 'cases': 2, 'rollingRate': 345.5, 'rollingSum': 12}, {'age': '80_84', 'cases': 1, 'rollingRate': 210.3, 'rollingSum': 6}, {'age': '85_89', 'cases': 1, 'rollingRate': 248.8, 'rollingSum': 5}, {'age': '90+', 'cases': 5, 'rollingRate': 1170.0, 'rollingSum': 15}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 2}, {'age': '60+', 'cases': 13, 'rollingRate': 363.4, 'rollingSum': 91}, {'age': '00_59', 'cases': 68, 'rollingRate': 568.4, 'rollingSum': 557}]"
2020-12-23,Welwyn Hatfield,"[{'age': '00_04', 'cases': 2, 'rollingRate': 128.5, 'rollingSum': 9}, {'age': '05_09', 'cases': 4, 'rollingRate': 165.5, 'rollingSum': 13}, {'age': '10_14', 'cases': 6, 'rollingRate': 384.7, 'rollingSum': 27}, {'age': '15_19', 'cases': 5, 'rollingRate': 453.3, 'rollingSum': 34}, {'age': '20_24', 'cases': 12, 'rollingRate': 479.3, 'rollingSum': 59}, {'age': '25_29', 'cases': 7, 'rollingRate': 605.7, 'rollingSum': 60}, {'age': '30_34', 'cases': 16, 'rollingRate': 740.7, 'rollingSum': 64}, {'age': '35_39', 'cases': 4, 'rollingRate': 607.9, 'rollingSum': 51}, {'age': '40_44', 'cases': 16, 'rollingRate': 838.7, 'rollingSum': 61}, {'age': '45_49', 'cases': 11, 'rollingRate': 819.3, 'rollingSum': 60}, {'age': '50_54', 'cases': 10, 'rollingRate': 623.8, 'rollingSum': 47}, {'age': '55_59', 'cases': 7, 'rollingRate': 662.2, 'rollingSum': 48}, {'age': '60_64', 'cases': 6, 'rollingRate': 557.7, 'rollingSum': 33}, {'age': '65_69', 'cases': 2, 'rollingRate': 164.6, 'rollingSum': 8}, {'age': '70_74', 'cases': 6, 'rollingRate': 236.8, 'rollingSum': 11}, {'age': '75_79', 'cases': 4, 'rollingRate': 287.9, 'rollingSum': 10}, {'age': '80_84', 'cases': 1, 'rollingRate': 210.3, 'rollingSum': 6}, {'age': '85_89', 'cases': 1, 'rollingRate': 199.0, 'rollingSum': 4}, {'age': '90+', 'cases': 0, 'rollingRate': 780.0, 'rollingSum': 10}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 2}, {'age': '60+', 'cases': 20, 'rollingRate': 327.4, 'rollingSum': 82}, {'age': '00_59', 'cases': 100, 'rollingRate': 545.9, 'rollingSum': 535}]"
2020-12-22,Welwyn Hatfield,"[{'age': '00_04', 'cases': 3, 'rollingRate': 100.0, 'rollingSum': 7}, {'age': '05_09', 'cases': 2, 'rollingRate': 152.8, 'rollingSum': 12}, {'age': '10_14', 'cases': 6, 'rollingRate': 313.4, 'rollingSum': 22}, {'age': '15_19', 'cases': 10, 'rollingRate': 426.7, 'rollingSum': 32}, {'age': '20_24', 'cases': 9, 'rollingRate': 446.8, 'rollingSum': 55}, {'age': '25_29', 'cases': 14, 'rollingRate': 605.7, 'rollingSum': 60}, {'age': '30_34', 'cases': 14, 'rollingRate': 590.2, 'rollingSum': 51}, {'age': '35_39', 'cases': 10, 'rollingRate': 679.5, 'rollingSum': 57}, {'age': '40_44', 'cases': 12, 'rollingRate': 728.7, 'rollingSum': 53}, {'age': '45_49', 'cases': 12, 'rollingRate': 764.7, 'rollingSum': 56}, {'age': '50_54', 'cases': 9, 'rollingRate': 583.9, 'rollingSum': 44}, {'age': '55_59', 'cases': 9, 'rollingRate': 620.8, 'rollingSum': 45}, {'age': '60_64', 'cases': 9, 'rollingRate': 456.3, 'rollingSum': 27}, {'age': '65_69', 'cases': 1, 'rollingRate': 164.6, 'rollingSum': 8}, {'age': '70_74', 'cases': 3, 'rollingRate': 107.6, 'rollingSum': 5}, {'age': '75_79', 'cases': 0, 'rollingRate': 201.6, 'rollingSum': 7}, {'age': '80_84', 'cases': 1, 'rollingRate': 210.3, 'rollingSum': 6}, {'age': '85_89', 'cases': 1, 'rollingRate': 199.0, 'rollingSum': 4}, {'age': '90+', 'cases': 4, 'rollingRate': 780.0, 'rollingSum': 10}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 2}, {'age': '60+', 'cases': 19, 'rollingRate': 267.6, 'rollingSum': 67}, {'age': '00_59', 'cases': 110, 'rollingRate': 506.1, 'rollingSum': 496}]"
2020-12-21,Welwyn Hatfield,"[{'age': '00_04', 'cases': 2, 'rollingRate': 85.7, 'rollingSum': 6}, {'age': '05_09', 'cases': 3, 'rollingRate': 140.1, 'rollingSum': 11}, {'age': '10_14', 'cases': 3, 'rollingRate': 270.7, 'rollingSum': 19}, {'age': '15_19', 'cases': 3, 'rollingRate': 333.3, 'rollingSum': 25}, {'age': '20_24', 'cases': 11, 'rollingRate': 455.0, 'rollingSum': 56}, {'age': '25_29', 'cases': 12, 'rollingRate': 484.6, 'rollingSum': 48}, {'age': '30_34', 'cases': 7, 'rollingRate': 486.1, 'rollingSum': 42}, {'age': '35_39', 'cases': 15, 'rollingRate': 584.1, 'rollingSum': 49}, {'age': '40_44', 'cases': 10, 'rollingRate': 618.7, 'rollingSum': 45}, {'age': '45_49', 'cases': 12, 'rollingRate': 682.8, 'rollingSum': 50}, {'age': '50_54', 'cases': 7, 'rollingRate': 544.1, 'rollingSum': 41}, {'age': '55_59', 'cases': 11, 'rollingRate': 551.8, 'rollingSum': 40}, {'age': '60_64', 'cases': 8, 'rollingRate': 321.1, 'rollingSum': 19}, {'age': '65_69', 'cases': 1, 'rollingRate': 164.6, 'rollingSum': 8}, {'age': '70_74', 'cases': 1, 'rollingRate': 43.0, 'rollingSum': 2}, {'age': '75_79', 'cases': 1, 'rollingRate': 201.6, 'rollingSum': 7}, {'age': '80_84', 'cases': 0, 'rollingRate': 175.3, 'rollingSum': 5}, {'age': '85_89', 'cases': 0, 'rollingRate': 199.0, 'rollingSum': 4}, {'age': '90+', 'cases': 0, 'rollingRate': 468.0, 'rollingSum': 6}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 3}, {'age': '60+', 'cases': 11, 'rollingRate': 203.7, 'rollingSum': 51}, {'age': '00_59', 'cases': 96, 'rollingRate': 443.9, 'rollingSum': 435}]"
2020-12-20,Welwyn Hatfield,"[{'age': '00_04', 'cases': 1, 'rollingRate': 57.1, 'rollingSum': 4}, {'age': '05_09', 'cases': 3, 'rollingRate': 127.3, 'rollingSum': 10}, {'age': '10_14', 'cases': 4, 'rollingRate': 284.9, 'rollingSum': 20}, {'age': '15_19', 'cases': 7, 'rollingRate': 373.3, 'rollingSum': 28}, {'age': '20_24', 'cases': 5, 'rollingRate': 398.1, 'rollingSum': 49}, {'age': '25_29', 'cases': 6, 'rollingRate': 393.7, 'rollingSum': 39}, {'age': '30_34', 'cases': 11, 'rollingRate': 474.5, 'rollingSum': 41}, {'age': '35_39', 'cases': 5, 'rollingRate': 453.0, 'rollingSum': 38}, {'age': '40_44', 'cases': 3, 'rollingRate': 550.0, 'rollingSum': 40}, {'age': '45_49', 'cases': 9, 'rollingRate': 614.5, 'rollingSum': 45}, {'age': '50_54', 'cases': 0, 'rollingRate': 504.3, 'rollingSum': 38}, {'age': '55_59', 'cases': 8, 'rollingRate': 413.9, 'rollingSum': 30}, {'age': '60_64', 'cases': 3, 'rollingRate': 253.5, 'rollingSum': 15}, {'age': '65_69', 'cases': 1, 'rollingRate': 185.1, 'rollingSum': 9}, {'age': '70_74', 'cases': 0, 'rollingRate': 64.6, 'rollingSum': 3}, {'age': '75_79', 'cases': 2, 'rollingRate': 172.8, 'rollingSum': 6}, {'age': '80_84', 'cases': 0, 'rollingRate': 210.3, 'rollingSum': 6}, {'age': '85_89', 'cases': 0, 'rollingRate': 248.8, 'rollingSum': 5}, {'age': '90+', 'cases': 1, 'rollingRate': 546.0, 'rollingSum': 7}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 3}, {'age': '60+', 'cases': 7, 'rollingRate': 203.7, 'rollingSum': 51}, {'age': '00_59', 'cases': 62, 'rollingRate': 392.9, 'rollingSum': 385}]"
2020-12-19,Welwyn Hatfield,"[{'age': '00_04', 'cases': 0, 'rollingRate': 85.7, 'rollingSum': 6}, {'age': '05_09', 'cases': 0, 'rollingRate': 101.9, 'rollingSum': 8}, {'age': '10_14', 'cases': 2, 'rollingRate': 228.0, 'rollingSum': 16}, {'age': '15_19', 'cases': 3, 'rollingRate': 293.3, 'rollingSum': 22}, {'age': '20_24', 'cases': 4, 'rollingRate': 365.6, 'rollingSum': 45}, {'age': '25_29', 'cases': 7, 'rollingRate': 333.1, 'rollingSum': 33}, {'age': '30_34', 'cases': 3, 'rollingRate': 405.0, 'rollingSum': 35}, {'age': '35_39', 'cases': 6, 'rollingRate': 429.1, 'rollingSum': 36}, {'age': '40_44', 'cases': 6, 'rollingRate': 536.2, 'rollingSum': 39}, {'age': '45_49', 'cases': 6, 'rollingRate': 546.2, 'rollingSum': 40}, {'age': '50_54', 'cases': 7, 'rollingRate': 544.1, 'rollingSum': 41}, {'age': '55_59', 'cases': 2, 'rollingRate': 344.9, 'rollingSum': 25}, {'age': '60_64', 'cases': 1, 'rollingRate': 219.7, 'rollingSum': 13}, {'age': '65_69', 'cases': 0, 'rollingRate': 164.6, 'rollingSum': 8}, {'age': '70_74', 'cases': 0, 'rollingRate': 64.6, 'rollingSum': 3}, {'age': '75_79', 'cases': 1, 'rollingRate': 115.2, 'rollingSum': 4}, {'age': '80_84', 'cases': 1, 'rollingRate': 210.3, 'rollingSum': 6}, {'age': '85_89', 'cases': 1, 'rollingRate': 248.8, 'rollingSum': 5}, {'age': '90+', 'cases': 0, 'rollingRate': 546.0, 'rollingSum': 7}, {'age': 'unassigned', 'cases': 2, 'rollingRate': None, 'rollingSum': 3}, {'age': '60+', 'cases': 4, 'rollingRate': 183.7, 'rollingSum': 46}, {'age': '00_59', 'cases': 48, 'rollingRate': 356.1, 'rollingSum': 349}]"
