date,areaName,newCasesBySpecimenDateAgeDemographics
2020-12-28,Birmingham,"[{'age': '00_04', 'cases': 9, 'rollingRate': 129.9, 'rollingSum': 106}, {'age': '05_09', 'cases': 20, 'rollingRate': 182.3, 'rollingSum': 151}, {'age': '10_14', 'cases': 27, 'rollingRate': 273.3, 'rollingSum': 217}, {'age': '15_19', 'cases': 41, 'rollingRate': 289.7, 'rollingSum': 230}, {'age': '20_24', 'cases': 51, 'rollingRate': 356.9, 'rollingSum': 376}, {'age': '25_29', 'cases': 72, 'rollingRate': 415.2, 'rollingSum': 406}, {'age': '30_34', 'cases': 74, 'rollingRate': 530.6, 'rollingSum': 439}, {'age': '35_39', 'cases': 74, 'rollingRate': 578.8, 'rollingSum': 441}, {'age': '40_44', 'cases': 63, 'rollingRate': 550.9, 'rollingSum': 369}, {'age': '45_49', 'cases': 52, 'rollingRate': 550.2, 'rollingSum': 367}, {'age': '50_54', 'cases': 55, 'rollingRate': 457.7, 'rollingSum': 300}, {'age': '55_59', 'cases': 41, 'rollingRate': 377.1, 'rollingSum': 224}, {'age': '60_64', 'cases': 35, 'rollingRate': 383.8, 'rollingSum': 186}, {'age': '65_69', 'cases': 14, 'rollingRate': 214.4, 'rollingSum': 89}, {'age': '70_74', 'cases': 12, 'rollingRate': 202.1, 'rollingSum': 73}, {'age': '75_79', 'cases': 9, 'rollingRate': 151.9, 'rollingSum': 42}, {'age': '80_84', 'cases': 6, 'rollingRate': 199.0, 'rollingSum': 44}, {'age': '85_89', 'cases': 10, 'rollingRate': 337.4, 'rollingSum': 47}, {'age': '90+', 'cases': 7, 'rollingRate': 456.4, 'rollingSum': 37}, {'age': 'unassigned', 'cases': 1, 'rollingRate': None, 'rollingSum': 5}, {'age': '60+', 'cases': 93, 'rollingRate': 261.8, 'rollingSum': 518}, {'age': '00_59', 'cases': 580, 'rollingRate': 384.7, 'rollingSum': 3631}]"
2020-12-27,Birmingham,"[{'age': '00_04', 'cases': 19, 'rollingRate': 133.6, 'rollingSum': 109}, {'age': '05_09', 'cases': 23, 'rollingRate': 175.1, 'rollingSum': 145}, {'age': '10_14', 'cases': 39, 'rollingRate': 282.1, 'rollingSum': 224}, {'age': '15_19', 'cases': 42, 'rollingRate': 285.9, 'rollingSum': 227}, {'age': '20_24', 'cases': 85, 'rollingRate': 365.5, 'rollingSum': 385}, {'age': '25_29', 'cases': 61, 'rollingRate': 413.2, 'rollingSum': 404}, {'age': '30_34', 'cases': 71, 'rollingRate': 525.8, 'rollingSum': 435}, {'age': '35_39', 'cases': 68, 'rollingRate': 556.5, 'rollingSum': 424}, {'age': '40_44', 'cases': 71, 'rollingRate': 540.5, 'rollingSum': 362}, {'age': '45_49', 'cases': 59, 'rollingRate': 533.7, 'rollingSum': 356}, {'age': '50_54', 'cases': 46, 'rollingRate': 457.7, 'rollingSum': 300}, {'age': '55_59', 'cases': 36, 'rollingRate': 356.9, 'rollingSum': 212}, {'age': '60_64', 'cases': 42, 'rollingRate': 363.1, 'rollingSum': 176}, {'age': '65_69', 'cases': 9, 'rollingRate': 221.6, 'rollingSum': 92}, {'age': '70_74', 'cases': 11, 'rollingRate': 204.9, 'rollingSum': 74}, {'age': '75_79', 'cases': 5, 'rollingRate': 148.3, 'rollingSum': 41}, {'age': '80_84', 'cases': 8, 'rollingRate': 221.6, 'rollingSum': 49}, {'age': '85_89', 'cases': 12, 'rollingRate': 330.2, 'rollingSum': 46}, {'age': '90+', 'cases': 10, 'rollingRate': 481.1, 'rollingSum': 39}, {'age': 'unassigned', 'cases': 1, 'rollingRate': None, 'rollingSum': 6}, {'age': '60+', 'cases': 97, 'rollingRate': 261.3, 'rollingSum': 517}, {'age': '00_59', 'cases': 621, 'rollingRate': 380.2, 'rollingSum': 3589}]"
2020-12-26,Birmingham,"[{'age': '00_04', 'cases': 12, 'rollingRate': 129.9, 'rollingSum': 106}, {'age': '05_09', 'cases': 24, 'rollingRate': 175.1, 'rollingSum': 145}, {'age': '10_14', 'cases': 26, 'rollingRate': 264.5, 'rollingSum': 210}, {'age': '15_19', 'cases': 34, 'rollingRate': 277.1, 'rollingSum': 220}, {'age': '20_24', 'cases': 55, 'rollingRate': 328.4, 'rollingSum': 346}, {'age': '25_29', 'cases': 66, 'rollingRate': 404.0, 'rollingSum': 395}, {'age': '30_34', 'cases': 55, 'rollingRate': 529.4, 'rollingSum': 438}, {'age': '35_39', 'cases': 85, 'rollingRate': 539.4, 'rollingSum': 411}, {'age': '40_44', 'cases': 69, 'rollingRate': 495.7, 'rollingSum': 332}, {'age': '45_49', 'cases': 51, 'rollingRate': 512.7, 'rollingSum': 342}, {'age': '50_54', 'cases': 45, 'rollingRate': 447.0, 'rollingSum': 293}, {'age': '55_59', 'cases': 33, 'rollingRate': 361.9, 'rollingSum': 215}, {'age': '60_64', 'cases': 35, 'rollingRate': 319.8, 'rollingSum': 155}, {'age': '65_69', 'cases': 16, 'rollingRate': 226.5, 'rollingSum': 94}, {'age': '70_74', 'cases': 12, 'rollingRate': 199.4, 'rollingSum': 72}, {'age': '75_79', 'cases': 6, 'rollingRate': 148.3, 'rollingSum': 41}, {'age': '80_84', 'cases': 5, 'rollingRate': 203.5, 'rollingSum': 45}, {'age': '85_89', 'cases': 6, 'rollingRate': 272.8, 'rollingSum': 38}, {'age': '90+', 'cases': 3, 'rollingRate': 394.7, 'rollingSum': 32}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 6}, {'age': '60+', 'cases': 83, 'rollingRate': 241.0, 'rollingSum': 477}, {'age': '00_59', 'cases': 555, 'rollingRate': 366.4, 'rollingSum': 3459}]"
2020-12-25,Birmingham,"[{'age': '00_04', 'cases': 3, 'rollingRate': 121.3, 'rollingSum': 99}, {'age': '05_09', 'cases': 4, 'rollingRate': 167.8, 'rollingSum': 139}, {'age': '10_14', 'cases': 11, 'rollingRate': 259.4, 'rollingSum': 206}, {'age': '15_19', 'cases': 12, 'rollingRate': 260.7, 'rollingSum': 207}, {'age': '20_24', 'cases': 22, 'rollingRate': 300.9, 'rollingSum': 317}, {'age': '25_29', 'cases': 26, 'rollingRate': 382.5, 'rollingSum': 374}, {'age': '30_34', 'cases': 27, 'rollingRate': 508.9, 'rollingSum': 421}, {'age': '35_39', 'cases': 30, 'rollingRate': 468.5, 'rollingSum': 357}, {'age': '40_44', 'cases': 18, 'rollingRate': 441.9, 'rollingSum': 296}, {'age': '45_49', 'cases': 19, 'rollingRate': 485.7, 'rollingSum': 324}, {'age': '50_54', 'cases': 17, 'rollingRate': 413.4, 'rollingSum': 271}, {'age': '55_59', 'cases': 12, 'rollingRate': 350.1, 'rollingSum': 208}, {'age': '60_64', 'cases': 10, 'rollingRate': 264.1, 'rollingSum': 128}, {'age': '65_69', 'cases': 8, 'rollingRate': 200.0, 'rollingSum': 83}, {'age': '70_74', 'cases': 4, 'rollingRate': 171.7, 'rollingSum': 62}, {'age': '75_79', 'cases': 4, 'rollingRate': 137.4, 'rollingSum': 38}, {'age': '80_84', 'cases': 3, 'rollingRate': 203.5, 'rollingSum': 45}, {'age': '85_89', 'cases': 3, 'rollingRate': 251.3, 'rollingSum': 35}, {'age': '90+', 'cases': 3, 'rollingRate': 394.7, 'rollingSum': 32}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 6}, {'age': '60+', 'cases': 35, 'rollingRate': 213.8, 'rollingSum': 423}, {'age': '00_59', 'cases': 201, 'rollingRate': 341.7, 'rollingSum': 3225}]"
2020-12-24,Birmingham,"[{'age': '00_04', 'cases': 24, 'rollingRate': 131.1, 'rollingSum': 107}, {'age': '05_09', 'cases': 30, 'rollingRate': 176.3, 'rollingSum': 146}, {'age': '10_14', 'cases': 36, 'rollingRate': 280.8, 'rollingSum': 223}, {'age': '15_19', 'cases': 25, 'rollingRate': 285.9, 'rollingSum': 227}, {'age': '20_24', 'cases': 56, 'rollingRate': 327.5, 'rollingSum': 345}, {'age': '25_29', 'cases': 58, 'rollingRate': 410.1, 'rollingSum': 401}, {'age': '30_34', 'cases': 72, 'rollingRate': 534.3, 'rollingSum': 442}, {'age': '35_39', 'cases': 71, 'rollingRate': 488.2, 'rollingSum': 372}, {'age': '40_44', 'cases': 50, 'rollingRate': 482.2, 'rollingSum': 323}, {'age': '45_49', 'cases': 47, 'rollingRate': 502.2, 'rollingSum': 335}, {'age': '50_54', 'cases': 36, 'rollingRate': 442.4, 'rollingSum': 290}, {'age': '55_59', 'cases': 29, 'rollingRate': 361.9, 'rollingSum': 215}, {'age': '60_64', 'cases': 19, 'rollingRate': 272.4, 'rollingSum': 132}, {'age': '65_69', 'cases': 12, 'rollingRate': 219.2, 'rollingSum': 91}, {'age': '70_74', 'cases': 9, 'rollingRate': 191.1, 'rollingSum': 69}, {'age': '75_79', 'cases': 6, 'rollingRate': 141.0, 'rollingSum': 39}, {'age': '80_84', 'cases': 7, 'rollingRate': 212.6, 'rollingSum': 47}, {'age': '85_89', 'cases': 10, 'rollingRate': 272.8, 'rollingSum': 38}, {'age': '90+', 'cases': 6, 'rollingRate': 394.7, 'rollingSum': 32}, {'age': 'unassigned', 'cases': 1, 'rollingRate': None, 'rollingSum': 6}, {'age': '60+', 'cases': 69, 'rollingRate': 226.4, 'rollingSum': 448}, {'age': '00_59', 'cases': 535, 'rollingRate': 363.6, 'rollingSum': 3432}]"
2020-12-23,Birmingham,"[{'age': '00_04', 'cases': 26, 'rollingRate': 112.7, 'rollingSum': 92}, {'age': '05_09', 'cases': 25, 'rollingRate': 159.4, 'rollingSum': 132}, {'age': '10_14', 'cases': 46, 'rollingRate': 264.5, 'rollingSum': 210}, {'age': '15_19', 'cases': 32, 'rollingRate': 287.2, 'rollingSum': 228}, {'age': '20_24', 'cases': 52, 'rollingRate': 315.2, 'rollingSum': 332}, {'age': '25_29', 'cases': 57, 'rollingRate': 394.8, 'rollingSum': 386}, {'age': '30_34', 'cases': 58, 'rollingRate': 525.8, 'rollingSum': 435}, {'age': '35_39', 'cases': 62, 'rollingRate': 460.7, 'rollingSum': 351}, {'age': '40_44', 'cases': 46, 'rollingRate': 468.8, 'rollingSum': 314}, {'age': '45_49', 'cases': 64, 'rollingRate': 479.7, 'rollingSum': 320}, {'age': '50_54', 'cases': 43, 'rollingRate': 436.3, 'rollingSum': 286}, {'age': '55_59', 'cases': 34, 'rollingRate': 348.4, 'rollingSum': 207}, {'age': '60_64', 'cases': 24, 'rollingRate': 270.3, 'rollingSum': 131}, {'age': '65_69', 'cases': 15, 'rollingRate': 224.1, 'rollingSum': 93}, {'age': '70_74', 'cases': 11, 'rollingRate': 180.0, 'rollingSum': 65}, {'age': '75_79', 'cases': 6, 'rollingRate': 159.1, 'rollingSum': 44}, {'age': '80_84', 'cases': 9, 'rollingRate': 203.5, 'rollingSum': 45}, {'age': '85_89', 'cases': 2, 'rollingRate': 251.3, 'rollingSum': 35}, {'age': '90+', 'cases': 4, 'rollingRate': 407.1, 'rollingSum': 33}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 5}, {'age': '60+', 'cases': 71, 'rollingRate': 225.4, 'rollingSum': 446}, {'age': '00_59', 'cases': 545, 'rollingRate': 349.4, 'rollingSum': 3298}]"
2020-12-22,Birmingham,"[{'age': '00_04', 'cases': 13, 'rollingRate': 91.9, 'rollingSum': 75}, {'age': '05_09', 'cases': 25, 'rollingRate': 152.1, 'rollingSum': 126}, {'age': '10_14', 'cases': 32, 'rollingRate': 246.8, 'rollingSum': 196}, {'age': '15_19', 'cases': 44, 'rollingRate': 287.2, 'rollingSum': 228}, {'age': '20_24', 'cases': 55, 'rollingRate': 317.1, 'rollingSum': 334}, {'age': '25_29', 'cases': 66, 'rollingRate': 375.4, 'rollingSum': 367}, {'age': '30_34', 'cases': 82, 'rollingRate': 504.0, 'rollingSum': 417}, {'age': '35_39', 'cases': 51, 'rollingRate': 437.0, 'rollingSum': 333}, {'age': '40_44', 'cases': 52, 'rollingRate': 467.3, 'rollingSum': 313}, {'age': '45_49', 'cases': 75, 'rollingRate': 443.8, 'rollingSum': 296}, {'age': '50_54', 'cases': 58, 'rollingRate': 418.0, 'rollingSum': 274}, {'age': '55_59', 'cases': 39, 'rollingRate': 348.4, 'rollingSum': 207}, {'age': '60_64', 'cases': 21, 'rollingRate': 251.7, 'rollingSum': 122}, {'age': '65_69', 'cases': 15, 'rollingRate': 214.4, 'rollingSum': 89}, {'age': '70_74', 'cases': 14, 'rollingRate': 168.9, 'rollingSum': 61}, {'age': '75_79', 'cases': 6, 'rollingRate': 151.9, 'rollingSum': 42}, {'age': '80_84', 'cases': 6, 'rollingRate': 194.5, 'rollingSum': 43}, {'age': '85_89', 'cases': 4, 'rollingRate': 265.6, 'rollingSum': 37}, {'age': '90+', 'cases': 4, 'rollingRate': 456.4, 'rollingSum': 37}, {'age': 'unassigned', 'cases': 2, 'rollingRate': None, 'rollingSum': 9}, {'age': '60+', 'cases': 70, 'rollingRate': 217.8, 'rollingSum': 431}, {'age': '00_59', 'cases': 594, 'rollingRate': 336.4, 'rollingSum': 3175}]"
2020-12-21,Birmingham,"[{'age': '00_04', 'cases': 12, 'rollingRate': 94.4, 'rollingSum': 77}, {'age': '05_09', 'cases': 14, 'rollingRate': 140.0, 'rollingSum': 116}, {'age': '10_14', 'cases': 34, 'rollingRate': 273.3, 'rollingSum': 217}, {'age': '15_19', 'cases': 38, 'rollingRate': 288.4, 'rollingSum': 229}, {'age': '20_24', 'cases': 60, 'rollingRate': 307.6, 'rollingSum': 324}, {'age': '25_29', 'cases': 70, 'rollingRate': 367.2, 'rollingSum': 359}, {'age': '30_34', 'cases': 70, 'rollingRate': 452.1, 'rollingSum': 374}, {'age': '35_39', 'cases': 57, 'rollingRate': 438.4, 'rollingSum': 334}, {'age': '40_44', 'cases': 56, 'rollingRate': 455.4, 'rollingSum': 305}, {'age': '45_49', 'cases': 41, 'rollingRate': 377.8, 'rollingSum': 252}, {'age': '50_54', 'cases': 55, 'rollingRate': 392.1, 'rollingSum': 257}, {'age': '55_59', 'cases': 29, 'rollingRate': 319.8, 'rollingSum': 190}, {'age': '60_64', 'cases': 25, 'rollingRate': 239.3, 'rollingSum': 116}, {'age': '65_69', 'cases': 17, 'rollingRate': 207.2, 'rollingSum': 86}, {'age': '70_74', 'cases': 13, 'rollingRate': 163.4, 'rollingSum': 59}, {'age': '75_79', 'cases': 8, 'rollingRate': 151.9, 'rollingSum': 42}, {'age': '80_84', 'cases': 11, 'rollingRate': 190.0, 'rollingSum': 42}, {'age': '85_89', 'cases': 9, 'rollingRate': 258.4, 'rollingSum': 36}, {'age': '90+', 'cases': 9, 'rollingRate': 468.7, 'rollingSum': 38}, {'age': 'unassigned', 'cases': 2, 'rollingRate': None, 'rollingSum': 9}, {'age': '60+', 'cases': 92, 'rollingRate': 211.7, 'rollingSum': 419}, {'age': '00_59', 'cases': 538, 'rollingRate': 322.4, 'rollingSum': 3043}]"
2020-12-20,Birmingham,"[{'age': '00_04', 'cases': 16, 'rollingRate': 107.8, 'rollingSum': 88}, {'age': '05_09', 'cases': 23, 'rollingRate': 148.5, 'rollingSum': 123}, {'age': '10_14', 'cases': 25, 'rollingRate': 280.8, 'rollingSum': 223}, {'age': '15_19', 'cases': 35, 'rollingRate': 294.7, 'rollingSum': 234}, {'age': '20_24', 'cases': 46, 'rollingRate': 298.1, 'rollingSum': 314}, {'age': '25_29', 'cases': 52, 'rollingRate': 343.6, 'rollingSum': 336}, {'age': '30_34', 'cases': 74, 'rollingRate': 432.7, 'rollingSum': 358}, {'age': '35_39', 'cases': 55, 'rollingRate': 422.6, 'rollingSum': 322}, {'age': '40_44', 'cases': 41, 'rollingRate': 440.4, 'rollingSum': 295}, {'age': '45_49', 'cases': 45, 'rollingRate': 368.8, 'rollingSum': 246}, {'age': '50_54', 'cases': 39, 'rollingRate': 369.2, 'rollingSum': 242}, {'age': '55_59', 'cases': 39, 'rollingRate': 308.0, 'rollingSum': 183}, {'age': '60_64', 'cases': 21, 'rollingRate': 220.8, 'rollingSum': 107}, {'age': '65_69', 'cases': 11, 'rollingRate': 204.8, 'rollingSum': 85}, {'age': '70_74', 'cases': 9, 'rollingRate': 146.8, 'rollingSum': 53}, {'age': '75_79', 'cases': 5, 'rollingRate': 141.0, 'rollingSum': 39}, {'age': '80_84', 'cases': 4, 'rollingRate': 171.9, 'rollingSum': 38}, {'age': '85_89', 'cases': 4, 'rollingRate': 222.5, 'rollingSum': 31}, {'age': '90+', 'cases': 3, 'rollingRate': 431.7, 'rollingSum': 35}, {'age': 'unassigned', 'cases': 1, 'rollingRate': None, 'rollingSum': 8}, {'age': '60+', 'cases': 57, 'rollingRate': 196.1, 'rollingSum': 388}, {'age': '00_59', 'cases': 491, 'rollingRate': 314.9, 'rollingSum': 2972}]"
2020-12-19,Birmingham,"[{'age': '00_04', 'cases': 5, 'rollingRate': 94.4, 'rollingSum': 77}, {'age': '05_09', 'cases': 18, 'rollingRate': 134.0, 'rollingSum': 111}, {'age': '10_14', 'cases': 22, 'rollingRate': 278.3, 'rollingSum': 221}, {'age': '15_19', 'cases': 21, 'rollingRate': 283.4, 'rollingSum': 225}, {'age': '20_24', 'cases': 26, 'rollingRate': 282.9, 'rollingSum': 298}, {'age': '25_29', 'cases': 45, 'rollingRate': 324.2, 'rollingSum': 317}, {'age': '30_34', 'cases': 38, 'rollingRate': 372.3, 'rollingSum': 308}, {'age': '35_39', 'cases': 31, 'rollingRate': 392.4, 'rollingSum': 299}, {'age': '40_44', 'cases': 33, 'rollingRate': 413.6, 'rollingSum': 277}, {'age': '45_49', 'cases': 33, 'rollingRate': 353.8, 'rollingSum': 236}, {'age': '50_54', 'cases': 23, 'rollingRate': 341.7, 'rollingSum': 224}, {'age': '55_59', 'cases': 26, 'rollingRate': 255.9, 'rollingSum': 152}, {'age': '60_64', 'cases': 8, 'rollingRate': 212.5, 'rollingSum': 103}, {'age': '65_69', 'cases': 5, 'rollingRate': 185.5, 'rollingSum': 77}, {'age': '70_74', 'cases': 2, 'rollingRate': 121.8, 'rollingSum': 44}, {'age': '75_79', 'cases': 3, 'rollingRate': 141.0, 'rollingSum': 39}, {'age': '80_84', 'cases': 5, 'rollingRate': 167.4, 'rollingSum': 37}, {'age': '85_89', 'cases': 3, 'rollingRate': 222.5, 'rollingSum': 31}, {'age': '90+', 'cases': 3, 'rollingRate': 493.4, 'rollingSum': 40}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 8}, {'age': '60+', 'cases': 29, 'rollingRate': 187.5, 'rollingSum': 371}, {'age': '00_59', 'cases': 321, 'rollingRate': 291.7, 'rollingSum': 2753}]"
