date,areaName,newCasesBySpecimenDateAgeDemographics
2020-12-28,North Hertfordshire,"[{'age': '00_04', 'cases': 1, 'rollingRate': 153.5, 'rollingSum': 12}, {'age': '05_09', 'cases': 3, 'rollingRate': 159.2, 'rollingSum': 14}, {'age': '10_14', 'cases': 3, 'rollingRate': 234.0, 'rollingSum': 19}, {'age': '15_19', 'cases': 3, 'rollingRate': 294.6, 'rollingSum': 20}, {'age': '20_24', 'cases': 5, 'rollingRate': 557.3, 'rollingSum': 33}, {'age': '25_29', 'cases': 7, 'rollingRate': 491.9, 'rollingSum': 36}, {'age': '30_34', 'cases': 2, 'rollingRate': 621.6, 'rollingSum': 51}, {'age': '35_39', 'cases': 8, 'rollingRate': 582.1, 'rollingSum': 56}, {'age': '40_44', 'cases': 4, 'rollingRate': 589.1, 'rollingSum': 55}, {'age': '45_49', 'cases': 7, 'rollingRate': 448.5, 'rollingSum': 44}, {'age': '50_54', 'cases': 5, 'rollingRate': 474.1, 'rollingSum': 47}, {'age': '55_59', 'cases': 3, 'rollingRate': 380.7, 'rollingSum': 34}, {'age': '60_64', 'cases': 1, 'rollingRate': 191.0, 'rollingSum': 14}, {'age': '65_69', 'cases': 3, 'rollingRate': 167.0, 'rollingSum': 11}, {'age': '70_74', 'cases': 3, 'rollingRate': 167.0, 'rollingSum': 11}, {'age': '75_79', 'cases': 3, 'rollingRate': 145.6, 'rollingSum': 7}, {'age': '80_84', 'cases': 3, 'rollingRate': 158.1, 'rollingSum': 6}, {'age': '85_89', 'cases': 8, 'rollingRate': 402.4, 'rollingSum': 10}, {'age': '90+', 'cases': 6, 'rollingRate': 715.8, 'rollingSum': 10}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 0}, {'age': '60+', 'cases': 27, 'rollingRate': 209.1, 'rollingSum': 69}, {'age': '00_59', 'cases': 51, 'rollingRate': 418.6, 'rollingSum': 421}]"
2020-12-27,North Hertfordshire,"[{'age': '00_04', 'cases': 1, 'rollingRate': 166.2, 'rollingSum': 13}, {'age': '05_09', 'cases': 4, 'rollingRate': 181.9, 'rollingSum': 16}, {'age': '10_14', 'cases': 4, 'rollingRate': 258.7, 'rollingSum': 21}, {'age': '15_19', 'cases': 2, 'rollingRate': 324.1, 'rollingSum': 22}, {'age': '20_24', 'cases': 5, 'rollingRate': 557.3, 'rollingSum': 33}, {'age': '25_29', 'cases': 8, 'rollingRate': 464.6, 'rollingSum': 34}, {'age': '30_34', 'cases': 10, 'rollingRate': 743.5, 'rollingSum': 61}, {'age': '35_39', 'cases': 10, 'rollingRate': 550.9, 'rollingSum': 53}, {'age': '40_44', 'cases': 16, 'rollingRate': 621.3, 'rollingSum': 58}, {'age': '45_49', 'cases': 5, 'rollingRate': 458.7, 'rollingSum': 45}, {'age': '50_54', 'cases': 13, 'rollingRate': 443.9, 'rollingSum': 44}, {'age': '55_59', 'cases': 1, 'rollingRate': 425.4, 'rollingSum': 38}, {'age': '60_64', 'cases': 4, 'rollingRate': 245.6, 'rollingSum': 18}, {'age': '65_69', 'cases': 0, 'rollingRate': 136.7, 'rollingSum': 9}, {'age': '70_74', 'cases': 1, 'rollingRate': 151.8, 'rollingSum': 10}, {'age': '75_79', 'cases': 0, 'rollingRate': 124.8, 'rollingSum': 6}, {'age': '80_84', 'cases': 0, 'rollingRate': 105.4, 'rollingSum': 4}, {'age': '85_89', 'cases': 0, 'rollingRate': 80.5, 'rollingSum': 2}, {'age': '90+', 'cases': 0, 'rollingRate': 357.9, 'rollingSum': 5}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 0}, {'age': '60+', 'cases': 5, 'rollingRate': 163.7, 'rollingSum': 54}, {'age': '00_59', 'cases': 79, 'rollingRate': 435.5, 'rollingSum': 438}]"
2020-12-26,North Hertfordshire,"[{'age': '00_04', 'cases': 3, 'rollingRate': 153.5, 'rollingSum': 12}, {'age': '05_09', 'cases': 1, 'rollingRate': 159.2, 'rollingSum': 14}, {'age': '10_14', 'cases': 4, 'rollingRate': 271.0, 'rollingSum': 22}, {'age': '15_19', 'cases': 2, 'rollingRate': 368.2, 'rollingSum': 25}, {'age': '20_24', 'cases': 3, 'rollingRate': 591.1, 'rollingSum': 35}, {'age': '25_29', 'cases': 5, 'rollingRate': 478.3, 'rollingSum': 35}, {'age': '30_34', 'cases': 9, 'rollingRate': 682.6, 'rollingSum': 56}, {'age': '35_39', 'cases': 8, 'rollingRate': 509.3, 'rollingSum': 49}, {'age': '40_44', 'cases': 11, 'rollingRate': 503.4, 'rollingSum': 47}, {'age': '45_49', 'cases': 8, 'rollingRate': 458.7, 'rollingSum': 45}, {'age': '50_54', 'cases': 5, 'rollingRate': 353.1, 'rollingSum': 35}, {'age': '55_59', 'cases': 5, 'rollingRate': 492.6, 'rollingSum': 44}, {'age': '60_64', 'cases': 2, 'rollingRate': 272.9, 'rollingSum': 20}, {'age': '65_69', 'cases': 0, 'rollingRate': 151.8, 'rollingSum': 10}, {'age': '70_74', 'cases': 0, 'rollingRate': 167.0, 'rollingSum': 11}, {'age': '75_79', 'cases': 0, 'rollingRate': 145.6, 'rollingSum': 7}, {'age': '80_84', 'cases': 0, 'rollingRate': 105.4, 'rollingSum': 4}, {'age': '85_89', 'cases': 0, 'rollingRate': 80.5, 'rollingSum': 2}, {'age': '90+', 'cases': 1, 'rollingRate': 357.9, 'rollingSum': 5}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 0}, {'age': '60+', 'cases': 3, 'rollingRate': 178.8, 'rollingSum': 59}, {'age': '00_59', 'cases': 64, 'rollingRate': 416.6, 'rollingSum': 419}]"
2020-12-25,North Hertfordshire,"[{'age': '00_04', 'cases': 0, 'rollingRate': 115.1, 'rollingSum': 9}, {'age': '05_09', 'cases': 0, 'rollingRate': 147.8, 'rollingSum': 13}, {'age': '10_14', 'cases': 0, 'rollingRate': 234.0, 'rollingSum': 19}, {'age': '15_19', 'cases': 0, 'rollingRate': 368.2, 'rollingSum': 25}, {'age': '20_24', 'cases': 5, 'rollingRate': 574.2, 'rollingSum': 34}, {'age': '25_29', 'cases': 1, 'rollingRate': 437.3, 'rollingSum': 32}, {'age': '30_34', 'cases': 3, 'rollingRate': 658.2, 'rollingSum': 54}, {'age': '35_39', 'cases': 1, 'rollingRate': 488.5, 'rollingSum': 47}, {'age': '40_44', 'cases': 3, 'rollingRate': 385.6, 'rollingSum': 36}, {'age': '45_49', 'cases': 5, 'rollingRate': 397.6, 'rollingSum': 39}, {'age': '50_54', 'cases': 3, 'rollingRate': 353.1, 'rollingSum': 35}, {'age': '55_59', 'cases': 3, 'rollingRate': 515.0, 'rollingSum': 46}, {'age': '60_64', 'cases': 1, 'rollingRate': 259.2, 'rollingSum': 19}, {'age': '65_69', 'cases': 0, 'rollingRate': 167.0, 'rollingSum': 11}, {'age': '70_74', 'cases': 1, 'rollingRate': 182.1, 'rollingSum': 12}, {'age': '75_79', 'cases': 2, 'rollingRate': 187.1, 'rollingSum': 9}, {'age': '80_84', 'cases': 0, 'rollingRate': 105.4, 'rollingSum': 4}, {'age': '85_89', 'cases': 2, 'rollingRate': 161.0, 'rollingSum': 4}, {'age': '90+', 'cases': 0, 'rollingRate': 429.5, 'rollingSum': 6}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 0}, {'age': '60+', 'cases': 6, 'rollingRate': 197.0, 'rollingSum': 65}, {'age': '00_59', 'cases': 24, 'rollingRate': 386.8, 'rollingSum': 389}]"
2020-12-24,North Hertfordshire,"[{'age': '00_04', 'cases': 1, 'rollingRate': 140.7, 'rollingSum': 11}, {'age': '05_09', 'cases': 1, 'rollingRate': 159.2, 'rollingSum': 14}, {'age': '10_14', 'cases': 3, 'rollingRate': 234.0, 'rollingSum': 19}, {'age': '15_19', 'cases': 3, 'rollingRate': 397.7, 'rollingSum': 27}, {'age': '20_24', 'cases': 5, 'rollingRate': 506.7, 'rollingSum': 30}, {'age': '25_29', 'cases': 1, 'rollingRate': 505.6, 'rollingSum': 37}, {'age': '30_34', 'cases': 6, 'rollingRate': 682.6, 'rollingSum': 56}, {'age': '35_39', 'cases': 8, 'rollingRate': 561.3, 'rollingSum': 54}, {'age': '40_44', 'cases': 3, 'rollingRate': 407.0, 'rollingSum': 38}, {'age': '45_49', 'cases': 4, 'rollingRate': 397.6, 'rollingSum': 39}, {'age': '50_54', 'cases': 5, 'rollingRate': 373.2, 'rollingSum': 37}, {'age': '55_59', 'cases': 7, 'rollingRate': 492.6, 'rollingSum': 44}, {'age': '60_64', 'cases': 2, 'rollingRate': 272.9, 'rollingSum': 20}, {'age': '65_69', 'cases': 3, 'rollingRate': 242.9, 'rollingSum': 16}, {'age': '70_74', 'cases': 2, 'rollingRate': 182.1, 'rollingSum': 12}, {'age': '75_79', 'cases': 0, 'rollingRate': 207.9, 'rollingSum': 10}, {'age': '80_84', 'cases': 1, 'rollingRate': 158.1, 'rollingSum': 6}, {'age': '85_89', 'cases': 0, 'rollingRate': 161.0, 'rollingSum': 4}, {'age': '90+', 'cases': 2, 'rollingRate': 501.1, 'rollingSum': 7}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 0}, {'age': '60+', 'cases': 10, 'rollingRate': 227.3, 'rollingSum': 75}, {'age': '00_59', 'cases': 47, 'rollingRate': 403.7, 'rollingSum': 406}]"
2020-12-23,North Hertfordshire,"[{'age': '00_04', 'cases': 2, 'rollingRate': 140.7, 'rollingSum': 11}, {'age': '05_09', 'cases': 2, 'rollingRate': 147.8, 'rollingSum': 13}, {'age': '10_14', 'cases': 3, 'rollingRate': 234.0, 'rollingSum': 19}, {'age': '15_19', 'cases': 7, 'rollingRate': 397.7, 'rollingSum': 27}, {'age': '20_24', 'cases': 7, 'rollingRate': 557.3, 'rollingSum': 33}, {'age': '25_29', 'cases': 7, 'rollingRate': 519.3, 'rollingSum': 38}, {'age': '30_34', 'cases': 10, 'rollingRate': 609.5, 'rollingSum': 50}, {'age': '35_39', 'cases': 10, 'rollingRate': 519.7, 'rollingSum': 50}, {'age': '40_44', 'cases': 7, 'rollingRate': 417.7, 'rollingSum': 39}, {'age': '45_49', 'cases': 5, 'rollingRate': 387.4, 'rollingSum': 38}, {'age': '50_54', 'cases': 6, 'rollingRate': 353.1, 'rollingSum': 35}, {'age': '55_59', 'cases': 7, 'rollingRate': 503.8, 'rollingSum': 45}, {'age': '60_64', 'cases': 0, 'rollingRate': 286.5, 'rollingSum': 21}, {'age': '65_69', 'cases': 4, 'rollingRate': 242.9, 'rollingSum': 16}, {'age': '70_74', 'cases': 4, 'rollingRate': 151.8, 'rollingSum': 10}, {'age': '75_79', 'cases': 1, 'rollingRate': 207.9, 'rollingSum': 10}, {'age': '80_84', 'cases': 2, 'rollingRate': 158.1, 'rollingSum': 6}, {'age': '85_89', 'cases': 0, 'rollingRate': 201.2, 'rollingSum': 5}, {'age': '90+', 'cases': 0, 'rollingRate': 429.5, 'rollingSum': 6}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 0}, {'age': '60+', 'cases': 11, 'rollingRate': 224.3, 'rollingSum': 74}, {'age': '00_59', 'cases': 73, 'rollingRate': 395.7, 'rollingSum': 398}]"
2020-12-22,North Hertfordshire,"[{'age': '00_04', 'cases': 4, 'rollingRate': 127.9, 'rollingSum': 10}, {'age': '05_09', 'cases': 3, 'rollingRate': 147.8, 'rollingSum': 13}, {'age': '10_14', 'cases': 2, 'rollingRate': 246.3, 'rollingSum': 20}, {'age': '15_19', 'cases': 3, 'rollingRate': 368.2, 'rollingSum': 25}, {'age': '20_24', 'cases': 3, 'rollingRate': 523.6, 'rollingSum': 31}, {'age': '25_29', 'cases': 7, 'rollingRate': 546.6, 'rollingSum': 40}, {'age': '30_34', 'cases': 11, 'rollingRate': 560.7, 'rollingSum': 46}, {'age': '35_39', 'cases': 11, 'rollingRate': 457.3, 'rollingSum': 44}, {'age': '40_44', 'cases': 11, 'rollingRate': 364.2, 'rollingSum': 34}, {'age': '45_49', 'cases': 10, 'rollingRate': 417.9, 'rollingSum': 41}, {'age': '50_54', 'cases': 10, 'rollingRate': 322.8, 'rollingSum': 32}, {'age': '55_59', 'cases': 8, 'rollingRate': 447.8, 'rollingSum': 40}, {'age': '60_64', 'cases': 4, 'rollingRate': 327.4, 'rollingSum': 24}, {'age': '65_69', 'cases': 1, 'rollingRate': 197.4, 'rollingSum': 13}, {'age': '70_74', 'cases': 0, 'rollingRate': 91.1, 'rollingSum': 6}, {'age': '75_79', 'cases': 1, 'rollingRate': 270.3, 'rollingSum': 13}, {'age': '80_84', 'cases': 0, 'rollingRate': 131.7, 'rollingSum': 5}, {'age': '85_89', 'cases': 0, 'rollingRate': 201.2, 'rollingSum': 5}, {'age': '90+', 'cases': 1, 'rollingRate': 715.8, 'rollingSum': 10}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 0}, {'age': '60+', 'cases': 7, 'rollingRate': 230.4, 'rollingSum': 76}, {'age': '00_59', 'cases': 83, 'rollingRate': 373.8, 'rollingSum': 376}]"
2020-12-21,North Hertfordshire,"[{'age': '00_04', 'cases': 2, 'rollingRate': 102.3, 'rollingSum': 8}, {'age': '05_09', 'cases': 5, 'rollingRate': 125.1, 'rollingSum': 11}, {'age': '10_14', 'cases': 5, 'rollingRate': 271.0, 'rollingSum': 22}, {'age': '15_19', 'cases': 5, 'rollingRate': 383.0, 'rollingSum': 26}, {'age': '20_24', 'cases': 5, 'rollingRate': 540.4, 'rollingSum': 32}, {'age': '25_29', 'cases': 5, 'rollingRate': 478.3, 'rollingSum': 35}, {'age': '30_34', 'cases': 12, 'rollingRate': 475.4, 'rollingSum': 39}, {'age': '35_39', 'cases': 5, 'rollingRate': 415.8, 'rollingSum': 40}, {'age': '40_44', 'cases': 7, 'rollingRate': 299.9, 'rollingSum': 28}, {'age': '45_49', 'cases': 8, 'rollingRate': 326.2, 'rollingSum': 32}, {'age': '50_54', 'cases': 2, 'rollingRate': 232.0, 'rollingSum': 23}, {'age': '55_59', 'cases': 7, 'rollingRate': 380.7, 'rollingSum': 34}, {'age': '60_64', 'cases': 5, 'rollingRate': 313.8, 'rollingSum': 23}, {'age': '65_69', 'cases': 1, 'rollingRate': 227.8, 'rollingSum': 15}, {'age': '70_74', 'cases': 2, 'rollingRate': 91.1, 'rollingSum': 6}, {'age': '75_79', 'cases': 2, 'rollingRate': 270.3, 'rollingSum': 13}, {'age': '80_84', 'cases': 1, 'rollingRate': 131.7, 'rollingSum': 5}, {'age': '85_89', 'cases': 0, 'rollingRate': 241.4, 'rollingSum': 6}, {'age': '90+', 'cases': 1, 'rollingRate': 644.2, 'rollingSum': 9}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 0}, {'age': '60+', 'cases': 12, 'rollingRate': 233.4, 'rollingSum': 77}, {'age': '00_59', 'cases': 68, 'rollingRate': 328.1, 'rollingSum': 330}]"
2020-12-20,North Hertfordshire,"[{'age': '00_04', 'cases': 0, 'rollingRate': 102.3, 'rollingSum': 8}, {'age': '05_09', 'cases': 2, 'rollingRate': 79.6, 'rollingSum': 7}, {'age': '10_14', 'cases': 5, 'rollingRate': 221.7, 'rollingSum': 18}, {'age': '15_19', 'cases': 5, 'rollingRate': 397.7, 'rollingSum': 27}, {'age': '20_24', 'cases': 7, 'rollingRate': 506.7, 'rollingSum': 30}, {'age': '25_29', 'cases': 9, 'rollingRate': 464.6, 'rollingSum': 34}, {'age': '30_34', 'cases': 5, 'rollingRate': 377.9, 'rollingSum': 31}, {'age': '35_39', 'cases': 6, 'rollingRate': 426.2, 'rollingSum': 41}, {'age': '40_44', 'cases': 5, 'rollingRate': 278.5, 'rollingSum': 26}, {'age': '45_49', 'cases': 5, 'rollingRate': 295.6, 'rollingSum': 29}, {'age': '50_54', 'cases': 4, 'rollingRate': 252.2, 'rollingSum': 25}, {'age': '55_59', 'cases': 7, 'rollingRate': 335.9, 'rollingSum': 30}, {'age': '60_64', 'cases': 6, 'rollingRate': 286.5, 'rollingSum': 21}, {'age': '65_69', 'cases': 1, 'rollingRate': 227.8, 'rollingSum': 15}, {'age': '70_74', 'cases': 2, 'rollingRate': 75.9, 'rollingSum': 5}, {'age': '75_79', 'cases': 1, 'rollingRate': 228.7, 'rollingSum': 11}, {'age': '80_84', 'cases': 0, 'rollingRate': 105.4, 'rollingSum': 4}, {'age': '85_89', 'cases': 0, 'rollingRate': 241.4, 'rollingSum': 6}, {'age': '90+', 'cases': 0, 'rollingRate': 572.7, 'rollingSum': 8}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 0}, {'age': '60+', 'cases': 10, 'rollingRate': 212.2, 'rollingSum': 70}, {'age': '00_59', 'cases': 60, 'rollingRate': 304.2, 'rollingSum': 306}]"
2020-12-19,North Hertfordshire,"[{'age': '00_04', 'cases': 0, 'rollingRate': 115.1, 'rollingSum': 9}, {'age': '05_09', 'cases': 0, 'rollingRate': 56.8, 'rollingSum': 5}, {'age': '10_14', 'cases': 1, 'rollingRate': 197.1, 'rollingSum': 16}, {'age': '15_19', 'cases': 2, 'rollingRate': 397.7, 'rollingSum': 27}, {'age': '20_24', 'cases': 2, 'rollingRate': 456.0, 'rollingSum': 27}, {'age': '25_29', 'cases': 2, 'rollingRate': 369.0, 'rollingSum': 27}, {'age': '30_34', 'cases': 7, 'rollingRate': 341.3, 'rollingSum': 28}, {'age': '35_39', 'cases': 6, 'rollingRate': 405.4, 'rollingSum': 39}, {'age': '40_44', 'cases': 0, 'rollingRate': 246.4, 'rollingSum': 23}, {'age': '45_49', 'cases': 2, 'rollingRate': 285.4, 'rollingSum': 28}, {'age': '50_54', 'cases': 5, 'rollingRate': 262.3, 'rollingSum': 26}, {'age': '55_59', 'cases': 7, 'rollingRate': 302.3, 'rollingSum': 27}, {'age': '60_64', 'cases': 1, 'rollingRate': 204.6, 'rollingSum': 15}, {'age': '65_69', 'cases': 1, 'rollingRate': 212.6, 'rollingSum': 14}, {'age': '70_74', 'cases': 1, 'rollingRate': 45.5, 'rollingSum': 3}, {'age': '75_79', 'cases': 2, 'rollingRate': 228.7, 'rollingSum': 11}, {'age': '80_84', 'cases': 0, 'rollingRate': 131.7, 'rollingSum': 5}, {'age': '85_89', 'cases': 2, 'rollingRate': 241.4, 'rollingSum': 6}, {'age': '90+', 'cases': 2, 'rollingRate': 572.7, 'rollingSum': 8}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 0}, {'age': '60+', 'cases': 9, 'rollingRate': 187.9, 'rollingSum': 62}, {'age': '00_59', 'cases': 34, 'rollingRate': 280.4, 'rollingSum': 282}]"
