date,areaName,newCasesBySpecimenDateAgeDemographics
2020-12-27,North East,"[{'age': '00_04', 'cases': 15, 'rollingRate': 83.2, 'rollingSum': 118}, {'age': '05_09', 'cases': 18, 'rollingRate': 111.0, 'rollingSum': 174}, {'age': '10_14', 'cases': 38, 'rollingRate': 169.8, 'rollingSum': 256}, {'age': '15_19', 'cases': 57, 'rollingRate': 240.1, 'rollingSum': 349}, {'age': '20_24', 'cases': 98, 'rollingRate': 297.1, 'rollingSum': 525}, {'age': '25_29', 'cases': 110, 'rollingRate': 317.6, 'rollingSum': 572}, {'age': '30_34', 'cases': 121, 'rollingRate': 339.6, 'rollingSum': 574}, {'age': '35_39', 'cases': 113, 'rollingRate': 346.5, 'rollingSum': 557}, {'age': '40_44', 'cases': 107, 'rollingRate': 358.3, 'rollingSum': 518}, {'age': '45_49', 'cases': 110, 'rollingRate': 315.7, 'rollingSum': 530}, {'age': '50_54', 'cases': 120, 'rollingRate': 300.2, 'rollingSum': 562}, {'age': '55_59', 'cases': 94, 'rollingRate': 263.4, 'rollingSum': 496}, {'age': '60_64', 'cases': 78, 'rollingRate': 213.2, 'rollingSum': 360}, {'age': '65_69', 'cases': 37, 'rollingRate': 147.3, 'rollingSum': 220}, {'age': '70_74', 'cases': 33, 'rollingRate': 111.9, 'rollingSum': 162}, {'age': '75_79', 'cases': 30, 'rollingRate': 124.7, 'rollingSum': 121}, {'age': '80_84', 'cases': 16, 'rollingRate': 170.4, 'rollingSum': 127}, {'age': '85_89', 'cases': 17, 'rollingRate': 196.8, 'rollingSum': 86}, {'age': '90+', 'cases': 15, 'rollingRate': 336.2, 'rollingSum': 76}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 1}, {'age': '60+', 'cases': 226, 'rollingRate': 164.4, 'rollingSum': 1152}, {'age': '00_59', 'cases': 1001, 'rollingRate': 265.7, 'rollingSum': 5232}]"
2020-12-26,North East,"[{'age': '00_04', 'cases': 15, 'rollingRate': 82.5, 'rollingSum': 117}, {'age': '05_09', 'cases': 17, 'rollingRate': 121.9, 'rollingSum': 191}, {'age': '10_14', 'cases': 39, 'rollingRate': 167.2, 'rollingSum': 252}, {'age': '15_19', 'cases': 54, 'rollingRate': 237.4, 'rollingSum': 345}, {'age': '20_24', 'cases': 71, 'rollingRate': 272.2, 'rollingSum': 481}, {'age': '25_29', 'cases': 78, 'rollingRate': 292.0, 'rollingSum': 526}, {'age': '30_34', 'cases': 90, 'rollingRate': 307.7, 'rollingSum': 520}, {'age': '35_39', 'cases': 80, 'rollingRate': 313.5, 'rollingSum': 504}, {'age': '40_44', 'cases': 71, 'rollingRate': 326.5, 'rollingSum': 472}, {'age': '45_49', 'cases': 81, 'rollingRate': 282.4, 'rollingSum': 474}, {'age': '50_54', 'cases': 96, 'rollingRate': 276.2, 'rollingSum': 517}, {'age': '55_59', 'cases': 69, 'rollingRate': 240.6, 'rollingSum': 453}, {'age': '60_64', 'cases': 54, 'rollingRate': 194.8, 'rollingSum': 329}, {'age': '65_69', 'cases': 26, 'rollingRate': 133.9, 'rollingSum': 200}, {'age': '70_74', 'cases': 25, 'rollingRate': 96.7, 'rollingSum': 140}, {'age': '75_79', 'cases': 20, 'rollingRate': 107.2, 'rollingSum': 104}, {'age': '80_84', 'cases': 16, 'rollingRate': 163.7, 'rollingSum': 122}, {'age': '85_89', 'cases': 15, 'rollingRate': 192.2, 'rollingSum': 84}, {'age': '90+', 'cases': 8, 'rollingRate': 296.4, 'rollingSum': 67}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 1}, {'age': '60+', 'cases': 164, 'rollingRate': 149.2, 'rollingSum': 1046}, {'age': '00_59', 'cases': 761, 'rollingRate': 246.5, 'rollingSum': 4853}]"
2020-12-25,North East,"[{'age': '00_04', 'cases': 2, 'rollingRate': 76.9, 'rollingSum': 109}, {'age': '05_09', 'cases': 4, 'rollingRate': 121.2, 'rollingSum': 190}, {'age': '10_14', 'cases': 12, 'rollingRate': 163.2, 'rollingSum': 246}, {'age': '15_19', 'cases': 10, 'rollingRate': 219.5, 'rollingSum': 319}, {'age': '20_24', 'cases': 20, 'rollingRate': 251.3, 'rollingSum': 444}, {'age': '25_29', 'cases': 24, 'rollingRate': 280.9, 'rollingSum': 506}, {'age': '30_34', 'cases': 28, 'rollingRate': 288.1, 'rollingSum': 487}, {'age': '35_39', 'cases': 22, 'rollingRate': 297.3, 'rollingSum': 478}, {'age': '40_44', 'cases': 31, 'rollingRate': 307.8, 'rollingSum': 445}, {'age': '45_49', 'cases': 17, 'rollingRate': 265.7, 'rollingSum': 446}, {'age': '50_54', 'cases': 15, 'rollingRate': 250.0, 'rollingSum': 468}, {'age': '55_59', 'cases': 33, 'rollingRate': 226.3, 'rollingSum': 426}, {'age': '60_64', 'cases': 19, 'rollingRate': 180.6, 'rollingSum': 305}, {'age': '65_69', 'cases': 19, 'rollingRate': 130.5, 'rollingSum': 195}, {'age': '70_74', 'cases': 17, 'rollingRate': 94.0, 'rollingSum': 136}, {'age': '75_79', 'cases': 7, 'rollingRate': 107.2, 'rollingSum': 104}, {'age': '80_84', 'cases': 7, 'rollingRate': 159.7, 'rollingSum': 119}, {'age': '85_89', 'cases': 5, 'rollingRate': 189.9, 'rollingSum': 83}, {'age': '90+', 'cases': 1, 'rollingRate': 314.0, 'rollingSum': 71}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 2}, {'age': '60+', 'cases': 75, 'rollingRate': 144.5, 'rollingSum': 1013}, {'age': '00_59', 'cases': 218, 'rollingRate': 231.9, 'rollingSum': 4566}]"
2020-12-24,North East,"[{'age': '00_04', 'cases': 20, 'rollingRate': 91.7, 'rollingSum': 130}, {'age': '05_09', 'cases': 27, 'rollingRate': 133.4, 'rollingSum': 209}, {'age': '10_14', 'cases': 29, 'rollingRate': 190.4, 'rollingSum': 287}, {'age': '15_19', 'cases': 42, 'rollingRate': 242.9, 'rollingSum': 353}, {'age': '20_24', 'cases': 69, 'rollingRate': 272.8, 'rollingSum': 482}, {'age': '25_29', 'cases': 65, 'rollingRate': 306.5, 'rollingSum': 552}, {'age': '30_34', 'cases': 71, 'rollingRate': 309.4, 'rollingSum': 523}, {'age': '35_39', 'cases': 63, 'rollingRate': 319.1, 'rollingSum': 513}, {'age': '40_44', 'cases': 49, 'rollingRate': 325.1, 'rollingSum': 470}, {'age': '45_49', 'cases': 56, 'rollingRate': 299.0, 'rollingSum': 502}, {'age': '50_54', 'cases': 65, 'rollingRate': 278.9, 'rollingSum': 522}, {'age': '55_59', 'cases': 64, 'rollingRate': 240.6, 'rollingSum': 453}, {'age': '60_64', 'cases': 36, 'rollingRate': 188.9, 'rollingSum': 319}, {'age': '65_69', 'cases': 22, 'rollingRate': 137.2, 'rollingSum': 205}, {'age': '70_74', 'cases': 22, 'rollingRate': 93.3, 'rollingSum': 135}, {'age': '75_79', 'cases': 15, 'rollingRate': 111.3, 'rollingSum': 108}, {'age': '80_84', 'cases': 20, 'rollingRate': 174.4, 'rollingSum': 130}, {'age': '85_89', 'cases': 8, 'rollingRate': 217.4, 'rollingSum': 95}, {'age': '90+', 'cases': 4, 'rollingRate': 349.4, 'rollingSum': 79}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 2}, {'age': '60+', 'cases': 127, 'rollingRate': 152.8, 'rollingSum': 1071}, {'age': '00_59', 'cases': 620, 'rollingRate': 253.8, 'rollingSum': 4998}]"
2020-12-23,North East,"[{'age': '00_04', 'cases': 27, 'rollingRate': 85.4, 'rollingSum': 121}, {'age': '05_09', 'cases': 37, 'rollingRate': 125.7, 'rollingSum': 197}, {'age': '10_14', 'cases': 38, 'rollingRate': 191.7, 'rollingSum': 289}, {'age': '15_19', 'cases': 50, 'rollingRate': 236.7, 'rollingSum': 344}, {'age': '20_24', 'cases': 81, 'rollingRate': 258.6, 'rollingSum': 457}, {'age': '25_29', 'cases': 103, 'rollingRate': 295.4, 'rollingSum': 532}, {'age': '30_34', 'cases': 94, 'rollingRate': 305.9, 'rollingSum': 517}, {'age': '35_39', 'cases': 99, 'rollingRate': 312.9, 'rollingSum': 503}, {'age': '40_44', 'cases': 85, 'rollingRate': 330.6, 'rollingSum': 478}, {'age': '45_49', 'cases': 93, 'rollingRate': 297.8, 'rollingSum': 500}, {'age': '50_54', 'cases': 85, 'rollingRate': 273.0, 'rollingSum': 511}, {'age': '55_59', 'cases': 62, 'rollingRate': 233.2, 'rollingSum': 439}, {'age': '60_64', 'cases': 61, 'rollingRate': 183.5, 'rollingSum': 310}, {'age': '65_69', 'cases': 48, 'rollingRate': 132.5, 'rollingSum': 198}, {'age': '70_74', 'cases': 22, 'rollingRate': 89.1, 'rollingSum': 129}, {'age': '75_79', 'cases': 19, 'rollingRate': 109.2, 'rollingSum': 106}, {'age': '80_84', 'cases': 25, 'rollingRate': 181.1, 'rollingSum': 135}, {'age': '85_89', 'cases': 12, 'rollingRate': 228.8, 'rollingSum': 100}, {'age': '90+', 'cases': 13, 'rollingRate': 362.7, 'rollingSum': 82}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 3}, {'age': '60+', 'cases': 200, 'rollingRate': 151.2, 'rollingSum': 1060}, {'age': '00_59', 'cases': 854, 'rollingRate': 248.4, 'rollingSum': 4891}]"
2020-12-22,North East,"[{'age': '00_04', 'cases': 16, 'rollingRate': 77.6, 'rollingSum': 110}, {'age': '05_09', 'cases': 42, 'rollingRate': 117.4, 'rollingSum': 184}, {'age': '10_14', 'cases': 53, 'rollingRate': 206.3, 'rollingSum': 311}, {'age': '15_19', 'cases': 67, 'rollingRate': 229.8, 'rollingSum': 334}, {'age': '20_24', 'cases': 96, 'rollingRate': 238.8, 'rollingSum': 422}, {'age': '25_29', 'cases': 101, 'rollingRate': 279.8, 'rollingSum': 504}, {'age': '30_34', 'cases': 72, 'rollingRate': 292.9, 'rollingSum': 495}, {'age': '35_39', 'cases': 96, 'rollingRate': 288.6, 'rollingSum': 464}, {'age': '40_44', 'cases': 88, 'rollingRate': 320.3, 'rollingSum': 463}, {'age': '45_49', 'cases': 95, 'rollingRate': 278.8, 'rollingSum': 468}, {'age': '50_54', 'cases': 104, 'rollingRate': 257.0, 'rollingSum': 481}, {'age': '55_59', 'cases': 94, 'rollingRate': 228.4, 'rollingSum': 430}, {'age': '60_64', 'cases': 52, 'rollingRate': 167.6, 'rollingSum': 283}, {'age': '65_69', 'cases': 37, 'rollingRate': 119.8, 'rollingSum': 179}, {'age': '70_74', 'cases': 28, 'rollingRate': 98.8, 'rollingSum': 143}, {'age': '75_79', 'cases': 18, 'rollingRate': 108.2, 'rollingSum': 105}, {'age': '80_84', 'cases': 25, 'rollingRate': 175.8, 'rollingSum': 131}, {'age': '85_89', 'cases': 20, 'rollingRate': 256.3, 'rollingSum': 112}, {'age': '90+', 'cases': 28, 'rollingRate': 393.7, 'rollingSum': 89}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 3}, {'age': '60+', 'cases': 208, 'rollingRate': 148.7, 'rollingSum': 1042}, {'age': '00_59', 'cases': 924, 'rollingRate': 237.1, 'rollingSum': 4669}]"
2020-12-21,North East,"[{'age': '00_04', 'cases': 23, 'rollingRate': 79.0, 'rollingSum': 112}, {'age': '05_09', 'cases': 29, 'rollingRate': 105.9, 'rollingSum': 166}, {'age': '10_14', 'cases': 47, 'rollingRate': 209.6, 'rollingSum': 316}, {'age': '15_19', 'cases': 69, 'rollingRate': 216.7, 'rollingSum': 315}, {'age': '20_24', 'cases': 90, 'rollingRate': 220.7, 'rollingSum': 390}, {'age': '25_29', 'cases': 91, 'rollingRate': 267.0, 'rollingSum': 481}, {'age': '30_34', 'cases': 98, 'rollingRate': 286.4, 'rollingSum': 484}, {'age': '35_39', 'cases': 84, 'rollingRate': 269.9, 'rollingSum': 434}, {'age': '40_44', 'cases': 87, 'rollingRate': 321.0, 'rollingSum': 464}, {'age': '45_49', 'cases': 78, 'rollingRate': 267.5, 'rollingSum': 449}, {'age': '50_54', 'cases': 77, 'rollingRate': 234.0, 'rollingSum': 438}, {'age': '55_59', 'cases': 80, 'rollingRate': 217.8, 'rollingSum': 410}, {'age': '60_64', 'cases': 60, 'rollingRate': 158.7, 'rollingSum': 268}, {'age': '65_69', 'cases': 31, 'rollingRate': 113.8, 'rollingSum': 170}, {'age': '70_74', 'cases': 15, 'rollingRate': 98.8, 'rollingSum': 143}, {'age': '75_79', 'cases': 12, 'rollingRate': 108.2, 'rollingSum': 105}, {'age': '80_84', 'cases': 18, 'rollingRate': 177.1, 'rollingSum': 132}, {'age': '85_89', 'cases': 9, 'rollingRate': 256.3, 'rollingSum': 112}, {'age': '90+', 'cases': 7, 'rollingRate': 331.7, 'rollingSum': 75}, {'age': 'unassigned', 'cases': 1, 'rollingRate': None, 'rollingSum': 3}, {'age': '60+', 'cases': 152, 'rollingRate': 143.4, 'rollingSum': 1005}, {'age': '00_59', 'cases': 854, 'rollingRate': 226.6, 'rollingSum': 4462}]"
2020-12-20,North East,"[{'age': '00_04', 'cases': 14, 'rollingRate': 74.8, 'rollingSum': 106}, {'age': '05_09', 'cases': 35, 'rollingRate': 102.1, 'rollingSum': 160}, {'age': '10_14', 'cases': 34, 'rollingRate': 226.2, 'rollingSum': 341}, {'age': '15_19', 'cases': 53, 'rollingRate': 207.1, 'rollingSum': 301}, {'age': '20_24', 'cases': 54, 'rollingRate': 198.1, 'rollingSum': 350}, {'age': '25_29', 'cases': 64, 'rollingRate': 255.9, 'rollingSum': 461}, {'age': '30_34', 'cases': 67, 'rollingRate': 270.4, 'rollingSum': 457}, {'age': '35_39', 'cases': 60, 'rollingRate': 259.4, 'rollingSum': 417}, {'age': '40_44', 'cases': 61, 'rollingRate': 296.1, 'rollingSum': 428}, {'age': '45_49', 'cases': 54, 'rollingRate': 262.1, 'rollingSum': 440}, {'age': '50_54', 'cases': 75, 'rollingRate': 235.6, 'rollingSum': 441}, {'age': '55_59', 'cases': 51, 'rollingRate': 209.3, 'rollingSum': 394}, {'age': '60_64', 'cases': 47, 'rollingRate': 155.7, 'rollingSum': 263}, {'age': '65_69', 'cases': 17, 'rollingRate': 111.1, 'rollingSum': 166}, {'age': '70_74', 'cases': 11, 'rollingRate': 102.2, 'rollingSum': 148}, {'age': '75_79', 'cases': 13, 'rollingRate': 114.4, 'rollingSum': 111}, {'age': '80_84', 'cases': 11, 'rollingRate': 189.2, 'rollingSum': 141}, {'age': '85_89', 'cases': 15, 'rollingRate': 279.1, 'rollingSum': 122}, {'age': '90+', 'cases': 6, 'rollingRate': 389.2, 'rollingSum': 88}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 2}, {'age': '60+', 'cases': 120, 'rollingRate': 148.2, 'rollingSum': 1039}, {'age': '00_59', 'cases': 622, 'rollingRate': 218.3, 'rollingSum': 4298}]"
2020-12-19,North East,"[{'age': '00_04', 'cases': 7, 'rollingRate': 69.8, 'rollingSum': 99}, {'age': '05_09', 'cases': 16, 'rollingRate': 88.1, 'rollingSum': 138}, {'age': '10_14', 'cases': 33, 'rollingRate': 228.8, 'rollingSum': 345}, {'age': '15_19', 'cases': 28, 'rollingRate': 196.1, 'rollingSum': 285}, {'age': '20_24', 'cases': 34, 'rollingRate': 189.6, 'rollingSum': 335}, {'age': '25_29', 'cases': 58, 'rollingRate': 245.9, 'rollingSum': 443}, {'age': '30_34', 'cases': 57, 'rollingRate': 258.0, 'rollingSum': 436}, {'age': '35_39', 'cases': 54, 'rollingRate': 248.2, 'rollingSum': 399}, {'age': '40_44', 'cases': 44, 'rollingRate': 289.8, 'rollingSum': 419}, {'age': '45_49', 'cases': 53, 'rollingRate': 253.8, 'rollingSum': 426}, {'age': '50_54', 'cases': 47, 'rollingRate': 224.4, 'rollingSum': 420}, {'age': '55_59', 'cases': 42, 'rollingRate': 204.5, 'rollingSum': 385}, {'age': '60_64', 'cases': 30, 'rollingRate': 144.5, 'rollingSum': 244}, {'age': '65_69', 'cases': 21, 'rollingRate': 115.1, 'rollingSum': 172}, {'age': '70_74', 'cases': 21, 'rollingRate': 106.4, 'rollingSum': 154}, {'age': '75_79', 'cases': 20, 'rollingRate': 114.4, 'rollingSum': 111}, {'age': '80_84', 'cases': 13, 'rollingRate': 187.8, 'rollingSum': 140}, {'age': '85_89', 'cases': 14, 'rollingRate': 276.9, 'rollingSum': 121}, {'age': '90+', 'cases': 12, 'rollingRate': 411.4, 'rollingSum': 93}, {'age': 'unassigned', 'cases': 1, 'rollingRate': None, 'rollingSum': 2}, {'age': '60+', 'cases': 131, 'rollingRate': 147.7, 'rollingSum': 1035}, {'age': '00_59', 'cases': 474, 'rollingRate': 209.8, 'rollingSum': 4132}]"
2020-12-18,North East,"[{'age': '00_04', 'cases': 23, 'rollingRate': 72.0, 'rollingSum': 102}, {'age': '05_09', 'cases': 23, 'rollingRate': 84.9, 'rollingSum': 133}, {'age': '10_14', 'cases': 53, 'rollingRate': 232.8, 'rollingSum': 351}, {'age': '15_19', 'cases': 44, 'rollingRate': 198.8, 'rollingSum': 289}, {'age': '20_24', 'cases': 58, 'rollingRate': 194.1, 'rollingSum': 343}, {'age': '25_29', 'cases': 70, 'rollingRate': 237.6, 'rollingSum': 428}, {'age': '30_34', 'cases': 64, 'rollingRate': 245.5, 'rollingSum': 415}, {'age': '35_39', 'cases': 57, 'rollingRate': 237.0, 'rollingSum': 381}, {'age': '40_44', 'cases': 56, 'rollingRate': 282.9, 'rollingSum': 409}, {'age': '45_49', 'cases': 73, 'rollingRate': 240.1, 'rollingSum': 403}, {'age': '50_54', 'cases': 69, 'rollingRate': 227.1, 'rollingSum': 425}, {'age': '55_59', 'cases': 60, 'rollingRate': 205.6, 'rollingSum': 387}, {'age': '60_64', 'cases': 33, 'rollingRate': 139.1, 'rollingSum': 235}, {'age': '65_69', 'cases': 29, 'rollingRate': 111.1, 'rollingSum': 166}, {'age': '70_74', 'cases': 16, 'rollingRate': 101.6, 'rollingSum': 147}, {'age': '75_79', 'cases': 11, 'rollingRate': 110.3, 'rollingSum': 107}, {'age': '80_84', 'cases': 18, 'rollingRate': 189.2, 'rollingSum': 141}, {'age': '85_89', 'cases': 17, 'rollingRate': 270.0, 'rollingSum': 118}, {'age': '90+', 'cases': 9, 'rollingRate': 389.2, 'rollingSum': 88}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 1}, {'age': '60+', 'cases': 133, 'rollingRate': 143.0, 'rollingSum': 1002}, {'age': '00_59', 'cases': 650, 'rollingRate': 206.5, 'rollingSum': 4067}]"
