date,areaName,cases,casesRollingRate,casesAgeDemographics,casesReported,deaths,deathsRollingRate,deathsAgeDemographics,deathsReported
2021-01-19,Dudley,,,[],279,,,,9
2021-01-18,Dudley,68,,[],313,1,,,4
2021-01-17,Dudley,220,,[],242,4,,,2
2021-01-16,Dudley,236,,[],301,3,,,2
2021-01-15,Dudley,305,,[],513,5,,,5
2021-01-14,Dudley,303,649.89999999999997726,"[{'age': '00_04', 'cases': 12, 'rollingRate': 298.4, 'rollingSum': 56}, {'age': '05_09', 'cases': 10, 'rollingRate': 217.3, 'rollingSum': 44}, {'age': '10_14', 'cases': 6, 'rollingRate': 230.2, 'rollingSum': 45}, {'age': '15_19', 'cases': 11, 'rollingRate': 567.3, 'rollingSum': 100}, {'age': '20_24', 'cases': 24, 'rollingRate': 951.4, 'rollingSum': 164}, {'age': '25_29', 'cases': 28, 'rollingRate': 1018.0, 'rollingSum': 202}, {'age': '30_34', 'cases': 31, 'rollingRate': 1109.2, 'rollingSum': 226}, {'age': '35_39', 'cases': 34, 'rollingRate': 950.8, 'rollingSum': 189}, {'age': '40_44', 'cases': 27, 'rollingRate': 887.0, 'rollingSum': 160}, {'age': '45_49', 'cases': 25, 'rollingRate': 758.5, 'rollingSum': 166}, {'age': '50_54', 'cases': 24, 'rollingRate': 781.9, 'rollingSum': 183}, {'age': '55_59', 'cases': 24, 'rollingRate': 709.8, 'rollingSum': 151}, {'age': '60_64', 'cases': 17, 'rollingRate': 638.0, 'rollingSum': 114}, {'age': '65_69', 'cases': 9, 'rollingRate': 413.7, 'rollingSum': 70}, {'age': '70_74', 'cases': 14, 'rollingRate': 340.9, 'rollingSum': 58}, {'age': '75_79', 'cases': 3, 'rollingRate': 380.4, 'rollingSum': 51}, {'age': '80_84', 'cases': 1, 'rollingRate': 485.1, 'rollingSum': 48}, {'age': '85_89', 'cases': 2, 'rollingRate': 415.3, 'rollingSum': 23}, {'age': '90+', 'cases': 1, 'rollingRate': 1201.4, 'rollingSum': 34}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 6}, {'age': '60+', 'cases': 47, 'rollingRate': 476.8, 'rollingSum': 398}, {'age': '00_59', 'cases': 256, 'rollingRate': 710.6, 'rollingSum': 1692}]",278,3,7.7999999999999998224,,2
2021-01-13,Dudley,350,647.10000000000002274,"[{'age': '00_04', 'cases': 11, 'rollingRate': 266.4, 'rollingSum': 50}, {'age': '05_09', 'cases': 6, 'rollingRate': 207.4, 'rollingSum': 42}, {'age': '10_14', 'cases': 7, 'rollingRate': 235.4, 'rollingSum': 46}, {'age': '15_19', 'cases': 20, 'rollingRate': 607.0, 'rollingSum': 107}, {'age': '20_24', 'cases': 22, 'rollingRate': 968.8, 'rollingSum': 167}, {'age': '25_29', 'cases': 34, 'rollingRate': 1028.1, 'rollingSum': 204}, {'age': '30_34', 'cases': 39, 'rollingRate': 1079.8, 'rollingSum': 220}, {'age': '35_39', 'cases': 26, 'rollingRate': 890.5, 'rollingSum': 177}, {'age': '40_44', 'cases': 20, 'rollingRate': 831.5, 'rollingSum': 150}, {'age': '45_49', 'cases': 25, 'rollingRate': 744.8, 'rollingSum': 163}, {'age': '50_54', 'cases': 24, 'rollingRate': 730.6, 'rollingSum': 171}, {'age': '55_59', 'cases': 30, 'rollingRate': 738.0, 'rollingSum': 157}, {'age': '60_64', 'cases': 17, 'rollingRate': 654.8, 'rollingSum': 117}, {'age': '65_69', 'cases': 18, 'rollingRate': 466.9, 'rollingSum': 79}, {'age': '70_74', 'cases': 7, 'rollingRate': 282.1, 'rollingSum': 48}, {'age': '75_79', 'cases': 15, 'rollingRate': 440.1, 'rollingSum': 59}, {'age': '80_84', 'cases': 10, 'rollingRate': 515.5, 'rollingSum': 51}, {'age': '85_89', 'cases': 3, 'rollingRate': 541.7, 'rollingSum': 30}, {'age': '90+', 'cases': 14, 'rollingRate': 1307.4, 'rollingSum': 37}, {'age': 'unassigned', 'cases': 2, 'rollingRate': None, 'rollingSum': 6}, {'age': '60+', 'cases': 84, 'rollingRate': 504.4, 'rollingSum': 421}, {'age': '00_59', 'cases': 266, 'rollingRate': 697.1, 'rollingSum': 1660}]",280,1,7.7999999999999998224,,12
2021-01-12,Dudley,333,628.39999999999997726,"[{'age': '00_04', 'cases': 6, 'rollingRate': 239.8, 'rollingSum': 45}, {'age': '05_09', 'cases': 4, 'rollingRate': 207.4, 'rollingSum': 42}, {'age': '10_14', 'cases': 9, 'rollingRate': 225.1, 'rollingSum': 44}, {'age': '15_19', 'cases': 16, 'rollingRate': 658.1, 'rollingSum': 116}, {'age': '20_24', 'cases': 24, 'rollingRate': 1015.2, 'rollingSum': 175}, {'age': '25_29', 'cases': 31, 'rollingRate': 1023.0, 'rollingSum': 203}, {'age': '30_34', 'cases': 37, 'rollingRate': 1040.5, 'rollingSum': 212}, {'age': '35_39', 'cases': 22, 'rollingRate': 855.3, 'rollingSum': 170}, {'age': '40_44', 'cases': 28, 'rollingRate': 820.4, 'rollingSum': 148}, {'age': '45_49', 'cases': 31, 'rollingRate': 726.5, 'rollingSum': 159}, {'age': '50_54', 'cases': 39, 'rollingRate': 722.0, 'rollingSum': 169}, {'age': '55_59', 'cases': 31, 'rollingRate': 676.9, 'rollingSum': 144}, {'age': '60_64', 'cases': 18, 'rollingRate': 654.8, 'rollingSum': 117}, {'age': '65_69', 'cases': 6, 'rollingRate': 437.4, 'rollingSum': 74}, {'age': '70_74', 'cases': 7, 'rollingRate': 293.9, 'rollingSum': 50}, {'age': '75_79', 'cases': 5, 'rollingRate': 380.4, 'rollingSum': 51}, {'age': '80_84', 'cases': 11, 'rollingRate': 454.8, 'rollingSum': 45}, {'age': '85_89', 'cases': 4, 'rollingRate': 541.7, 'rollingSum': 30}, {'age': '90+', 'cases': 3, 'rollingRate': 812.7, 'rollingSum': 23}, {'age': 'unassigned', 'cases': 1, 'rollingRate': None, 'rollingSum': 4}, {'age': '60+', 'cases': 54, 'rollingRate': 467.2, 'rollingSum': 390}, {'age': '00_59', 'cases': 279, 'rollingRate': 684.9, 'rollingSum': 1631}]",315,3,7.7999999999999998224,,8
2021-01-11,Dudley,373,641.5,"[{'age': '00_04', 'cases': 12, 'rollingRate': 250.4, 'rollingSum': 47}, {'age': '05_09', 'cases': 10, 'rollingRate': 227.2, 'rollingSum': 46}, {'age': '10_14', 'cases': 6, 'rollingRate': 230.2, 'rollingSum': 45}, {'age': '15_19', 'cases': 17, 'rollingRate': 697.8, 'rollingSum': 123}, {'age': '20_24', 'cases': 33, 'rollingRate': 1090.6, 'rollingSum': 188}, {'age': '25_29', 'cases': 39, 'rollingRate': 1043.2, 'rollingSum': 207}, {'age': '30_34', 'cases': 37, 'rollingRate': 991.4, 'rollingSum': 202}, {'age': '35_39', 'cases': 40, 'rollingRate': 945.8, 'rollingSum': 188}, {'age': '40_44', 'cases': 24, 'rollingRate': 798.3, 'rollingSum': 144}, {'age': '45_49', 'cases': 26, 'rollingRate': 699.1, 'rollingSum': 153}, {'age': '50_54', 'cases': 37, 'rollingRate': 666.5, 'rollingSum': 156}, {'age': '55_59', 'cases': 22, 'rollingRate': 695.7, 'rollingSum': 148}, {'age': '60_64', 'cases': 29, 'rollingRate': 716.3, 'rollingSum': 128}, {'age': '65_69', 'cases': 13, 'rollingRate': 508.3, 'rollingSum': 86}, {'age': '70_74', 'cases': 10, 'rollingRate': 299.8, 'rollingSum': 51}, {'age': '75_79', 'cases': 7, 'rollingRate': 380.4, 'rollingSum': 51}, {'age': '80_84', 'cases': 5, 'rollingRate': 454.8, 'rollingSum': 45}, {'age': '85_89', 'cases': 2, 'rollingRate': 559.8, 'rollingSum': 31}, {'age': '90+', 'cases': 3, 'rollingRate': 742.0, 'rollingSum': 21}, {'age': 'unassigned', 'cases': 1, 'rollingRate': None, 'rollingSum': 3}, {'age': '60+', 'cases': 69, 'rollingRate': 494.8, 'rollingSum': 413}, {'age': '00_59', 'cases': 304, 'rollingRate': 692.9, 'rollingSum': 1650}]",341,4,7.7999999999999998224,,0
2021-01-10,Dudley,221,661.10000000000002274,"[{'age': '00_04', 'cases': 4, 'rollingRate': 298.4, 'rollingSum': 56}, {'age': '05_09', 'cases': 5, 'rollingRate': 242.0, 'rollingSum': 49}, {'age': '10_14', 'cases': 4, 'rollingRate': 260.9, 'rollingSum': 51}, {'age': '15_19', 'cases': 13, 'rollingRate': 726.2, 'rollingSum': 128}, {'age': '20_24', 'cases': 22, 'rollingRate': 1137.0, 'rollingSum': 196}, {'age': '25_29', 'cases': 23, 'rollingRate': 1113.7, 'rollingSum': 221}, {'age': '30_34', 'cases': 32, 'rollingRate': 996.3, 'rollingSum': 203}, {'age': '35_39', 'cases': 20, 'rollingRate': 965.9, 'rollingSum': 192}, {'age': '40_44', 'cases': 22, 'rollingRate': 826.0, 'rollingSum': 149}, {'age': '45_49', 'cases': 14, 'rollingRate': 726.5, 'rollingSum': 159}, {'age': '50_54', 'cases': 17, 'rollingRate': 683.6, 'rollingSum': 160}, {'age': '55_59', 'cases': 8, 'rollingRate': 785.0, 'rollingSum': 167}, {'age': '60_64', 'cases': 11, 'rollingRate': 626.8, 'rollingSum': 112}, {'age': '65_69', 'cases': 7, 'rollingRate': 466.9, 'rollingSum': 79}, {'age': '70_74', 'cases': 5, 'rollingRate': 293.9, 'rollingSum': 50}, {'age': '75_79', 'cases': 9, 'rollingRate': 335.7, 'rollingSum': 45}, {'age': '80_84', 'cases': 2, 'rollingRate': 485.1, 'rollingSum': 48}, {'age': '85_89', 'cases': 0, 'rollingRate': 650.1, 'rollingSum': 36}, {'age': '90+', 'cases': 2, 'rollingRate': 812.7, 'rollingSum': 23}, {'age': 'unassigned', 'cases': 1, 'rollingRate': None, 'rollingSum': 2}, {'age': '60+', 'cases': 36, 'rollingRate': 470.8, 'rollingSum': 393}, {'age': '00_59', 'cases': 185, 'rollingRate': 727.8, 'rollingSum': 1733}]",231,2,8.0999999999999996447,,2
2021-01-09,Dudley,262,681.29999999999995453,"[{'age': '00_04', 'cases': 3, 'rollingRate': 293.1, 'rollingSum': 55}, {'age': '05_09', 'cases': 6, 'rollingRate': 242.0, 'rollingSum': 49}, {'age': '10_14', 'cases': 9, 'rollingRate': 286.5, 'rollingSum': 56}, {'age': '15_19', 'cases': 12, 'rollingRate': 765.9, 'rollingSum': 135}, {'age': '20_24', 'cases': 15, 'rollingRate': 1131.2, 'rollingSum': 195}, {'age': '25_29', 'cases': 25, 'rollingRate': 1214.5, 'rollingSum': 241}, {'age': '30_34', 'cases': 25, 'rollingRate': 947.2, 'rollingSum': 193}, {'age': '35_39', 'cases': 21, 'rollingRate': 981.0, 'rollingSum': 195}, {'age': '40_44', 'cases': 17, 'rollingRate': 826.0, 'rollingSum': 149}, {'age': '45_49', 'cases': 24, 'rollingRate': 772.2, 'rollingSum': 169}, {'age': '50_54', 'cases': 23, 'rollingRate': 717.8, 'rollingSum': 168}, {'age': '55_59', 'cases': 16, 'rollingRate': 879.0, 'rollingSum': 187}, {'age': '60_64', 'cases': 12, 'rollingRate': 643.6, 'rollingSum': 115}, {'age': '65_69', 'cases': 9, 'rollingRate': 478.7, 'rollingSum': 81}, {'age': '70_74', 'cases': 9, 'rollingRate': 299.8, 'rollingSum': 51}, {'age': '75_79', 'cases': 10, 'rollingRate': 305.8, 'rollingSum': 41}, {'age': '80_84', 'cases': 10, 'rollingRate': 485.1, 'rollingSum': 48}, {'age': '85_89', 'cases': 6, 'rollingRate': 686.2, 'rollingSum': 38}, {'age': '90+', 'cases': 10, 'rollingRate': 848.1, 'rollingSum': 24}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 1}, {'age': '60+', 'cases': 66, 'rollingRate': 476.8, 'rollingSum': 398}, {'age': '00_59', 'cases': 196, 'rollingRate': 753.0, 'rollingSum': 1793}]",298,4,8.0999999999999996447,,5
