date,areaName,cases,casesRollingRate,casesAgeDemographics,casesReported,deaths,deathsRollingRate,deathsAgeDemographics,deathsReported
2021-01-11,Sandwell,,,[],475,,,,0
2021-01-10,Sandwell,10,,[],394,0,,,4
2021-01-09,Sandwell,196,,[],381,2,,,4
2021-01-08,Sandwell,353,,[],422,3,,,3
2021-01-07,Sandwell,413,,[],459,1,,,4
2021-01-06,Sandwell,475,960.29999999999995453,"[{'age': '00_04', 'cases': 17, 'rollingRate': 337.7, 'rollingSum': 79}, {'age': '05_09', 'cases': 13, 'rollingRate': 321.6, 'rollingSum': 78}, {'age': '10_14', 'cases': 20, 'rollingRate': 518.2, 'rollingSum': 118}, {'age': '15_19', 'cases': 36, 'rollingRate': 1048.6, 'rollingSum': 203}, {'age': '20_24', 'cases': 34, 'rollingRate': 1548.8, 'rollingSum': 297}, {'age': '25_29', 'cases': 45, 'rollingRate': 1403.2, 'rollingSum': 319}, {'age': '30_34', 'cases': 45, 'rollingRate': 1389.0, 'rollingSum': 339}, {'age': '35_39', 'cases': 55, 'rollingRate': 1386.2, 'rollingSum': 333}, {'age': '40_44', 'cases': 42, 'rollingRate': 1381.1, 'rollingSum': 279}, {'age': '45_49', 'cases': 36, 'rollingRate': 1189.4, 'rollingSum': 255}, {'age': '50_54', 'cases': 36, 'rollingRate': 949.5, 'rollingSum': 208}, {'age': '55_59', 'cases': 28, 'rollingRate': 1068.2, 'rollingSum': 208}, {'age': '60_64', 'cases': 22, 'rollingRate': 922.3, 'rollingSum': 147}, {'age': '65_69', 'cases': 11, 'rollingRate': 539.0, 'rollingSum': 72}, {'age': '70_74', 'cases': 8, 'rollingRate': 429.5, 'rollingSum': 53}, {'age': '75_79', 'cases': 8, 'rollingRate': 524.9, 'rollingSum': 52}, {'age': '80_84', 'cases': 6, 'rollingRate': 602.7, 'rollingSum': 44}, {'age': '85_89', 'cases': 5, 'rollingRate': 955.8, 'rollingSum': 40}, {'age': '90+', 'cases': 7, 'rollingRate': 1271.9, 'rollingSum': 29}, {'age': 'unassigned', 'cases': 1, 'rollingRate': None, 'rollingSum': 1}, {'age': '60+', 'cases': 67, 'rollingRate': 669.1, 'rollingSum': 437}, {'age': '00_59', 'cases': 408, 'rollingRate': 1032.5, 'rollingSum': 2717}]",573,5,7.2999999999999998224,,8
2021-01-05,Sandwell,515,939.29999999999995453,"[{'age': '00_04', 'cases': 10, 'rollingRate': 299.2, 'rollingSum': 70}, {'age': '05_09', 'cases': 6, 'rollingRate': 296.8, 'rollingSum': 72}, {'age': '10_14', 'cases': 21, 'rollingRate': 527.0, 'rollingSum': 120}, {'age': '15_19', 'cases': 27, 'rollingRate': 965.9, 'rollingSum': 187}, {'age': '20_24', 'cases': 49, 'rollingRate': 1554.0, 'rollingSum': 298}, {'age': '25_29', 'cases': 49, 'rollingRate': 1376.8, 'rollingSum': 313}, {'age': '30_34', 'cases': 60, 'rollingRate': 1389.0, 'rollingSum': 339}, {'age': '35_39', 'cases': 55, 'rollingRate': 1352.9, 'rollingSum': 325}, {'age': '40_44', 'cases': 43, 'rollingRate': 1311.8, 'rollingSum': 265}, {'age': '45_49', 'cases': 35, 'rollingRate': 1180.0, 'rollingSum': 253}, {'age': '50_54', 'cases': 35, 'rollingRate': 954.1, 'rollingSum': 209}, {'age': '55_59', 'cases': 39, 'rollingRate': 1057.9, 'rollingSum': 206}, {'age': '60_64', 'cases': 28, 'rollingRate': 922.3, 'rollingSum': 147}, {'age': '65_69', 'cases': 20, 'rollingRate': 546.5, 'rollingSum': 73}, {'age': '70_74', 'cases': 9, 'rollingRate': 445.7, 'rollingSum': 55}, {'age': '75_79', 'cases': 12, 'rollingRate': 464.4, 'rollingSum': 46}, {'age': '80_84', 'cases': 6, 'rollingRate': 575.3, 'rollingSum': 42}, {'age': '85_89', 'cases': 7, 'rollingRate': 931.9, 'rollingSum': 39}, {'age': '90+', 'cases': 4, 'rollingRate': 1140.4, 'rollingSum': 26}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 0}, {'age': '60+', 'cases': 86, 'rollingRate': 655.4, 'rollingSum': 428}, {'age': '00_59', 'cases': 429, 'rollingRate': 1009.7, 'rollingSum': 2657}]",364,4,8.1999999999999992895,,5
2021-01-04,Sandwell,621,942,"[{'age': '00_04', 'cases': 14, 'rollingRate': 299.2, 'rollingSum': 70}, {'age': '05_09', 'cases': 14, 'rollingRate': 342.2, 'rollingSum': 83}, {'age': '10_14', 'cases': 28, 'rollingRate': 535.8, 'rollingSum': 122}, {'age': '15_19', 'cases': 43, 'rollingRate': 929.8, 'rollingSum': 180}, {'age': '20_24', 'cases': 67, 'rollingRate': 1574.9, 'rollingSum': 302}, {'age': '25_29', 'cases': 70, 'rollingRate': 1398.8, 'rollingSum': 318}, {'age': '30_34', 'cases': 61, 'rollingRate': 1401.3, 'rollingSum': 342}, {'age': '35_39', 'cases': 62, 'rollingRate': 1348.7, 'rollingSum': 324}, {'age': '40_44', 'cases': 56, 'rollingRate': 1316.7, 'rollingSum': 266}, {'age': '45_49', 'cases': 55, 'rollingRate': 1184.7, 'rollingSum': 254}, {'age': '50_54', 'cases': 46, 'rollingRate': 963.2, 'rollingSum': 211}, {'age': '55_59', 'cases': 35, 'rollingRate': 1016.8, 'rollingSum': 198}, {'age': '60_64', 'cases': 23, 'rollingRate': 941.1, 'rollingSum': 150}, {'age': '65_69', 'cases': 6, 'rollingRate': 501.6, 'rollingSum': 67}, {'age': '70_74', 'cases': 9, 'rollingRate': 461.9, 'rollingSum': 57}, {'age': '75_79', 'cases': 10, 'rollingRate': 444.2, 'rollingSum': 44}, {'age': '80_84', 'cases': 3, 'rollingRate': 575.3, 'rollingSum': 42}, {'age': '85_89', 'cases': 12, 'rollingRate': 931.9, 'rollingSum': 39}, {'age': '90+', 'cases': 7, 'rollingRate': 1096.5, 'rollingSum': 25}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 0}, {'age': '60+', 'cases': 70, 'rollingRate': 649.2, 'rollingSum': 424}, {'age': '00_59', 'cases': 551, 'rollingRate': 1014.7, 'rollingSum': 2670}]",561,5,7.2999999999999998224,,2
2021-01-03,Sandwell,397,823.60000000000002274,"[{'age': '00_04', 'cases': 11, 'rollingRate': 273.6, 'rollingSum': 64}, {'age': '05_09', 'cases': 10, 'rollingRate': 305.1, 'rollingSum': 74}, {'age': '10_14', 'cases': 17, 'rollingRate': 456.7, 'rollingSum': 104}, {'age': '15_19', 'cases': 19, 'rollingRate': 774.8, 'rollingSum': 150}, {'age': '20_24', 'cases': 37, 'rollingRate': 1381.9, 'rollingSum': 265}, {'age': '25_29', 'cases': 37, 'rollingRate': 1183.2, 'rollingSum': 269}, {'age': '30_34', 'cases': 39, 'rollingRate': 1233.3, 'rollingSum': 301}, {'age': '35_39', 'cases': 44, 'rollingRate': 1219.7, 'rollingSum': 293}, {'age': '40_44', 'cases': 46, 'rollingRate': 1133.6, 'rollingSum': 229}, {'age': '45_49', 'cases': 36, 'rollingRate': 1016.8, 'rollingSum': 218}, {'age': '50_54', 'cases': 19, 'rollingRate': 812.6, 'rollingSum': 178}, {'age': '55_59', 'cases': 28, 'rollingRate': 898.7, 'rollingSum': 175}, {'age': '60_64', 'cases': 21, 'rollingRate': 828.2, 'rollingSum': 132}, {'age': '65_69', 'cases': 9, 'rollingRate': 516.5, 'rollingSum': 69}, {'age': '70_74', 'cases': 8, 'rollingRate': 429.5, 'rollingSum': 53}, {'age': '75_79', 'cases': 6, 'rollingRate': 383.6, 'rollingSum': 38}, {'age': '80_84', 'cases': 7, 'rollingRate': 561.6, 'rollingSum': 41}, {'age': '85_89', 'cases': 3, 'rollingRate': 740.7, 'rollingSum': 31}, {'age': '90+', 'cases': 0, 'rollingRate': 921.1, 'rollingSum': 21}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 0}, {'age': '60+', 'cases': 54, 'rollingRate': 589.5, 'rollingSum': 385}, {'age': '00_59', 'cases': 343, 'rollingRate': 881.7, 'rollingSum': 2320}]",292,3,6.4000000000000003553,,2
2021-01-02,Sandwell,490,771.5,"[{'age': '00_04', 'cases': 14, 'rollingRate': 247.9, 'rollingSum': 58}, {'age': '05_09', 'cases': 17, 'rollingRate': 284.5, 'rollingSum': 69}, {'age': '10_14', 'cases': 17, 'rollingRate': 412.8, 'rollingSum': 94}, {'age': '15_19', 'cases': 42, 'rollingRate': 728.3, 'rollingSum': 141}, {'age': '20_24', 'cases': 52, 'rollingRate': 1251.6, 'rollingSum': 240}, {'age': '25_29', 'cases': 43, 'rollingRate': 1104.1, 'rollingSum': 251}, {'age': '30_34', 'cases': 55, 'rollingRate': 1180.0, 'rollingSum': 288}, {'age': '35_39', 'cases': 51, 'rollingRate': 1178.0, 'rollingSum': 283}, {'age': '40_44', 'cases': 40, 'rollingRate': 1004.9, 'rollingSum': 203}, {'age': '45_49', 'cases': 42, 'rollingRate': 923.5, 'rollingSum': 198}, {'age': '50_54', 'cases': 27, 'rollingRate': 812.6, 'rollingSum': 178}, {'age': '55_59', 'cases': 34, 'rollingRate': 867.9, 'rollingSum': 169}, {'age': '60_64', 'cases': 19, 'rollingRate': 784.2, 'rollingSum': 125}, {'age': '65_69', 'cases': 12, 'rollingRate': 501.6, 'rollingSum': 67}, {'age': '70_74', 'cases': 11, 'rollingRate': 389.0, 'rollingSum': 48}, {'age': '75_79', 'cases': 6, 'rollingRate': 363.4, 'rollingSum': 36}, {'age': '80_84', 'cases': 6, 'rollingRate': 493.2, 'rollingSum': 36}, {'age': '85_89', 'cases': 1, 'rollingRate': 669.1, 'rollingSum': 28}, {'age': '90+', 'cases': 1, 'rollingRate': 964.9, 'rollingSum': 22}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 0}, {'age': '60+', 'cases': 56, 'rollingRate': 554.3, 'rollingSum': 362}, {'age': '00_59', 'cases': 434, 'rollingRate': 825.4, 'rollingSum': 2172}]",485,3,6.4000000000000003553,,1
