date,areaName,cases,casesRollingRate,casesAgeDemographics,casesReported,deaths,deathsRollingRate,deathsAgeDemographics,deathsReported
2021-03-05,Stevenage,,,[],13,,,,1
2021-03-04,Stevenage,1,,[],2,0,,,0
2021-03-03,Stevenage,11,,[],12,1,,,1
2021-03-02,Stevenage,5,,[],10,0,,,0
2021-03-01,Stevenage,10,,[],11,0,,,1
2021-02-28,Stevenage,10,96.799999999999997158,"[{'age': '00_04', 'cases': 0, 'rollingRate': 17.2, 'rollingSum': 1}, {'age': '05_09', 'cases': 0, 'rollingRate': 65.2, 'rollingSum': 4}, {'age': '10_14', 'cases': 0, 'rollingRate': 93.4, 'rollingSum': 5}, {'age': '15_19', 'cases': 0, 'rollingRate': 43.2, 'rollingSum': 2}, {'age': '20_24', 'cases': 0, 'rollingRate': 150.3, 'rollingSum': 7}, {'age': '25_29', 'cases': 1, 'rollingRate': 98.6, 'rollingSum': 6}, {'age': '30_34', 'cases': 2, 'rollingRate': 144.0, 'rollingSum': 10}, {'age': '35_39', 'cases': 2, 'rollingRate': 108.3, 'rollingSum': 7}, {'age': '40_44', 'cases': 2, 'rollingRate': 163.0, 'rollingSum': 9}, {'age': '45_49', 'cases': 3, 'rollingRate': 195.6, 'rollingSum': 11}, {'age': '50_54', 'cases': 0, 'rollingRate': 110.3, 'rollingSum': 7}, {'age': '55_59', 'cases': 0, 'rollingRate': 67.6, 'rollingSum': 4}, {'age': '60_64', 'cases': 0, 'rollingRate': 41.5, 'rollingSum': 2}, {'age': '65_69', 'cases': 0, 'rollingRate': 83.0, 'rollingSum': 3}, {'age': '70_74', 'cases': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '75_79', 'cases': 0, 'rollingRate': 166.7, 'rollingSum': 4}, {'age': '80_84', 'cases': 0, 'rollingRate': 49.4, 'rollingSum': 1}, {'age': '85_89', 'cases': 0, 'rollingRate': 75.8, 'rollingSum': 1}, {'age': '90+', 'cases': 0, 'rollingRate': 134.0, 'rollingSum': 1}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 0}, {'age': '60+', 'cases': 0, 'rollingRate': 65.4, 'rollingSum': 12}, {'age': '00_59', 'cases': 10, 'rollingRate': 105.0, 'rollingSum': 73}]",6,0,4.5999999999999996447,,1
2021-02-27,Stevenage,8,93.299999999999997158,"[{'age': '00_04', 'cases': 0, 'rollingRate': 17.2, 'rollingSum': 1}, {'age': '05_09', 'cases': 0, 'rollingRate': 65.2, 'rollingSum': 4}, {'age': '10_14', 'cases': 1, 'rollingRate': 93.4, 'rollingSum': 5}, {'age': '15_19', 'cases': 1, 'rollingRate': 43.2, 'rollingSum': 2}, {'age': '20_24', 'cases': 1, 'rollingRate': 171.7, 'rollingSum': 8}, {'age': '25_29', 'cases': 1, 'rollingRate': 131.4, 'rollingSum': 8}, {'age': '30_34', 'cases': 1, 'rollingRate': 115.2, 'rollingSum': 8}, {'age': '35_39', 'cases': 0, 'rollingRate': 77.4, 'rollingSum': 5}, {'age': '40_44', 'cases': 2, 'rollingRate': 144.9, 'rollingSum': 8}, {'age': '45_49', 'cases': 0, 'rollingRate': 142.3, 'rollingSum': 8}, {'age': '50_54', 'cases': 1, 'rollingRate': 110.3, 'rollingSum': 7}, {'age': '55_59', 'cases': 0, 'rollingRate': 67.6, 'rollingSum': 4}, {'age': '60_64', 'cases': 0, 'rollingRate': 62.2, 'rollingSum': 3}, {'age': '65_69', 'cases': 0, 'rollingRate': 83.0, 'rollingSum': 3}, {'age': '70_74', 'cases': 0, 'rollingRate': 29.3, 'rollingSum': 1}, {'age': '75_79', 'cases': 0, 'rollingRate': 166.7, 'rollingSum': 4}, {'age': '80_84', 'cases': 0, 'rollingRate': 49.4, 'rollingSum': 1}, {'age': '85_89', 'cases': 0, 'rollingRate': 75.8, 'rollingSum': 1}, {'age': '90+', 'cases': 0, 'rollingRate': 134.0, 'rollingSum': 1}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 0}, {'age': '60+', 'cases': 0, 'rollingRate': 76.3, 'rollingSum': 14}, {'age': '00_59', 'cases': 8, 'rollingRate': 97.8, 'rollingSum': 68}]",11,1,4.5999999999999996447,,0
2021-02-26,Stevenage,12,94.5,"[{'age': '00_04', 'cases': 0, 'rollingRate': 17.2, 'rollingSum': 1}, {'age': '05_09', 'cases': 0, 'rollingRate': 65.2, 'rollingSum': 4}, {'age': '10_14', 'cases': 0, 'rollingRate': 74.7, 'rollingSum': 4}, {'age': '15_19', 'cases': 0, 'rollingRate': 43.2, 'rollingSum': 2}, {'age': '20_24', 'cases': 0, 'rollingRate': 171.7, 'rollingSum': 8}, {'age': '25_29', 'cases': 2, 'rollingRate': 115.0, 'rollingSum': 7}, {'age': '30_34', 'cases': 2, 'rollingRate': 115.2, 'rollingSum': 8}, {'age': '35_39', 'cases': 1, 'rollingRate': 108.3, 'rollingSum': 7}, {'age': '40_44', 'cases': 1, 'rollingRate': 126.8, 'rollingSum': 7}, {'age': '45_49', 'cases': 0, 'rollingRate': 160.1, 'rollingSum': 9}, {'age': '50_54', 'cases': 2, 'rollingRate': 94.6, 'rollingSum': 6}, {'age': '55_59', 'cases': 1, 'rollingRate': 84.5, 'rollingSum': 5}, {'age': '60_64', 'cases': 0, 'rollingRate': 82.9, 'rollingSum': 4}, {'age': '65_69', 'cases': 0, 'rollingRate': 83.0, 'rollingSum': 3}, {'age': '70_74', 'cases': 0, 'rollingRate': 29.3, 'rollingSum': 1}, {'age': '75_79', 'cases': 1, 'rollingRate': 166.7, 'rollingSum': 4}, {'age': '80_84', 'cases': 1, 'rollingRate': 49.4, 'rollingSum': 1}, {'age': '85_89', 'cases': 1, 'rollingRate': 75.8, 'rollingSum': 1}, {'age': '90+', 'cases': 0, 'rollingRate': 134.0, 'rollingSum': 1}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 0}, {'age': '60+', 'cases': 3, 'rollingRate': 81.8, 'rollingSum': 15}, {'age': '00_59', 'cases': 9, 'rollingRate': 97.8, 'rollingSum': 68}]",14,1,4.5999999999999996447,,0
2021-02-25,Stevenage,9,103.59999999999999432,"[{'age': '00_04', 'cases': 0, 'rollingRate': 17.2, 'rollingSum': 1}, {'age': '05_09', 'cases': 0, 'rollingRate': 97.8, 'rollingSum': 6}, {'age': '10_14', 'cases': 0, 'rollingRate': 93.4, 'rollingSum': 5}, {'age': '15_19', 'cases': 0, 'rollingRate': 64.8, 'rollingSum': 3}, {'age': '20_24', 'cases': 2, 'rollingRate': 236.2, 'rollingSum': 11}, {'age': '25_29', 'cases': 1, 'rollingRate': 82.1, 'rollingSum': 5}, {'age': '30_34', 'cases': 2, 'rollingRate': 129.6, 'rollingSum': 9}, {'age': '35_39', 'cases': 0, 'rollingRate': 108.3, 'rollingSum': 7}, {'age': '40_44', 'cases': 1, 'rollingRate': 126.8, 'rollingSum': 7}, {'age': '45_49', 'cases': 2, 'rollingRate': 213.4, 'rollingSum': 12}, {'age': '50_54', 'cases': 1, 'rollingRate': 63.1, 'rollingSum': 4}, {'age': '55_59', 'cases': 0, 'rollingRate': 135.2, 'rollingSum': 8}, {'age': '60_64', 'cases': 0, 'rollingRate': 82.9, 'rollingSum': 4}, {'age': '65_69', 'cases': 0, 'rollingRate': 110.7, 'rollingSum': 4}, {'age': '70_74', 'cases': 0, 'rollingRate': 29.3, 'rollingSum': 1}, {'age': '75_79', 'cases': 0, 'rollingRate': 125.1, 'rollingSum': 3}, {'age': '80_84', 'cases': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '85_89', 'cases': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '90+', 'cases': 0, 'rollingRate': 134.0, 'rollingSum': 1}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 0}, {'age': '60+', 'cases': 0, 'rollingRate': 70.9, 'rollingSum': 13}, {'age': '00_59', 'cases': 9, 'rollingRate': 112.2, 'rollingSum': 78}]",22,0,3.3999999999999999112,,0
2021-02-24,Stevenage,22,111.59999999999999432,"[{'age': '00_04', 'cases': 1, 'rollingRate': 51.5, 'rollingSum': 3}, {'age': '05_09', 'cases': 1, 'rollingRate': 97.8, 'rollingSum': 6}, {'age': '10_14', 'cases': 1, 'rollingRate': 93.4, 'rollingSum': 5}, {'age': '15_19', 'cases': 1, 'rollingRate': 64.8, 'rollingSum': 3}, {'age': '20_24', 'cases': 1, 'rollingRate': 279.1, 'rollingSum': 13}, {'age': '25_29', 'cases': 0, 'rollingRate': 98.6, 'rollingSum': 6}, {'age': '30_34', 'cases': 1, 'rollingRate': 129.6, 'rollingSum': 9}, {'age': '35_39', 'cases': 2, 'rollingRate': 139.2, 'rollingSum': 9}, {'age': '40_44', 'cases': 3, 'rollingRate': 144.9, 'rollingSum': 8}, {'age': '45_49', 'cases': 3, 'rollingRate': 195.6, 'rollingSum': 11}, {'age': '50_54', 'cases': 0, 'rollingRate': 63.1, 'rollingSum': 4}, {'age': '55_59', 'cases': 2, 'rollingRate': 135.2, 'rollingSum': 8}, {'age': '60_64', 'cases': 1, 'rollingRate': 82.9, 'rollingSum': 4}, {'age': '65_69', 'cases': 2, 'rollingRate': 110.7, 'rollingSum': 4}, {'age': '70_74', 'cases': 0, 'rollingRate': 29.3, 'rollingSum': 1}, {'age': '75_79', 'cases': 2, 'rollingRate': 125.1, 'rollingSum': 3}, {'age': '80_84', 'cases': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '85_89', 'cases': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '90+', 'cases': 1, 'rollingRate': 134.0, 'rollingSum': 1}, {'age': 'unassigned', 'cases': 0, 'rollingRate': None, 'rollingSum': 0}, {'age': '60+', 'cases': 6, 'rollingRate': 70.9, 'rollingSum': 13}, {'age': '00_59', 'cases': 16, 'rollingRate': 122.3, 'rollingSum': 85}]",11,1,3.3999999999999999112,,1
