date,areaName,cases,casesRollingRate,casesAgeDemographics,casesReported,deaths,deathsRollingRate,deathsAgeDemographics,deathsReported
2021-01-29,Welwyn Hatfield,,,,81,,,,0
2021-01-28,Welwyn Hatfield,13,,,103,,,,2
2021-01-27,Welwyn Hatfield,71,,,62,0,,,8
2021-01-26,Welwyn Hatfield,90,,,55,2,,,4
2021-01-25,Welwyn Hatfield,75,,,69,2,,,0
2021-01-24,Welwyn Hatfield,42,504.69999999999998863,,109,4,22.800000000000000711,,2
2021-01-23,Welwyn Hatfield,58,531.5,,89,3,22.800000000000000711,,9
2021-01-22,Welwyn Hatfield,100,547.79999999999995453,,116,0,26.800000000000000711,,9
2021-01-21,Welwyn Hatfield,92,544.5,,70,5,29.300000000000000711,,4
2021-01-20,Welwyn Hatfield,76,566.5,,118,5,26.800000000000000711,,7
2021-01-19,Welwyn Hatfield,123,599.79999999999995453,,106,5,29.300000000000000711,,10
2021-01-18,Welwyn Hatfield,130,600.60000000000002274,,104,6,29.300000000000000711,,1
2021-01-17,Welwyn Hatfield,75,627.39999999999997726,,61,4,26,,0
2021-01-16,Welwyn Hatfield,78,673.70000000000004547,,115,8,24.399999999999998579,,3
2021-01-15,Welwyn Hatfield,96,710.29999999999995453,,154,3,21.100000000000001421,,5
2021-01-14,Welwyn Hatfield,119,730.60000000000002274,,104,2,20.300000000000000711,,2
2021-01-13,Welwyn Hatfield,117,764,,153,8,19.5,,6
2021-01-12,Welwyn Hatfield,124,803.79999999999995453,,188,5,16.300000000000000711,,4
2021-01-11,Welwyn Hatfield,163,838.70000000000004547,,122,2,13,,0
2021-01-10,Welwyn Hatfield,132,868.79999999999995453,,176,2,13.800000000000000711,,3
2021-01-09,Welwyn Hatfield,123,864.70000000000004547,,160,4,14.599999999999999645,,1
2021-01-08,Welwyn Hatfield,121,905.39999999999997726,,159,2,13,,2
2021-01-07,Welwyn Hatfield,160,873.70000000000004547,,139,1,11.400000000000000355,,3
2021-01-06,Welwyn Hatfield,166,874.5,,133,4,10.599999999999999645,,1
2021-01-05,Welwyn Hatfield,167,885.10000000000002274,,173,1,7.2999999999999998224,,4
2021-01-04,Welwyn Hatfield,200,922.39999999999997726,,215,3,8.0999999999999996447,,0
2021-01-03,Welwyn Hatfield,127,844.39999999999997726,,154,3,5.7000000000000001776,,1
2021-01-02,Welwyn Hatfield,173,831.39999999999997726,,102,2,4.0999999999999996447,,0
2021-01-01,Welwyn Hatfield,82,798.10000000000002274,,167,0,3.2999999999999998224,,1
2020-12-31,Welwyn Hatfield,161,767.20000000000004547,,114,0,4.0999999999999996447,,0
2020-12-30,Welwyn Hatfield,179,702.20000000000004547,,157,0,4.9000000000000003553,,4
2020-12-29,Welwyn Hatfield,213,654.20000000000004547,,157,2,5.7000000000000001776,,0
2020-12-28,Welwyn Hatfield,104,586.79999999999995453,,127,0,5.7000000000000001776,,0
2020-12-27,Welwyn Hatfield,111,590,,54,1,5.7000000000000001776,,1
2020-12-26,Welwyn Hatfield,132,556.70000000000004547,,67,1,6.5,,0
