date,areaName,cases,casesRollingRate,casesAgeDemographics,casesReported,deaths,deathsRollingRate,deathsAgeDemographics,deathsReported,admissions,admissionsRollingRate,patients,patientsMv,cumAdmissionsByAge
2021-01-28,Northern Ireland,,,,592,,,,13,,0,,,
2021-01-27,Northern Ireland,430,,,527,15,,,16,,0,,56,
2021-01-26,Northern Ireland,623,,,550,12,,,16,19,21.5,775,48,
2021-01-25,Northern Ireland,653,,,422,15,,,17,47,24.100000000000001421,852,50,
2021-01-24,Northern Ireland,462,,,433,13,,,14,59,26,894,54,
2021-01-23,Northern Ireland,485,271.69999999999998863,,670,20,6.9000000000000003553,,12,47,26.600000000000001421,873,46,
2021-01-22,Northern Ireland,631,283.30000000000001137,,865,13,6.9000000000000003553,,12,73,28.899999999999998579,879,52,
2021-01-21,Northern Ireland,782,295.5,,732,11,7.4000000000000003553,,21,84,29.600000000000001421,907,58,
2021-01-20,Northern Ireland,802,303,,905,19,8.1999999999999992895,,22,78,30,913,57,
2021-01-19,Northern Ireland,886,317,,713,18,8.1999999999999992895,,24,69,30.199999999999999289,938,57,
2021-01-18,Northern Ireland,936,329.5,,640,20,8.1999999999999992895,,19,82,31.300000000000000711,969,51,
2021-01-17,Northern Ireland,624,347.19999999999998863,,822,29,8.3000000000000007105,,25,70,31.899999999999998579,988,50,
2021-01-16,Northern Ireland,703,361.10000000000002274,,705,20,7.7000000000000001776,,22,92,33.399999999999998579,986,45,
2021-01-15,Northern Ireland,862,376.89999999999997726,,1052,24,7.7000000000000001776,,26,86,33.299999999999997158,968,47,
2021-01-14,Northern Ireland,925,397,,973,26,6.9000000000000003553,,16,91,34.399999999999998579,999,44,
2021-01-13,Northern Ireland,1067,413.69999999999998863,,1145,19,6.7000000000000001776,,19,81,34,1018,40,
2021-01-12,Northern Ireland,1122,438.39999999999997726,,1205,18,6.2000000000000001776,,22,91,34.100000000000001421,1016,38,
2021-01-11,Northern Ireland,1272,465.19999999999998863,,759,22,5.7000000000000001776,,16,93,33.5,1011,37,
2021-01-10,Northern Ireland,887,504.19999999999998863,,1112,16,5.2000000000000001776,,17,98,32.799999999999997158,1013,34,
2021-01-09,Northern Ireland,1003,543.60000000000002274,,1442,20,5,,9,90,31.5,964,33,
2021-01-08,Northern Ireland,1241,592.70000000000004547,,1500,10,4.5999999999999996447,,20,107,29.800000000000000711,930,36,
2021-01-07,Northern Ireland,1242,593.10000000000002274,,1410,21,4.7999999999999998224,,17,84,27.899999999999998579,895,32,
2021-01-06,Northern Ireland,1535,618.70000000000004547,,1985,11,4.2000000000000001776,,13,83,27.100000000000001421,885,37,
2021-01-05,Northern Ireland,1629,655.5,,1378,7,4.2999999999999998224,,18,80,26.699999999999999289,873,34,
2021-01-04,Northern Ireland,2011,691.5,,1801,13,4.5,,12,79,26.199999999999999289,868,29,
2021-01-03,Northern Ireland,1633,658.89999999999997726,,1662,12,4.2999999999999998224,,6,74,25.100000000000001421,858,22,
2021-01-02,Northern Ireland,1933,630.39999999999997726,,3576,14,4.4000000000000003553,,26,58,24.399999999999998579,821,25,
2021-01-01,Northern Ireland,1249,566.20000000000004547,,0,13,4.2000000000000001776,,0,70,23.899999999999998579,794,27,
2020-12-31,Northern Ireland,1726,518.29999999999995453,,1929,10,3.8999999999999999112,,11,70,22.600000000000001421,762,27,
2020-12-30,Northern Ireland,2232,460.19999999999998863,,2143,13,4.0999999999999996447,,6,74,21.300000000000000711,771,24,
2020-12-29,Northern Ireland,2310,385.30000000000001137,,1566,11,4.2000000000000001776,,14,72,20.100000000000001421,748,24,
2020-12-28,Northern Ireland,1394,301.5,,1634,8,4.2000000000000001776,,20,57,18.800000000000000711,712,23,
2020-12-27,Northern Ireland,1093,266,,0,14,4.5999999999999996447,,0,62,18.800000000000000711,684,22,
2020-12-26,Northern Ireland,718,234.09999999999999432,,998,10,4.5,,20,48,17.199999999999999289,649,22,
2020-12-25,Northern Ireland,342,221.80000000000001137,,0,7,4.7999999999999998224,,0,45,16.399999999999998579,619,22,
2020-12-24,Northern Ireland,626,232.19999999999998863,,841,15,5,,11,46,16.199999999999999289,602,22,
2020-12-23,Northern Ireland,813,231.09999999999999432,,787,15,4.9000000000000003553,,21,51,16.100000000000001421,614,22,
2020-12-22,Northern Ireland,724,220.80000000000001137,,439,10,4.7999999999999998224,,16,47,15.699999999999999289,624,23,
2020-12-21,Northern Ireland,722,211,,555,17,4.5999999999999996447,,7,57,16,632,24,
2020-12-20,Northern Ireland,489,202.90000000000000568,,505,12,4,,13,32,15.599999999999999645,626,24,
2020-12-19,Northern Ireland,485,198.19999999999998863,,640,15,3.6000000000000000888,,17,33,16,612,23,
2020-12-18,Northern Ireland,538,191.59999999999999432,,510,10,3.2000000000000001776,,12,41,16.300000000000000711,602,26,
2020-12-17,Northern Ireland,605,190.69999999999998863,,656,14,3.2000000000000001776,,12,44,15.699999999999999289,613,26,
2020-12-16,Northern Ireland,619,185.30000000000001137,,510,13,3.1000000000000000888,,8,43,14.900000000000000355,633,25,
2020-12-15,Northern Ireland,538,176.69999999999998863,,486,6,2.8999999999999999112,,6,53,14.400000000000000355,635,24,
