date,areaName,admissions,admissionsRollingRate,patients,patientsMv,cumAdmissionsByAge
2021-10-14,East of England,,,446,61,[]
2021-10-13,East of England,,,442,60,[]
2021-10-12,East of England,53,6.4,440,58,"[{'age': '18_to_64', 'rate': 400.5, 'value': 15363}, {'age': '65_to_84', 'rate': 1646.0, 'value': 18358}, {'age': '85+', 'rate': 5939.3, 'value': 10731}, {'age': '0_to_5', 'rate': 89.5, 'value': 415}, {'age': '6_to_17', 'rate': 42.5, 'value': 411}]"
2021-10-11,East of England,71,6.5,408,53,"[{'age': '18_to_64', 'rate': 400.5, 'value': 15363}, {'age': '65_to_84', 'rate': 1645.9, 'value': 18357}, {'age': '85+', 'rate': 5939.3, 'value': 10731}, {'age': '0_to_5', 'rate': 89.5, 'value': 415}, {'age': '6_to_17', 'rate': 42.5, 'value': 411}]"
2021-10-10,East of England,72,6.1,368,53,"[{'age': '18_to_64', 'rate': 399.7, 'value': 15334}, {'age': '65_to_84', 'rate': 1643.9, 'value': 18334}, {'age': '85+', 'rate': 5932.7, 'value': 10719}, {'age': '0_to_5', 'rate': 88.7, 'value': 411}, {'age': '6_to_17', 'rate': 42.2, 'value': 408}]"
2021-10-09,East of England,64,5.6,356,58,"[{'age': '18_to_64', 'rate': 399.0, 'value': 15306}, {'age': '65_to_84', 'rate': 1642.1, 'value': 18314}, {'age': '85+', 'rate': 5923.3, 'value': 10702}, {'age': '0_to_5', 'rate': 88.0, 'value': 408}, {'age': '6_to_17', 'rate': 41.8, 'value': 404}]"
2021-10-08,East of England,65,5.2,358,53,"[{'age': '18_to_64', 'rate': 398.6, 'value': 15290}, {'age': '65_to_84', 'rate': 1639.5, 'value': 18285}, {'age': '85+', 'rate': 5915.0, 'value': 10687}, {'age': '0_to_5', 'rate': 87.6, 'value': 406}, {'age': '6_to_17', 'rate': 41.6, 'value': 402}]"
2021-10-07,East of England,45,4.7,346,54,"[{'age': '18_to_64', 'rate': 397.8, 'value': 15261}, {'age': '65_to_84', 'rate': 1637.9, 'value': 18267}, {'age': '85+', 'rate': 5909.4, 'value': 10677}, {'age': '0_to_5', 'rate': 87.2, 'value': 404}, {'age': '6_to_17', 'rate': 40.9, 'value': 396}]"
2021-10-06,East of England,49,4.6,359,52,"[{'age': '18_to_64', 'rate': 397.3, 'value': 15242}, {'age': '65_to_84', 'rate': 1636.5, 'value': 18252}, {'age': '85+', 'rate': 5905.6, 'value': 10670}, {'age': '0_to_5', 'rate': 86.7, 'value': 402}, {'age': '6_to_17', 'rate': 40.7, 'value': 394}]"
2021-10-05,East of England,58,4.7,367,49,"[{'age': '18_to_64', 'rate': 396.7, 'value': 15218}, {'age': '65_to_84', 'rate': 1634.8, 'value': 18233}, {'age': '85+', 'rate': 5903.4, 'value': 10666}, {'age': '0_to_5', 'rate': 86.7, 'value': 402}, {'age': '6_to_17', 'rate': 40.5, 'value': 392}]"
2021-10-04,East of England,49,4.4,379,50,"[{'age': '18_to_64', 'rate': 396.3, 'value': 15202}, {'age': '65_to_84', 'rate': 1632.6, 'value': 18208}, {'age': '85+', 'rate': 5896.2, 'value': 10653}, {'age': '0_to_5', 'rate': 86.1, 'value': 399}, {'age': '6_to_17', 'rate': 40.4, 'value': 391}]"
