date,areaName,admissions,admissionsRollingRate,patients,patientsMv,cumAdmissionsByAge
2021-01-20,London,,0,7588,1208,
2021-01-19,London,,0,7711,1207,
2021-01-18,London,704,58.700000000000002842,7917,1220,"[{'age': '0_to_5', 'rate': 88.4, 'value': 654}, {'age': '85+', 'rate': 6273.7, 'value': 9205}, {'age': '65_to_84', 'rate': 2299.8, 'value': 20985}, {'age': '18_to_64', 'rate': 429.5, 'value': 25028}, {'age': '6_to_17', 'rate': 44.6, 'value': 572}]"
2021-01-17,London,652,59.700000000000002842,7707,1203,"[{'age': '0_to_5', 'rate': 87.8, 'value': 650}, {'age': '85+', 'rate': 6201.4, 'value': 9099}, {'age': '65_to_84', 'rate': 2270.6, 'value': 20719}, {'age': '18_to_64', 'rate': 424.0, 'value': 24708}, {'age': '6_to_17', 'rate': 44.0, 'value': 564}]"
2021-01-16,London,758,60.600000000000001421,7571,1206,"[{'age': '0_to_5', 'rate': 86.7, 'value': 642}, {'age': '85+', 'rate': 6143.5, 'value': 9014}, {'age': '65_to_84', 'rate': 2241.8, 'value': 20456}, {'age': '18_to_64', 'rate': 419.0, 'value': 24415}, {'age': '6_to_17', 'rate': 43.8, 'value': 561}]"
2021-01-15,London,670,61.399999999999998579,7811,1184,"[{'age': '0_to_5', 'rate': 85.5, 'value': 633}, {'age': '85+', 'rate': 6059.0, 'value': 8890}, {'age': '65_to_84', 'rate': 2211.8, 'value': 20182}, {'age': '18_to_64', 'rate': 413.1, 'value': 24072}, {'age': '6_to_17', 'rate': 43.1, 'value': 553}]"
2021-01-14,London,763,63,7840,1163,"[{'age': '0_to_5', 'rate': 85.0, 'value': 629}, {'age': '85+', 'rate': 5985.4, 'value': 8782}, {'age': '65_to_84', 'rate': 2182.6, 'value': 19916}, {'age': '18_to_64', 'rate': 408.2, 'value': 23784}, {'age': '6_to_17', 'rate': 42.8, 'value': 549}]"
2021-01-13,London,804,63.700000000000002842,7686,1138,"[{'age': '0_to_5', 'rate': 83.8, 'value': 620}, {'age': '85+', 'rate': 5896.1, 'value': 8651}, {'age': '65_to_84', 'rate': 2151.6, 'value': 19633}, {'age': '18_to_64', 'rate': 402.4, 'value': 23447}, {'age': '6_to_17', 'rate': 42.6, 'value': 546}]"
2021-01-12,London,875,65.599999999999994316,7606,1085,"[{'age': '0_to_5', 'rate': 82.3, 'value': 609}, {'age': '85+', 'rate': 5796.6, 'value': 8505}, {'age': '65_to_84', 'rate': 2120.8, 'value': 19352}, {'age': '18_to_64', 'rate': 396.2, 'value': 23085}, {'age': '6_to_17', 'rate': 42.3, 'value': 542}]"
2021-01-11,London,795,66.099999999999994316,7799,1073,"[{'age': '0_to_5', 'rate': 81.3, 'value': 602}, {'age': '85+', 'rate': 5708.7, 'value': 8376}, {'age': '65_to_84', 'rate': 2086.5, 'value': 19039}, {'age': '18_to_64', 'rate': 388.9, 'value': 22662}, {'age': '6_to_17', 'rate': 42.0, 'value': 539}]"
2021-01-10,London,734,66.400000000000005684,7494,1044,"[{'age': '0_to_5', 'rate': 80.9, 'value': 599}, {'age': '85+', 'rate': 5620.8, 'value': 8247}, {'age': '65_to_84', 'rate': 2053.5, 'value': 18738}, {'age': '18_to_64', 'rate': 382.8, 'value': 22303}, {'age': '6_to_17', 'rate': 41.8, 'value': 536}]"
2021-01-09,London,832,67.900000000000005684,7224,1020,"[{'age': '0_to_5', 'rate': 80.0, 'value': 592}, {'age': '85+', 'rate': 5530.8, 'value': 8115}, {'age': '65_to_84', 'rate': 2021.7, 'value': 18448}, {'age': '18_to_64', 'rate': 377.7, 'value': 22006}, {'age': '6_to_17', 'rate': 41.2, 'value': 528}]"
2021-01-08,London,813,67.900000000000005684,7277,1015,"[{'age': '0_to_5', 'rate': 78.9, 'value': 584}, {'age': '85+', 'rate': 5446.3, 'value': 7991}, {'age': '65_to_84', 'rate': 1985.9, 'value': 18121}, {'age': '18_to_64', 'rate': 371.3, 'value': 21635}, {'age': '6_to_17', 'rate': 41.0, 'value': 526}]"
2021-01-07,London,820,67.700000000000002842,7231,961,"[{'age': '0_to_5', 'rate': 77.3, 'value': 572}, {'age': '85+', 'rate': 5352.2, 'value': 7853}, {'age': '65_to_84', 'rate': 1952.2, 'value': 17814}, {'age': '18_to_64', 'rate': 365.3, 'value': 21284}, {'age': '6_to_17', 'rate': 40.6, 'value': 521}]"
2021-01-06,London,977,66.400000000000005684,7034,908,"[{'age': '0_to_5', 'rate': 75.7, 'value': 560}, {'age': '85+', 'rate': 5259.5, 'value': 7717}, {'age': '65_to_84', 'rate': 1920.2, 'value': 17522}, {'age': '18_to_64', 'rate': 358.9, 'value': 20912}, {'age': '6_to_17', 'rate': 40.0, 'value': 513}]"
2021-01-05,London,913,63.100000000000001421,6816,866,"[{'age': '0_to_5', 'rate': 74.3, 'value': 550}, {'age': '85+', 'rate': 5164.8, 'value': 7578}, {'age': '65_to_84', 'rate': 1878.6, 'value': 17142}, {'age': '18_to_64', 'rate': 351.4, 'value': 20473}, {'age': '6_to_17', 'rate': 39.3, 'value': 504}]"
2021-01-04,London,830,60.5,6733,814,"[{'age': '0_to_5', 'rate': 73.0, 'value': 540}, {'age': '85+', 'rate': 5059.8, 'value': 7424}, {'age': '65_to_84', 'rate': 1840.9, 'value': 16798}, {'age': '18_to_64', 'rate': 344.5, 'value': 20076}, {'age': '6_to_17', 'rate': 39.0, 'value': 500}]"
2021-01-03,London,865,59.5,6358,772,"[{'age': '0_to_5', 'rate': 71.5, 'value': 529}, {'age': '85+', 'rate': 4963.7, 'value': 7283}, {'age': '65_to_84', 'rate': 1811.0, 'value': 16525}, {'age': '18_to_64', 'rate': 337.7, 'value': 19678}, {'age': '6_to_17', 'rate': 38.5, 'value': 493}]"
2021-01-02,London,828,56.799999999999997158,5861,713,"[{'age': '0_to_5', 'rate': 71.1, 'value': 526}, {'age': '85+', 'rate': 4864.2, 'value': 7137}, {'age': '65_to_84', 'rate': 1776.7, 'value': 16212}, {'age': '18_to_64', 'rate': 330.9, 'value': 19281}, {'age': '6_to_17', 'rate': 38.0, 'value': 487}]"
2021-01-01,London,796,54.299999999999997158,5511,657,"[{'age': '0_to_5', 'rate': 70.1, 'value': 519}, {'age': '85+', 'rate': 4785.2, 'value': 7021}, {'age': '65_to_84', 'rate': 1741.8, 'value': 15894}, {'age': '18_to_64', 'rate': 324.3, 'value': 18899}, {'age': '6_to_17', 'rate': 37.6, 'value': 482}]"
2020-12-31,London,708,51.899999999999998579,5685,664,"[{'age': '0_to_5', 'rate': 68.6, 'value': 508}, {'age': '85+', 'rate': 4707.5, 'value': 6907}, {'age': '65_to_84', 'rate': 1707.7, 'value': 15583}, {'age': '18_to_64', 'rate': 318.3, 'value': 18547}, {'age': '6_to_17', 'rate': 37.0, 'value': 474}]"
2020-12-30,London,681,49.399999999999998579,5524,640,"[{'age': '0_to_5', 'rate': 67.8, 'value': 502}, {'age': '85+', 'rate': 4644.8, 'value': 6815}, {'age': '65_to_84', 'rate': 1679.7, 'value': 15327}, {'age': '18_to_64', 'rate': 312.3, 'value': 18199}, {'age': '6_to_17', 'rate': 36.5, 'value': 468}]"
2020-12-29,London,679,47.5,5371,599,"[{'age': '0_to_5', 'rate': 66.9, 'value': 495}, {'age': '85+', 'rate': 4571.8, 'value': 6708}, {'age': '65_to_84', 'rate': 1654.7, 'value': 15099}, {'age': '18_to_64', 'rate': 306.6, 'value': 17867}, {'age': '6_to_17', 'rate': 36.0, 'value': 461}]"
2020-12-28,London,739,45.600000000000001421,4957,556,"[{'age': '0_to_5', 'rate': 65.8, 'value': 487}, {'age': '85+', 'rate': 4507.8, 'value': 6614}, {'age': '65_to_84', 'rate': 1628.5, 'value': 14860}, {'age': '18_to_64', 'rate': 300.9, 'value': 17534}, {'age': '6_to_17', 'rate': 35.6, 'value': 456}]"
2020-12-27,London,629,43,4591,520,"[{'age': '0_to_5', 'rate': 63.9, 'value': 473}, {'age': '85+', 'rate': 4439.6, 'value': 6514}, {'age': '65_to_84', 'rate': 1598.4, 'value': 14585}, {'age': '18_to_64', 'rate': 295.0, 'value': 17190}, {'age': '6_to_17', 'rate': 35.1, 'value': 450}]"
2020-12-26,London,607,40.600000000000001421,4276,489,"[{'age': '0_to_5', 'rate': 62.1, 'value': 460}, {'age': '85+', 'rate': 4385.8, 'value': 6435}, {'age': '65_to_84', 'rate': 1575.0, 'value': 14372}, {'age': '18_to_64', 'rate': 289.6, 'value': 16874}, {'age': '6_to_17', 'rate': 34.5, 'value': 442}]"
2020-12-25,London,578,38.299999999999997158,4019,455,"[{'age': '0_to_5', 'rate': 61.3, 'value': 454}, {'age': '85+', 'rate': 4329.9, 'value': 6353}, {'age': '65_to_84', 'rate': 1553.2, 'value': 14173}, {'age': '18_to_64', 'rate': 284.2, 'value': 16559}, {'age': '6_to_17', 'rate': 34.1, 'value': 437}]"
2020-12-24,London,492,35.799999999999997158,3966,462,"[{'age': '0_to_5', 'rate': 60.5, 'value': 448}, {'age': '85+', 'rate': 4281.5, 'value': 6282}, {'age': '65_to_84', 'rate': 1529.6, 'value': 13957}, {'age': '18_to_64', 'rate': 279.3, 'value': 16276}, {'age': '6_to_17', 'rate': 33.9, 'value': 435}]"
2020-12-23,London,511,34.399999999999998579,3578,411,"[{'age': '0_to_5', 'rate': 59.4, 'value': 440}, {'age': '85+', 'rate': 4234.5, 'value': 6213}, {'age': '65_to_84', 'rate': 1509.3, 'value': 13772}, {'age': '18_to_64', 'rate': 275.5, 'value': 16053}, {'age': '6_to_17', 'rate': 33.4, 'value': 428}]"
2020-12-22,London,508,31.5,3559,400,"[{'age': '0_to_5', 'rate': 58.8, 'value': 435}, {'age': '85+', 'rate': 4171.8, 'value': 6121}, {'age': '65_to_84', 'rate': 1491.7, 'value': 13612}, {'age': '18_to_64', 'rate': 271.3, 'value': 15807}, {'age': '6_to_17', 'rate': 32.8, 'value': 420}]"
2020-12-21,London,505,29.5,3367,378,"[{'age': '0_to_5', 'rate': 57.0, 'value': 422}, {'age': '85+', 'rate': 4117.3, 'value': 6041}, {'age': '65_to_84', 'rate': 1472.6, 'value': 13437}, {'age': '18_to_64', 'rate': 267.2, 'value': 15572}, {'age': '6_to_17', 'rate': 32.4, 'value': 415}]"
2020-12-20,London,413,27.100000000000001421,3067,355,"[{'age': '0_to_5', 'rate': 56.2, 'value': 416}, {'age': '85+', 'rate': 4063.4, 'value': 5962}, {'age': '65_to_84', 'rate': 1453.3, 'value': 13261}, {'age': '18_to_64', 'rate': 263.1, 'value': 15333}, {'age': '6_to_17', 'rate': 32.0, 'value': 410}]"
2020-12-19,London,404,25.699999999999999289,2909,322,"[{'age': '0_to_5', 'rate': 55.5, 'value': 411}, {'age': '85+', 'rate': 4015.0, 'value': 5891}, {'age': '65_to_84', 'rate': 1436.8, 'value': 13111}, {'age': '18_to_64', 'rate': 260.0, 'value': 15151}, {'age': '6_to_17', 'rate': 31.6, 'value': 405}]"
2020-12-18,London,357,23.899999999999998579,2726,311,"[{'age': '0_to_5', 'rate': 54.9, 'value': 406}, {'age': '85+', 'rate': 3974.8, 'value': 5832}, {'age': '65_to_84', 'rate': 1419.7, 'value': 12955}, {'age': '18_to_64', 'rate': 256.9, 'value': 14971}, {'age': '6_to_17', 'rate': 31.3, 'value': 401}]"
