date,areaName,admissions,admissionsRollingRate,patients,patientsMv,cumAdmissionsByAge
2021-11-02,Midlands,,,1357,173,[]
2021-11-01,Midlands,,,1398,170,[]
2021-10-31,Midlands,146,10.1,1370,161,"[{'age': '6_to_17', 'rate': 67.2, 'value': 1040}, {'age': '85+', 'rate': 7476.4, 'value': 19647}, {'age': '65_to_84', 'rate': 2251.1, 'value': 39791}, {'age': '18_to_64', 'rate': 571.0, 'value': 36249}, {'age': '0_to_5', 'rate': 130.2, 'value': 955}]"
2021-10-30,Midlands,139,10.0,1313,162,"[{'age': '6_to_17', 'rate': 67.1, 'value': 1038}, {'age': '85+', 'rate': 7466.9, 'value': 19622}, {'age': '65_to_84', 'rate': 2248.1, 'value': 39738}, {'age': '18_to_64', 'rate': 570.0, 'value': 36185}, {'age': '0_to_5', 'rate': 130.0, 'value': 953}]"
2021-10-29,Midlands,143,9.9,1336,163,"[{'age': '6_to_17', 'rate': 66.9, 'value': 1034}, {'age': '85+', 'rate': 7461.6, 'value': 19608}, {'age': '65_to_84', 'rate': 2244.8, 'value': 39679}, {'age': '18_to_64', 'rate': 569.1, 'value': 36125}, {'age': '0_to_5', 'rate': 129.7, 'value': 951}]"
2021-10-28,Midlands,173,9.9,1310,163,"[{'age': '6_to_17', 'rate': 66.7, 'value': 1032}, {'age': '85+', 'rate': 7455.5, 'value': 19592}, {'age': '65_to_84', 'rate': 2241.0, 'value': 39612}, {'age': '18_to_64', 'rate': 568.2, 'value': 36068}, {'age': '0_to_5', 'rate': 129.6, 'value': 950}]"
2021-10-27,Midlands,173,9.9,1320,165,"[{'age': '6_to_17', 'rate': 66.4, 'value': 1027}, {'age': '85+', 'rate': 7446.4, 'value': 19568}, {'age': '65_to_84', 'rate': 2236.7, 'value': 39535}, {'age': '18_to_64', 'rate': 567.2, 'value': 36005}, {'age': '0_to_5', 'rate': 129.0, 'value': 946}]"
2021-10-26,Midlands,165,9.9,1331,165,"[{'age': '6_to_17', 'rate': 66.2, 'value': 1024}, {'age': '85+', 'rate': 7436.1, 'value': 19541}, {'age': '65_to_84', 'rate': 2232.1, 'value': 39455}, {'age': '18_to_64', 'rate': 566.2, 'value': 35944}, {'age': '0_to_5', 'rate': 128.7, 'value': 944}]"
2021-10-25,Midlands,140,10.1,1331,162,"[{'age': '6_to_17', 'rate': 66.0, 'value': 1021}, {'age': '85+', 'rate': 7428.1, 'value': 19520}, {'age': '65_to_84', 'rate': 2228.4, 'value': 39389}, {'age': '18_to_64', 'rate': 565.1, 'value': 35872}, {'age': '0_to_5', 'rate': 128.3, 'value': 941}]"
2021-10-24,Midlands,131,10.2,1308,162,"[{'age': '6_to_17', 'rate': 65.9, 'value': 1019}, {'age': '85+', 'rate': 7424.7, 'value': 19511}, {'age': '65_to_84', 'rate': 2225.0, 'value': 39329}, {'age': '18_to_64', 'rate': 564.0, 'value': 35807}, {'age': '0_to_5', 'rate': 127.8, 'value': 937}]"
2021-10-23,Midlands,129,10.3,1291,161,"[{'age': '6_to_17', 'rate': 65.6, 'value': 1014}, {'age': '85+', 'rate': 7418.2, 'value': 19494}, {'age': '65_to_84', 'rate': 2221.6, 'value': 39269}, {'age': '18_to_64', 'rate': 563.3, 'value': 35761}, {'age': '0_to_5', 'rate': 127.4, 'value': 934}]"
2021-10-22,Midlands,149,10.5,1289,153,"[{'age': '6_to_17', 'rate': 65.3, 'value': 1010}, {'age': '85+', 'rate': 7411.7, 'value': 19477}, {'age': '65_to_84', 'rate': 2218.4, 'value': 39213}, {'age': '18_to_64', 'rate': 562.5, 'value': 35710}, {'age': '0_to_5', 'rate': 127.2, 'value': 933}]"
2021-10-21,Midlands,173,10.7,1253,148,"[{'age': '6_to_17', 'rate': 65.0, 'value': 1005}, {'age': '85+', 'rate': 7404.9, 'value': 19459}, {'age': '65_to_84', 'rate': 2214.5, 'value': 39144}, {'age': '18_to_64', 'rate': 561.6, 'value': 35655}, {'age': '0_to_5', 'rate': 127.0, 'value': 931}]"
2021-10-20,Midlands,170,10.4,1263,140,"[{'age': '6_to_17', 'rate': 64.9, 'value': 1003}, {'age': '85+', 'rate': 7395.8, 'value': 19435}, {'age': '65_to_84', 'rate': 2210.6, 'value': 39074}, {'age': '18_to_64', 'rate': 560.4, 'value': 35578}, {'age': '0_to_5', 'rate': 127.0, 'value': 931}]"
2021-10-19,Midlands,188,10.1,1219,139,"[{'age': '6_to_17', 'rate': 64.5, 'value': 997}, {'age': '85+', 'rate': 7384.7, 'value': 19406}, {'age': '65_to_84', 'rate': 2207.2, 'value': 39014}, {'age': '18_to_64', 'rate': 559.3, 'value': 35507}, {'age': '0_to_5', 'rate': 126.4, 'value': 927}]"
2021-10-18,Midlands,148,9.7,1198,139,"[{'age': '6_to_17', 'rate': 64.1, 'value': 992}, {'age': '85+', 'rate': 7375.6, 'value': 19382}, {'age': '65_to_84', 'rate': 2203.1, 'value': 38941}, {'age': '18_to_64', 'rate': 558.1, 'value': 35427}, {'age': '0_to_5', 'rate': 125.6, 'value': 921}]"
2021-10-17,Midlands,137,9.8,1161,143,"[{'age': '6_to_17', 'rate': 63.8, 'value': 987}, {'age': '85+', 'rate': 7366.5, 'value': 19358}, {'age': '65_to_84', 'rate': 2200.1, 'value': 38888}, {'age': '18_to_64', 'rate': 557.0, 'value': 35363}, {'age': '0_to_5', 'rate': 125.3, 'value': 919}]"
2021-10-16,Midlands,159,9.6,1119,136,"[{'age': '6_to_17', 'rate': 63.8, 'value': 986}, {'age': '85+', 'rate': 7357.7, 'value': 19335}, {'age': '65_to_84', 'rate': 2196.9, 'value': 38832}, {'age': '18_to_64', 'rate': 556.2, 'value': 35310}, {'age': '0_to_5', 'rate': 124.8, 'value': 915}]"
2021-10-15,Midlands,163,9.3,1099,129,"[{'age': '6_to_17', 'rate': 63.5, 'value': 982}, {'age': '85+', 'rate': 7348.6, 'value': 19311}, {'age': '65_to_84', 'rate': 2193.4, 'value': 38771}, {'age': '18_to_64', 'rate': 555.2, 'value': 35247}, {'age': '0_to_5', 'rate': 123.8, 'value': 908}]"
2021-10-14,Midlands,142,9.0,1075,133,"[{'age': '6_to_17', 'rate': 62.8, 'value': 972}, {'age': '85+', 'rate': 7338.3, 'value': 19284}, {'age': '65_to_84', 'rate': 2190.4, 'value': 38718}, {'age': '18_to_64', 'rate': 554.1, 'value': 35179}, {'age': '0_to_5', 'rate': 123.1, 'value': 903}]"
2021-10-13,Midlands,138,8.9,1086,131,"[{'age': '6_to_17', 'rate': 62.5, 'value': 967}, {'age': '85+', 'rate': 7330.3, 'value': 19263}, {'age': '65_to_84', 'rate': 2187.4, 'value': 38664}, {'age': '18_to_64', 'rate': 553.2, 'value': 35119}, {'age': '0_to_5', 'rate': 122.9, 'value': 901}]"
2021-10-12,Midlands,149,8.8,1086,129,"[{'age': '6_to_17', 'rate': 62.1, 'value': 960}, {'age': '85+', 'rate': 7323.8, 'value': 19246}, {'age': '65_to_84', 'rate': 2184.5, 'value': 38613}, {'age': '18_to_64', 'rate': 552.3, 'value': 35059}, {'age': '0_to_5', 'rate': 122.5, 'value': 898}]"
2021-10-11,Midlands,154,8.6,1073,127,"[{'age': '6_to_17', 'rate': 61.7, 'value': 954}, {'age': '85+', 'rate': 7314.3, 'value': 19221}, {'age': '65_to_84', 'rate': 2181.5, 'value': 38560}, {'age': '18_to_64', 'rate': 551.3, 'value': 34998}, {'age': '0_to_5', 'rate': 121.9, 'value': 894}]"
2021-10-10,Midlands,116,8.3,1040,118,"[{'age': '6_to_17', 'rate': 61.6, 'value': 952}, {'age': '85+', 'rate': 7308.2, 'value': 19205}, {'age': '65_to_84', 'rate': 2177.5, 'value': 38490}, {'age': '18_to_64', 'rate': 550.3, 'value': 34935}, {'age': '0_to_5', 'rate': 121.5, 'value': 891}]"
2021-10-09,Midlands,132,8.4,991,120,"[{'age': '6_to_17', 'rate': 61.4, 'value': 950}, {'age': '85+', 'rate': 7301.8, 'value': 19188}, {'age': '65_to_84', 'rate': 2175.1, 'value': 38446}, {'age': '18_to_64', 'rate': 549.5, 'value': 34882}, {'age': '0_to_5', 'rate': 121.5, 'value': 891}]"
2021-10-08,Midlands,128,8.1,1008,132,"[{'age': '6_to_17', 'rate': 61.2, 'value': 946}, {'age': '85+', 'rate': 7294.9, 'value': 19170}, {'age': '65_to_84', 'rate': 2172.3, 'value': 38397}, {'age': '18_to_64', 'rate': 548.5, 'value': 34823}, {'age': '0_to_5', 'rate': 121.2, 'value': 889}]"
2021-10-07,Midlands,135,8.1,1027,132,"[{'age': '6_to_17', 'rate': 60.9, 'value': 942}, {'age': '85+', 'rate': 7288.1, 'value': 19152}, {'age': '65_to_84', 'rate': 2169.2, 'value': 38343}, {'age': '18_to_64', 'rate': 547.8, 'value': 34775}, {'age': '0_to_5', 'rate': 120.7, 'value': 885}]"
2021-10-06,Midlands,119,7.9,1042,133,"[{'age': '6_to_17', 'rate': 60.8, 'value': 940}, {'age': '85+', 'rate': 7280.4, 'value': 19132}, {'age': '65_to_84', 'rate': 2166.1, 'value': 38288}, {'age': '18_to_64', 'rate': 546.9, 'value': 34720}, {'age': '0_to_5', 'rate': 120.3, 'value': 882}]"
2021-10-05,Midlands,128,8.0,1029,137,"[{'age': '6_to_17', 'rate': 60.6, 'value': 937}, {'age': '85+', 'rate': 7274.0, 'value': 19115}, {'age': '65_to_84', 'rate': 2163.5, 'value': 38241}, {'age': '18_to_64', 'rate': 546.2, 'value': 34672}, {'age': '0_to_5', 'rate': 119.7, 'value': 878}]"
