date,areaName,admissions,admissionsRollingRate,patients,patientsMv,cumAdmissionsByAge
2021-03-27,North West,,,632,75,
2021-03-26,North West,,,678,79,
2021-03-25,North West,49,5.2000000000000001776,693,82,"[{'age': '85+', 'rate': 7369.2, 'value': 11899}, {'age': '18_to_64', 'rate': 486.0, 'value': 20528}, {'age': '6_to_17', 'rate': 33.4, 'value': 331}, {'age': '0_to_5', 'rate': 71.2, 'value': 362}, {'age': '65_to_84', 'rate': 2354.8, 'value': 26538}]"
2021-03-24,North West,48,5.2000000000000001776,723,83,"[{'age': '85+', 'rate': 7366.1, 'value': 11894}, {'age': '18_to_64', 'rate': 485.5, 'value': 20505}, {'age': '6_to_17', 'rate': 33.2, 'value': 329}, {'age': '0_to_5', 'rate': 71.0, 'value': 361}, {'age': '65_to_84', 'rate': 2353.2, 'value': 26520}]"
2021-03-23,North West,54,5.4000000000000003553,749,85,"[{'age': '85+', 'rate': 7361.8, 'value': 11887}, {'age': '18_to_64', 'rate': 485.0, 'value': 20485}, {'age': '6_to_17', 'rate': 33.2, 'value': 329}, {'age': '0_to_5', 'rate': 71.0, 'value': 361}, {'age': '65_to_84', 'rate': 2351.5, 'value': 26501}]"
2021-03-22,North West,59,5.4000000000000003553,787,86,"[{'age': '85+', 'rate': 7356.2, 'value': 11878}, {'age': '18_to_64', 'rate': 484.4, 'value': 20460}, {'age': '6_to_17', 'rate': 33.1, 'value': 328}, {'age': '0_to_5', 'rate': 70.4, 'value': 358}, {'age': '65_to_84', 'rate': 2350.2, 'value': 26487}]"
2021-03-21,North West,44,5.5,766,82,"[{'age': '85+', 'rate': 7351.3, 'value': 11870}, {'age': '18_to_64', 'rate': 483.9, 'value': 20436}, {'age': '6_to_17', 'rate': 32.9, 'value': 327}, {'age': '0_to_5', 'rate': 70.4, 'value': 358}, {'age': '65_to_84', 'rate': 2347.9, 'value': 26461}]"
2021-03-20,North West,66,5.7999999999999998224,779,89,"[{'age': '85+', 'rate': 7348.2, 'value': 11865}, {'age': '18_to_64', 'rate': 483.2, 'value': 20410}, {'age': '6_to_17', 'rate': 32.9, 'value': 327}, {'age': '0_to_5', 'rate': 70.2, 'value': 357}, {'age': '65_to_84', 'rate': 2346.9, 'value': 26449}]"
2021-03-19,North West,43,6,819,90,"[{'age': '85+', 'rate': 7342.6, 'value': 11856}, {'age': '18_to_64', 'rate': 482.5, 'value': 20379}, {'age': '6_to_17', 'rate': 32.5, 'value': 323}, {'age': '0_to_5', 'rate': 69.8, 'value': 355}, {'age': '65_to_84', 'rate': 2345.1, 'value': 26429}]"
2021-03-18,North West,50,6.2000000000000001776,847,90,"[{'age': '85+', 'rate': 7337.0, 'value': 11847}, {'age': '18_to_64', 'rate': 482.0, 'value': 20359}, {'age': '6_to_17', 'rate': 32.2, 'value': 320}, {'age': '0_to_5', 'rate': 69.8, 'value': 355}, {'age': '65_to_84', 'rate': 2344.1, 'value': 26418}]"
2021-03-17,North West,61,6.2000000000000001776,911,102,"[{'age': '85+', 'rate': 7333.9, 'value': 11842}, {'age': '18_to_64', 'rate': 481.5, 'value': 20338}, {'age': '6_to_17', 'rate': 31.9, 'value': 317}, {'age': '0_to_5', 'rate': 69.8, 'value': 355}, {'age': '65_to_84', 'rate': 2342.3, 'value': 26397}]"
2021-03-16,North West,55,6.5999999999999996447,952,106,"[{'age': '85+', 'rate': 7330.2, 'value': 11836}, {'age': '18_to_64', 'rate': 481.0, 'value': 20317}, {'age': '6_to_17', 'rate': 31.8, 'value': 316}, {'age': '0_to_5', 'rate': 69.8, 'value': 355}, {'age': '65_to_84', 'rate': 2339.4, 'value': 26365}]"
2021-03-15,North West,70,6.9000000000000003553,992,115,"[{'age': '85+', 'rate': 7324.6, 'value': 11827}, {'age': '18_to_64', 'rate': 480.4, 'value': 20291}, {'age': '6_to_17', 'rate': 31.7, 'value': 315}, {'age': '0_to_5', 'rate': 69.4, 'value': 353}, {'age': '65_to_84', 'rate': 2337.9, 'value': 26348}]"
2021-03-14,North West,63,7.2000000000000001776,1002,119,"[{'age': '85+', 'rate': 7317.8, 'value': 11816}, {'age': '18_to_64', 'rate': 479.7, 'value': 20261}, {'age': '6_to_17', 'rate': 31.5, 'value': 313}, {'age': '0_to_5', 'rate': 69.4, 'value': 353}, {'age': '65_to_84', 'rate': 2335.7, 'value': 26323}]"
2021-03-13,North West,79,7.4000000000000003553,986,125,"[{'age': '85+', 'rate': 7311.0, 'value': 11805}, {'age': '18_to_64', 'rate': 479.1, 'value': 20236}, {'age': '6_to_17', 'rate': 31.3, 'value': 311}, {'age': '0_to_5', 'rate': 69.4, 'value': 353}, {'age': '65_to_84', 'rate': 2333.7, 'value': 26301}]"
2021-03-12,North West,54,7.5999999999999996447,1040,128,"[{'age': '85+', 'rate': 7304.2, 'value': 11794}, {'age': '18_to_64', 'rate': 478.1, 'value': 20195}, {'age': '6_to_17', 'rate': 31.1, 'value': 309}, {'age': '0_to_5', 'rate': 69.4, 'value': 353}, {'age': '65_to_84', 'rate': 2331.5, 'value': 26276}]"
2021-03-11,North West,55,7.9000000000000003553,1080,136,"[{'age': '85+', 'rate': 7301.1, 'value': 11789}, {'age': '18_to_64', 'rate': 477.2, 'value': 20156}, {'age': '6_to_17', 'rate': 31.0, 'value': 308}, {'age': '0_to_5', 'rate': 69.4, 'value': 353}, {'age': '65_to_84', 'rate': 2330.7, 'value': 26267}]"
2021-03-10,North West,85,8.3000000000000007105,1118,138,"[{'age': '85+', 'rate': 7298.0, 'value': 11784}, {'age': '18_to_64', 'rate': 476.4, 'value': 20122}, {'age': '6_to_17', 'rate': 30.9, 'value': 307}, {'age': '0_to_5', 'rate': 69.4, 'value': 353}, {'age': '65_to_84', 'rate': 2329.4, 'value': 26252}]"
2021-03-09,North West,75,8.1999999999999992895,1167,141,"[{'age': '85+', 'rate': 7289.9, 'value': 11771}, {'age': '18_to_64', 'rate': 475.4, 'value': 20079}, {'age': '6_to_17', 'rate': 30.8, 'value': 306}, {'age': '0_to_5', 'rate': 69.2, 'value': 352}, {'age': '65_to_84', 'rate': 2327.0, 'value': 26225}]"
2021-03-08,North West,95,8.5,1218,145,"[{'age': '85+', 'rate': 7280.0, 'value': 11755}, {'age': '18_to_64', 'rate': 474.7, 'value': 20051}, {'age': '6_to_17', 'rate': 30.7, 'value': 305}, {'age': '0_to_5', 'rate': 69.0, 'value': 351}, {'age': '65_to_84', 'rate': 2324.4, 'value': 26196}]"
2021-03-07,North West,74,8.6999999999999992895,1211,149,"[{'age': '85+', 'rate': 7273.8, 'value': 11745}, {'age': '18_to_64', 'rate': 473.6, 'value': 20001}, {'age': '6_to_17', 'rate': 30.6, 'value': 304}, {'age': '0_to_5', 'rate': 68.6, 'value': 349}, {'age': '65_to_84', 'rate': 2321.6, 'value': 26164}]"
2021-03-06,North West,92,9.4000000000000003553,1222,152,"[{'age': '85+', 'rate': 7268.3, 'value': 11736}, {'age': '18_to_64', 'rate': 472.7, 'value': 19965}, {'age': '6_to_17', 'rate': 30.6, 'value': 304}, {'age': '0_to_5', 'rate': 68.6, 'value': 349}, {'age': '65_to_84', 'rate': 2319.0, 'value': 26135}]"
2021-03-05,North West,79,9.4000000000000003553,1311,158,"[{'age': '85+', 'rate': 7257.1, 'value': 11718}, {'age': '18_to_64', 'rate': 471.7, 'value': 19922}, {'age': '6_to_17', 'rate': 30.5, 'value': 303}, {'age': '0_to_5', 'rate': 68.2, 'value': 347}, {'age': '65_to_84', 'rate': 2316.5, 'value': 26107}]"
