date,areaName,cases,casesRollingRate,casesAgeDemographics,casesReported,deaths,deathsRollingRate,deathsAgeDemographics,deathsReported,admissions,admissionsRollingRate,patients,patientsMv,cumAdmissionsByAge
2021-03-31,United Kingdom,,,[],4052,,,,43,,,,,
2021-03-30,United Kingdom,,,[],4040,10,,,56,,,,568,
2021-03-29,United Kingdom,3380,,[],4654,17,,,23,,,4176,583,
2021-03-28,United Kingdom,4793,,[],3862,23,,,19,,,4168,582,
2021-03-27,United Kingdom,3422,,[],4715,25,,,58,268,3.5,4420,594,
2021-03-26,United Kingdom,4402,55.399999999999998579,"[{'age': '00_04', 'cases': 117, 'rollingRate': 24.8, 'rollingSum': 955}, {'age': '05_09', 'cases': 243, 'rollingRate': 51.9, 'rollingSum': 2152}, {'age': '10_14', 'cases': 394, 'rollingRate': 103.4, 'rollingSum': 4087}, {'age': '15_19', 'cases': 308, 'rollingRate': 84.3, 'rollingSum': 3084}, {'age': '20_24', 'cases': 246, 'rollingRate': 49.9, 'rollingSum': 2072}, {'age': '25_29', 'cases': 289, 'rollingRate': 54.8, 'rollingSum': 2475}, {'age': '30_34', 'cases': 321, 'rollingRate': 63.0, 'rollingSum': 2832}, {'age': '35_39', 'cases': 391, 'rollingRate': 66.5, 'rollingSum': 2921}, {'age': '40_44', 'cases': 309, 'rollingRate': 62.4, 'rollingSum': 2508}, {'age': '45_49', 'cases': 230, 'rollingRate': 46.9, 'rollingSum': 2065}, {'age': '50_54', 'cases': 254, 'rollingRate': 39.0, 'rollingSum': 1818}, {'age': '55_59', 'cases': 188, 'rollingRate': 33.3, 'rollingSum': 1465}, {'age': '60_64', 'cases': 118, 'rollingRate': 23.9, 'rollingSum': 899}, {'age': '65_69', 'cases': 67, 'rollingRate': 12.4, 'rollingSum': 419}, {'age': '70_74', 'cases': 41, 'rollingRate': 10.1, 'rollingSum': 336}, {'age': '75_79', 'cases': 36, 'rollingRate': 10.0, 'rollingSum': 232}, {'age': '80_84', 'cases': 20, 'rollingRate': 12.0, 'rollingSum': 206}, {'age': '85_89', 'cases': 21, 'rollingRate': 16.5, 'rollingSum': 172}, {'age': '90+', 'cases': 20, 'rollingRate': 25.9, 'rollingSum': 157}, {'age': 'unassigned', 'cases': 16, 'rollingRate': None, 'rollingSum': 64}, {'age': '60+', 'cases': 323, 'rollingRate': 15.0, 'rollingSum': 2421}, {'age': '00_59', 'cases': 3306, 'rollingRate': 56.2, 'rollingSum': 28498}]",6187,35,0.5,,70,293,3.6000000000000000888,4470,615,
2021-03-25,United Kingdom,5403,56.399999999999998579,"[{'age': '00_04', 'cases': 134, 'rollingRate': 26.0, 'rollingSum': 1002}, {'age': '05_09', 'cases': 322, 'rollingRate': 53.5, 'rollingSum': 2219}, {'age': '10_14', 'cases': 599, 'rollingRate': 104.6, 'rollingSum': 4137}, {'age': '15_19', 'cases': 458, 'rollingRate': 84.9, 'rollingSum': 3106}, {'age': '20_24', 'cases': 329, 'rollingRate': 52.0, 'rollingSum': 2159}, {'age': '25_29', 'cases': 338, 'rollingRate': 56.3, 'rollingSum': 2541}, {'age': '30_34', 'cases': 398, 'rollingRate': 65.0, 'rollingSum': 2921}, {'age': '35_39', 'cases': 400, 'rollingRate': 66.8, 'rollingSum': 2936}, {'age': '40_44', 'cases': 315, 'rollingRate': 63.4, 'rollingSum': 2550}, {'age': '45_49', 'cases': 292, 'rollingRate': 48.2, 'rollingSum': 2122}, {'age': '50_54', 'cases': 265, 'rollingRate': 39.2, 'rollingSum': 1829}, {'age': '55_59', 'cases': 210, 'rollingRate': 33.4, 'rollingSum': 1472}, {'age': '60_64', 'cases': 131, 'rollingRate': 24.4, 'rollingSum': 915}, {'age': '65_69', 'cases': 63, 'rollingRate': 12.4, 'rollingSum': 419}, {'age': '70_74', 'cases': 55, 'rollingRate': 10.6, 'rollingSum': 351}, {'age': '75_79', 'cases': 40, 'rollingRate': 10.4, 'rollingSum': 241}, {'age': '80_84', 'cases': 28, 'rollingRate': 12.5, 'rollingSum': 214}, {'age': '85_89', 'cases': 27, 'rollingRate': 17.5, 'rollingSum': 182}, {'age': '90+', 'cases': 28, 'rollingRate': 26.1, 'rollingSum': 158}, {'age': 'unassigned', 'cases': 18, 'rollingRate': None, 'rollingSum': 52}, {'age': '60+', 'cases': 372, 'rollingRate': 15.4, 'rollingSum': 2480}, {'age': '00_59', 'cases': 4078, 'rollingRate': 57.3, 'rollingSum': 29046}]",6397,39,0.60000000000000008882,,63,338,3.7000000000000001776,4570,630,
2021-03-24,United Kingdom,5929,56.700000000000002842,"[{'age': '00_04', 'cases': 131, 'rollingRate': 26.5, 'rollingSum': 1021}, {'age': '05_09', 'cases': 326, 'rollingRate': 53.5, 'rollingSum': 2222}, {'age': '10_14', 'cases': 765, 'rollingRate': 102.3, 'rollingSum': 4044}, {'age': '15_19', 'cases': 567, 'rollingRate': 83.7, 'rollingSum': 3060}, {'age': '20_24', 'cases': 350, 'rollingRate': 53.0, 'rollingSum': 2201}, {'age': '25_29', 'cases': 395, 'rollingRate': 57.3, 'rollingSum': 2587}, {'age': '30_34', 'cases': 451, 'rollingRate': 66.0, 'rollingSum': 2966}, {'age': '35_39', 'cases': 464, 'rollingRate': 68.3, 'rollingSum': 3003}, {'age': '40_44', 'cases': 391, 'rollingRate': 64.4, 'rollingSum': 2589}, {'age': '45_49', 'cases': 338, 'rollingRate': 48.8, 'rollingSum': 2150}, {'age': '50_54', 'cases': 263, 'rollingRate': 39.8, 'rollingSum': 1853}, {'age': '55_59', 'cases': 227, 'rollingRate': 33.8, 'rollingSum': 1491}, {'age': '60_64', 'cases': 125, 'rollingRate': 25.2, 'rollingSum': 948}, {'age': '65_69', 'cases': 64, 'rollingRate': 12.4, 'rollingSum': 419}, {'age': '70_74', 'cases': 46, 'rollingRate': 10.3, 'rollingSum': 343}, {'age': '75_79', 'cases': 28, 'rollingRate': 10.5, 'rollingSum': 245}, {'age': '80_84', 'cases': 33, 'rollingRate': 12.7, 'rollingSum': 218}, {'age': '85_89', 'cases': 30, 'rollingRate': 17.5, 'rollingSum': 182}, {'age': '90+', 'cases': 25, 'rollingRate': 24.1, 'rollingSum': 146}, {'age': 'unassigned', 'cases': 11, 'rollingRate': None, 'rollingSum': 45}, {'age': '60+', 'cases': 351, 'rollingRate': 15.5, 'rollingSum': 2501}, {'age': '00_59', 'cases': 4679, 'rollingRate': 57.7, 'rollingSum': 29232}]",5605,33,0.60000000000000008882,,98,344,3.8999999999999999112,4867,682,
2021-03-23,United Kingdom,5254,56.700000000000002842,"[{'age': '00_04', 'cases': 141, 'rollingRate': 27.8, 'rollingSum': 1074}, {'age': '05_09', 'cases': 309, 'rollingRate': 54.5, 'rollingSum': 2260}, {'age': '10_14', 'cases': 482, 'rollingRate': 97.4, 'rollingSum': 3851}, {'age': '15_19', 'cases': 408, 'rollingRate': 80.5, 'rollingSum': 2945}, {'age': '20_24', 'cases': 295, 'rollingRate': 53.3, 'rollingSum': 2213}, {'age': '25_29', 'cases': 393, 'rollingRate': 57.7, 'rollingSum': 2604}, {'age': '30_34', 'cases': 413, 'rollingRate': 65.7, 'rollingSum': 2955}, {'age': '35_39', 'cases': 419, 'rollingRate': 68.6, 'rollingSum': 3015}, {'age': '40_44', 'cases': 382, 'rollingRate': 64.1, 'rollingSum': 2578}, {'age': '45_49', 'cases': 308, 'rollingRate': 49.2, 'rollingSum': 2168}, {'age': '50_54', 'cases': 273, 'rollingRate': 40.8, 'rollingSum': 1900}, {'age': '55_59', 'cases': 195, 'rollingRate': 34.4, 'rollingSum': 1516}, {'age': '60_64', 'cases': 117, 'rollingRate': 25.8, 'rollingSum': 970}, {'age': '65_69', 'cases': 49, 'rollingRate': 13.4, 'rollingSum': 450}, {'age': '70_74', 'cases': 43, 'rollingRate': 10.4, 'rollingSum': 344}, {'age': '75_79', 'cases': 24, 'rollingRate': 10.9, 'rollingSum': 254}, {'age': '80_84', 'cases': 29, 'rollingRate': 12.9, 'rollingSum': 222}, {'age': '85_89', 'cases': 25, 'rollingRate': 17.4, 'rollingSum': 181}, {'age': '90+', 'cases': 22, 'rollingRate': 24.3, 'rollingSum': 147}, {'age': 'unassigned', 'cases': 7, 'rollingRate': None, 'rollingSum': 42}, {'age': '60+', 'cases': 309, 'rollingRate': 15.9, 'rollingSum': 2568}, {'age': '00_59', 'cases': 4025, 'rollingRate': 57.5, 'rollingSum': 29121}]",5379,49,0.70000000000000006661,,112,363,4.0999999999999996447,5141,711,
2021-03-22,United Kingdom,6406,57.5,"[{'age': '00_04', 'cases': 166, 'rollingRate': 28.4, 'rollingSum': 1097}, {'age': '05_09', 'cases': 381, 'rollingRate': 55.5, 'rollingSum': 2304}, {'age': '10_14', 'cases': 698, 'rollingRate': 96.5, 'rollingSum': 3817}, {'age': '15_19', 'cases': 507, 'rollingRate': 81.5, 'rollingSum': 2980}, {'age': '20_24', 'cases': 365, 'rollingRate': 54.9, 'rollingSum': 2279}, {'age': '25_29', 'cases': 451, 'rollingRate': 58.4, 'rollingSum': 2637}, {'age': '30_34', 'cases': 473, 'rollingRate': 67.4, 'rollingSum': 3032}, {'age': '35_39', 'cases': 498, 'rollingRate': 69.7, 'rollingSum': 3065}, {'age': '40_44', 'cases': 456, 'rollingRate': 63.9, 'rollingSum': 2569}, {'age': '45_49', 'cases': 336, 'rollingRate': 49.2, 'rollingSum': 2165}, {'age': '50_54', 'cases': 309, 'rollingRate': 41.8, 'rollingSum': 1946}, {'age': '55_59', 'cases': 263, 'rollingRate': 35.7, 'rollingSum': 1572}, {'age': '60_64', 'cases': 155, 'rollingRate': 27.1, 'rollingSum': 1018}, {'age': '65_69', 'cases': 75, 'rollingRate': 14.5, 'rollingSum': 490}, {'age': '70_74', 'cases': 54, 'rollingRate': 10.6, 'rollingSum': 353}, {'age': '75_79', 'cases': 48, 'rollingRate': 12.1, 'rollingSum': 282}, {'age': '80_84', 'cases': 40, 'rollingRate': 13.4, 'rollingSum': 230}, {'age': '85_89', 'cases': 31, 'rollingRate': 19.6, 'rollingSum': 204}, {'age': '90+', 'cases': 33, 'rollingRate': 24.6, 'rollingSum': 149}, {'age': 'unassigned', 'cases': 7, 'rollingRate': None, 'rollingSum': 39}, {'age': '60+', 'cases': 436, 'rollingRate': 16.9, 'rollingSum': 2726}, {'age': '00_59', 'cases': 4910, 'rollingRate': 58.2, 'rollingSum': 29502}]",5342,60,0.70000000000000006661,,17,359,4.2000000000000001776,5423,748,
