date,areaName,cases,casesRollingRate,casesAgeDemographics,casesReported,deaths,deathsRollingRate,deathsAgeDemographics,deathsReported
2021-12-28,West Midlands,,,[],11702,,,[],2
2021-12-27,West Midlands,2827,,[],7461,0,,[],16
2021-12-26,West Midlands,7289,,[],8968,2,,[],0
2021-12-25,West Midlands,5100,,[],9786,1,,[],0
2021-12-24,West Midlands,8674,,[],6799,7,,[],10
2021-12-23,West Midlands,9427,855.5,"[{'age': '00_04', 'cases': 166, 'rollingSum': 989, 'rollingRate': 283.2}, {'age': '00_59', 'cases': 8563, 'rollingSum': 46964, 'rollingRate': 1038.7}, {'age': '05_09', 'cases': 362, 'rollingSum': 2504, 'rollingRate': 658.6}, {'age': '10_14', 'cases': 476, 'rollingSum': 3170, 'rollingRate': 855.5}, {'age': '15_19', 'cases': 686, 'rollingSum': 3854, 'rollingRate': 1121.0}, {'age': '20_24', 'cases': 1052, 'rollingSum': 6153, 'rollingRate': 1586.6}, {'age': '25_29', 'cases': 1147, 'rollingSum': 6189, 'rollingRate': 1506.9}, {'age': '30_34', 'cases': 1100, 'rollingSum': 5810, 'rollingRate': 1471.1}, {'age': '35_39', 'cases': 933, 'rollingSum': 4902, 'rollingRate': 1312.8}, {'age': '40_44', 'cases': 814, 'rollingSum': 4201, 'rollingRate': 1217.6}, {'age': '45_49', 'cases': 721, 'rollingSum': 3501, 'rollingRate': 939.4}, {'age': '50_54', 'cases': 655, 'rollingSum': 3229, 'rollingRate': 799.6}, {'age': '55_59', 'cases': 451, 'rollingSum': 2462, 'rollingRate': 632.8}, {'age': '60+', 'cases': 861, 'rollingSum': 4021, 'rollingRate': 279.1}, {'age': '60_64', 'cases': 306, 'rollingSum': 1516, 'rollingRate': 462.7}, {'age': '65_69', 'cases': 190, 'rollingSum': 870, 'rollingRate': 296.8}, {'age': '70_74', 'cases': 129, 'rollingSum': 601, 'rollingRate': 205.4}, {'age': '75_79', 'cases': 112, 'rollingSum': 488, 'rollingRate': 219.1}, {'age': '80_84', 'cases': 64, 'rollingSum': 260, 'rollingRate': 164.9}, {'age': '85_89', 'cases': 40, 'rollingSum': 194, 'rollingRate': 207.3}, {'age': '90+', 'cases': 20, 'rollingSum': 92, 'rollingRate': 172.2}, {'age': 'unassigned', 'cases': 3, 'rollingSum': 17, 'rollingRate': None}]",9921,5,1.1,"[{'age': '00_04', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '00_59', 'deaths': 1, 'rollingSum': 12, 'rollingRate': 0.3}, {'age': '05_09', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '10_14', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '15_19', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '20_24', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '25_29', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '30_34', 'deaths': 0, 'rollingSum': 2, 'rollingRate': 0.5}, {'age': '35_39', 'deaths': 0, 'rollingSum': 1, 'rollingRate': 0.3}, {'age': '40_44', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '45_49', 'deaths': 0, 'rollingSum': 2, 'rollingRate': 0.5}, {'age': '50_54', 'deaths': 0, 'rollingSum': 2, 'rollingRate': 0.5}, {'age': '55_59', 'deaths': 1, 'rollingSum': 5, 'rollingRate': 1.3}, {'age': '60+', 'deaths': 4, 'rollingSum': 52, 'rollingRate': 3.6}, {'age': '60_64', 'deaths': 0, 'rollingSum': 6, 'rollingRate': 1.8}, {'age': '65_69', 'deaths': 2, 'rollingSum': 10, 'rollingRate': 3.4}, {'age': '70_74', 'deaths': 0, 'rollingSum': 6, 'rollingRate': 2.1}, {'age': '75_79', 'deaths': 1, 'rollingSum': 3, 'rollingRate': 1.3}, {'age': '80_84', 'deaths': 0, 'rollingSum': 9, 'rollingRate': 5.7}, {'age': '85_89', 'deaths': 0, 'rollingSum': 9, 'rollingRate': 9.6}, {'age': '90+', 'deaths': 1, 'rollingSum': 9, 'rollingRate': 16.8}]",19
2021-12-22,West Midlands,10062,794.8,"[{'age': '00_04', 'cases': 190, 'rollingSum': 939, 'rollingRate': 268.9}, {'age': '00_59', 'cases': 9271, 'rollingSum': 43836, 'rollingRate': 969.5}, {'age': '05_09', 'cases': 402, 'rollingSum': 2528, 'rollingRate': 664.9}, {'age': '10_14', 'cases': 510, 'rollingSum': 3137, 'rollingRate': 846.6}, {'age': '15_19', 'cases': 703, 'rollingSum': 3637, 'rollingRate': 1057.9}, {'age': '20_24', 'cases': 1241, 'rollingSum': 5847, 'rollingRate': 1507.7}, {'age': '25_29', 'cases': 1271, 'rollingSum': 5693, 'rollingRate': 1386.1}, {'age': '30_34', 'cases': 1211, 'rollingSum': 5360, 'rollingRate': 1357.2}, {'age': '35_39', 'cases': 1036, 'rollingSum': 4517, 'rollingRate': 1209.7}, {'age': '40_44', 'cases': 912, 'rollingSum': 3855, 'rollingRate': 1117.3}, {'age': '45_49', 'cases': 688, 'rollingSum': 3165, 'rollingRate': 849.3}, {'age': '50_54', 'cases': 628, 'rollingSum': 2906, 'rollingRate': 719.6}, {'age': '55_59', 'cases': 479, 'rollingSum': 2252, 'rollingRate': 578.8}, {'age': '60+', 'cases': 788, 'rollingSum': 3535, 'rollingRate': 245.4}, {'age': '60_64', 'cases': 315, 'rollingSum': 1364, 'rollingRate': 416.3}, {'age': '65_69', 'cases': 167, 'rollingSum': 767, 'rollingRate': 261.7}, {'age': '70_74', 'cases': 113, 'rollingSum': 537, 'rollingRate': 183.6}, {'age': '75_79', 'cases': 89, 'rollingSum': 410, 'rollingRate': 184.1}, {'age': '80_84', 'cases': 53, 'rollingSum': 212, 'rollingRate': 134.5}, {'age': '85_89', 'cases': 36, 'rollingSum': 166, 'rollingRate': 177.4}, {'age': '90+', 'cases': 15, 'rollingSum': 79, 'rollingRate': 147.8}, {'age': 'unassigned', 'cases': 3, 'rollingSum': 17, 'rollingRate': None}]",6924,12,1.2,"[{'age': '00_04', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '00_59', 'deaths': 1, 'rollingSum': 13, 'rollingRate': 0.3}, {'age': '05_09', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '10_14', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '15_19', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '20_24', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '25_29', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '30_34', 'deaths': 0, 'rollingSum': 2, 'rollingRate': 0.5}, {'age': '35_39', 'deaths': 0, 'rollingSum': 1, 'rollingRate': 0.3}, {'age': '40_44', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '45_49', 'deaths': 1, 'rollingSum': 2, 'rollingRate': 0.5}, {'age': '50_54', 'deaths': 0, 'rollingSum': 3, 'rollingRate': 0.7}, {'age': '55_59', 'deaths': 0, 'rollingSum': 5, 'rollingRate': 1.3}, {'age': '60+', 'deaths': 11, 'rollingSum': 56, 'rollingRate': 3.9}, {'age': '60_64', 'deaths': 2, 'rollingSum': 7, 'rollingRate': 2.1}, {'age': '65_69', 'deaths': 1, 'rollingSum': 9, 'rollingRate': 3.1}, {'age': '70_74', 'deaths': 2, 'rollingSum': 9, 'rollingRate': 3.1}, {'age': '75_79', 'deaths': 0, 'rollingSum': 2, 'rollingRate': 0.9}, {'age': '80_84', 'deaths': 2, 'rollingSum': 11, 'rollingRate': 7.0}, {'age': '85_89', 'deaths': 3, 'rollingSum': 10, 'rollingRate': 10.7}, {'age': '90+', 'deaths': 1, 'rollingSum': 8, 'rollingRate': 15.0}]",16
2021-12-21,West Midlands,8797,733.2,"[{'age': '00_04', 'cases': 161, 'rollingSum': 890, 'rollingRate': 254.8}, {'age': '00_59', 'cases': 8100, 'rollingSum': 40589, 'rollingRate': 897.7}, {'age': '05_09', 'cases': 384, 'rollingSum': 2584, 'rollingRate': 679.6}, {'age': '10_14', 'cases': 536, 'rollingSum': 3067, 'rollingRate': 827.7}, {'age': '15_19', 'cases': 611, 'rollingSum': 3429, 'rollingRate': 997.4}, {'age': '20_24', 'cases': 1034, 'rollingSum': 5415, 'rollingRate': 1396.3}, {'age': '25_29', 'cases': 1118, 'rollingSum': 5146, 'rollingRate': 1252.9}, {'age': '30_34', 'cases': 1037, 'rollingSum': 4852, 'rollingRate': 1228.5}, {'age': '35_39', 'cases': 817, 'rollingSum': 4165, 'rollingRate': 1115.4}, {'age': '40_44', 'cases': 707, 'rollingSum': 3479, 'rollingRate': 1008.4}, {'age': '45_49', 'cases': 610, 'rollingSum': 2899, 'rollingRate': 777.9}, {'age': '50_54', 'cases': 622, 'rollingSum': 2643, 'rollingRate': 654.5}, {'age': '55_59', 'cases': 463, 'rollingSum': 2020, 'rollingRate': 519.2}, {'age': '60+', 'cases': 694, 'rollingSum': 3106, 'rollingRate': 215.6}, {'age': '60_64', 'cases': 256, 'rollingSum': 1196, 'rollingRate': 365.0}, {'age': '65_69', 'cases': 138, 'rollingSum': 683, 'rollingRate': 233.0}, {'age': '70_74', 'cases': 106, 'rollingSum': 476, 'rollingRate': 162.7}, {'age': '75_79', 'cases': 76, 'rollingSum': 357, 'rollingRate': 160.3}, {'age': '80_84', 'cases': 49, 'rollingSum': 181, 'rollingRate': 114.8}, {'age': '85_89', 'cases': 46, 'rollingSum': 140, 'rollingRate': 149.6}, {'age': '90+', 'cases': 23, 'rollingSum': 73, 'rollingRate': 136.6}, {'age': 'unassigned', 'cases': 3, 'rollingSum': 15, 'rollingRate': None}]",6416,6,1.2,"[{'age': '00_04', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '00_59', 'deaths': 2, 'rollingSum': 15, 'rollingRate': 0.3}, {'age': '05_09', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '10_14', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '15_19', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '20_24', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '25_29', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '30_34', 'deaths': 0, 'rollingSum': 2, 'rollingRate': 0.5}, {'age': '35_39', 'deaths': 0, 'rollingSum': 1, 'rollingRate': 0.3}, {'age': '40_44', 'deaths': 0, 'rollingSum': 1, 'rollingRate': 0.3}, {'age': '45_49', 'deaths': 0, 'rollingSum': 1, 'rollingRate': 0.3}, {'age': '50_54', 'deaths': 2, 'rollingSum': 4, 'rollingRate': 1.0}, {'age': '55_59', 'deaths': 0, 'rollingSum': 6, 'rollingRate': 1.5}, {'age': '60+', 'deaths': 4, 'rollingSum': 57, 'rollingRate': 4.0}, {'age': '60_64', 'deaths': 1, 'rollingSum': 7, 'rollingRate': 2.1}, {'age': '65_69', 'deaths': 1, 'rollingSum': 12, 'rollingRate': 4.1}, {'age': '70_74', 'deaths': 0, 'rollingSum': 7, 'rollingRate': 2.4}, {'age': '75_79', 'deaths': 0, 'rollingSum': 3, 'rollingRate': 1.3}, {'age': '80_84', 'deaths': 2, 'rollingSum': 10, 'rollingRate': 6.3}, {'age': '85_89', 'deaths': 0, 'rollingSum': 8, 'rollingRate': 8.5}, {'age': '90+', 'deaths': 0, 'rollingSum': 10, 'rollingRate': 18.7}]",12
2021-12-20,West Midlands,7688,675.2,"[{'age': '00_04', 'cases': 124, 'rollingSum': 853, 'rollingRate': 244.2}, {'age': '00_59', 'cases': 7056, 'rollingSum': 37568, 'rollingRate': 830.9}, {'age': '05_09', 'cases': 399, 'rollingSum': 2675, 'rollingRate': 703.5}, {'age': '10_14', 'cases': 494, 'rollingSum': 3042, 'rollingRate': 821.0}, {'age': '15_19', 'cases': 566, 'rollingSum': 3252, 'rollingRate': 945.9}, {'age': '20_24', 'cases': 956, 'rollingSum': 4980, 'rollingRate': 1284.2}, {'age': '25_29', 'cases': 951, 'rollingSum': 4614, 'rollingRate': 1123.4}, {'age': '30_34', 'cases': 860, 'rollingSum': 4348, 'rollingRate': 1100.9}, {'age': '35_39', 'cases': 709, 'rollingSum': 3894, 'rollingRate': 1042.9}, {'age': '40_44', 'cases': 612, 'rollingSum': 3236, 'rollingRate': 937.9}, {'age': '45_49', 'cases': 545, 'rollingSum': 2638, 'rollingRate': 707.9}, {'age': '50_54', 'cases': 476, 'rollingSum': 2275, 'rollingRate': 563.3}, {'age': '55_59', 'cases': 364, 'rollingSum': 1761, 'rollingRate': 452.6}, {'age': '60+', 'cases': 627, 'rollingSum': 2675, 'rollingRate': 185.7}, {'age': '60_64', 'cases': 225, 'rollingSum': 1051, 'rollingRate': 320.8}, {'age': '65_69', 'cases': 148, 'rollingSum': 605, 'rollingRate': 206.4}, {'age': '70_74', 'cases': 97, 'rollingSum': 409, 'rollingRate': 139.8}, {'age': '75_79', 'cases': 69, 'rollingSum': 304, 'rollingRate': 136.5}, {'age': '80_84', 'cases': 43, 'rollingSum': 145, 'rollingRate': 92.0}, {'age': '85_89', 'cases': 26, 'rollingSum': 103, 'rollingRate': 110.1}, {'age': '90+', 'cases': 19, 'rollingSum': 58, 'rollingRate': 108.5}, {'age': 'unassigned', 'cases': 5, 'rollingSum': 14, 'rollingRate': None}]",4654,12,1.2,"[{'age': '00_04', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '00_59', 'deaths': 3, 'rollingSum': 13, 'rollingRate': 0.3}, {'age': '05_09', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '10_14', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '15_19', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '20_24', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '25_29', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '30_34', 'deaths': 2, 'rollingSum': 2, 'rollingRate': 0.5}, {'age': '35_39', 'deaths': 0, 'rollingSum': 1, 'rollingRate': 0.3}, {'age': '40_44', 'deaths': 0, 'rollingSum': 1, 'rollingRate': 0.3}, {'age': '45_49', 'deaths': 0, 'rollingSum': 1, 'rollingRate': 0.3}, {'age': '50_54', 'deaths': 0, 'rollingSum': 2, 'rollingRate': 0.5}, {'age': '55_59', 'deaths': 1, 'rollingSum': 6, 'rollingRate': 1.5}, {'age': '60+', 'deaths': 9, 'rollingSum': 59, 'rollingRate': 4.1}, {'age': '60_64', 'deaths': 0, 'rollingSum': 6, 'rollingRate': 1.8}, {'age': '65_69', 'deaths': 1, 'rollingSum': 11, 'rollingRate': 3.8}, {'age': '70_74', 'deaths': 2, 'rollingSum': 9, 'rollingRate': 3.1}, {'age': '75_79', 'deaths': 1, 'rollingSum': 4, 'rollingRate': 1.8}, {'age': '80_84', 'deaths': 2, 'rollingSum': 10, 'rollingRate': 6.3}, {'age': '85_89', 'deaths': 1, 'rollingSum': 8, 'rollingRate': 8.5}, {'age': '90+', 'deaths': 2, 'rollingSum': 11, 'rollingRate': 20.6}]",3
2021-12-19,West Midlands,4986,632.6,"[{'age': '00_04', 'cases': 105, 'rollingSum': 913, 'rollingRate': 261.4}, {'age': '00_59', 'cases': 4610, 'rollingSum': 35408, 'rollingRate': 783.1}, {'age': '05_09', 'cases': 312, 'rollingSum': 2815, 'rollingRate': 740.4}, {'age': '10_14', 'cases': 395, 'rollingSum': 3113, 'rollingRate': 840.1}, {'age': '15_19', 'cases': 438, 'rollingSum': 3113, 'rollingRate': 905.5}, {'age': '20_24', 'cases': 575, 'rollingSum': 4492, 'rollingRate': 1158.3}, {'age': '25_29', 'cases': 589, 'rollingSum': 4133, 'rollingRate': 1006.3}, {'age': '30_34', 'cases': 513, 'rollingSum': 3970, 'rollingRate': 1005.2}, {'age': '35_39', 'cases': 462, 'rollingSum': 3614, 'rollingRate': 967.9}, {'age': '40_44', 'cases': 380, 'rollingSum': 3091, 'rollingRate': 895.9}, {'age': '45_49', 'cases': 316, 'rollingSum': 2424, 'rollingRate': 650.4}, {'age': '50_54', 'cases': 267, 'rollingSum': 2127, 'rollingRate': 526.7}, {'age': '55_59', 'cases': 258, 'rollingSum': 1603, 'rollingRate': 412.0}, {'age': '60+', 'cases': 373, 'rollingSum': 2294, 'rollingRate': 159.2}, {'age': '60_64', 'cases': 152, 'rollingSum': 931, 'rollingRate': 284.1}, {'age': '65_69', 'cases': 79, 'rollingSum': 508, 'rollingRate': 173.3}, {'age': '70_74', 'cases': 50, 'rollingSum': 345, 'rollingRate': 117.9}, {'age': '75_79', 'cases': 55, 'rollingSum': 263, 'rollingRate': 118.1}, {'age': '80_84', 'cases': 14, 'rollingSum': 110, 'rollingRate': 69.8}, {'age': '85_89', 'cases': 17, 'rollingSum': 89, 'rollingRate': 95.1}, {'age': '90+', 'cases': 6, 'rollingSum': 48, 'rollingRate': 89.8}, {'age': 'unassigned', 'cases': 3, 'rollingSum': 14, 'rollingRate': None}]",4309,11,1.1,"[{'age': '00_04', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '00_59', 'deaths': 2, 'rollingSum': 11, 'rollingRate': 0.2}, {'age': '05_09', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '10_14', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '15_19', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '20_24', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '25_29', 'deaths': 0, 'rollingSum': 1, 'rollingRate': 0.2}, {'age': '30_34', 'deaths': 0, 'rollingSum': 0, 'rollingRate': 0.0}, {'age': '35_39', 'deaths': 0, 'rollingSum': 1, 'rollingRate': 0.3}, {'age': '40_44', 'deaths': 0, 'rollingSum': 1, 'rollingRate': 0.3}, {'age': '45_49', 'deaths': 0, 'rollingSum': 1, 'rollingRate': 0.3}, {'age': '50_54', 'deaths': 0, 'rollingSum': 2, 'rollingRate': 0.5}, {'age': '55_59', 'deaths': 2, 'rollingSum': 5, 'rollingRate': 1.3}, {'age': '60+', 'deaths': 9, 'rollingSum': 56, 'rollingRate': 3.9}, {'age': '60_64', 'deaths': 1, 'rollingSum': 6, 'rollingRate': 1.8}, {'age': '65_69', 'deaths': 2, 'rollingSum': 10, 'rollingRate': 3.4}, {'age': '70_74', 'deaths': 1, 'rollingSum': 7, 'rollingRate': 2.4}, {'age': '75_79', 'deaths': 0, 'rollingSum': 4, 'rollingRate': 1.8}, {'age': '80_84', 'deaths': 0, 'rollingSum': 9, 'rollingRate': 5.7}, {'age': '85_89', 'deaths': 3, 'rollingSum': 9, 'rollingRate': 9.6}, {'age': '90+', 'deaths': 2, 'rollingSum': 11, 'rollingRate': 20.6}]",5
