date,areaName,cases,casesRollingRate,casesAgeDemographics,casesReported,deaths,deathsRollingRate,deathsAgeDemographics,deathsReported
2021-06-15,Yorkshire and The Humber,,,[],674,,,[],0
2021-06-14,Yorkshire and The Humber,327,,[],635,0,,[],0
2021-06-13,Yorkshire and The Humber,528,,[],553,0,,[],0
2021-06-12,Yorkshire and The Humber,529,,[],700,0,,[],3
2021-06-11,Yorkshire and The Humber,646,,[],741,2,,[],1
2021-06-10,Yorkshire and The Humber,668,77.1,"[{'age': '00_04', 'cases': 13.0, 'rollingSum': 75.0, 'rollingRate': 23.6}, {'age': '00_59', 'cases': 643.0, 'rollingSum': 4060.0, 'rollingRate': 97.7}, {'age': '05_09', 'cases': 20.0, 'rollingSum': 181.0, 'rollingRate': 52.9}, {'age': '10_14', 'cases': 41.0, 'rollingSum': 340.0, 'rollingRate': 103.3}, {'age': '15_19', 'cases': 100.0, 'rollingSum': 591.0, 'rollingRate': 189.1}, {'age': '20_24', 'cases': 161.0, 'rollingSum': 869.0, 'rollingRate': 234.4}, {'age': '25_29', 'cases': 87.0, 'rollingSum': 543.0, 'rollingRate': 144.2}, {'age': '30_34', 'cases': 53.0, 'rollingSum': 349.0, 'rollingRate': 98.6}, {'age': '35_39', 'cases': 52.0, 'rollingSum': 343.0, 'rollingRate': 100.4}, {'age': '40_44', 'cases': 32.0, 'rollingSum': 233.0, 'rollingRate': 75.3}, {'age': '45_49', 'cases': 31.0, 'rollingSum': 219.0, 'rollingRate': 61.2}, {'age': '50_54', 'cases': 36.0, 'rollingSum': 200.0, 'rollingRate': 52.6}, {'age': '55_59', 'cases': 17.0, 'rollingSum': 117.0, 'rollingRate': 32.2}, {'age': '60+', 'cases': 25.0, 'rollingSum': 181.0, 'rollingRate': 13.4}, {'age': '60_64', 'cases': 9.0, 'rollingSum': 74.0, 'rollingRate': 23.5}, {'age': '65_69', 'cases': 6.0, 'rollingSum': 41.0, 'rollingRate': 14.5}, {'age': '70_74', 'cases': 4.0, 'rollingSum': 31.0, 'rollingRate': 11.1}, {'age': '75_79', 'cases': 2.0, 'rollingSum': 12.0, 'rollingRate': 6.2}, {'age': '80_84', 'cases': 2.0, 'rollingSum': 10.0, 'rollingRate': 6.9}, {'age': '85_89', 'cases': 0.0, 'rollingSum': 7.0, 'rollingRate': 8.2}, {'age': '90+', 'cases': 2.0, 'rollingSum': 6.0, 'rollingRate': 12.7}, {'age': 'unassigned', 'cases': 0.0, 'rollingSum': 1.0, 'rollingRate': None}]",607,0,0.0,[],0
2021-06-09,Yorkshire and The Humber,728,74.2,"[{'age': '00_04', 'cases': 9.0, 'rollingSum': 68.0, 'rollingRate': 21.4}, {'age': '00_59', 'cases': 695.0, 'rollingSum': 3902.0, 'rollingRate': 93.9}, {'age': '05_09', 'cases': 24.0, 'rollingSum': 177.0, 'rollingRate': 51.8}, {'age': '10_14', 'cases': 61.0, 'rollingSum': 353.0, 'rollingRate': 107.2}, {'age': '15_19', 'cases': 92.0, 'rollingSum': 558.0, 'rollingRate': 178.6}, {'age': '20_24', 'cases': 182.0, 'rollingSum': 790.0, 'rollingRate': 213.1}, {'age': '25_29', 'cases': 107.0, 'rollingSum': 529.0, 'rollingRate': 140.5}, {'age': '30_34', 'cases': 64.0, 'rollingSum': 349.0, 'rollingRate': 98.6}, {'age': '35_39', 'cases': 52.0, 'rollingSum': 335.0, 'rollingRate': 98.1}, {'age': '40_44', 'cases': 36.0, 'rollingSum': 240.0, 'rollingRate': 77.6}, {'age': '45_49', 'cases': 27.0, 'rollingSum': 212.0, 'rollingRate': 59.3}, {'age': '50_54', 'cases': 29.0, 'rollingSum': 181.0, 'rollingRate': 47.6}, {'age': '55_59', 'cases': 12.0, 'rollingSum': 110.0, 'rollingRate': 30.2}, {'age': '60+', 'cases': 32.0, 'rollingSum': 178.0, 'rollingRate': 13.2}, {'age': '60_64', 'cases': 18.0, 'rollingSum': 74.0, 'rollingRate': 23.5}, {'age': '65_69', 'cases': 6.0, 'rollingSum': 38.0, 'rollingRate': 13.4}, {'age': '70_74', 'cases': 2.0, 'rollingSum': 30.0, 'rollingRate': 10.7}, {'age': '75_79', 'cases': 1.0, 'rollingSum': 13.0, 'rollingRate': 6.8}, {'age': '80_84', 'cases': 3.0, 'rollingSum': 10.0, 'rollingRate': 6.9}, {'age': '85_89', 'cases': 1.0, 'rollingSum': 7.0, 'rollingRate': 8.2}, {'age': '90+', 'cases': 1.0, 'rollingSum': 6.0, 'rollingRate': 12.7}, {'age': 'unassigned', 'cases': 1.0, 'rollingSum': 2.0, 'rollingRate': None}]",707,0,0.0,[],2
2021-06-08,Yorkshire and The Humber,690,69.0,"[{'age': '00_04', 'cases': 15.0, 'rollingSum': 68.0, 'rollingRate': 21.4}, {'age': '00_59', 'cases': 665.0, 'rollingSum': 3628.0, 'rollingRate': 87.3}, {'age': '05_09', 'cases': 27.0, 'rollingSum': 161.0, 'rollingRate': 47.1}, {'age': '10_14', 'cases': 54.0, 'rollingSum': 333.0, 'rollingRate': 101.2}, {'age': '15_19', 'cases': 96.0, 'rollingSum': 529.0, 'rollingRate': 169.3}, {'age': '20_24', 'cases': 160.0, 'rollingSum': 691.0, 'rollingRate': 186.4}, {'age': '25_29', 'cases': 81.0, 'rollingSum': 481.0, 'rollingRate': 127.7}, {'age': '30_34', 'cases': 55.0, 'rollingSum': 333.0, 'rollingRate': 94.0}, {'age': '35_39', 'cases': 59.0, 'rollingSum': 316.0, 'rollingRate': 92.5}, {'age': '40_44', 'cases': 35.0, 'rollingSum': 229.0, 'rollingRate': 74.0}, {'age': '45_49', 'cases': 35.0, 'rollingSum': 206.0, 'rollingRate': 57.6}, {'age': '50_54', 'cases': 28.0, 'rollingSum': 170.0, 'rollingRate': 44.7}, {'age': '55_59', 'cases': 20.0, 'rollingSum': 111.0, 'rollingRate': 30.5}, {'age': '60+', 'cases': 25.0, 'rollingSum': 167.0, 'rollingRate': 12.4}, {'age': '60_64', 'cases': 5.0, 'rollingSum': 61.0, 'rollingRate': 19.4}, {'age': '65_69', 'cases': 8.0, 'rollingSum': 40.0, 'rollingRate': 14.1}, {'age': '70_74', 'cases': 6.0, 'rollingSum': 32.0, 'rollingRate': 11.4}, {'age': '75_79', 'cases': 2.0, 'rollingSum': 13.0, 'rollingRate': 6.8}, {'age': '80_84', 'cases': 0.0, 'rollingSum': 10.0, 'rollingRate': 6.9}, {'age': '85_89', 'cases': 3.0, 'rollingSum': 6.0, 'rollingRate': 7.0}, {'age': '90+', 'cases': 1.0, 'rollingSum': 5.0, 'rollingRate': 10.6}, {'age': 'unassigned', 'cases': 0.0, 'rollingSum': 2.0, 'rollingRate': None}]",541,1,0.1,"[{'age': '00_04', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '00_59', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '05_09', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '10_14', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '15_19', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '20_24', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '25_29', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '30_34', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '35_39', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '40_44', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '45_49', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '50_54', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '55_59', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '60+', 'deaths': 1.0, 'rollingSum': 4.0, 'rollingRate': 0.3}, {'age': '60_64', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '65_69', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '70_74', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '75_79', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '80_84', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '85_89', 'deaths': 0.0, 'rollingSum': 2.0, 'rollingRate': 2.3}, {'age': '90+', 'deaths': 1.0, 'rollingSum': 2.0, 'rollingRate': 4.2}]",0
2021-06-07,Yorkshire and The Humber,722,64.8,"[{'age': '00_04', 'cases': 15.0, 'rollingSum': 62.0, 'rollingRate': 19.5}, {'age': '00_59', 'cases': 692.0, 'rollingSum': 3392.0, 'rollingRate': 81.6}, {'age': '05_09', 'cases': 55.0, 'rollingSum': 154.0, 'rollingRate': 45.0}, {'age': '10_14', 'cases': 48.0, 'rollingSum': 307.0, 'rollingRate': 93.3}, {'age': '15_19', 'cases': 111.0, 'rollingSum': 499.0, 'rollingRate': 159.7}, {'age': '20_24', 'cases': 113.0, 'rollingSum': 606.0, 'rollingRate': 163.5}, {'age': '25_29', 'cases': 85.0, 'rollingSum': 450.0, 'rollingRate': 119.5}, {'age': '30_34', 'cases': 65.0, 'rollingSum': 333.0, 'rollingRate': 94.0}, {'age': '35_39', 'cases': 66.0, 'rollingSum': 290.0, 'rollingRate': 84.9}, {'age': '40_44', 'cases': 43.0, 'rollingSum': 230.0, 'rollingRate': 74.4}, {'age': '45_49', 'cases': 32.0, 'rollingSum': 199.0, 'rollingRate': 55.6}, {'age': '50_54', 'cases': 37.0, 'rollingSum': 158.0, 'rollingRate': 41.6}, {'age': '55_59', 'cases': 22.0, 'rollingSum': 104.0, 'rollingRate': 28.6}, {'age': '60+', 'cases': 30.0, 'rollingSum': 170.0, 'rollingRate': 12.6}, {'age': '60_64', 'cases': 9.0, 'rollingSum': 64.0, 'rollingRate': 20.4}, {'age': '65_69', 'cases': 7.0, 'rollingSum': 35.0, 'rollingRate': 12.4}, {'age': '70_74', 'cases': 6.0, 'rollingSum': 31.0, 'rollingRate': 11.1}, {'age': '75_79', 'cases': 2.0, 'rollingSum': 13.0, 'rollingRate': 6.8}, {'age': '80_84', 'cases': 3.0, 'rollingSum': 18.0, 'rollingRate': 12.4}, {'age': '85_89', 'cases': 3.0, 'rollingSum': 5.0, 'rollingRate': 5.9}, {'age': '90+', 'cases': 0.0, 'rollingSum': 4.0, 'rollingRate': 8.5}, {'age': 'unassigned', 'cases': 0.0, 'rollingSum': 2.0, 'rollingRate': None}]",557,0,0.1,"[{'age': '00_04', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '00_59', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '05_09', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '10_14', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '15_19', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '20_24', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '25_29', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '30_34', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '35_39', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '40_44', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '45_49', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '50_54', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '55_59', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '60+', 'deaths': 0.0, 'rollingSum': 3.0, 'rollingRate': 0.2}, {'age': '60_64', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '65_69', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '70_74', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '75_79', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '80_84', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '85_89', 'deaths': 0.0, 'rollingSum': 2.0, 'rollingRate': 2.3}, {'age': '90+', 'deaths': 0.0, 'rollingSum': 1.0, 'rollingRate': 2.1}]",0
2021-06-06,Yorkshire and The Humber,488,57.4,"[{'age': '00_04', 'cases': 7.0, 'rollingSum': 53.0, 'rollingRate': 16.7}, {'age': '00_59', 'cases': 468.0, 'rollingSum': 2992.0, 'rollingRate': 72.0}, {'age': '05_09', 'cases': 15.0, 'rollingSum': 112.0, 'rollingRate': 32.8}, {'age': '10_14', 'cases': 53.0, 'rollingSum': 293.0, 'rollingRate': 89.0}, {'age': '15_19', 'cases': 66.0, 'rollingSum': 448.0, 'rollingRate': 143.4}, {'age': '20_24', 'cases': 93.0, 'rollingSum': 530.0, 'rollingRate': 143.0}, {'age': '25_29', 'cases': 69.0, 'rollingSum': 390.0, 'rollingRate': 103.6}, {'age': '30_34', 'cases': 34.0, 'rollingSum': 291.0, 'rollingRate': 82.2}, {'age': '35_39', 'cases': 27.0, 'rollingSum': 248.0, 'rollingRate': 72.6}, {'age': '40_44', 'cases': 27.0, 'rollingSum': 213.0, 'rollingRate': 68.9}, {'age': '45_49', 'cases': 33.0, 'rollingSum': 186.0, 'rollingRate': 52.0}, {'age': '50_54', 'cases': 28.0, 'rollingSum': 134.0, 'rollingRate': 35.2}, {'age': '55_59', 'cases': 16.0, 'rollingSum': 94.0, 'rollingRate': 25.8}, {'age': '60+', 'cases': 20.0, 'rollingSum': 163.0, 'rollingRate': 12.1}, {'age': '60_64', 'cases': 8.0, 'rollingSum': 61.0, 'rollingRate': 19.4}, {'age': '65_69', 'cases': 5.0, 'rollingSum': 35.0, 'rollingRate': 12.4}, {'age': '70_74', 'cases': 3.0, 'rollingSum': 29.0, 'rollingRate': 10.4}, {'age': '75_79', 'cases': 3.0, 'rollingSum': 13.0, 'rollingRate': 6.8}, {'age': '80_84', 'cases': 0.0, 'rollingSum': 16.0, 'rollingRate': 11.0}, {'age': '85_89', 'cases': 0.0, 'rollingSum': 5.0, 'rollingRate': 5.9}, {'age': '90+', 'cases': 1.0, 'rollingSum': 4.0, 'rollingRate': 8.5}, {'age': 'unassigned', 'cases': 0.0, 'rollingSum': 2.0, 'rollingRate': None}]",494,0,0.1,"[{'age': '00_04', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '00_59', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '05_09', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '10_14', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '15_19', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '20_24', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '25_29', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '30_34', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '35_39', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '40_44', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '45_49', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '50_54', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '55_59', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '60+', 'deaths': 0.0, 'rollingSum': 3.0, 'rollingRate': 0.2}, {'age': '60_64', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '65_69', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '70_74', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '75_79', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '80_84', 'deaths': 0.0, 'rollingSum': 0.0, 'rollingRate': 0.0}, {'age': '85_89', 'deaths': 0.0, 'rollingSum': 2.0, 'rollingRate': 2.3}, {'age': '90+', 'deaths': 0.0, 'rollingSum': 1.0, 'rollingRate': 2.1}]",2
