date,areaName,newDeaths28DaysByDeathDateAgeDemographics
2020-12-28,Yorkshire and The Humber,"[{'age': '00_04', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '10_14', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '15_19', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '20_24', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '25_29', 'deaths': 0, 'rollingRate': 0.5, 'rollingSum': 2}, {'age': '30_34', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '35_39', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '40_44', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '45_49', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '50_54', 'deaths': 1, 'rollingRate': 0.8, 'rollingSum': 3}, {'age': '55_59', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '05_09', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '60_64', 'deaths': 0, 'rollingRate': 2.2, 'rollingSum': 7}, {'age': '65_69', 'deaths': 3, 'rollingRate': 6.0, 'rollingSum': 17}, {'age': '70_74', 'deaths': 2, 'rollingRate': 11.4, 'rollingSum': 32}, {'age': '75_79', 'deaths': 8, 'rollingRate': 17.2, 'rollingSum': 33}, {'age': '80_84', 'deaths': 10, 'rollingRate': 39.3, 'rollingSum': 57}, {'age': '85_89', 'deaths': 10, 'rollingRate': 63.4, 'rollingSum': 54}, {'age': '90+', 'deaths': 5, 'rollingRate': 95.6, 'rollingSum': 45}, {'age': '60+', 'deaths': 38, 'rollingRate': 18.2, 'rollingSum': 245}, {'age': '00_59', 'deaths': 1, 'rollingRate': 0.2, 'rollingSum': 8}]"
2020-12-27,Yorkshire and The Humber,"[{'age': '00_04', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '10_14', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '15_19', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '20_24', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '25_29', 'deaths': 0, 'rollingRate': 0.5, 'rollingSum': 2}, {'age': '30_34', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '35_39', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '40_44', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '45_49', 'deaths': 1, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '50_54', 'deaths': 1, 'rollingRate': 0.5, 'rollingSum': 2}, {'age': '55_59', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '05_09', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '60_64', 'deaths': 2, 'rollingRate': 2.2, 'rollingSum': 7}, {'age': '65_69', 'deaths': 1, 'rollingRate': 6.0, 'rollingSum': 17}, {'age': '70_74', 'deaths': 5, 'rollingRate': 11.8, 'rollingSum': 33}, {'age': '75_79', 'deaths': 6, 'rollingRate': 15.6, 'rollingSum': 30}, {'age': '80_84', 'deaths': 6, 'rollingRate': 36.6, 'rollingSum': 53}, {'age': '85_89', 'deaths': 7, 'rollingRate': 61.0, 'rollingSum': 52}, {'age': '90+', 'deaths': 6, 'rollingRate': 110.4, 'rollingSum': 52}, {'age': '60+', 'deaths': 33, 'rollingRate': 18.1, 'rollingSum': 244}, {'age': '00_59', 'deaths': 2, 'rollingRate': 0.2, 'rollingSum': 8}]"
2020-12-26,Yorkshire and The Humber,"[{'age': '00_04', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '10_14', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '15_19', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '20_24', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '25_29', 'deaths': 1, 'rollingRate': 0.5, 'rollingSum': 2}, {'age': '30_34', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '35_39', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '40_44', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '45_49', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '50_54', 'deaths': 0, 'rollingRate': 0.5, 'rollingSum': 2}, {'age': '55_59', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '05_09', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '60_64', 'deaths': 0, 'rollingRate': 1.6, 'rollingSum': 5}, {'age': '65_69', 'deaths': 0, 'rollingRate': 6.0, 'rollingSum': 17}, {'age': '70_74', 'deaths': 6, 'rollingRate': 10.4, 'rollingSum': 29}, {'age': '75_79', 'deaths': 4, 'rollingRate': 14.6, 'rollingSum': 28}, {'age': '80_84', 'deaths': 8, 'rollingRate': 40.7, 'rollingSum': 59}, {'age': '85_89', 'deaths': 7, 'rollingRate': 64.6, 'rollingSum': 55}, {'age': '90+', 'deaths': 12, 'rollingRate': 114.7, 'rollingSum': 54}, {'age': '60+', 'deaths': 37, 'rollingRate': 18.3, 'rollingSum': 247}, {'age': '00_59', 'deaths': 1, 'rollingRate': 0.2, 'rollingSum': 7}]"
2020-12-25,Yorkshire and The Humber,"[{'age': '00_04', 'deaths': 1, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '10_14', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '15_19', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '20_24', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '25_29', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '30_34', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '35_39', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '40_44', 'deaths': 1, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '45_49', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '50_54', 'deaths': 0, 'rollingRate': 0.8, 'rollingSum': 3}, {'age': '55_59', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '05_09', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '60_64', 'deaths': 1, 'rollingRate': 1.6, 'rollingSum': 5}, {'age': '65_69', 'deaths': 3, 'rollingRate': 6.7, 'rollingSum': 19}, {'age': '70_74', 'deaths': 4, 'rollingRate': 10.4, 'rollingSum': 29}, {'age': '75_79', 'deaths': 3, 'rollingRate': 15.1, 'rollingSum': 29}, {'age': '80_84', 'deaths': 12, 'rollingRate': 40.7, 'rollingSum': 59}, {'age': '85_89', 'deaths': 11, 'rollingRate': 62.2, 'rollingSum': 53}, {'age': '90+', 'deaths': 2, 'rollingRate': 106.2, 'rollingSum': 50}, {'age': '60+', 'deaths': 36, 'rollingRate': 18.1, 'rollingSum': 244}, {'age': '00_59', 'deaths': 2, 'rollingRate': 0.2, 'rollingSum': 7}]"
2020-12-24,Yorkshire and The Humber,"[{'age': '00_04', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '10_14', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '15_19', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '20_24', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '25_29', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '30_34', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '35_39', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '40_44', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '45_49', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '50_54', 'deaths': 0, 'rollingRate': 0.8, 'rollingSum': 3}, {'age': '55_59', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '05_09', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '60_64', 'deaths': 1, 'rollingRate': 1.6, 'rollingSum': 5}, {'age': '65_69', 'deaths': 4, 'rollingRate': 7.8, 'rollingSum': 22}, {'age': '70_74', 'deaths': 4, 'rollingRate': 10.0, 'rollingSum': 28}, {'age': '75_79', 'deaths': 1, 'rollingRate': 16.7, 'rollingSum': 32}, {'age': '80_84', 'deaths': 11, 'rollingRate': 42.1, 'rollingSum': 61}, {'age': '85_89', 'deaths': 5, 'rollingRate': 62.2, 'rollingSum': 53}, {'age': '90+', 'deaths': 5, 'rollingRate': 123.2, 'rollingSum': 58}, {'age': '60+', 'deaths': 31, 'rollingRate': 19.2, 'rollingSum': 259}, {'age': '00_59', 'deaths': 0, 'rollingRate': 0.1, 'rollingSum': 5}]"
2020-12-23,Yorkshire and The Humber,"[{'age': '00_04', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '10_14', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '15_19', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '20_24', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '25_29', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '30_34', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '35_39', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '40_44', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '45_49', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '50_54', 'deaths': 0, 'rollingRate': 0.8, 'rollingSum': 3}, {'age': '55_59', 'deaths': 0, 'rollingRate': 0.5, 'rollingSum': 2}, {'age': '05_09', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '60_64', 'deaths': 2, 'rollingRate': 1.3, 'rollingSum': 4}, {'age': '65_69', 'deaths': 4, 'rollingRate': 7.1, 'rollingSum': 20}, {'age': '70_74', 'deaths': 6, 'rollingRate': 10.0, 'rollingSum': 28}, {'age': '75_79', 'deaths': 6, 'rollingRate': 18.7, 'rollingSum': 36}, {'age': '80_84', 'deaths': 6, 'rollingRate': 38.6, 'rollingSum': 56}, {'age': '85_89', 'deaths': 5, 'rollingRate': 77.5, 'rollingSum': 66}, {'age': '90+', 'deaths': 6, 'rollingRate': 140.2, 'rollingSum': 66}, {'age': '60+', 'deaths': 35, 'rollingRate': 20.5, 'rollingSum': 276}, {'age': '00_59', 'deaths': 0, 'rollingRate': 0.2, 'rollingSum': 8}]"
2020-12-22,Yorkshire and The Humber,"[{'age': '00_04', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '10_14', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '15_19', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '20_24', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '25_29', 'deaths': 1, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '30_34', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '35_39', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '40_44', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '45_49', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '50_54', 'deaths': 1, 'rollingRate': 0.8, 'rollingSum': 3}, {'age': '55_59', 'deaths': 0, 'rollingRate': 0.8, 'rollingSum': 3}, {'age': '05_09', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '60_64', 'deaths': 1, 'rollingRate': 1.0, 'rollingSum': 3}, {'age': '65_69', 'deaths': 2, 'rollingRate': 5.6, 'rollingSum': 16}, {'age': '70_74', 'deaths': 5, 'rollingRate': 7.9, 'rollingSum': 22}, {'age': '75_79', 'deaths': 5, 'rollingRate': 17.2, 'rollingSum': 33}, {'age': '80_84', 'deaths': 4, 'rollingRate': 41.4, 'rollingSum': 60}, {'age': '85_89', 'deaths': 9, 'rollingRate': 85.7, 'rollingSum': 73}, {'age': '90+', 'deaths': 9, 'rollingRate': 148.7, 'rollingSum': 70}, {'age': '60+', 'deaths': 35, 'rollingRate': 20.6, 'rollingSum': 277}, {'age': '00_59', 'deaths': 2, 'rollingRate': 0.2, 'rollingSum': 9}]"
2020-12-21,Yorkshire and The Humber,"[{'age': '00_04', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '10_14', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '15_19', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '20_24', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '25_29', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '30_34', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '35_39', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '40_44', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '45_49', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '50_54', 'deaths': 0, 'rollingRate': 0.5, 'rollingSum': 2}, {'age': '55_59', 'deaths': 1, 'rollingRate': 0.8, 'rollingSum': 3}, {'age': '05_09', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '60_64', 'deaths': 0, 'rollingRate': 0.6000000000000001, 'rollingSum': 2}, {'age': '65_69', 'deaths': 3, 'rollingRate': 6.0, 'rollingSum': 17}, {'age': '70_74', 'deaths': 3, 'rollingRate': 6.8, 'rollingSum': 19}, {'age': '75_79', 'deaths': 5, 'rollingRate': 17.7, 'rollingSum': 34}, {'age': '80_84', 'deaths': 6, 'rollingRate': 42.1, 'rollingSum': 61}, {'age': '85_89', 'deaths': 8, 'rollingRate': 88.0, 'rollingSum': 75}, {'age': '90+', 'deaths': 12, 'rollingRate': 165.7, 'rollingSum': 78}, {'age': '60+', 'deaths': 37, 'rollingRate': 21.2, 'rollingSum': 286}, {'age': '00_59', 'deaths': 1, 'rollingRate': 0.2, 'rollingSum': 7}]"
2020-12-20,Yorkshire and The Humber,"[{'age': '00_04', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '10_14', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '15_19', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '20_24', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '25_29', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '30_34', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '35_39', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '40_44', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '45_49', 'deaths': 0, 'rollingRate': 0.6000000000000001, 'rollingSum': 2}, {'age': '50_54', 'deaths': 1, 'rollingRate': 0.8, 'rollingSum': 3}, {'age': '55_59', 'deaths': 0, 'rollingRate': 1.1, 'rollingSum': 4}, {'age': '05_09', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '60_64', 'deaths': 0, 'rollingRate': 0.6000000000000001, 'rollingSum': 2}, {'age': '65_69', 'deaths': 1, 'rollingRate': 5.3, 'rollingSum': 15}, {'age': '70_74', 'deaths': 1, 'rollingRate': 7.5, 'rollingSum': 21}, {'age': '75_79', 'deaths': 4, 'rollingRate': 17.7, 'rollingSum': 34}, {'age': '80_84', 'deaths': 12, 'rollingRate': 42.8, 'rollingSum': 62}, {'age': '85_89', 'deaths': 10, 'rollingRate': 90.4, 'rollingSum': 77}, {'age': '90+', 'deaths': 8, 'rollingRate': 159.3, 'rollingSum': 75}, {'age': '60+', 'deaths': 36, 'rollingRate': 21.2, 'rollingSum': 286}, {'age': '00_59', 'deaths': 1, 'rollingRate': 0.30000000000000004, 'rollingSum': 11}]"
2020-12-19,Yorkshire and The Humber,"[{'age': '00_04', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '10_14', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '15_19', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '20_24', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '25_29', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '30_34', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '35_39', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '40_44', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 1}, {'age': '45_49', 'deaths': 0, 'rollingRate': 0.6000000000000001, 'rollingSum': 2}, {'age': '50_54', 'deaths': 1, 'rollingRate': 0.5, 'rollingSum': 2}, {'age': '55_59', 'deaths': 0, 'rollingRate': 1.1, 'rollingSum': 4}, {'age': '05_09', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '60_64', 'deaths': 0, 'rollingRate': 1.0, 'rollingSum': 3}, {'age': '65_69', 'deaths': 2, 'rollingRate': 5.6, 'rollingSum': 16}, {'age': '70_74', 'deaths': 6, 'rollingRate': 9.3, 'rollingSum': 26}, {'age': '75_79', 'deaths': 5, 'rollingRate': 17.7, 'rollingSum': 34}, {'age': '80_84', 'deaths': 8, 'rollingRate': 36.6, 'rollingSum': 53}, {'age': '85_89', 'deaths': 5, 'rollingRate': 92.7, 'rollingSum': 79}, {'age': '90+', 'deaths': 8, 'rollingRate': 182.6, 'rollingSum': 86}, {'age': '60+', 'deaths': 34, 'rollingRate': 22.0, 'rollingSum': 297}, {'age': '00_59', 'deaths': 1, 'rollingRate': 0.2, 'rollingSum': 10}]"
