date,areaName,newDeaths28DaysByDeathDateAgeDemographics
2020-12-27,England,"[{'age': '00_04', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 9}, {'age': '10_14', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '15_19', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '20_24', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '25_29', 'deaths': 0, 'rollingRate': 0.1, 'rollingSum': 4}, {'age': '30_34', 'deaths': 0, 'rollingRate': 0.1, 'rollingSum': 3}, {'age': '35_39', 'deaths': 1, 'rollingRate': 0.2, 'rollingSum': 7}, {'age': '40_44', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 9}, {'age': '45_49', 'deaths': 4, 'rollingRate': 0.7000000000000001, 'rollingSum': 27}, {'age': '50_54', 'deaths': 7, 'rollingRate': 1.0, 'rollingSum': 39}, {'age': '55_59', 'deaths': 9, 'rollingRate': 1.9, 'rollingSum': 68}, {'age': '05_09', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '60_64', 'deaths': 12, 'rollingRate': 2.5, 'rollingSum': 78}, {'age': '65_69', 'deaths': 34, 'rollingRate': 7.6, 'rollingSum': 212}, {'age': '70_74', 'deaths': 41, 'rollingRate': 11.0, 'rollingSum': 306}, {'age': '75_79', 'deaths': 79, 'rollingRate': 22.3, 'rollingSum': 433}, {'age': '80_84', 'deaths': 92, 'rollingRate': 41.5, 'rollingSum': 597}, {'age': '85_89', 'deaths': 101, 'rollingRate': 74.3, 'rollingSum': 654}, {'age': '90+', 'deaths': 89, 'rollingRate': 126.8, 'rollingSum': 656}, {'age': '60+', 'deaths': 448, 'rollingRate': 21.8, 'rollingSum': 2936}, {'age': '00_59', 'deaths': 21, 'rollingRate': 0.4, 'rollingSum': 166}]"
2020-12-26,England,"[{'age': '00_04', 'deaths': 4, 'rollingRate': 0.30000000000000004, 'rollingSum': 11}, {'age': '10_14', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '15_19', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '20_24', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '25_29', 'deaths': 1, 'rollingRate': 0.1, 'rollingSum': 4}, {'age': '30_34', 'deaths': 0, 'rollingRate': 0.1, 'rollingSum': 3}, {'age': '35_39', 'deaths': 3, 'rollingRate': 0.2, 'rollingSum': 6}, {'age': '40_44', 'deaths': 4, 'rollingRate': 0.30000000000000004, 'rollingSum': 11}, {'age': '45_49', 'deaths': 5, 'rollingRate': 0.7000000000000001, 'rollingSum': 26}, {'age': '50_54', 'deaths': 6, 'rollingRate': 1.0, 'rollingSum': 38}, {'age': '55_59', 'deaths': 14, 'rollingRate': 1.9, 'rollingSum': 68}, {'age': '05_09', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '60_64', 'deaths': 13, 'rollingRate': 2.5, 'rollingSum': 79}, {'age': '65_69', 'deaths': 26, 'rollingRate': 7.1, 'rollingSum': 198}, {'age': '70_74', 'deaths': 45, 'rollingRate': 11.0, 'rollingSum': 307}, {'age': '75_79', 'deaths': 60, 'rollingRate': 20.9, 'rollingSum': 406}, {'age': '80_84', 'deaths': 96, 'rollingRate': 40.2, 'rollingSum': 579}, {'age': '85_89', 'deaths': 96, 'rollingRate': 74.1, 'rollingSum': 652}, {'age': '90+', 'deaths': 101, 'rollingRate': 126.8, 'rollingSum': 656}, {'age': '60+', 'deaths': 437, 'rollingRate': 21.4, 'rollingSum': 2877}, {'age': '00_59', 'deaths': 37, 'rollingRate': 0.4, 'rollingSum': 167}]"
2020-12-25,England,"[{'age': '00_04', 'deaths': 1, 'rollingRate': 0.30000000000000004, 'rollingSum': 9}, {'age': '10_14', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '15_19', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '20_24', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '25_29', 'deaths': 0, 'rollingRate': 0.1, 'rollingSum': 4}, {'age': '30_34', 'deaths': 2, 'rollingRate': 0.1, 'rollingSum': 4}, {'age': '35_39', 'deaths': 0, 'rollingRate': 0.1, 'rollingSum': 3}, {'age': '40_44', 'deaths': 1, 'rollingRate': 0.30000000000000004, 'rollingSum': 9}, {'age': '45_49', 'deaths': 3, 'rollingRate': 0.6000000000000001, 'rollingSum': 22}, {'age': '50_54', 'deaths': 4, 'rollingRate': 1.0, 'rollingSum': 39}, {'age': '55_59', 'deaths': 8, 'rollingRate': 1.6, 'rollingSum': 59}, {'age': '05_09', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '60_64', 'deaths': 9, 'rollingRate': 2.4, 'rollingSum': 75}, {'age': '65_69', 'deaths': 33, 'rollingRate': 7.3, 'rollingSum': 203}, {'age': '70_74', 'deaths': 44, 'rollingRate': 10.8, 'rollingSum': 299}, {'age': '75_79', 'deaths': 58, 'rollingRate': 19.9, 'rollingSum': 387}, {'age': '80_84', 'deaths': 93, 'rollingRate': 37.8, 'rollingSum': 545}, {'age': '85_89', 'deaths': 97, 'rollingRate': 73.2, 'rollingSum': 644}, {'age': '90+', 'deaths': 80, 'rollingRate': 125.9, 'rollingSum': 651}, {'age': '60+', 'deaths': 414, 'rollingRate': 20.8, 'rollingSum': 2804}, {'age': '00_59', 'deaths': 19, 'rollingRate': 0.30000000000000004, 'rollingSum': 149}]"
2020-12-24,England,"[{'age': '00_04', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 10}, {'age': '10_14', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '15_19', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '20_24', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '25_29', 'deaths': 1, 'rollingRate': 0.1, 'rollingSum': 4}, {'age': '30_34', 'deaths': 0, 'rollingRate': 0.1, 'rollingSum': 2}, {'age': '35_39', 'deaths': 0, 'rollingRate': 0.1, 'rollingSum': 3}, {'age': '40_44', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 10}, {'age': '45_49', 'deaths': 4, 'rollingRate': 0.6000000000000001, 'rollingSum': 21}, {'age': '50_54', 'deaths': 8, 'rollingRate': 1.1, 'rollingSum': 43}, {'age': '55_59', 'deaths': 11, 'rollingRate': 1.6, 'rollingSum': 58}, {'age': '05_09', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '60_64', 'deaths': 14, 'rollingRate': 2.4, 'rollingSum': 75}, {'age': '65_69', 'deaths': 28, 'rollingRate': 6.8, 'rollingSum': 191}, {'age': '70_74', 'deaths': 45, 'rollingRate': 10.3, 'rollingSum': 286}, {'age': '75_79', 'deaths': 52, 'rollingRate': 19.6, 'rollingSum': 381}, {'age': '80_84', 'deaths': 74, 'rollingRate': 38.5, 'rollingSum': 554}, {'age': '85_89', 'deaths': 83, 'rollingRate': 72.2, 'rollingSum': 635}, {'age': '90+', 'deaths': 90, 'rollingRate': 127.6, 'rollingSum': 660}, {'age': '60+', 'deaths': 386, 'rollingRate': 20.7, 'rollingSum': 2782}, {'age': '00_59', 'deaths': 24, 'rollingRate': 0.4, 'rollingSum': 151}]"
2020-12-23,England,"[{'age': '00_04', 'deaths': 1, 'rollingRate': 0.4, 'rollingSum': 12}, {'age': '10_14', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '15_19', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '20_24', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '25_29', 'deaths': 0, 'rollingRate': 0.1, 'rollingSum': 3}, {'age': '30_34', 'deaths': 0, 'rollingRate': 0.1, 'rollingSum': 2}, {'age': '35_39', 'deaths': 1, 'rollingRate': 0.1, 'rollingSum': 4}, {'age': '40_44', 'deaths': 1, 'rollingRate': 0.4, 'rollingSum': 12}, {'age': '45_49', 'deaths': 1, 'rollingRate': 0.6000000000000001, 'rollingSum': 22}, {'age': '50_54', 'deaths': 6, 'rollingRate': 1.0, 'rollingSum': 41}, {'age': '55_59', 'deaths': 7, 'rollingRate': 1.6, 'rollingSum': 57}, {'age': '05_09', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '60_64', 'deaths': 8, 'rollingRate': 2.1, 'rollingSum': 66}, {'age': '65_69', 'deaths': 34, 'rollingRate': 7.0, 'rollingSum': 196}, {'age': '70_74', 'deaths': 44, 'rollingRate': 10.1, 'rollingSum': 281}, {'age': '75_79', 'deaths': 58, 'rollingRate': 19.6, 'rollingSum': 380}, {'age': '80_84', 'deaths': 84, 'rollingRate': 39.3, 'rollingSum': 566}, {'age': '85_89', 'deaths': 84, 'rollingRate': 74.1, 'rollingSum': 652}, {'age': '90+', 'deaths': 90, 'rollingRate': 127.4, 'rollingSum': 659}, {'age': '60+', 'deaths': 402, 'rollingRate': 20.8, 'rollingSum': 2800}, {'age': '00_59', 'deaths': 17, 'rollingRate': 0.4, 'rollingSum': 153}]"
2020-12-22,England,"[{'age': '00_04', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 11}, {'age': '10_14', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '15_19', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '20_24', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '25_29', 'deaths': 2, 'rollingRate': 0.1, 'rollingSum': 3}, {'age': '30_34', 'deaths': 1, 'rollingRate': 0.1, 'rollingSum': 2}, {'age': '35_39', 'deaths': 1, 'rollingRate': 0.1, 'rollingSum': 3}, {'age': '40_44', 'deaths': 0, 'rollingRate': 0.30000000000000004, 'rollingSum': 11}, {'age': '45_49', 'deaths': 6, 'rollingRate': 0.6000000000000001, 'rollingSum': 23}, {'age': '50_54', 'deaths': 4, 'rollingRate': 0.9, 'rollingSum': 37}, {'age': '55_59', 'deaths': 7, 'rollingRate': 1.7000000000000002, 'rollingSum': 63}, {'age': '05_09', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '60_64', 'deaths': 13, 'rollingRate': 2.1, 'rollingSum': 66}, {'age': '65_69', 'deaths': 29, 'rollingRate': 6.5, 'rollingSum': 183}, {'age': '70_74', 'deaths': 43, 'rollingRate': 9.6, 'rollingSum': 268}, {'age': '75_79', 'deaths': 62, 'rollingRate': 19.4, 'rollingSum': 376}, {'age': '80_84', 'deaths': 75, 'rollingRate': 38.1, 'rollingSum': 549}, {'age': '85_89', 'deaths': 84, 'rollingRate': 73.1, 'rollingSum': 643}, {'age': '90+', 'deaths': 106, 'rollingRate': 125.3, 'rollingSum': 648}, {'age': '60+', 'deaths': 412, 'rollingRate': 20.3, 'rollingSum': 2733}, {'age': '00_59', 'deaths': 21, 'rollingRate': 0.4, 'rollingSum': 153}]"
2020-12-21,England,"[{'age': '00_04', 'deaths': 3, 'rollingRate': 0.30000000000000004, 'rollingSum': 11}, {'age': '10_14', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '15_19', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '20_24', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '25_29', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 1}, {'age': '30_34', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 1}, {'age': '35_39', 'deaths': 1, 'rollingRate': 0.1, 'rollingSum': 3}, {'age': '40_44', 'deaths': 3, 'rollingRate': 0.30000000000000004, 'rollingSum': 11}, {'age': '45_49', 'deaths': 4, 'rollingRate': 0.5, 'rollingSum': 19}, {'age': '50_54', 'deaths': 4, 'rollingRate': 1.0, 'rollingSum': 39}, {'age': '55_59', 'deaths': 12, 'rollingRate': 1.7000000000000002, 'rollingSum': 64}, {'age': '05_09', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '60_64', 'deaths': 9, 'rollingRate': 2.0, 'rollingSum': 63}, {'age': '65_69', 'deaths': 28, 'rollingRate': 6.5, 'rollingSum': 181}, {'age': '70_74', 'deaths': 44, 'rollingRate': 9.6, 'rollingSum': 267}, {'age': '75_79', 'deaths': 64, 'rollingRate': 18.1, 'rollingSum': 352}, {'age': '80_84', 'deaths': 83, 'rollingRate': 37.8, 'rollingSum': 544}, {'age': '85_89', 'deaths': 109, 'rollingRate': 72.9, 'rollingSum': 641}, {'age': '90+', 'deaths': 100, 'rollingRate': 123.1, 'rollingSum': 637}, {'age': '60+', 'deaths': 437, 'rollingRate': 19.9, 'rollingSum': 2685}, {'age': '00_59', 'deaths': 27, 'rollingRate': 0.30000000000000004, 'rollingSum': 149}]"
2020-12-20,England,"[{'age': '00_04', 'deaths': 2, 'rollingRate': 0.2, 'rollingSum': 8}, {'age': '10_14', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '15_19', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '20_24', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '25_29', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 1}, {'age': '30_34', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 1}, {'age': '35_39', 'deaths': 0, 'rollingRate': 0.1, 'rollingSum': 2}, {'age': '40_44', 'deaths': 2, 'rollingRate': 0.2, 'rollingSum': 8}, {'age': '45_49', 'deaths': 3, 'rollingRate': 0.5, 'rollingSum': 19}, {'age': '50_54', 'deaths': 6, 'rollingRate': 1.1, 'rollingSum': 43}, {'age': '55_59', 'deaths': 9, 'rollingRate': 1.8, 'rollingSum': 67}, {'age': '05_09', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '60_64', 'deaths': 13, 'rollingRate': 2.1, 'rollingSum': 66}, {'age': '65_69', 'deaths': 20, 'rollingRate': 6.5, 'rollingSum': 181}, {'age': '70_74', 'deaths': 42, 'rollingRate': 9.4, 'rollingSum': 261}, {'age': '75_79', 'deaths': 52, 'rollingRate': 18.3, 'rollingSum': 355}, {'age': '80_84', 'deaths': 74, 'rollingRate': 36.6, 'rollingSum': 527}, {'age': '85_89', 'deaths': 99, 'rollingRate': 70.6, 'rollingSum': 621}, {'age': '90+', 'deaths': 89, 'rollingRate': 119.9, 'rollingSum': 620}, {'age': '60+', 'deaths': 389, 'rollingRate': 19.5, 'rollingSum': 2631}, {'age': '00_59', 'deaths': 22, 'rollingRate': 0.30000000000000004, 'rollingSum': 149}]"
2020-12-19,England,"[{'age': '00_04', 'deaths': 2, 'rollingRate': 0.2, 'rollingSum': 7}, {'age': '10_14', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '15_19', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '20_24', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '25_29', 'deaths': 1, 'rollingRate': 0.0, 'rollingSum': 1}, {'age': '30_34', 'deaths': 1, 'rollingRate': 0.1, 'rollingSum': 2}, {'age': '35_39', 'deaths': 0, 'rollingRate': 0.1, 'rollingSum': 2}, {'age': '40_44', 'deaths': 2, 'rollingRate': 0.2, 'rollingSum': 7}, {'age': '45_49', 'deaths': 1, 'rollingRate': 0.4, 'rollingSum': 16}, {'age': '50_54', 'deaths': 7, 'rollingRate': 1.0, 'rollingSum': 38}, {'age': '55_59', 'deaths': 5, 'rollingRate': 1.7000000000000002, 'rollingSum': 64}, {'age': '05_09', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '60_64', 'deaths': 9, 'rollingRate': 1.9, 'rollingSum': 59}, {'age': '65_69', 'deaths': 31, 'rollingRate': 6.6, 'rollingSum': 185}, {'age': '70_74', 'deaths': 37, 'rollingRate': 9.0, 'rollingSum': 249}, {'age': '75_79', 'deaths': 41, 'rollingRate': 17.5, 'rollingSum': 339}, {'age': '80_84', 'deaths': 62, 'rollingRate': 35.5, 'rollingSum': 511}, {'age': '85_89', 'deaths': 88, 'rollingRate': 68.8, 'rollingSum': 605}, {'age': '90+', 'deaths': 96, 'rollingRate': 124.3, 'rollingSum': 643}, {'age': '60+', 'deaths': 364, 'rollingRate': 19.2, 'rollingSum': 2591}, {'age': '00_59', 'deaths': 19, 'rollingRate': 0.30000000000000004, 'rollingSum': 137}]"
2020-12-18,England,"[{'age': '00_04', 'deaths': 2, 'rollingRate': 0.2, 'rollingSum': 8}, {'age': '10_14', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '15_19', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '20_24', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '25_29', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '30_34', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 1}, {'age': '35_39', 'deaths': 0, 'rollingRate': 0.1, 'rollingSum': 2}, {'age': '40_44', 'deaths': 2, 'rollingRate': 0.2, 'rollingSum': 8}, {'age': '45_49', 'deaths': 2, 'rollingRate': 0.5, 'rollingSum': 19}, {'age': '50_54', 'deaths': 8, 'rollingRate': 0.9, 'rollingSum': 34}, {'age': '55_59', 'deaths': 7, 'rollingRate': 1.7000000000000002, 'rollingSum': 64}, {'age': '05_09', 'deaths': 0, 'rollingRate': 0.0, 'rollingSum': 0}, {'age': '60_64', 'deaths': 9, 'rollingRate': 1.9, 'rollingSum': 59}, {'age': '65_69', 'deaths': 21, 'rollingRate': 6.1, 'rollingSum': 170}, {'age': '70_74', 'deaths': 31, 'rollingRate': 8.6, 'rollingSum': 240}, {'age': '75_79', 'deaths': 52, 'rollingRate': 17.9, 'rollingSum': 348}, {'age': '80_84', 'deaths': 102, 'rollingRate': 36.4, 'rollingSum': 524}, {'age': '85_89', 'deaths': 88, 'rollingRate': 68.3, 'rollingSum': 601}, {'age': '90+', 'deaths': 89, 'rollingRate': 124.5, 'rollingSum': 644}, {'age': '60+', 'deaths': 392, 'rollingRate': 19.2, 'rollingSum': 2586}, {'age': '00_59', 'deaths': 21, 'rollingRate': 0.30000000000000004, 'rollingSum': 136}]"
