date,areaName,deathsRegistered
2021-12-10,Scotland,84
2021-12-09,Scotland,
2021-12-08,Scotland,
2021-12-07,Scotland,
2021-12-06,Scotland,
2021-12-05,Scotland,
2021-12-04,Scotland,
2021-12-03,Scotland,91
2021-12-02,Scotland,
2021-12-01,Scotland,
2021-11-30,Scotland,
2021-11-29,Scotland,
2021-11-28,Scotland,
2021-11-27,Scotland,
2021-11-26,Scotland,98
2021-11-25,Scotland,
2021-11-24,Scotland,
2021-11-23,Scotland,
2021-11-22,Scotland,
2021-11-21,Scotland,
2021-11-20,Scotland,
2021-11-19,Scotland,96
2021-11-18,Scotland,
2021-11-17,Scotland,
2021-11-16,Scotland,
2021-11-15,Scotland,
2021-11-14,Scotland,
2021-11-13,Scotland,
2021-11-12,Scotland,116
2021-11-11,Scotland,
2021-11-10,Scotland,
2021-11-09,Scotland,
2021-11-08,Scotland,
2021-11-07,Scotland,
2021-11-06,Scotland,
2021-11-05,Scotland,140
2021-11-04,Scotland,
2021-11-03,Scotland,
2021-11-02,Scotland,
2021-11-01,Scotland,
2021-10-31,Scotland,
2021-10-30,Scotland,
2021-10-29,Scotland,135
2021-10-28,Scotland,
2021-10-27,Scotland,
2021-10-26,Scotland,
2021-10-25,Scotland,
2021-10-24,Scotland,
2021-10-23,Scotland,
2021-10-22,Scotland,131
2021-10-21,Scotland,
2021-10-20,Scotland,
2021-10-19,Scotland,
2021-10-18,Scotland,
2021-10-17,Scotland,
2021-10-16,Scotland,
2021-10-15,Scotland,141
2021-10-14,Scotland,
2021-10-13,Scotland,
2021-10-12,Scotland,
2021-10-11,Scotland,
2021-10-10,Scotland,
2021-10-09,Scotland,
2021-10-08,Scotland,131
2021-10-07,Scotland,
2021-10-06,Scotland,
2021-10-05,Scotland,
2021-10-04,Scotland,
2021-10-03,Scotland,
2021-10-02,Scotland,
2021-10-01,Scotland,143
2021-09-30,Scotland,
2021-09-29,Scotland,
2021-09-28,Scotland,
2021-09-27,Scotland,
2021-09-26,Scotland,
2021-09-25,Scotland,
2021-09-24,Scotland,167
2021-09-23,Scotland,
2021-09-22,Scotland,
2021-09-21,Scotland,
2021-09-20,Scotland,
2021-09-19,Scotland,
2021-09-18,Scotland,
2021-09-17,Scotland,135
2021-09-16,Scotland,
2021-09-15,Scotland,
2021-09-14,Scotland,
2021-09-13,Scotland,
2021-09-12,Scotland,
2021-09-11,Scotland,
2021-09-10,Scotland,80
2021-09-09,Scotland,
2021-09-08,Scotland,
2021-09-07,Scotland,
2021-09-06,Scotland,
2021-09-05,Scotland,
2021-09-04,Scotland,
2021-09-03,Scotland,58
2021-09-02,Scotland,
2021-09-01,Scotland,
2021-08-31,Scotland,
2021-08-30,Scotland,
2021-08-29,Scotland,
2021-08-28,Scotland,
2021-08-27,Scotland,49
2021-08-26,Scotland,
2021-08-25,Scotland,
2021-08-24,Scotland,
2021-08-23,Scotland,
2021-08-22,Scotland,
2021-08-21,Scotland,
2021-08-20,Scotland,41
2021-08-19,Scotland,
2021-08-18,Scotland,
2021-08-17,Scotland,
2021-08-16,Scotland,
2021-08-15,Scotland,
2021-08-14,Scotland,
2021-08-13,Scotland,41
2021-08-12,Scotland,
2021-08-11,Scotland,
2021-08-10,Scotland,
2021-08-09,Scotland,
2021-08-08,Scotland,
2021-08-07,Scotland,
2021-08-06,Scotland,54
2021-08-05,Scotland,
2021-08-04,Scotland,
2021-08-03,Scotland,
2021-08-02,Scotland,
2021-08-01,Scotland,
2021-07-31,Scotland,
2021-07-30,Scotland,46
2021-07-29,Scotland,
2021-07-28,Scotland,
2021-07-27,Scotland,
2021-07-26,Scotland,
2021-07-25,Scotland,
2021-07-24,Scotland,
2021-07-23,Scotland,56
2021-07-22,Scotland,
2021-07-21,Scotland,
2021-07-20,Scotland,
2021-07-19,Scotland,
2021-07-18,Scotland,
2021-07-17,Scotland,
2021-07-16,Scotland,47
2021-07-15,Scotland,
2021-07-14,Scotland,
2021-07-13,Scotland,
2021-07-12,Scotland,
2021-07-11,Scotland,
2021-07-10,Scotland,
2021-07-09,Scotland,31
2021-07-08,Scotland,
2021-07-07,Scotland,
2021-07-06,Scotland,
2021-07-05,Scotland,
2021-07-04,Scotland,
2021-07-03,Scotland,
2021-07-02,Scotland,22
2021-07-01,Scotland,
2021-06-30,Scotland,
2021-06-29,Scotland,
2021-06-28,Scotland,
2021-06-27,Scotland,
2021-06-26,Scotland,
2021-06-25,Scotland,17
2021-06-24,Scotland,
2021-06-23,Scotland,
2021-06-22,Scotland,
2021-06-21,Scotland,
2021-06-20,Scotland,
2021-06-19,Scotland,
2021-06-18,Scotland,13
2021-06-17,Scotland,
2021-06-16,Scotland,
2021-06-15,Scotland,
2021-06-14,Scotland,
2021-06-13,Scotland,
2021-06-12,Scotland,
2021-06-11,Scotland,7
2021-06-10,Scotland,
2021-06-09,Scotland,
2021-06-08,Scotland,
2021-06-07,Scotland,
2021-06-06,Scotland,
2021-06-05,Scotland,
2021-06-04,Scotland,8
2021-06-03,Scotland,
2021-06-02,Scotland,
2021-06-01,Scotland,
2021-05-31,Scotland,
2021-05-30,Scotland,
2021-05-29,Scotland,
2021-05-28,Scotland,8
2021-05-27,Scotland,
2021-05-26,Scotland,
2021-05-25,Scotland,
2021-05-24,Scotland,
2021-05-23,Scotland,
2021-05-22,Scotland,
2021-05-21,Scotland,4
2021-05-20,Scotland,
2021-05-19,Scotland,
2021-05-18,Scotland,
2021-05-17,Scotland,
2021-05-16,Scotland,
2021-05-15,Scotland,
2021-05-14,Scotland,6
2021-05-13,Scotland,
2021-05-12,Scotland,
2021-05-11,Scotland,
2021-05-10,Scotland,
2021-05-09,Scotland,
2021-05-08,Scotland,
2021-05-07,Scotland,7
2021-05-06,Scotland,
2021-05-05,Scotland,
2021-05-04,Scotland,
2021-05-03,Scotland,
2021-05-02,Scotland,
2021-05-01,Scotland,
2021-04-30,Scotland,19
2021-04-29,Scotland,
2021-04-28,Scotland,
2021-04-27,Scotland,
2021-04-26,Scotland,
2021-04-25,Scotland,
2021-04-24,Scotland,
2021-04-23,Scotland,23
2021-04-22,Scotland,
2021-04-21,Scotland,
2021-04-20,Scotland,
2021-04-19,Scotland,
2021-04-18,Scotland,
2021-04-17,Scotland,
2021-04-16,Scotland,24
2021-04-15,Scotland,
2021-04-14,Scotland,
2021-04-13,Scotland,
2021-04-12,Scotland,
2021-04-11,Scotland,
2021-04-10,Scotland,
2021-04-09,Scotland,34
2021-04-08,Scotland,
2021-04-07,Scotland,
2021-04-06,Scotland,
2021-04-05,Scotland,
2021-04-04,Scotland,
2021-04-03,Scotland,
2021-04-02,Scotland,38
2021-04-01,Scotland,
2021-03-31,Scotland,
2021-03-30,Scotland,
2021-03-29,Scotland,
2021-03-28,Scotland,
2021-03-27,Scotland,
2021-03-26,Scotland,62
2021-03-25,Scotland,
2021-03-24,Scotland,
2021-03-23,Scotland,
2021-03-22,Scotland,
2021-03-21,Scotland,
2021-03-20,Scotland,
2021-03-19,Scotland,68
2021-03-18,Scotland,
2021-03-17,Scotland,
2021-03-16,Scotland,
2021-03-15,Scotland,
2021-03-14,Scotland,
2021-03-13,Scotland,
2021-03-12,Scotland,104
2021-03-11,Scotland,
2021-03-10,Scotland,
2021-03-09,Scotland,
2021-03-08,Scotland,
2021-03-07,Scotland,
2021-03-06,Scotland,
2021-03-05,Scotland,142
2021-03-04,Scotland,
2021-03-03,Scotland,
2021-03-02,Scotland,
2021-03-01,Scotland,
2021-02-28,Scotland,
2021-02-27,Scotland,
2021-02-26,Scotland,230
2021-02-25,Scotland,
2021-02-24,Scotland,
2021-02-23,Scotland,
2021-02-22,Scotland,
2021-02-21,Scotland,
2021-02-20,Scotland,
2021-02-19,Scotland,291
2021-02-18,Scotland,
2021-02-17,Scotland,
2021-02-16,Scotland,
2021-02-15,Scotland,
2021-02-14,Scotland,
2021-02-13,Scotland,
2021-02-12,Scotland,325
2021-02-11,Scotland,
2021-02-10,Scotland,
2021-02-09,Scotland,
2021-02-08,Scotland,
2021-02-07,Scotland,
2021-02-06,Scotland,
2021-02-05,Scotland,377
2021-02-04,Scotland,
2021-02-03,Scotland,
2021-02-02,Scotland,
2021-02-01,Scotland,
2021-01-31,Scotland,
2021-01-30,Scotland,
2021-01-29,Scotland,444
2021-01-28,Scotland,
2021-01-27,Scotland,
2021-01-26,Scotland,
2021-01-25,Scotland,
2021-01-24,Scotland,
2021-01-23,Scotland,
2021-01-22,Scotland,452
2021-01-21,Scotland,
2021-01-20,Scotland,
2021-01-19,Scotland,
2021-01-18,Scotland,
2021-01-17,Scotland,
2021-01-16,Scotland,
2021-01-15,Scotland,373
2021-01-14,Scotland,
2021-01-13,Scotland,
2021-01-12,Scotland,
2021-01-11,Scotland,
2021-01-10,Scotland,
2021-01-09,Scotland,
2021-01-08,Scotland,392
2021-01-07,Scotland,
2021-01-06,Scotland,
2021-01-05,Scotland,
2021-01-04,Scotland,
2021-01-03,Scotland,
2021-01-02,Scotland,
2021-01-01,Scotland,183
2020-12-31,Scotland,
2020-12-30,Scotland,
2020-12-29,Scotland,
2020-12-28,Scotland,
2020-12-27,Scotland,
2020-12-26,Scotland,
2020-12-25,Scotland,200
2020-12-24,Scotland,
