date,areaName,deathsRegistered
2021-04-09,Wales,19
2021-04-08,Wales,19
2021-04-07,Wales,19
2021-04-06,Wales,19
2021-04-05,Wales,19
2021-04-04,Wales,19
2021-04-03,Wales,19
2021-04-02,Wales,15
2021-04-01,Wales,15
2021-03-31,Wales,15
2021-03-30,Wales,15
2021-03-29,Wales,15
2021-03-28,Wales,15
2021-03-27,Wales,15
2021-03-26,Wales,32
2021-03-25,Wales,32
2021-03-24,Wales,32
2021-03-23,Wales,32
2021-03-22,Wales,32
2021-03-21,Wales,32
2021-03-20,Wales,32
2021-03-19,Wales,49
2021-03-18,Wales,49
2021-03-17,Wales,49
2021-03-16,Wales,49
2021-03-15,Wales,49
2021-03-14,Wales,49
2021-03-13,Wales,49
2021-03-12,Wales,68
2021-03-11,Wales,68
2021-03-10,Wales,68
2021-03-09,Wales,68
2021-03-08,Wales,68
2021-03-07,Wales,68
2021-03-06,Wales,68
2021-03-05,Wales,103
2021-03-04,Wales,103
2021-03-03,Wales,103
2021-03-02,Wales,103
2021-03-01,Wales,103
2021-02-28,Wales,103
2021-02-27,Wales,103
2021-02-26,Wales,138
2021-02-25,Wales,138
2021-02-24,Wales,138
2021-02-23,Wales,138
2021-02-22,Wales,138
2021-02-21,Wales,138
2021-02-20,Wales,138
2021-02-19,Wales,179
2021-02-18,Wales,179
2021-02-17,Wales,179
2021-02-16,Wales,179
2021-02-15,Wales,179
2021-02-14,Wales,179
2021-02-13,Wales,179
2021-02-12,Wales,216
2021-02-11,Wales,216
2021-02-10,Wales,216
2021-02-09,Wales,216
2021-02-08,Wales,216
2021-02-07,Wales,216
2021-02-06,Wales,216
2021-02-05,Wales,314
2021-02-04,Wales,314
2021-02-03,Wales,314
2021-02-02,Wales,314
2021-02-01,Wales,314
2021-01-31,Wales,314
2021-01-30,Wales,314
2021-01-29,Wales,361
2021-01-28,Wales,361
2021-01-27,Wales,361
2021-01-26,Wales,361
2021-01-25,Wales,361
2021-01-24,Wales,361
2021-01-23,Wales,361
2021-01-22,Wales,447
2021-01-21,Wales,447
2021-01-20,Wales,447
2021-01-19,Wales,447
2021-01-18,Wales,447
2021-01-17,Wales,447
2021-01-16,Wales,447
2021-01-15,Wales,467
2021-01-14,Wales,467
2021-01-13,Wales,467
2021-01-12,Wales,467
2021-01-11,Wales,467
2021-01-10,Wales,467
