date,areaName,deathsRegistered
2021-02-19,West Midlands,530
2021-02-12,West Midlands,657
2021-02-05,West Midlands,824
2021-01-29,West Midlands,870
2021-01-22,West Midlands,844
2021-01-15,West Midlands,716
2021-01-08,West Midlands,550
2021-01-01,West Midlands,302
2020-12-25,West Midlands,316
2020-12-18,West Midlands,373
2020-12-11,West Midlands,376
2020-12-04,West Midlands,381
2020-11-27,West Midlands,361
2020-11-20,West Midlands,306
2020-11-13,West Midlands,284
2020-11-06,West Midlands,181
2020-10-30,West Midlands,110
2020-10-23,West Midlands,80
2020-10-16,West Midlands,49
2020-10-09,West Midlands,43
2020-10-02,West Midlands,31
2020-09-25,West Midlands,33
2020-09-18,West Midlands,15
2020-09-11,West Midlands,7
2020-09-04,West Midlands,9
2020-08-28,West Midlands,5
2020-08-21,West Midlands,10
2020-08-14,West Midlands,14
2020-08-07,West Midlands,13
2020-07-31,West Midlands,17
2020-07-24,West Midlands,15
2020-07-17,West Midlands,25
2020-07-10,West Midlands,48
2020-07-03,West Midlands,49
2020-06-26,West Midlands,69
2020-06-19,West Midlands,93
2020-06-12,West Midlands,104
2020-06-05,West Midlands,158
2020-05-29,West Midlands,184
2020-05-22,West Midlands,290
2020-05-15,West Midlands,382
2020-05-08,West Midlands,443
2020-05-01,West Midlands,651
2020-04-24,West Midlands,880
2020-04-17,West Midlands,999
2020-04-10,West Midlands,807
2020-04-03,West Midlands,400
2020-03-27,West Midlands,67
2020-03-20,West Midlands,14
2020-03-13,West Midlands,2
2020-03-06,West Midlands,0
2020-02-28,West Midlands,0
2020-02-21,West Midlands,0
2020-02-14,West Midlands,0
2020-02-07,West Midlands,0
2020-01-31,West Midlands,0
2020-01-24,West Midlands,0
2020-01-17,West Midlands,0
2020-01-10,West Midlands,0
2020-01-03,West Midlands,0
